vertex1,vertex2,edge_weight
0,5,1
0,7,1
0,11,1
0,14,1
0,16,1
0,17,1
0,19,1
0,23,1
0,36,1
0,41,1
0,47,1
0,48,1
1,4,1
1,9,1
1,11,1
1,13,1
1,28,1
1,33,1
1,36,1
1,37,1
1,38,1
1,39,1
1,41,1
1,42,1
1,45,1
1,48,1
2,4,1
2,8,1
2,10,1
2,11,1
2,14,1
2,16,1
2,19,1
2,23,1
2,28,1
2,29,1
2,35,1
2,41,1
3,7,1
3,13,1
3,17,1
3,20,1
3,29,1
3,33,1
3,39,1
3,40,1
3,43,1
3,44,1
3,45,1
3,49,1
4,6,1
4,10,1
4,15,1
4,19,1
4,24,1
4,29,1
4,33,1
4,34,1
4,42,1
4,44,1
4,45,1
4,49,1
5,7,1
5,9,1
5,15,1
5,16,1
5,19,1
5,20,1
5,23,1
5,32,1
5,33,1
5,38,1
5,39,1
5,42,1
5,44,1
5,46,1
6,8,1
6,12,1
6,15,1
6,17,1
6,18,1
6,22,1
6,23,1
6,25,1
6,29,1
6,33,1
6,37,1
6,45,1
6,48,1
7,8,1
7,16,1
7,19,1
7,21,1
7,22,1
7,23,1
7,25,1
7,27,1
7,28,1
7,32,1
7,33,1
7,35,1
7,38,1
7,41,1
7,43,1
7,45,1
7,46,1
7,47,1
7,49,1
8,17,1
8,20,1
8,22,1
8,23,1
8,28,1
8,30,1
8,31,1
8,32,1
8,33,1
8,41,1
8,44,1
8,45,1
8,46,1
8,47,1
8,48,1
8,49,1
9,11,1
9,17,1
9,22,1
9,24,1
9,25,1
9,26,1
9,27,1
9,28,1
9,32,1
9,34,1
9,37,1
9,39,1
9,40,1
9,47,1
9,49,1
10,15,1
10,18,1
10,22,1
10,23,1
10,32,1
10,33,1
10,34,1
10,35,1
10,41,1
10,46,1
11,14,1
11,19,1
11,22,1
11,35,1
11,41,1
11,47,1
12,14,1
12,16,1
12,19,1
12,22,1
12,25,1
12,30,1
12,31,1
12,36,1
12,38,1
12,42,1
12,48,1
12,49,1
13,17,1
13,22,1
13,23,1
13,27,1
13,28,1
13,32,1
13,34,1
13,36,1
13,37,1
13,39,1
13,40,1
13,42,1
13,43,1
14,18,1
14,20,1
14,25,1
14,28,1
14,29,1
14,33,1
14,37,1
14,47,1
14,48,1
15,16,1
15,17,1
15,18,1
15,22,1
15,25,1
15,29,1
15,31,1
15,32,1
15,36,1
15,41,1
15,47,1
16,17,1
16,27,1
16,30,1
16,34,1
16,36,1
16,38,1
16,43,1
16,45,1
17,18,1
17,19,1
17,20,1
17,25,1
17,26,1
17,27,1
17,33,1
17,34,1
17,40,1
18,20,1
18,21,1
18,24,1
18,29,1
18,30,1
18,31,1
18,42,1
19,30,1
19,35,1
19,36,1
19,37,1
19,38,1
19,39,1
19,40,1
19,43,1
19,44,1
19,46,1
19,47,1
19,48,1
20,25,1
20,26,1
20,28,1
20,30,1
20,34,1
20,35,1
20,36,1
20,49,1
21,23,1
21,24,1
21,29,1
21,47,1
21,49,1
22,24,1
22,27,1
22,30,1
22,39,1
23,25,1
23,26,1
23,27,1
23,29,1
23,30,1
23,38,1
23,45,1
23,47,1
23,49,1
24,25,1
24,34,1
24,36,1
24,39,1
24,44,1
24,46,1
25,29,1
25,39,1
25,49,1
26,28,1
26,31,1
26,36,1
26,37,1
26,40,1
26,41,1
26,43,1
26,47,1
26,49,1
27,30,1
27,36,1
27,37,1
27,43,1
27,45,1
27,46,1
27,47,1
28,35,1
28,38,1
28,39,1
28,42,1
28,44,1
29,33,1
29,35,1
29,43,1
29,44,1
30,37,1
30,45,1
30,46,1
31,33,1
31,34,1
31,41,1
31,42,1
31,44,1
31,47,1
31,48,1
32,34,1
32,35,1
32,37,1
32,38,1
32,39,1
32,43,1
32,45,1
32,46,1
32,49,1
33,39,1
33,40,1
33,43,1
33,46,1
34,35,1
34,36,1
34,44,1
34,46,1
34,47,1
35,37,1
35,40,1
35,42,1
35,44,1
35,45,1
36,40,1
36,44,1
37,39,1
37,43,1
38,40,1
38,43,1
38,46,1
38,47,1
38,49,1
39,40,1
39,41,1
39,43,1
39,46,1
39,47,1
41,44,1
41,46,1
41,49,1
42,43,1
42,45,1
42,46,1
43,44,1
43,47,1
44,46,1
44,47,1
45,46,1
45,49,1
46,47,1
46,49,1
47,48,1
