0,36,24
0,5,46,24
0,36,34,24
0,5,9,24
0,7,46,24
0,36,44,24
0,11,9,24
0,7,21,24
0,5,39,24
0,11,22,24
0,5,44,24
0,7,22,24
0,14,25,24
0,7,25,24
0,16,34,24
0,14,18,24
0,17,9,24
0,16,36,24
0,19,4,24
0,17,18,24
0,23,25,24
0,19,36,24
0,17,25,24
0,41,46,24
0,23,21,24
0,19,39,24
0,17,34,24
0,47,46,24
0,41,39,24
0,19,44,24
0,47,9,24
0,41,44,24
0,19,46,24
0,47,21,24
0,47,34,24
0,47,39,24
0,47,44,24
0,23,21,18,24
0,19,46,34,24
0,47,21,18,24
0,47,34,4,24
0,47,39,9,24
0,47,44,4,24
0,19,36,34,24
0,5,39,9,24
0,23,25,9,24
0,5,15,36,24
0,36,44,4,24
0,23,25,39,24
0,5,16,36,24
0,5,15,4,24
0,36,44,34,24
0,5,42,4,24
0,5,16,34,24
0,5,15,18,24
0,11,47,46,24
0,17,18,21,24
0,5,39,22,24
0,19,36,44,24
0,19,4,34,24
0,47,44,34,24
0,47,39,22,24
0,7,46,34,24
0,5,46,34,24
0,47,34,9,24
0,16,5,44,24
0,19,46,39,24
0,41,46,34,24
0,17,25,9,24
0,7,22,9,24
0,16,36,34,24
0,47,8,44,24
0,41,44,4,24
0,19,44,4,24
0,47,9,22,24
0,14,18,21,24
0,47,8,22,24
0,41,44,34,24
0,19,44,34,24
0,47,9,25,24
0,47,8,46,24
0,47,9,34,24
0,41,44,36,24
0,47,9,39,24
0,41,44,46,24
0,19,44,36,24
0,17,9,22,24
0,19,44,46,24
0,17,9,25,24
0,14,11,22,24
0,17,9,34,24
0,14,33,46,24
0,14,11,9,24
0,17,9,39,24
0,14,2,4,24
0,14,33,4,24
0,14,20,34,24
0,14,33,39,24
0,14,12,22,24
0,14,20,18,24
0,14,28,44,24
0,14,12,25,24
0,14,20,25,24
0,14,29,4,24
0,14,28,9,24
0,14,12,36,24
0,14,20,36,24
0,14,37,39,24
0,14,29,18,24
0,19,5,46,24
0,47,11,9,24
0,16,36,44,24
0,41,49,46,24
0,7,22,39,24
0,17,25,39,24
0,16,34,4,24
0,5,44,4,24
0,41,46,39,24
0,19,46,44,24
0,11,9,22,24
0,16,5,9,24
0,16,45,46,24
0,11,22,9,24
0,14,25,9,24
0,17,34,4,24
0,41,39,9,24
0,47,34,36,24
0,5,46,39,24
0,47,46,34,24
0,7,46,39,24
0,47,39,25,24
0,14,25,39,24
0,41,39,22,24
0,5,46,44,24
0,47,46,39,24
0,41,39,25,24
0,7,46,44,24
0,47,46,44,24
0,41,39,46,24
0,47,39,46,24
0,47,34,44,24
0,17,34,9,24
0,7,3,44,24
0,47,34,46,24
0,17,34,36,24
0,7,5,46,24
0,7,3,39,24
0,17,34,44,24
0,7,16,36,24
0,7,5,9,24
0,17,34,46,24
0,7,8,46,24
0,7,16,34,24
0,7,5,39,24
0,7,19,39,24
0,7,8,22,24
0,7,5,44,24
0,7,49,46,24
0,7,19,4,24
0,7,49,4,24
0,7,19,36,24
0,7,49,9,24
0,7,19,44,24
0,7,49,21,24
0,7,19,46,24
0,7,49,25,24
0,7,8,44,24
0,7,47,9,24
0,48,14,25,24
0,7,45,46,24
0,7,47,21,24
0,48,47,46,24
0,48,14,18,24
0,7,43,44,24
0,7,47,34,24
0,48,1,4,24
0,48,47,9,24
0,7,41,46,24
0,7,43,39,24
0,7,47,39,24
0,48,1,9,24
0,48,47,21,24
0,7,38,46,24
0,7,41,39,24
0,7,47,44,24
0,7,35,34,24
0,7,41,44,24
0,7,47,46,24
0,7,33,39,24
0,7,35,44,24
0,48,1,36,24
0,7,32,39,24
0,7,33,4,24
0,48,1,39,24
0,7,28,44,24
0,7,32,9,24
0,7,33,46,24
0,7,23,21,24
0,7,28,9,24
0,7,32,34,24
0,7,27,9,24
0,7,23,25,24
0,7,28,39,24
0,7,32,46,24
0,7,27,22,24
0,48,47,34,24
0,48,6,18,24
0,7,27,36,24
0,48,47,39,24
0,48,8,22,24
0,48,6,4,24
0,7,45,4,24
0,47,44,36,24
0,11,22,39,24
0,16,45,4,24
0,19,4,44,24
0,16,43,39,24
0,16,5,39,24
0,17,16,34,24
0,11,9,25,24
0,5,39,25,24
0,41,46,44,24
0,5,44,34,24
0,7,25,9,24
0,36,34,4,24
0,19,39,9,24
0,16,34,9,24
0,11,47,9,24
0,41,49,4,24
0,23,49,46,24
0,11,1,4,24
0,41,31,34,24
0,36,34,9,24
0,19,39,22,24
0,41,49,9,24
0,23,47,21,24
0,23,49,4,24
0,19,39,25,24
0,41,49,21,24
0,23,5,44,24
0,23,47,9,24
0,23,49,9,24
0,19,39,46,24
0,41,49,25,24
0,23,45,46,24
0,23,5,9,24
0,23,47,34,24
0,23,49,21,24
0,23,38,46,24
0,23,45,4,24
0,23,5,39,24
0,23,47,39,24
0,23,49,25,24
0,23,30,46,24
0,23,5,46,24
0,23,47,44,24
0,11,1,9,24
0,23,29,44,24
0,23,30,18,24
0,23,47,46,24
0,11,1,36,24
0,23,27,46,24
0,23,29,4,24
0,11,1,39,24
0,23,2,4,24
0,23,27,9,24
0,23,29,18,24
0,23,6,4,24
0,23,27,22,24
0,23,29,21,24
0,23,7,21,24
0,23,6,18,24
0,23,27,36,24
0,23,29,25,24
0,23,8,22,24
0,23,7,22,24
0,23,6,22,24
0,23,10,46,24
0,23,8,44,24
0,23,7,25,24
0,23,6,25,24
0,23,13,34,24
0,23,10,4,24
0,23,8,46,24
0,23,7,46,24
0,23,26,9,24
0,23,13,22,24
0,23,10,18,24
0,23,26,36,24
0,23,13,36,24
0,23,10,22,24
0,23,30,22,24
0,23,13,39,24
0,23,10,34,24
0,41,1,4,24
0,41,31,18,24
0,36,34,44,24
0,41,2,4,24
0,41,1,9,24
0,41,31,44,24
0,36,34,46,24
0,41,7,46,24
0,41,1,36,24
0,11,14,25,24
0,41,26,9,24
0,41,7,21,24
0,41,1,39,24
0,11,19,36,24
0,11,14,18,24
0,41,8,22,24
0,41,26,36,24
0,41,8,44,24
0,41,7,22,24
0,41,8,46,24
0,41,7,25,24
0,11,2,4,24
0,11,19,4,24
0,11,35,34,24
0,11,19,39,24
0,11,41,39,24
0,11,35,44,24
0,11,19,44,24
