0,19,4
0,5,19,4
0,19,2,4
0,5,15,4
0,7,49,4
0,19,44,4
0,11,1,4
0,7,19,4
0,5,33,4
0,11,2,4
0,5,42,4
0,11,19,4
0,5,44,4
0,7,33,4
0,14,2,4
0,7,45,4
0,16,2,4
0,14,29,4
0,17,19,4
0,16,15,4
0,23,49,4
0,17,6,4
0,16,34,4
0,23,2,4
0,17,15,4
0,16,45,4
0,23,6,4
0,36,1,4
0,14,33,4
0,17,33,4
0,23,10,4
0,36,15,4
0,41,1,4
0,17,34,4
0,36,19,4
0,47,19,4
0,41,2,4
0,36,24,4
0,48,1,4
0,36,34,4
0,48,6,4
0,36,44,4
0,48,19,4
0,47,15,4
0,41,10,4
0,47,34,4
0,41,15,4
0,47,44,4
0,41,44,4
0,23,29,4
0,41,49,4
0,23,45,4
0,36,34,10,4
0,47,34,10,4
0,41,44,19,4
0,23,29,2,4
0,41,49,45,4
0,23,7,49,4
0,36,34,24,4
0,23,45,1,4
0,41,15,6,4
0,41,7,49,4
0,16,34,10,4
0,41,10,2,4
0,47,15,6,4
0,11,2,10,4
0,47,7,49,4
0,48,6,15,4
0,11,9,49,4
0,5,42,1,4
0,48,1,33,4
0,36,24,34,4
0,16,45,1,4
0,17,19,2,4
0,17,15,6,4
0,16,15,6,4
0,48,8,49,4
0,36,12,49,4
0,23,2,10,4
0,17,6,15,4
0,23,49,45,4
0,19,44,24,4
0,7,49,45,4
0,5,33,1,4
0,5,19,2,4
0,17,6,29,4
0,19,44,29,4
0,5,33,6,4
0,5,19,44,4
0,17,6,33,4
0,19,44,34,4
0,5,33,10,4
0,17,6,45,4
0,5,33,29,4
0,14,29,2,4
0,36,19,2,4
0,14,29,6,4
0,36,19,44,4
0,14,29,15,4
0,41,2,10,4
0,14,29,33,4
0,41,2,19,4
0,14,29,44,4
0,41,2,29,4
0,36,44,19,4
0,47,44,19,4
0,36,44,24,4
0,47,44,24,4
0,36,44,29,4
0,47,44,29,4
0,36,44,34,4
0,47,44,34,4
0,23,2,19,4
0,36,12,6,4
0,47,19,2,4
0,36,13,1,4
0,48,8,2,4
0,17,34,10,4
0,36,15,6,4
0,48,12,49,4
0,16,15,10,4
0,16,2,10,4
0,17,15,10,4
0,17,19,44,4
0,7,45,1,4
0,11,1,33,4
0,17,3,49,4
0,16,45,6,4
0,36,24,44,4
0,41,1,33,4
0,48,1,42,4
0,5,42,45,4
0,5,44,19,4
0,7,33,1,4
0,11,9,1,4
0,11,47,34,4
0,7,3,49,4
0,48,6,29,4
0,47,7,19,4
0,14,2,10,4
0,36,1,33,4
0,47,7,33,4
0,14,2,19,4
0,36,1,42,4
0,47,7,45,4
0,14,2,29,4
0,36,1,45,4
0,23,10,2,4
0,48,19,2,4
0,47,8,49,4
0,23,10,15,4
0,48,19,44,4
0,47,9,49,4
0,47,8,2,4
0,23,10,33,4
0,47,27,45,4
0,47,9,1,4
0,47,8,6,4
0,23,10,34,4
0,47,31,44,4
0,47,9,24,4
0,47,8,33,4
0,47,38,49,4
0,47,31,15,4
0,47,9,34,4
0,47,8,44,4
0,47,14,29,4
0,47,8,45,4
0,47,43,44,4
0,47,14,2,4
0,47,21,49,4
0,47,43,19,4
0,47,14,33,4
0,47,11,1,4
0,47,21,24,4
0,47,43,29,4
0,47,23,49,4
0,47,11,2,4
0,47,21,29,4
0,47,43,33,4
0,47,23,2,4
0,47,11,19,4
0,47,39,24,4
0,47,43,42,4
0,47,23,6,4
0,47,26,49,4
0,47,39,1,4
0,47,23,10,4
0,47,46,49,4
0,47,39,19,4
0,47,23,29,4
0,47,48,1,4
0,47,39,33,4
0,47,23,45,4
0,47,48,6,4
0,47,46,10,4
0,47,48,19,4
0,47,46,19,4
0,47,38,1,4
0,47,46,24,4
0,47,38,19,4
0,47,46,33,4
0,47,31,33,4
0,47,46,34,4
0,47,31,34,4
0,47,46,42,4
0,47,31,42,4
0,47,46,44,4
0,7,3,29,4
0,47,46,45,4
0,7,3,33,4
0,48,6,33,4
0,7,3,44,4
0,48,6,45,4
0,7,3,45,4
0,11,2,19,4
0,7,5,44,4
0,11,2,29,4
0,7,8,49,4
0,7,5,15,4
0,7,16,45,4
0,7,8,2,4
0,11,47,15,4
0,17,33,1,4
0,47,15,10,4
0,11,41,44,4
0,11,9,24,4
0,41,10,15,4
0,7,33,6,4
0,5,44,24,4
0,5,15,6,4
0,14,12,49,4
0,16,34,24,4
0,48,1,45,4
0,41,7,19,4
0,41,1,42,4
0,11,19,2,4
0,41,8,49,4
0,16,45,42,4
0,17,3,29,4
0,41,15,10,4
0,17,8,49,4
0,11,1,42,4
0,7,19,2,4
0,19,5,44,4
0,14,33,1,4
0,23,45,6,4
0,7,45,6,4
0,36,34,44,4
0,14,33,6,4
0,23,45,42,4
0,7,45,42,4
0,11,1,45,4
0,14,33,10,4
0,23,45,49,4
0,7,45,49,4
0,7,19,44,4
0,14,33,29,4
0,19,7,49,4
0,19,5,15,4
0,17,15,29,4
0,17,8,2,4
0,19,12,49,4
0,19,7,33,4
0,19,5,33,4
0,17,8,6,4
0,19,17,34,4
0,19,12,6,4
0,19,7,45,4
0,19,5,42,4
0,17,8,33,4
0,19,30,45,4
0,19,17,6,4
0,19,12,42,4
0,17,8,44,4
0,19,35,45,4
0,19,17,15,4
0,17,8,45,4
0,19,36,44,4
0,19,35,2,4
0,19,17,33,4
0,19,43,44,4
0,19,36,1,4
0,19,35,10,4
0,19,46,49,4
0,19,43,29,4
0,19,36,15,4
0,19,35,29,4
0,19,11,1,4
0,19,46,10,4
0,19,43,33,4
0,19,36,24,4
0,19,35,34,4
0,19,37,1,4
0,19,11,2,4
0,19,46,24,4
0,19,43,42,4
0,19,36,34,4
0,19,35,42,4
0,19,38,49,4
0,19,37,6,4
0,19,46,33,4
0,19,35,44,4
0,19,39,24,4
0,19,38,1,4
0,19,46,34,4
0,19,40,33,4
0,19,39,1,4
0,19,46,42,4
0,19,47,15,4
0,19,39,33,4
0,19,46,44,4
0,19,48,1,4
0,19,47,34,4
0,19,46,45,4
0,19,48,6,4
0,19,47,44,4
0,17,9,49,4
0,16,2,19,4
0,41,15,29,4
0,17,16,45,4
0,17,9,1,4
0,16,2,29,4
0,17,13,1,4
0,17,16,2,4
0,17,9,24,4
0,17,16,15,4
0,17,9,34,4
0,17,16,34,4
0,17,18,42,4
0,17,13,34,4
0,17,20,49,4
0,17,18,6,4
0,17,13,42,4
0,17,25,49,4
0,17,20,34,4
0,17,18,10,4
0,17,26,49,4
0,17,25,6,4
0,17,18,15,4
0,17,27,45,4
0,17,25,15,4
0,17,18,24,4
0,17,40,19,4
0,17,25,24,4
