10,2,19
10,4,19
10,35,19
10,46,19
10,2,4,19
10,35,2,19
10,46,5,19
10,35,7,19
10,46,7,19
10,4,2,19
10,2,11,19
10,15,17,19
10,4,44,19
10,18,17,19
10,15,4,19
10,22,11,19
10,2,35,19
10,46,30,19
10,35,11,19
10,23,0,19
10,46,38,19
10,23,2,19
10,46,39,19
10,23,5,19
10,46,44,19
10,23,7,19
10,46,47,19
10,23,30,19
10,35,37,19
10,32,35,19
10,22,7,19
10,15,5,19
10,18,30,19
10,23,38,19
10,22,12,19
10,15,36,19
10,33,17,19
10,22,30,19
10,15,47,19
10,34,17,19
10,33,4,19
10,22,39,19
10,33,5,19
10,41,0,19
10,33,7,19
10,41,2,19
10,33,39,19
10,41,7,19
10,33,40,19
10,41,11,19
10,33,43,19
10,41,39,19
10,33,46,19
10,41,44,19
10,34,4,19
10,41,46,19
10,34,35,19
10,23,47,19
10,32,5,19
10,35,40,19
10,34,36,19
10,32,7,19
10,35,44,19
10,34,44,19
10,32,37,19
10,34,46,19
10,32,38,19
10,34,47,19
10,32,39,19
10,32,43,19
10,32,46,19
10,41,39,5,19
10,41,44,4,19
10,41,1,48,19
10,34,47,0,19
10,32,39,5,19
10,32,43,7,19
10,32,46,5,19
10,34,4,2,19
10,33,43,7,19
10,23,7,0,19
10,33,1,48,19
10,33,40,17,19
10,41,7,0,19
10,33,39,5,19
10,23,2,4,19
10,41,2,4,19
10,46,39,5,19
10,4,44,5,19
10,41,0,5,19
10,33,5,0,19
10,33,4,2,19
10,46,8,48,19
10,4,1,48,19
10,46,44,4,19
10,18,17,0,19
10,15,17,0,19
10,4,6,48,19
10,4,1,11,19
10,46,44,5,19
10,18,17,40,19
10,15,17,40,19
10,46,44,35,19
10,4,15,47,19
10,4,6,12,19
10,46,44,36,19
10,4,24,46,19
10,4,15,5,19
10,4,6,17,19
10,46,44,43,19
10,4,29,44,19
10,4,24,36,19
10,4,15,17,19
10,4,6,37,19
10,46,44,47,19
10,4,33,5,19
10,4,29,2,19
10,4,24,39,19
10,4,1,36,19
10,23,5,0,19
10,46,38,5,19
10,23,0,5,19
10,46,8,2,19
10,46,24,44,19
10,2,4,44,19
10,33,4,44,19
10,33,5,7,19
10,46,5,0,19
10,22,6,48,19
10,41,0,7,19
10,4,44,35,19
10,35,2,4,19
10,46,39,37,19
10,41,2,11,19
10,41,11,0,19
10,34,44,4,19
10,32,37,30,19
10,34,46,5,19
10,32,38,5,19
10,23,2,11,19
10,33,39,37,19
10,15,47,0,19
10,41,7,5,19
10,33,40,35,19
10,22,12,30,19
10,15,6,48,19
10,33,1,4,19
10,33,3,17,19
10,35,11,0,19
10,23,7,5,19
10,33,43,37,19
10,46,47,0,19
10,46,30,12,19
10,33,17,0,19
10,34,4,44,19
10,32,46,7,19
10,4,2,11,19
10,46,47,7,19
10,46,30,37,19
10,32,46,30,19
10,4,2,35,19
10,46,47,11,19
10,33,17,40,19
10,32,46,38,19
10,32,43,37,19
10,46,47,38,19
10,33,43,38,19
10,32,46,39,19
10,32,43,38,19
10,46,47,39,19
10,33,43,39,19
10,32,46,44,19
10,32,43,39,19
10,32,46,47,19
10,32,43,44,19
10,46,47,43,19
10,32,43,47,19
10,46,47,44,19
10,33,43,44,19
10,46,47,48,19
10,33,43,47,19
10,23,7,35,19
10,32,39,37,19
10,23,7,38,19
10,32,39,40,19
10,23,7,43,19
10,32,39,43,19
10,23,7,46,19
10,32,39,46,19
10,23,7,47,19
10,32,39,47,19
10,35,11,2,19
10,33,3,7,19
10,35,11,47,19
10,33,3,39,19
10,2,11,0,19
10,33,3,40,19
10,2,11,35,19
10,33,3,43,19
10,2,11,47,19
10,33,3,44,19
10,35,7,0,19
10,34,47,7,19
10,35,7,5,19
10,34,47,11,19
10,35,7,38,19
10,34,47,38,19
10,35,7,43,19
10,34,47,39,19
10,35,7,46,19
10,34,47,43,19
10,35,7,47,19
10,34,47,44,19
10,33,6,48,19
10,34,47,46,19
10,33,8,48,19
10,33,6,4,19
10,34,47,48,19
10,33,14,48,19
10,33,8,2,19
10,33,6,12,19
10,33,29,44,19
10,33,14,0,19
10,33,8,7,19
10,33,6,17,19
10,33,31,12,19
10,33,29,2,19
10,33,14,2,19
10,33,8,17,19
10,33,6,37,19
10,33,31,44,19
10,33,29,4,19
10,33,14,11,19
10,33,8,30,19
10,33,31,47,19
10,33,1,11,19
10,41,1,4,19
10,15,6,4,19
10,15,41,11,19
10,2,8,48,19
10,41,8,48,19
10,22,12,36,19
10,33,40,36,19
10,41,44,5,19
10,41,7,35,19
10,15,47,7,19
10,33,7,0,19
10,35,44,4,19
10,22,39,5,19
10,32,7,0,19
10,41,39,37,19
10,33,39,40,19
10,23,2,35,19
10,32,8,48,19
10,32,38,7,19
10,34,46,7,19
10,34,17,0,19
10,34,36,0,19
10,32,37,35,19
10,34,44,5,19
10,18,6,48,19
10,41,11,2,19
10,41,2,35,19
10,22,30,12,19
10,15,36,0,19
10,34,9,11,19
10,46,39,40,19
10,35,2,11,19
10,22,11,0,19
10,4,44,36,19
10,41,0,11,19
10,34,9,5,19
10,46,39,43,19
10,35,40,17,19
10,22,11,2,19
10,4,44,43,19
10,41,0,17,19
10,34,9,17,19
10,35,40,36,19
10,22,11,35,19
10,4,44,46,19
10,41,0,36,19
10,34,9,37,19
10,35,40,38,19
10,22,11,47,19
10,4,44,47,19
10,41,0,47,19
10,34,9,39,19
10,35,40,39,19
10,46,39,47,19
10,2,35,7,19
10,41,0,48,19
10,34,9,40,19
10,2,35,11,19
10,22,6,4,19
10,34,9,47,19
10,2,35,37,19
10,22,6,12,19
10,34,13,43,19
10,2,35,40,19
10,22,6,17,19
10,34,16,2,19
10,34,13,17,19
10,2,35,44,19
10,22,6,37,19
10,34,32,46,19
10,34,16,0,19
10,34,13,36,19
10,34,20,17,19
10,34,32,5,19
10,34,16,5,19
10,34,13,37,19
10,34,24,46,19
10,34,20,5,19
10,34,32,7,19
10,34,16,7,19
10,34,13,39,19
10,34,31,12,19
10,34,24,4,19
10,34,20,30,19
10,34,13,40,19
10,34,31,44,19
10,34,24,36,19
10,34,20,35,19
10,34,32,35,19
10,34,31,47,19
10,34,24,39,19
10,34,20,36,19
10,34,32,37,19
10,34,31,48,19
10,34,24,44,19
10,34,16,12,19
10,34,32,38,19
10,15,36,12,19
10,34,16,17,19
10,34,32,39,19
10,15,36,40,19
10,34,16,30,19
10,34,32,43,19
10,15,36,44,19
10,34,16,36,19
10,22,8,48,19
10,22,30,37,19
10,34,16,38,19
10,22,9,11,19
10,22,8,2,19
10,22,30,46,19
10,34,16,43,19
10,22,13,43,19
10,22,9,5,19
10,22,15,47,19
10,22,13,17,19
10,22,9,17,19
10,22,24,46,19
10,22,15,4,19
10,22,13,36,19
10,22,9,37,19
10,22,27,7,19
10,22,24,4,19
10,22,15,5,19
10,22,13,37,19
10,22,9,39,19
10,22,27,17,19
10,22,24,36,19
10,22,15,17,19
10,22,13,39,19
10,22,9,40,19
10,22,27,30,19
10,22,24,39,19
10,22,15,36,19
10,22,13,40,19
10,22,9,47,19
10,22,27,36,19
10,22,24,44,19
10,22,27,37,19
10,22,8,7,19
10,22,27,43,19
10,22,8,17,19
10,22,27,46,19
10,22,8,30,19
10,22,27,47,19
10,22,8,44,19
10,46,7,0,19
10,22,8,46,19
10,46,7,5,19
10,22,8,47,19
10,46,7,35,19
10,46,5,7,19
10,46,7,38,19
10,46,5,38,19
10,46,7,43,19
10,46,5,39,19
10,46,7,47,19
10,46,5,44,19
10,41,11,35,19
10,18,6,4,19
10,41,11,47,19
10,18,6,12,19
10,33,5,38,19
10,18,6,17,19
10,33,5,39,19
10,18,6,37,19
10,33,5,44,19
10,18,14,48,19
10,33,5,46,19
10,18,15,47,19
10,18,14,0,19
10,18,42,46,19
10,18,15,4,19
10,18,14,2,19
10,18,31,48,19
10,18,42,4,19
10,18,15,5,19
10,18,14,11,19
10,18,29,44,19
10,18,31,12,19
10,18,42,5,19
10,18,15,17,19
10,18,14,12,19
10,18,24,46,19
10,18,29,2,19
10,18,31,44,19
10,18,42,12,19
10,18,14,37,19
10,18,20,17,19
10,18,24,4,19
10,18,29,4,19
10,18,31,47,19
10,18,42,35,19
10,18,14,47,19
10,18,20,5,19
10,18,24,36,19
10,18,29,35,19
10,18,21,7,19
10,18,42,43,19
10,18,20,30,19
10,18,29,43,19
10,18,21,47,19
10,18,24,39,19
10,18,20,35,19
10,18,15,36,19
10,18,24,44,19
10,18,20,36,19
10,34,44,35,19
10,32,5,0,19
10,34,44,36,19
10,32,5,7,19
10,34,44,43,19
10,32,5,38,19
10,34,44,46,19
10,32,5,39,19
10,34,44,47,19
10,32,5,44,19
10,23,47,0,19
10,32,5,46,19
10,23,47,7,19
10,23,38,5,19
10,23,47,11,19
10,23,38,7,19
10,23,47,38,19
10,23,38,12,19
10,23,47,39,19
10,23,38,40,19
10,23,47,43,19
10,23,38,43,19
10,23,47,44,19
10,34,35,2,19
10,34,36,12,19
10,32,37,39,19
10,34,46,30,19
10,34,17,40,19
10,35,28,44,19
