10,23
10,2,23
10,4,49,23
10,2,8,23
10,4,2,23
10,15,47,23
10,2,29,23
10,46,49,23
10,15,5,23
10,4,6,23
10,46,5,23
10,4,29,23
10,46,7,23
10,4,45,23
10,46,8,23
10,15,6,23
10,41,49,23
10,46,27,23
10,15,25,23
10,41,0,23
10,46,30,23
10,15,29,23
10,46,38,23
10,41,2,23
10,46,45,23
10,41,7,23
10,46,47,23
10,41,8,23
10,18,6,23
10,41,26,23
10,22,8,23
10,18,21,23
10,32,49,23
10,22,6,23
10,18,29,23
10,33,8,23
10,22,7,23
10,18,30,23
10,34,47,23
10,33,5,23
10,22,13,23
10,33,6,23
10,22,27,23
10,33,7,23
10,22,30,23
10,33,29,23
10,35,2,23
10,34,13,23
10,35,7,23
10,32,5,23
10,35,29,23
10,32,7,23
10,35,45,23
10,32,8,23
10,32,13,23
10,32,38,23
10,32,45,23
10,35,7,0,23
10,35,29,2,23
10,32,7,0,23
10,35,45,6,23
10,32,13,27,23
10,32,38,5,23
10,32,45,6,23
10,32,8,2,23
10,32,5,0,23
10,35,11,47,23
10,46,24,25,23
10,35,2,8,23
10,33,7,0,23
10,22,27,7,23
10,46,38,5,23
10,41,2,8,23
10,4,29,2,23
10,34,4,49,23
10,22,13,27,23
10,33,5,0,23
10,41,8,2,23
10,4,6,8,23
10,33,46,49,23
10,46,5,0,23
10,22,9,49,23
10,15,47,0,23
10,41,7,0,23
10,46,45,6,23
10,46,30,8,23
10,15,4,49,23
10,46,7,0,23
10,2,29,6,23
10,4,49,7,23
10,46,45,7,23
10,15,16,45,23
10,15,4,2,23
10,4,49,8,23
10,46,45,8,23
10,15,41,49,23
10,15,16,0,23
10,15,4,6,23
10,15,41,0,23
10,15,16,2,23
10,15,4,29,23
10,15,41,2,23
10,15,16,5,23
10,15,4,45,23
10,15,41,7,23
10,15,16,7,23
10,4,49,21,23
10,15,41,8,23
10,15,16,27,23
10,4,49,25,23
10,15,41,26,23
10,15,16,30,23
10,4,49,26,23
10,46,45,27,23
10,15,17,0,23
10,46,7,5,23
10,2,29,21,23
10,46,30,27,23
10,41,7,5,23
10,15,47,7,23
10,33,6,8,23
10,22,7,0,23
10,34,47,0,23
10,22,30,8,23
10,34,13,27,23
10,22,9,5,23
10,22,11,47,23
10,18,30,8,23
10,46,5,7,23
10,33,46,5,23
10,22,6,8,23
10,18,42,45,23
10,33,43,47,23
10,4,6,25,23
10,15,25,6,23
10,41,8,6,23
10,33,5,7,23
10,41,26,47,23
10,46,47,0,23
10,33,8,2,23
10,34,4,2,23
10,4,2,8,23
10,34,9,49,23
10,4,29,6,23
10,41,0,5,23
10,15,5,0,23
10,41,2,29,23
10,46,38,7,23
10,34,9,5,23
10,4,29,21,23
10,41,0,7,23
10,15,5,7,23
10,46,38,47,23
10,34,9,25,23
10,4,29,25,23
10,41,0,47,23
10,15,5,38,23
10,46,38,49,23
10,34,9,26,23
10,46,49,7,23
10,22,27,13,23
10,34,16,45,23
10,34,9,27,23
10,46,49,8,23
10,22,27,30,23
10,34,46,49,23
10,34,16,0,23
10,34,9,47,23
10,46,49,21,23
10,22,27,45,23
10,46,49,25,23
10,22,27,47,23
10,46,49,26,23
10,34,44,47,23
10,46,49,38,23
10,34,20,49,23
10,34,44,5,23
10,46,49,45,23
10,34,17,0,23
10,34,20,5,23
10,34,44,8,23
10,34,24,21,23
10,34,17,6,23
10,34,20,8,23
10,34,44,29,23
10,34,31,26,23
10,34,24,25,23
10,34,17,8,23
10,34,20,25,23
10,34,32,49,23
10,34,31,8,23
10,34,17,13,23
10,34,20,26,23
10,34,35,2,23
10,34,32,5,23
10,34,31,47,23
10,34,35,7,23
10,34,32,7,23
10,34,17,25,23
10,34,35,29,23
10,34,32,8,23
10,34,17,26,23
10,34,35,45,23
10,34,32,13,23
10,34,17,27,23
10,34,20,30,23
10,34,32,38,23
10,34,36,0,23
10,34,32,45,23
10,34,36,13,23
10,34,46,5,23
10,34,36,26,23
10,34,46,7,23
10,34,36,27,23
10,34,46,8,23
10,34,16,2,23
10,34,46,27,23
10,34,16,5,23
10,34,46,30,23
10,34,16,7,23
10,34,46,38,23
10,34,16,27,23
10,34,46,45,23
10,34,16,30,23
10,34,46,47,23
10,34,16,38,23
10,4,2,29,23
10,33,7,5,23
10,34,4,6,23
10,33,8,6,23
10,18,29,2,23
10,22,8,2,23
10,32,49,7,23
10,33,29,2,23
10,35,2,29,23
10,46,47,7,23
10,41,26,49,23
10,46,24,21,23
10,33,5,38,23
10,41,8,7,23
10,18,21,7,23
10,46,32,49,23
10,15,25,7,23
10,4,6,29,23
10,35,11,0,23
10,33,43,7,23
10,33,3,49,23
10,18,6,8,23
10,15,29,2,23
10,35,20,49,23
10,18,42,5,23
10,18,14,0,23
10,32,5,7,23
10,22,6,25,23
10,33,46,7,23
10,15,6,8,23
10,32,8,6,23
10,46,5,38,23
10,18,30,27,23
10,32,45,7,23
10,22,11,0,23
10,22,12,49,23
10,22,6,29,23
10,15,6,25,23
10,32,8,7,23
10,18,30,45,23
10,32,45,8,23
10,22,15,47,23
10,22,12,6,23
10,22,6,45,23
10,15,6,29,23
10,32,8,30,23
10,22,15,5,23
10,22,12,25,23
10,32,45,27,23
10,15,6,45,23
10,32,8,45,23
10,22,15,6,23
10,22,12,30,23
10,32,45,30,23
10,22,24,25,23
10,32,8,47,23
10,22,15,25,23
10,22,12,38,23
10,32,45,49,23
10,22,15,29,23
10,22,39,5,23
10,22,24,21,23
10,32,8,49,23
10,22,39,13,23
10,22,11,2,23
10,33,46,8,23
10,22,39,25,23
10,46,27,7,23
10,33,46,27,23
10,22,39,47,23
10,46,27,13,23
10,33,46,30,23
10,41,49,7,23
10,46,27,30,23
10,33,46,38,23
10,41,49,8,23
10,46,27,45,23
10,33,46,45,23
10,41,49,21,23
10,46,27,47,23
10,33,46,47,23
10,41,49,25,23
10,2,4,49,23
10,32,38,7,23
10,41,49,26,23
10,2,11,47,23
10,2,4,6,23
10,32,38,47,23
10,41,49,38,23
10,2,14,0,23
10,2,4,29,23
10,32,38,49,23
10,41,49,45,23
10,2,16,45,23
10,2,14,25,23
10,2,4,45,23
10,2,11,0,23
10,2,41,49,23
10,2,16,0,23
10,2,14,29,23
10,2,19,7,23
10,2,41,0,23
10,2,16,5,23
10,2,14,47,23
10,2,28,13,23
10,2,19,0,23
10,2,41,7,23
10,2,16,7,23
10,2,35,7,23
10,2,28,7,23
10,2,19,5,23
10,2,41,8,23
10,2,16,27,23
10,2,35,29,23
10,2,28,8,23
10,2,35,45,23
10,2,28,26,23
10,2,19,30,23
10,2,28,38,23
10,2,19,38,23
10,2,41,26,23
10,2,19,47,23
10,2,16,30,23
10,22,9,25,23
10,2,16,38,23
10,22,9,26,23
10,32,5,38,23
10,22,9,27,23
10,18,14,2,23
10,22,9,47,23
10,18,14,25,23
10,18,42,13,23
10,18,14,29,23
10,18,15,47,23
10,18,14,47,23
10,18,17,6,23
10,18,15,5,23
10,18,20,49,23
10,18,17,0,23
10,18,15,6,23
10,18,24,25,23
10,18,20,5,23
10,18,17,8,23
10,18,15,25,23
10,18,31,8,23
10,18,20,8,23
10,18,17,13,23
10,18,15,29,23
10,18,31,26,23
10,18,20,25,23
10,18,17,25,23
10,18,24,21,23
10,18,31,47,23
10,18,20,26,23
10,18,17,26,23
10,18,20,30,23
10,18,17,27,23
10,34,47,7,23
10,22,30,27,23
10,34,47,8,23
10,22,30,45,23
10,34,47,21,23
10,35,20,5,23
10,34,47,26,23
10,35,20,8,23
10,34,47,27,23
10,35,20,25,23
10,34,47,38,23
10,35,20,26,23
10,35,28,26,23
10,35,20,30,23
10,35,32,49,23
10,35,28,2,23
10,35,19,0,23
10,35,32,5,23
10,35,28,7,23
10,35,34,47,23
10,35,19,2,23
10,35,32,7,23
10,35,28,8,23
10,35,37,13,23
10,35,34,13,23
10,35,19,5,23
10,35,32,8,23
10,35,28,13,23
10,35,40,26,23
10,35,37,6,23
10,35,19,7,23
10,35,32,13,23
10,35,28,38,23
10,35,42,13,23
10,35,40,13,23
10,35,37,26,23
