11,0,17
11,9,17
11,19,17
11,0,16,17
11,1,13,17
11,19,0,17
11,1,9,17
11,19,40,17
11,9,25,17
11,2,16,17
11,0,19,17
11,2,8,17
11,9,26,17
11,2,19,17
11,9,27,17
11,14,0,17
11,1,33,17
11,9,34,17
11,22,13,17
11,14,18,17
11,9,40,17
11,14,20,17
11,35,40,17
11,14,25,17
11,41,0,17
11,35,19,17
11,14,33,17
11,47,0,17
11,41,8,17
11,22,6,17
11,35,20,17
11,47,8,17
11,41,15,17
11,22,8,17
11,35,34,17
11,47,9,17
11,22,9,17
11,41,26,17
11,47,15,17
11,22,15,17
11,47,19,17
11,22,27,17
11,47,26,17
11,47,27,17
11,47,34,17
11,35,40,3,17
11,14,33,3,17
11,22,27,9,17
11,47,26,9,17
11,47,27,9,17
11,47,34,9,17
11,14,25,6,17
11,14,20,3,17
11,14,18,6,17
11,2,8,6,17
11,47,27,13,17
11,14,25,9,17
11,14,18,15,17
11,2,8,20,17
11,47,27,16,17
11,14,25,15,17
11,14,20,8,17
11,47,34,13,17
11,35,19,0,17
11,2,16,0,17
11,19,0,16,17
11,47,26,20,17
11,22,27,13,17
11,0,41,26,17
11,14,33,6,17
11,35,40,9,17
11,41,0,16,17
11,9,26,20,17
11,47,7,0,17
11,9,1,13,17
11,0,16,15,17
11,1,13,3,17
11,22,7,0,17
11,22,8,6,17
11,47,9,25,17
11,41,26,9,17
11,47,15,6,17
11,47,19,0,17
11,22,15,6,17
11,22,9,25,17
11,9,34,13,17
11,47,15,16,17
11,9,34,16,17
11,47,15,18,17
11,9,34,20,17
11,47,15,25,17
11,47,19,40,17
11,22,15,16,17
11,22,9,26,17
11,22,15,18,17
11,22,9,27,17
11,22,15,25,17
11,22,9,34,17
11,47,9,26,17
11,22,9,40,17
11,47,9,27,17
11,41,26,20,17
11,47,9,34,17
11,41,26,40,17
11,47,9,40,17
11,41,1,13,17
11,22,8,20,17
11,41,2,16,17
11,41,1,9,17
11,22,8,33,17
11,41,7,0,17
11,41,2,8,17
11,41,1,33,17
11,41,10,15,17
11,41,7,3,17
11,41,2,19,17
11,41,31,15,17
11,22,7,3,17
11,9,40,3,17
11,22,13,3,17
11,0,19,40,17
11,22,10,15,17
11,1,13,27,17
11,9,25,6,17
11,0,16,27,17
11,9,1,33,17
11,1,9,25,17
11,35,2,16,17
11,9,5,0,17
11,47,7,3,17
11,1,4,15,17
11,47,48,19,17
11,9,26,40,17
11,22,6,8,17
11,35,20,3,17
11,41,15,6,17
11,35,34,9,17
11,41,0,19,17
11,35,40,13,17
11,47,8,6,17
11,14,33,8,17
11,41,15,16,17
11,47,8,20,17
11,14,33,40,17
11,41,15,18,17
11,47,8,33,17
11,35,34,13,17
11,41,15,25,17
11,22,6,15,17
11,35,34,16,17
11,35,40,19,17
11,22,6,18,17
11,35,34,20,17
11,35,40,26,17
11,22,6,25,17
11,35,20,8,17
11,35,40,33,17
11,22,6,33,17
11,35,20,18,17
11,0,41,8,17
11,47,48,0,17
11,35,20,25,17
11,0,41,15,17
11,47,48,6,17
11,35,20,26,17
11,1,33,3,17
11,47,48,8,17
11,35,20,34,17
11,1,33,6,17
11,14,0,16,17
11,0,5,9,17
11,1,33,8,17
11,0,5,15,17
11,1,33,40,17
11,0,5,16,17
11,14,0,19,17
11,0,5,19,17
11,0,7,3,17
11,0,5,20,17
11,0,14,18,17
11,0,7,8,17
11,0,5,33,17
11,0,23,6,17
11,0,14,20,17
11,0,7,16,17
11,0,36,15,17
11,0,23,8,17
11,0,14,25,17
11,0,7,19,17
11,0,47,15,17
11,0,36,13,17
11,0,23,13,17
11,0,14,33,17
11,0,7,25,17
11,0,47,8,17
11,0,36,16,17
11,0,23,25,17
11,0,48,6,17
11,0,7,27,17
11,0,47,9,17
11,0,48,8,17
11,0,7,33,17
11,0,47,19,17
11,0,48,19,17
11,0,36,19,17
11,0,47,26,17
11,0,23,26,17
11,0,36,20,17
11,0,47,27,17
11,0,23,27,17
11,0,36,26,17
11,0,47,34,17
11,0,36,27,17
11,47,46,19,17
11,0,36,34,17
11,47,44,19,17
11,47,46,8,17
11,0,36,40,17
11,47,43,26,17
11,47,44,3,17
11,47,46,27,17
11,47,14,0,17
11,47,43,3,17
11,47,44,8,17
11,47,46,33,17
11,47,21,18,17
11,47,14,18,17
11,47,43,13,17
11,47,44,34,17
11,47,46,34,17
11,1,4,6,17
11,22,27,16,17
11,1,36,40,17
11,47,7,8,17
11,9,27,13,17
11,47,26,40,17
11,9,5,15,17
11,9,49,26,17
11,35,7,0,17
11,35,2,8,17
11,2,19,0,17
11,19,40,3,17
11,41,8,6,17
11,2,16,15,17
11,1,9,26,17
11,35,19,40,17
11,0,16,34,17
11,9,25,15,17
11,47,0,16,17
11,47,34,16,17
11,1,13,34,17
11,2,16,27,17
11,1,9,27,17
11,9,25,20,17
11,47,0,19,17
11,47,34,20,17
11,1,13,40,17
11,2,16,34,17
11,1,9,34,17
11,22,10,18,17
11,41,8,20,17
11,19,40,9,17
11,1,9,40,17
11,22,10,33,17
11,41,8,33,17
11,19,40,13,17
11,14,20,18,17
11,22,10,34,17
11,22,12,16,17
11,19,40,26,17
11,14,20,25,17
11,2,19,40,17
11,22,24,25,17
11,22,12,6,17
11,19,40,33,17
11,14,20,26,17
11,22,30,8,17
11,22,24,9,17
11,22,12,19,17
11,14,20,34,17
11,22,39,3,17
11,22,30,16,17
11,22,24,18,17
11,22,12,25,17
11,22,39,9,17
11,22,24,34,17
11,22,30,18,17
11,22,39,13,17
11,35,2,19,17
11,22,30,19,17
11,22,39,19,17
11,35,10,15,17
11,22,30,20,17
11,22,39,25,17
11,35,45,27,17
11,35,10,18,17
11,22,30,27,17
11,22,39,33,17
11,35,28,8,17
11,35,45,3,17
11,35,10,33,17
11,22,39,40,17
11,35,29,3,17
11,35,28,9,17
11,35,45,6,17
11,35,10,34,17
11,35,32,8,17
11,35,29,6,17
11,35,28,13,17
11,35,45,8,17
11,35,37,13,17
11,35,32,9,17
11,35,29,15,17
11,35,45,16,17
11,35,42,13,17
11,35,37,6,17
11,35,32,13,17
11,35,29,18,17
11,35,44,3,17
11,35,42,18,17
11,35,37,9,17
11,35,32,15,17
11,35,29,25,17
11,35,44,8,17
11,35,37,19,17
11,35,32,34,17
11,35,29,33,17
11,35,44,19,17
11,35,37,26,17
11,35,28,20,17
11,35,44,34,17
11,35,37,27,17
11,35,28,26,17
11,35,7,3,17
11,19,2,16,17
11,14,2,16,17
11,35,7,8,17
11,19,4,15,17
11,19,2,8,17
11,19,5,0,17
11,19,4,6,17
11,19,7,0,17
11,19,5,9,17
11,19,4,33,17
11,19,48,8,17
11,19,7,3,17
11,19,5,15,17
11,19,4,34,17
11,19,47,34,17
11,19,48,0,17
11,19,7,8,17
11,19,5,16,17
11,19,46,27,17
11,19,47,0,17
11,19,48,6,17
11,19,7,16,17
11,19,5,20,17
11,19,44,34,17
11,19,46,8,17
11,19,47,8,17
11,19,7,25,17
11,19,5,33,17
11,19,43,33,17
11,19,44,3,17
11,19,46,33,17
11,19,47,9,17
11,19,39,33,17
11,19,43,3,17
11,19,44,8,17
11,19,46,34,17
11,19,47,15,17
11,19,12,6,17
11,19,39,3,17
11,19,43,13,17
11,19,47,26,17
11,19,30,16,17
11,19,12,16,17
11,19,39,9,17
11,19,43,16,17
11,19,47,27,17
11,19,35,20,17
11,19,30,8,17
11,19,12,25,17
11,19,39,13,17
11,19,43,26,17
11,19,36,13,17
11,19,35,34,17
11,19,30,18,17
11,19,39,25,17
11,19,43,27,17
11,19,37,26,17
11,19,39,40,17
11,19,36,0,17
11,19,38,16,17
11,19,37,6,17
11,19,36,15,17
11,19,38,40,17
11,19,37,9,17
11,19,36,16,17
11,19,35,40,17
11,19,37,13,17
11,19,36,20,17
11,19,30,20,17
11,19,37,27,17
11,19,36,26,17
11,19,30,27,17
11,19,7,27,17
11,19,36,27,17
11,19,7,33,17
11,19,36,34,17
11,14,48,8,17
11,19,36,40,17
11,14,12,16,17
11,14,48,0,17
11,14,28,8,17
11,14,12,6,17
11,14,48,6,17
11,14,29,6,17
11,14,28,9,17
11,14,12,19,17
11,14,48,19,17
11,14,37,19,17
11,14,29,3,17
11,14,28,13,17
11,14,12,25,17
11,14,47,0,17
11,14,37,6,17
11,14,29,15,17
11,14,28,20,17
11,14,47,8,17
11,14,37,9,17
11,14,29,18,17
11,14,28,26,17
11,14,47,9,17
11,14,37,13,17
11,14,29,25,17
11,14,47,15,17
11,14,37,26,17
11,14,29,33,17
11,14,47,19,17
11,14,37,27,17
11,14,47,26,17
11,14,2,8,17
11,14,47,27,17
11,14,2,19,17
11,14,47,34,17
11,35,7,16,17
11,14,25,20,17
11,22,13,27,17
11,9,49,3,17
11,9,47,34,17
11,9,40,13,17
11,9,5,16,17
11,41,31,8,17
11,22,7,8,17
11,9,27,16,17
11,47,7,16,17
11,1,37,27,17
11,1,36,0,17
11,2,4,15,17
11,2,8,33,17
11,41,39,9,17
11,1,4,19,17
11,41,31,18,17
11,22,7,16,17
11,2,4,6,17
11,1,28,8,17
11,41,44,8,17
11,41,39,3,17
11,1,4,33,17
11,41,31,26,17
11,22,7,19,17
11,2,4,19,17
11,1,38,16,17
11,1,28,9,17
11,41,46,19,17
11,41,39,13,17
11,2,4,33,17
11,1,39,9,17
11,1,38,19,17
11,1,28,13,17
11,41,49,3,17
11,41,46,8,17
11,41,39,19,17
11,2,4,34,17
11,1,41,8,17
11,1,39,3,17
11,1,38,40,17
11,1,28,20,17
11,41,49,8,17
11,41,46,27,17
11,1,42,13,17
11,1,41,0,17
11,1,39,13,17
11,1,28,26,17
11,41,49,9,17
11,41,46,33,17
11,1,45,3,17
11,1,42,18,17
11,1,41,15,17
11,1,39,19,17
11,41,49,20,17
11,41,46,34,17
11,1,41,26,17
11,1,39,25,17
11,41,49,25,17
11,1,48,0,17
11,1,45,6,17
11,1,39,33,17
11,41,49,26,17
11,1,48,6,17
11,1,45,8,17
11,1,39,40,17
11,41,39,25,17
11,1,48,8,17
11,1,45,16,17
11,1,4,34,17
11,41,39,33,17
11,1,48,19,17
11,1,45,27,17
11,41,31,33,17
11,41,39,40,17
11,22,7,25,17
11,41,44,3,17
11,41,31,34,17
11,1,37,6,17
11,22,7,27,17
11,41,44,19,17
11,1,36,13,17
11,1,37,9,17
11,22,7,33,17
11,41,44,34,17
11,1,36,15,17
11,1,37,13,17
11,2,10,15,17
11,47,7,19,17
11,1,36,16,17
11,1,37,19,17
11,2,14,0,17
11,2,10,18,17
11,47,7,25,17
11,1,36,19,17
11,1,37,26,17
11,2,23,6,17
11,2,14,18,17
11,2,10,33,17
11,47,7,27,17
11,1,36,20,17
11,2,28,8,17
11,2,23,0,17
11,2,14,20,17
11,2,10,34,17
11,47,7,33,17
11,1,36,26,17
11,2,29,15,17
11,2,28,9,17
11,2,23,8,17
11,2,14,25,17
11,1,36,27,17
11,2,35,34,17
11,2,14,33,17
11,1,36,34,17
11,2,41,0,17
11,2,35,19,17
11,2,29,3,17
11,2,41,8,17
11,2,35,20,17
11,2,29,6,17
11,2,41,15,17
11,2,35,40,17
11,2,29,18,17
11,2,41,26,17
11,2,28,13,17
11,2,29,25,17
11,2,23,13,17
11,2,28,20,17
11,2,29,33,17
11,2,23,25,17
11,2,28,26,17
11,14,18,20,17
11,2,23,26,17
11,41,7,8,17
11,47,43,16,17
11,2,23,27,17
11,41,7,16,17
11,47,43,19,17
11,9,5,19,17
11,41,7,19,17
11,47,43,27,17
11,9,5,20,17
11,41,7,25,17
11,47,43,33,17
11,9,5,33,17
11,41,7,27,17
11,9,40,19,17
11,47,14,20,17
11,41,7,33,17
11,9,40,26,17
11,47,14,25,17
11,9,47,0,17
11,9,40,33,17
11,47,14,33,17
11,9,47,8,17
11,9,22,6,17
11,41,10,18,17
11,9,47,15,17
11,9,24,18,17
11,9,22,8,17
11,41,10,33,17
11,9,47,19,17
11,9,28,8,17
11,9,24,25,17
11,9,22,13,17
11,41,10,34,17
11,9,47,26,17
11,9,32,13,17
11,9,28,13,17
11,9,24,34,17
11,9,22,15,17
11,9,47,27,17
11,9,28,20,17
11,9,37,19,17
11,9,22,27,17
11,9,32,8,17
11,9,28,26,17
11,9,39,3,17
11,9,37,6,17
11,9,32,15,17
11,9,39,13,17
11,9,37,13,17
11,9,32,34,17
11,9,39,19,17
11,9,37,26,17
11,22,13,34,17
11,9,39,25,17
11,9,37,27,17
11,22,13,40,17
11,9,39,33,17
11,9,49,8,17
11,47,23,6,17
11,9,39,40,17
11,9,49,20,17
11,47,31,18,17
11,47,23,0,17
11,9,49,25,17
11,47,38,16,17
11,47,31,8,17
11,47,23,8,17
11,47,39,3,17
11,47,38,19,17
11,47,31,15,17
11,47,23,13,17
11,47,39,9,17
11,47,38,40,17
11,47,31,26,17
11,47,23,25,17
11,47,39,13,17
11,47,31,33,17
11,47,23,26,17
11,47,39,19,17
11,47,31,34,17
11,47,23,27,17
11,47,39,25,17
11,35,7,19,17
11,47,39,33,17
11,35,7,25,17
11,47,39,40,17
11,35,7,27,17
11,35,7,33,17
11,14,28,20,3,17
11,14,37,13,3,17
11,14,29,25,6,17
11,14,29,33,3,17
11,14,2,8,6,17
11,14,47,27,9,17
11,14,47,7,0,17
11,47,39,40,3,17
11,35,7,27,9,17
11,35,7,33,3,17
11,14,2,4,15,17
11,14,47,26,9,17
11,14,47,19,0,17
11,47,44,8,6,17
11,14,37,26,9,17
11,14,47,15,6,17
11,47,44,3,13,17
11,14,37,1,13,17
11,47,46,27,9,17
11,41,1,33,3,17
11,14,29,2,16,17
11,14,47,9,25,17
11,14,28,26,9,17
11,14,29,18,6,17
11,14,37,9,25,17
11,47,46,8,6,17
11,14,47,8,6,17
11,0,36,40,3,17
11,41,1,9,25,17
11,14,29,15,6,17
11,14,37,6,8,17
11,22,8,33,3,17
11,14,28,1,13,17
11,47,43,26,9,17
11,47,44,19,0,17
11,47,27,13,3,17
11,14,12,25,6,17
11,14,48,19,0,17
11,14,48,6,8,17
11,14,48,0,16,17
