11,35,20
11,14,20
11,35,28,20
11,0,5,20
11,35,34,20
11,14,18,20
11,0,14,20
11,14,25,20
11,1,28,20
11,0,17,20
11,14,28,20
11,0,36,20
11,2,28,20
11,1,36,20
11,9,49,20
11,2,8,20
11,19,5,20
11,9,5,20
11,2,14,20
11,22,8,20
11,2,35,20
11,41,49,20
11,22,30,20
11,47,26,20
11,41,8,20
11,47,8,20
11,19,17,20
11,9,17,20
11,41,26,20
11,47,14,20
11,19,30,20
11,9,25,20
11,47,34,20
11,19,35,20
11,9,26,20
11,19,36,20
11,9,28,20
11,9,34,20
11,41,49,3,20
11,22,6,18,20
11,47,26,17,20
11,22,30,8,20
11,9,28,8,20
11,2,28,8,20
11,2,14,18,20
11,0,7,3,20
11,0,17,3,20
11,14,0,5,20
11,2,4,49,20
11,0,17,8,20
11,14,2,28,20
11,14,0,17,20
11,2,4,34,20
11,0,17,18,20
11,14,12,49,20
11,14,2,8,20
11,2,10,18,20
11,22,8,17,20
11,0,16,5,20
11,0,7,5,20
11,2,14,25,20
11,2,28,14,20
11,14,18,17,20
11,35,28,8,20
11,9,28,14,20
11,22,30,18,20
11,35,2,28,20
11,47,26,28,20
11,22,6,8,20
11,2,35,28,20
11,0,36,26,20
11,14,25,17,20
11,9,34,17,20
11,22,7,3,20
11,41,49,8,20
11,19,36,26,20
11,9,1,28,20
11,14,25,49,20
11,9,34,35,20
11,41,49,25,20
11,9,34,36,20
11,41,49,26,20
11,19,36,34,20
11,9,22,30,20
11,9,1,36,20
11,9,47,26,20
11,9,22,8,20
11,9,24,18,20
11,9,47,8,20
11,9,27,17,20
11,9,24,25,20
11,9,47,14,20
11,9,27,30,20
11,9,24,34,20
11,9,47,34,20
11,9,27,36,20
11,9,24,36,20
11,9,32,49,20
11,22,9,49,20
11,9,37,14,20
11,9,32,5,20
11,22,10,18,20
11,22,9,5,20
11,9,39,25,20
11,9,37,26,20
11,9,32,8,20
11,22,12,49,20
11,22,7,5,20
11,47,34,17,20
11,19,35,28,20
11,19,0,5,20
11,0,36,34,20
11,2,35,34,20
11,9,26,17,20
11,22,6,17,20
11,47,26,36,20
11,41,8,17,20
11,2,8,17,20
11,35,2,8,20
11,35,7,3,20
11,47,0,5,20
11,9,28,26,20
11,1,28,8,20
11,41,26,17,20
11,47,14,18,20
11,9,25,14,20
11,35,28,14,20
11,14,18,30,20
11,19,30,8,20
11,2,28,26,20
11,47,14,25,20
11,19,30,18,20
11,2,28,35,20
11,47,14,28,20
11,9,25,17,20
11,35,28,26,20
11,1,28,14,20
11,9,25,49,20
11,41,26,28,20
11,1,28,26,20
11,2,14,28,20
11,41,26,36,20
11,1,28,35,20
11,9,28,35,20
11,41,26,49,20
11,47,0,14,20
11,9,49,3,20
11,1,36,26,20
11,47,0,17,20
11,9,49,8,20
11,1,36,34,20
11,47,0,36,20
11,9,49,25,20
11,0,7,8,20
11,47,7,3,20
11,9,49,26,20
11,0,7,25,20
11,47,9,49,20
11,47,7,5,20
11,0,7,28,20
11,47,7,8,20
11,0,7,35,20
11,47,7,25,20
11,0,7,49,20
11,47,7,28,20
11,47,48,14,20
11,47,7,35,20
11,47,46,49,20
11,47,48,8,20
11,47,7,49,20
11,47,44,3,20
11,47,46,5,20
11,47,43,26,20
11,47,44,5,20
11,47,46,8,20
11,47,39,28,20
11,47,43,3,20
11,47,44,8,20
11,47,46,30,20
11,47,38,28,20
11,47,39,3,20
11,47,44,28,20
11,47,46,34,20
11,47,15,5,20
11,47,38,5,20
11,47,39,5,20
11,47,15,17,20
11,47,38,49,20
11,47,39,25,20
11,47,15,18,20
11,47,44,34,20
11,47,19,5,20
11,47,15,25,20
11,47,44,35,20
11,47,21,49,20
11,47,19,17,20
11,47,15,36,20
11,47,44,36,20
11,47,23,49,20
11,47,21,18,20
11,47,19,30,20
11,47,27,17,20
11,47,23,5,20
11,47,19,35,20
11,47,31,8,20
11,47,27,30,20
11,47,23,8,20
11,47,19,36,20
11,47,31,18,20
11,47,27,36,20
11,47,23,25,20
11,47,31,26,20
11,47,23,26,20
11,47,9,5,20
11,35,7,5,20
11,0,16,17,20
11,35,10,18,20
11,35,2,14,20
11,41,0,5,20
11,0,19,5,20
11,2,8,28,20
11,41,8,28,20
11,22,8,28,20
11,47,26,49,20
11,22,6,25,20
11,1,4,49,20
11,47,8,17,20
11,9,17,3,20
11,2,10,34,20
11,9,26,28,20
11,2,16,5,20
11,19,0,14,20
11,19,17,3,20
11,14,2,35,20
11,19,2,28,20
11,19,35,34,20
11,2,16,17,20
11,19,0,17,20
11,19,17,8,20
11,9,17,8,20
11,19,4,49,20
11,19,0,36,20
11,19,17,18,20
11,9,17,18,20
11,19,7,3,20
11,19,4,34,20
11,19,17,25,20
11,9,17,25,20
11,19,12,49,20
11,19,7,5,20
11,19,17,26,20
11,9,17,26,20
11,19,37,35,20
11,19,12,14,20
11,19,7,8,20
11,19,17,34,20
11,9,17,34,20
11,19,38,49,20
11,19,37,14,20
11,19,12,25,20
11,19,7,25,20
11,19,48,14,20
11,19,38,5,20
11,19,37,26,20
11,19,12,30,20
11,19,7,28,20
11,19,37,30,20
11,19,12,36,20
11,19,7,35,20
11,19,39,3,20
11,19,48,8,20
11,19,7,49,20
11,19,40,17,20
11,19,39,5,20
11,19,38,28,20
11,19,43,26,20
11,19,40,3,20
11,19,39,25,20
11,19,44,8,20
11,19,43,3,20
11,19,40,26,20
11,19,39,28,20
11,19,46,5,20
11,19,44,3,20
11,19,40,35,20
11,19,47,8,20
11,19,46,8,20
11,19,44,5,20
11,19,40,36,20
11,19,47,14,20
11,19,46,30,20
11,19,44,28,20
11,19,47,26,20
11,19,46,34,20
11,19,44,34,20
