11,35
11,2,35
11,19,35
11,2,10,35
11,0,7,35
11,2,19,35
11,19,2,35
11,2,28,35
11,19,7,35
11,0,19,35
11,1,45,35
11,2,29,35
11,1,28,35
11,19,37,35
11,1,37,35
11,19,40,35
11,9,28,35
11,1,42,35
11,19,44,35
11,14,2,35
11,9,32,35
11,22,7,35
11,9,34,35
11,41,2,35
11,22,10,35
11,9,37,35
11,47,7,35
11,41,7,35
11,9,40,35
11,14,20,35
11,47,19,35
11,41,10,35
11,14,28,35
11,47,34,35
11,41,44,35
11,14,29,35
11,47,44,35
11,14,37,35
11,9,32,7,35
11,22,39,19,35
11,9,37,19,35
11,47,7,19,35
11,47,44,19,35
11,14,37,19,35
11,22,10,2,35
11,19,37,32,35
11,41,2,10,35
11,1,28,2,35
11,1,45,7,35
11,2,4,10,35
11,9,34,10,35
11,22,7,19,35
11,2,8,7,35
11,2,4,19,35
11,9,34,20,35
11,22,7,28,35
11,2,14,20,35
11,2,8,20,35
11,2,4,29,35
11,9,34,32,35
11,1,28,7,35
11,1,45,32,35
11,41,2,19,35
11,19,2,10,35
11,2,10,32,35
11,22,10,32,35
11,14,37,32,35
11,2,19,7,35
11,47,44,28,35
11,47,7,28,35
11,0,7,19,35
11,14,2,10,35
11,41,44,19,35
11,14,29,2,35
11,9,37,32,35
11,22,39,28,35
11,19,44,28,35
11,22,8,7,35
11,9,32,10,35
11,2,29,44,35
11,19,30,37,35
11,22,8,2,35
11,9,32,34,35
11,14,0,7,35
11,19,36,40,35
11,14,0,19,35
11,19,38,40,35
11,19,36,20,35
11,19,39,40,35
11,19,38,7,35
11,19,36,34,35
11,19,4,34,35
11,19,39,28,35
11,19,38,28,35
11,19,36,44,35
11,19,5,44,35
11,19,4,2,35
11,19,39,32,35
11,19,0,7,35
11,19,5,7,35
11,19,4,10,35
11,19,39,37,35
11,19,17,40,35
11,19,5,20,35
11,19,4,29,35
11,19,43,29,35
11,19,17,20,35
11,19,5,32,35
11,19,4,42,35
11,19,46,45,35
11,19,43,7,35
11,19,17,34,35
11,19,38,32,35
11,19,30,20,35
11,22,8,20,35
11,9,32,37,35
11,14,12,19,35
11,19,44,29,35
11,22,9,28,35
11,47,21,29,35
11,22,39,32,35
11,0,14,37,35
11,1,9,40,35
11,14,29,44,35
11,41,44,28,35
11,41,49,45,35
11,14,2,19,35
11,0,7,28,35
11,1,42,28,35
11,41,10,2,35
11,14,28,2,35
11,47,34,10,35
11,47,7,32,35
11,47,44,29,35
11,1,42,45,35
11,47,7,45,35
11,47,44,34,35
11,41,10,32,35
11,14,28,7,35
11,47,34,20,35
11,41,10,34,35
11,14,28,20,35
11,47,34,32,35
11,2,19,37,35
11,14,28,42,35
11,47,34,44,35
11,2,19,40,35
11,14,28,44,35
11,14,2,28,35
11,2,19,44,35
11,0,7,32,35
11,14,2,29,35
11,41,1,37,35
11,0,7,45,35
11,41,49,7,35
11,41,8,28,35
11,41,1,28,35
11,41,49,20,35
11,41,0,7,35
11,41,8,2,35
11,41,1,42,35
11,41,49,32,35
11,41,15,10,35
11,41,0,19,35
11,41,46,45,35
11,41,15,29,35
11,41,26,28,35
