12,30
12,16,30
12,19,30
12,22,30
12,16,27,30
12,6,8,30
12,22,8,30
12,6,18,30
12,22,27,30
12,19,37,30
12,49,46,30
12,16,45,30
12,49,8,30
12,19,46,30
12,49,20,30
12,48,19,30
12,6,22,30
12,49,23,30
12,42,46,30
12,48,8,30
12,49,45,30
12,14,18,30
12,42,18,30
12,38,46,30
12,14,20,30
12,42,45,30
12,25,20,30
12,38,16,30
12,14,37,30
12,6,23,30
12,31,8,30
12,25,23,30
12,38,19,30
12,6,37,30
12,36,16,30
12,38,23,30
12,6,45,30
12,36,19,30
12,31,18,30
12,36,20,30
12,36,27,30
12,42,43,27,30
12,42,45,8,30
12,25,20,8,30
12,31,18,20,30
12,36,20,8,30
12,36,27,16,30
12,14,20,8,30
12,49,46,8,30
12,38,46,8,30
12,49,8,20,30
12,14,20,18,30
12,49,46,19,30
12,38,46,19,30
12,49,8,22,30
12,49,46,27,30
12,38,46,27,30
12,49,8,23,30
12,22,8,20,30
12,16,43,37,30
12,42,18,20,30
12,36,27,22,30
12,36,20,18,30
12,14,18,20,30
12,25,20,18,30
12,16,27,22,30
12,6,8,20,30
12,42,45,16,30
12,42,43,16,30
12,49,3,45,30
12,42,31,8,30
12,36,44,46,30
12,19,11,22,30
12,38,19,37,30
12,6,37,19,30
12,6,45,8,30
12,36,19,37,30
12,31,48,19,30
12,36,16,27,30
12,42,46,8,30
12,6,15,18,30
12,6,37,27,30
12,6,15,16,30
12,31,48,8,30
12,6,15,22,30
12,36,16,45,30
12,42,46,19,30
12,6,17,16,30
12,42,46,27,30
12,6,4,19,30
12,6,17,8,30
12,42,46,45,30
12,6,25,20,30
12,6,4,45,30
12,6,17,18,30
12,6,29,18,30
12,6,25,23,30
12,6,17,19,30
12,6,33,8,30
12,6,29,23,30
12,6,17,20,30
12,6,48,8,30
12,6,33,46,30
12,6,17,27,30
12,6,48,19,30
12,36,19,46,30
12,31,47,19,30
12,6,45,16,30
12,31,44,46,30
12,48,8,20,30
12,48,0,16,30
12,38,49,46,30
12,38,19,46,30
12,6,18,20,30
12,19,35,45,30
12,36,44,8,30
12,49,23,8,30
12,16,45,8,30
12,36,1,37,30
12,42,31,18,30
12,19,37,27,30
12,42,1,37,30
12,49,3,20,30
12,6,23,8,30
12,25,49,46,30
12,25,23,8,30
12,38,23,8,30
12,49,4,45,30
12,42,43,19,30
12,31,8,20,30
12,42,45,23,30
12,6,8,22,30
12,25,23,27,30
12,42,45,27,30
12,6,8,23,30
12,25,23,45,30
12,42,45,46,30
12,6,8,45,30
12,49,7,46,30
12,49,4,19,30
12,6,8,46,30
12,49,41,8,30
12,49,7,8,30
12,42,43,37,30
12,49,38,46,30
12,49,41,46,30
12,49,7,16,30
12,49,9,22,30
12,49,38,16,30
12,49,7,19,30
12,49,21,23,30
12,49,9,27,30
12,49,38,19,30
12,49,7,22,30
12,49,32,46,30
12,49,21,18,30
12,49,9,37,30
12,49,38,23,30
12,49,7,23,30
12,49,25,20,30
12,49,7,27,30
12,49,26,20,30
12,49,25,23,30
12,49,7,45,30
12,49,26,23,30
12,49,32,8,30
12,49,26,37,30
12,49,32,37,30
12,31,8,22,30
12,49,32,45,30
12,31,8,23,30
12,38,23,27,30
12,31,8,45,30
12,38,23,45,30
12,31,8,46,30
12,25,49,8,30
12,25,39,46,30
12,25,49,20,30
12,25,7,16,30
12,25,39,19,30
12,25,49,23,30
12,25,6,8,30
12,25,7,8,30
12,25,39,22,30
12,25,49,45,30
12,25,9,22,30
12,25,6,18,30
12,25,7,19,30
12,25,14,18,30
12,25,9,27,30
12,25,6,22,30
12,25,7,22,30
12,25,15,16,30
12,25,14,20,30
12,25,9,37,30
12,25,6,23,30
12,25,7,23,30
12,25,17,8,30
12,25,15,18,30
12,25,14,37,30
12,25,6,37,30
12,25,24,22,30
12,25,17,16,30
12,25,15,22,30
12,25,6,45,30
12,25,29,18,30
12,25,24,18,30
12,25,17,18,30
12,25,7,27,30
12,25,29,23,30
12,25,24,46,30
12,25,17,19,30
12,25,7,45,30
12,25,39,37,30
12,49,45,8,30
12,6,22,8,30
12,16,27,23,30
12,6,23,27,30
12,42,5,16,30
12,42,1,45,30
12,48,19,37,30
12,36,13,22,30
12,36,1,45,30
12,22,39,19,30
12,14,29,18,30
12,14,37,19,30
12,36,27,23,30
12,16,45,23,30
12,49,23,27,30
12,19,35,20,30
12,36,44,19,30
12,38,16,27,30
12,16,43,19,30
12,19,17,18,30
12,16,45,27,30
12,49,23,45,30
12,19,35,37,30
12,38,16,45,30
12,16,43,27,30
12,19,36,20,30
12,19,17,8,30
12,16,45,46,30
12,16,2,8,30
12,19,38,46,30
12,19,36,16,30
12,19,17,16,30
12,16,36,27,30
12,16,2,19,30
12,19,39,46,30
12,19,38,16,30
12,19,36,27,30
12,19,17,20,30
12,16,0,19,30
12,16,36,19,30
12,19,38,23,30
12,16,2,23,30
12,19,17,27,30
12,16,5,46,30
12,16,0,23,30
12,16,36,20,30
12,19,44,46,30
12,19,39,22,30
12,16,7,46,30
12,16,5,19,30
12,19,43,27,30
12,16,15,18,30
12,16,7,8,30
12,16,5,20,30
12,19,47,27,30
12,19,43,16,30
12,16,17,8,30
12,16,15,22,30
12,16,7,19,30
12,16,5,23,30
12,19,0,16,30
12,19,47,8,30
12,19,43,37,30
12,16,34,20,30
12,16,17,18,30
12,19,2,8,30
12,19,0,23,30
12,19,47,23,30
12,16,38,19,30
12,16,34,46,30
12,16,17,19,30
12,19,5,16,30
12,19,2,16,30
12,19,47,46,30
12,16,38,23,30
12,19,5,20,30
12,19,2,23,30
12,16,17,20,30
12,16,38,46,30
12,19,5,23,30
12,19,7,16,30
12,16,17,27,30
12,16,7,22,30
12,19,5,46,30
12,19,4,45,30
12,19,7,8,30
12,16,7,23,30
12,19,48,8,30
12,19,7,22,30
12,16,7,27,30
12,19,44,8,30
12,19,7,23,30
12,16,7,45,30
12,19,39,37,30
12,19,7,27,30
12,14,37,27,30
12,36,27,37,30
12,19,7,45,30
12,38,49,8,30
12,36,27,45,30
12,19,7,46,30
12,38,49,20,30
12,36,27,46,30
12,38,49,23,30
12,14,29,23,30
12,38,49,45,30
12,14,33,46,30
12,49,20,8,30
12,14,0,16,30
12,14,33,8,30
12,49,20,18,30
12,14,2,8,30
12,14,0,19,30
12,14,11,19,30
12,14,2,16,30
12,14,0,23,30
12,14,25,20,30
12,14,11,22,30
12,14,2,19,30
12,14,28,8,30
12,14,25,23,30
12,14,2,23,30
12,14,47,19,30
12,14,28,20,30
12,14,48,8,30
12,14,47,8,30
12,14,48,19,30
12,14,47,23,30
12,19,46,8,30
12,14,47,27,30
12,19,46,27,30
12,14,47,46,30
12,19,46,45,30
12,22,8,23,30
12,38,5,20,30
12,22,8,45,30
12,38,47,19,30
12,38,5,16,30
12,22,8,46,30
12,38,7,8,30
12,38,47,8,30
12,38,5,19,30
12,38,28,8,30
12,38,7,16,30
12,38,47,23,30
12,38,5,23,30
12,38,32,8,30
12,38,28,20,30
12,38,7,19,30
12,38,47,27,30
12,38,5,46,30
12,38,1,37,30
12,38,32,37,30
12,38,7,22,30
12,38,1,45,30
12,38,32,45,30
12,38,7,23,30
12,38,47,46,30
12,38,32,46,30
12,38,7,27,30
12,38,40,19,30
12,38,7,45,30
12,38,43,16,30
12,38,7,46,30
12,38,43,19,30
12,22,39,37,30
12,38,43,27,30
12,22,39,46,30
12,38,43,37,30
12,22,24,46,30
12,48,0,19,30
12,22,6,8,30
12,22,24,18,30
12,48,0,23,30
12,22,7,45,30
12,22,6,18,30
12,22,15,18,30
12,22,7,8,30
12,22,6,23,30
12,22,10,18,30
12,22,15,16,30
12,22,7,16,30
12,22,6,37,30
12,22,9,27,30
12,22,10,23,30
12,22,7,19,30
12,22,6,45,30
12,22,11,19,30
12,22,9,37,30
12,22,10,46,30
12,22,7,23,30
12,22,13,23,30
12,22,7,27,30
12,22,13,27,30
12,22,7,46,30
12,22,13,37,30
12,36,13,23,30
12,49,8,45,30
12,36,13,27,30
12,49,8,46,30
12,36,13,37,30
12,48,1,45,30
12,36,15,18,30
12,48,6,45,30
12,48,1,37,30
12,36,0,16,30
12,36,15,16,30
12,48,47,46,30
12,48,6,8,30
12,48,19,46,30
12,48,8,22,30
12,42,5,19,30
12,22,27,16,30
12,38,46,45,30
12,31,44,8,30
12,42,4,19,30
12,6,23,45,30
12,31,42,45,30
12,16,27,37,30
12,6,22,27,30
12,48,8,23,30
12,22,27,23,30
12,31,44,19,30
12,31,15,16,30
12,31,42,18,30
12,16,27,45,30
12,48,8,45,30
12,22,27,37,30
12,42,13,22,30
12,31,26,20,30
12,31,15,18,30
12,31,42,46,30
12,16,27,46,30
12,48,8,46,30
12,31,26,23,30
12,31,15,22,30
12,22,27,45,30
12,42,28,20,30
12,42,13,23,30
12,31,26,37,30
12,31,33,8,30
