13,23
13,27,23
13,43,47,23
13,27,7,23
13,43,7,23
13,3,49,23
13,27,30,23
13,17,27,23
13,3,7,23
13,43,26,23
13,17,0,23
13,43,27,23
13,17,6,23
13,43,29,23
13,17,8,23
13,3,29,23
13,27,45,23
13,22,30,23
13,43,38,23
13,3,45,23
13,37,30,23
13,22,6,23
13,39,47,23
13,37,6,23
13,22,7,23
13,39,5,23
13,37,26,23
13,22,8,23
13,39,25,23
13,28,2,23
13,27,47,23
13,17,25,23
13,37,27,23
13,28,7,23
13,22,10,23
13,17,26,23
13,28,8,23
13,22,27,23
13,32,7,23
13,28,26,23
13,34,47,23
13,32,5,23
13,36,26,23
13,34,10,23
13,32,8,23
13,1,38,23
13,36,0,23
13,32,10,23
13,1,45,23
13,36,27,23
13,32,38,23
13,40,26,23
13,32,45,23
13,42,5,23
13,40,38,23
13,28,38,23
13,32,49,23
13,42,45,23
13,1,38,5,23
13,36,0,5,23
13,36,27,7,23
13,40,26,47,23
13,32,45,6,23
13,32,49,7,23
13,42,45,6,23
13,32,38,5,23
13,32,10,2,23
13,22,7,0,23
13,36,44,47,23
13,22,8,2,23
13,39,5,0,23
13,1,4,49,23
13,17,0,5,23
13,37,6,8,23
13,17,6,8,23
13,43,27,7,23
13,32,5,0,23
13,36,26,47,23
13,34,10,2,23
13,1,45,6,23
13,32,8,2,23
13,34,47,0,23
13,34,4,49,23
13,22,6,8,23
13,37,26,47,23
13,37,30,8,23
13,39,47,0,23
13,27,30,8,23
13,3,49,7,23
13,43,26,47,23
13,37,30,27,23
13,39,47,7,23
13,27,30,45,23
13,43,26,49,23
13,37,30,45,23
13,39,47,8,23
13,3,49,8,23
13,22,6,25,23
13,37,26,49,23
13,39,47,21,23
13,22,6,29,23
13,3,49,21,23
13,39,47,26,23
13,22,6,45,23
13,3,49,25,23
13,39,47,27,23
13,43,47,0,23
13,3,49,26,23
13,39,47,38,23
13,43,47,7,23
13,3,49,38,23
13,34,4,2,23
13,43,47,8,23
13,3,49,45,23
13,34,4,6,23
13,43,47,21,23
13,34,9,49,23
13,28,7,0,23
13,22,10,2,23
13,22,27,7,23
13,28,26,47,23
13,28,38,5,23
13,34,47,7,23
13,32,8,6,23
13,32,7,0,23
13,1,45,7,23
13,28,8,2,23
13,43,38,5,23
13,36,26,49,23
13,32,5,7,23
13,22,9,49,23
13,43,27,30,23
13,17,6,25,23
13,3,44,47,23
13,43,3,49,23
13,22,30,8,23
13,37,6,25,23
13,17,0,7,23
13,17,3,49,23
13,1,4,2,23
13,1,9,49,23
13,3,7,0,23
13,43,7,0,23
13,39,5,7,23
13,22,8,6,23
13,17,27,7,23
13,36,44,5,23
13,36,12,49,23
13,3,7,5,23
13,39,5,38,23
13,22,8,7,23
13,17,27,30,23
13,36,15,5,23
13,36,12,6,23
13,3,7,8,23
13,22,8,30,23
13,17,27,45,23
13,36,12,25,23
13,3,7,21,23
13,22,8,45,23
13,17,27,47,23
13,36,12,30,23
13,3,7,25,23
13,22,8,47,23
13,36,16,2,23
13,36,12,38,23
13,3,7,27,23
13,22,8,49,23
13,36,19,5,23
13,36,16,0,23
13,36,20,25,23
13,36,19,0,23
13,36,16,5,23
13,36,24,25,23
13,36,20,5,23
13,36,19,2,23
13,36,16,7,23
13,36,1,38,23
13,36,24,21,23
13,36,20,8,23
13,36,19,7,23
13,36,16,27,23
13,36,34,47,23
13,36,1,45,23
13,36,19,30,23
13,36,16,30,23
13,36,40,26,23
13,36,34,10,23
13,36,19,38,23
13,36,16,38,23
13,36,40,38,23
13,36,20,26,23
13,36,19,47,23
13,36,16,45,23
13,36,20,30,23
13,3,7,38,23
13,36,20,49,23
13,3,7,45,23
13,36,15,6,23
13,3,7,47,23
13,36,15,10,23
13,3,7,49,23
13,36,15,25,23
13,36,44,8,23
13,36,15,29,23
13,36,44,29,23
13,36,15,47,23
13,43,7,5,23
13,1,9,5,23
13,43,7,8,23
13,1,9,25,23
13,43,7,21,23
13,1,9,26,23
13,43,7,25,23
13,1,9,27,23
13,43,7,27,23
13,1,9,47,23
13,43,7,38,23
13,1,11,47,23
13,43,7,45,23
13,1,48,47,23
13,1,11,0,23
13,43,7,47,23
13,1,42,45,23
13,1,48,0,23
13,1,11,2,23
13,43,7,49,23
13,1,28,2,23
13,1,42,5,23
13,28,2,8,23
13,37,43,47,23
13,17,26,47,23
13,40,38,5,23
13,22,7,5,23
13,1,4,6,23
13,17,3,7,23
13,17,0,47,23
13,17,9,49,23
13,17,25,6,23
13,32,38,7,23
13,37,6,29,23
13,22,30,27,23
13,42,45,7,23
13,43,3,7,23
13,43,16,45,23
13,43,29,2,23
13,27,9,49,23
13,32,49,8,23
13,3,44,5,23
13,3,17,0,23
13,32,45,7,23
13,17,6,29,23
13,43,27,45,23
13,3,29,2,23
13,40,26,49,23
13,22,9,5,23
13,22,11,47,23
13,36,27,30,23
13,32,5,38,23
13,32,45,8,23
13,43,27,47,23
13,3,29,6,23
13,22,9,25,23
13,36,27,45,23
13,22,12,49,23
13,32,45,27,23
13,22,11,0,23
13,3,29,21,23
13,22,9,26,23
13,22,12,6,23
13,32,45,30,23
13,22,11,2,23
13,3,29,25,23
13,22,9,27,23
13,22,12,25,23
13,32,45,49,23
13,36,27,47,23
13,22,15,47,23
13,22,9,47,23
13,22,12,30,23
13,17,6,45,23
13,22,24,25,23
13,22,12,38,23
13,22,15,5,23
13,22,39,5,23
13,22,24,21,23
13,22,15,6,23
13,22,39,25,23
13,27,47,0,23
13,22,15,10,23
13,22,39,47,23
13,27,47,7,23
13,22,15,25,23
13,37,27,7,23
13,27,47,8,23
13,22,15,29,23
13,37,27,30,23
13,27,47,21,23
13,42,5,0,23
13,37,27,45,23
13,27,47,26,23
13,42,5,7,23
13,37,27,47,23
13,27,47,38,23
13,42,5,38,23
13,36,0,7,23
13,43,38,7,23
13,3,17,6,23
13,36,0,47,23
13,43,38,47,23
13,3,17,8,23
13,3,20,49,23
13,43,38,49,23
13,3,17,25,23
13,3,33,5,23
13,3,20,5,23
13,3,17,26,23
13,3,39,47,23
13,3,33,6,23
13,3,20,8,23
13,3,17,27,23
13,3,40,38,23
13,3,39,5,23
13,3,33,7,23
13,3,20,25,23
13,3,43,7,23
13,3,40,26,23
13,3,39,25,23
13,3,33,8,23
13,3,20,26,23
13,3,43,26,23
13,3,33,10,23
13,3,20,30,23
13,3,43,27,23
13,3,33,29,23
13,28,8,6,23
13,3,43,29,23
13,3,44,8,23
13,28,8,7,23
13,3,43,38,23
13,28,8,30,23
13,3,43,47,23
13,28,8,45,23
13,3,44,29,23
13,28,8,47,23
13,32,49,21,23
13,28,8,49,23
13,32,49,25,23
13,1,38,7,23
13,32,49,26,23
13,1,38,47,23
13,32,49,38,23
13,1,38,49,23
13,32,49,45,23
13,1,45,8,23
13,27,9,5,23
13,1,45,27,23
13,27,9,25,23
13,1,45,30,23
13,27,9,26,23
13,1,45,49,23
13,27,9,47,23
13,27,16,45,23
13,32,7,5,23
13,27,46,49,23
13,27,16,0,23
13,32,7,8,23
13,27,17,6,23
13,27,46,5,23
13,27,16,2,23
13,32,7,21,23
13,27,17,0,23
13,27,46,7,23
13,27,16,5,23
13,32,7,25,23
13,27,17,8,23
13,27,46,8,23
13,27,16,7,23
13,32,7,27,23
13,27,17,25,23
13,27,46,10,23
13,27,16,30,23
13,32,7,38,23
13,27,17,26,23
13,27,46,30,23
13,27,16,38,23
13,32,7,45,23
13,27,22,8,23
13,27,46,38,23
13,32,7,47,23
13,27,43,47,23
13,27,22,6,23
13,27,46,45,23
13,32,7,49,23
13,27,36,0,23
13,27,43,7,23
13,27,22,7,23
13,27,46,47,23
13,27,37,6,23
13,27,22,10,23
13,27,36,26,23
13,27,37,26,23
13,27,22,30,23
13,27,43,26,23
13,27,37,30,23
13,27,43,29,23
13,43,29,6,23
13,27,43,38,23
13,43,29,21,23
13,43,16,0,23
13,43,29,25,23
13,43,16,2,23
13,39,46,49,23
13,43,16,5,23
13,39,43,47,23
13,39,46,5,23
13,43,16,7,23
13,39,41,49,23
13,39,43,7,23
13,39,46,7,23
13,43,16,27,23
13,39,3,49,23
13,39,41,0,23
13,39,43,26,23
13,39,46,8,23
13,43,16,30,23
13,39,9,49,23
13,39,3,7,23
13,39,46,10,23
13,43,16,38,23
13,39,32,49,23
13,39,9,5,23
13,39,3,29,23
13,39,46,27,23
13,39,19,7,23
13,39,32,5,23
13,39,9,25,23
13,39,3,45,23
13,39,46,30,23
13,39,22,10,23
13,39,19,0,23
13,39,32,7,23
13,39,9,26,23
13,39,46,38,23
13,39,1,38,23
13,39,22,6,23
13,39,19,2,23
13,39,32,8,23
13,39,9,27,23
13,39,46,45,23
13,39,24,21,23
13,39,1,45,23
13,39,22,7,23
13,39,19,5,23
13,39,32,10,23
13,39,9,47,23
13,39,46,47,23
13,39,28,7,23
13,39,41,2,23
13,39,43,27,23
13,42,46,49,23
13,32,8,7,23
13,43,32,49,23
13,43,3,29,23
13,34,47,8,23
13,42,45,8,23
13,22,30,45,23
13,32,9,49,23
13,28,38,7,23
13,37,6,45,23
13,32,38,47,23
13,28,26,49,23
13,17,25,7,23
13,17,9,5,23
13,27,45,6,23
13,39,25,6,23
13,28,44,47,23
13,22,27,30,23
13,17,15,47,23
13,1,4,10,23
13,17,3,29,23
13,17,25,29,23
13,22,27,45,23
13,17,16,45,23
13,17,15,5,23
13,1,4,29,23
13,17,3,45,23
13,17,25,49,23
13,22,27,47,23
13,17,18,6,23
13,17,16,0,23
13,17,15,6,23
13,1,4,45,23
13,27,45,7,23
13,17,19,2,23
13,17,18,10,23
13,17,16,2,23
13,17,15,10,23
13,27,45,8,23
13,17,20,8,23
13,17,19,0,23
13,17,18,21,23
13,17,16,5,23
13,17,15,25,23
13,27,45,30,23
13,17,40,38,23
13,17,20,5,23
13,17,19,5,23
13,27,45,49,23
13,17,33,6,23
13,17,40,26,23
13,17,20,25,23
13,17,19,7,23
13,17,34,10,23
13,17,33,5,23
13,17,20,26,23
13,17,19,30,23
13,17,34,47,23
13,17,33,7,23
13,17,20,30,23
13,17,19,38,23
13,17,18,29,23
13,17,33,8,23
13,17,20,49,23
13,17,19,47,23
13,17,18,30,23
13,17,33,10,23
13,17,16,7,23
13,17,15,29,23
13,39,25,7,23
13,17,33,29,23
13,17,16,27,23
13,28,9,25,23
13,39,25,29,23
13,28,44,5,23
13,17,16,30,23
13,28,14,47,23
13,28,9,5,23
13,39,25,49,23
13,28,44,8,23
13,17,16,38,23
13,28,20,25,23
13,28,14,0,23
13,28,9,26,23
13,28,44,29,23
13,28,35,29,23
13,28,20,5,23
13,28,14,2,23
13,28,9,27,23
13,28,1,38,23
13,28,35,2,23
13,28,20,8,23
13,28,14,25,23
13,28,9,47,23
13,28,39,47,23
13,28,1,45,23
13,28,35,7,23
13,28,20,26,23
13,28,14,29,23
13,28,9,49,23
13,28,42,5,23
13,28,39,5,23
13,28,35,10,23
13,28,42,45,23
13,28,39,25,23
13,28,35,45,23
13,28,20,30,23
13,17,9,25,23
13,32,38,49,23
13,28,20,49,23
13,17,9,26,23
13,40,3,49,23
13,28,7,5,23
13,17,9,27,23
13,40,9,49,23
13,40,3,7,23
13,28,7,8,23
13,17,9,47,23
13,40,17,0,23
13,40,9,5,23
13,40,3,29,23
13,28,7,21,23
13,40,19,2,23
13,40,17,6,23
13,40,9,25,23
13,40,3,45,23
13,28,7,25,23
13,40,33,5,23
13,40,19,0,23
13,40,17,8,23
13,40,9,26,23
13,28,7,27,23
13,40,33,6,23
13,40,19,5,23
13,40,17,25,23
13,40,9,27,23
13,28,7,38,23
13,40,33,7,23
13,40,19,7,23
13,40,17,26,23
13,40,9,47,23
13,28,7,45,23
13,40,33,8,23
13,40,19,30,23
13,40,17,27,23
13,40,35,45,23
13,28,7,47,23
13,40,33,10,23
13,40,19,38,23
13,40,36,0,23
13,40,35,2,23
13,28,7,49,23
13,40,33,29,23
13,40,19,47,23
13,40,39,5,23
13,40,36,26,23
13,40,35,7,23
13,40,39,25,23
13,40,36,27,23
13,40,35,10,23
13,40,39,47,23
13,22,7,8,23
13,40,35,29,23
13,28,38,47,23
13,22,7,21,23
13,40,38,7,23
13,28,38,49,23
13,22,7,25,23
13,40,38,47,23
13,32,9,5,23
13,22,7,27,23
13,40,38,49,23
13,32,9,25,23
13,22,7,38,23
13,32,15,47,23
13,32,9,26,23
13,22,7,45,23
13,32,34,47,23
13,32,15,5,23
13,32,9,27,23
13,22,7,47,23
13,32,35,45,23
13,32,34,10,23
13,32,15,6,23
13,32,9,47,23
13,22,7,49,23
13,32,46,49,23
13,32,35,2,23
13,32,15,10,23
13,32,37,26,23
13,32,46,5,23
13,32,35,7,23
13,32,15,25,23
13,32,39,47,23
13,32,37,6,23
13,32,46,7,23
13,32,35,10,23
13,32,15,29,23
13,32,43,7,23
13,32,39,5,23
13,32,37,27,23
13,32,46,8,23
13,32,35,29,23
13,32,43,26,23
13,32,39,25,23
13,32,37,30,23
13,32,46,10,23
13,32,43,27,23
13,34,9,5,23
13,32,46,27,23
13,32,43,29,23
13,34,9,25,23
13,32,46,30,23
13,32,43,38,23
13,34,9,26,23
13,32,46,38,23
13,32,43,47,23
13,32,46,45,23
13,34,9,27,23
13,32,46,47,23
13,34,9,47,23
13,17,26,49,23
13,42,45,27,23
13,37,43,7,23
13,42,45,30,23
13,37,43,26,23
13,42,45,49,23
13,37,43,27,23
13,34,47,21,23
13,37,43,29,23
13,34,47,26,23
13,37,43,38,23
13,34,47,27,23
13,43,3,45,23
13,34,47,38,23
13,3,45,6,23
13,17,8,2,23
13,3,45,7,23
13,17,8,6,23
13,3,45,8,23
13,17,8,7,23
13,3,45,27,23
13,17,8,30,23
13,3,45,30,23
13,17,8,45,23
13,3,45,49,23
13,17,8,47,23
13,34,16,45,23
13,17,8,49,23
13,34,46,49,23
13,34,16,0,23
13,34,44,47,23
13,34,46,5,23
13,34,16,2,23
13,34,17,0,23
13,34,44,5,23
13,34,46,7,23
13,34,16,5,23
13,34,20,49,23
13,34,17,6,23
13,34,44,8,23
13,34,46,8,23
13,34,16,7,23
13,34,24,21,23
13,34,20,5,23
13,34,17,8,23
13,34,44,29,23
13,34,46,10,23
13,34,16,27,23
13,34,31,26,23
13,34,24,25,23
13,34,20,8,23
13,34,17,25,23
13,34,46,27,23
13,34,16,30,23
13,34,32,49,23
13,34,17,26,23
13,34,46,30,23
13,34,16,38,23
13,34,35,45,23
13,34,32,5,23
13,34,17,27,23
13,34,46,38,23
13,34,36,0,23
13,34,35,2,23
13,34,32,7,23
13,34,46,45,23
13,34,36,26,23
13,34,35,7,23
13,34,32,8,23
13,34,46,47,23
13,34,36,27,23
13,34,35,10,23
13,34,32,10,23
13,34,31,8,23
13,34,20,25,23
13,34,35,29,23
13,34,32,38,23
13,34,31,47,23
13,34,20,26,23
13,34,32,45,23
13,34,20,30,23
13,37,9,49,23
13,43,32,5,23
13,37,39,47,23
13,37,9,5,23
13,43,32,7,23
13,37,14,47,23
13,37,39,5,23
13,37,9,25,23
13,43,32,8,23
13,37,19,47,23
13,37,14,0,23
13,37,39,25,23
13,37,9,26,23
13,43,32,10,23
13,37,1,38,23
13,37,19,0,23
13,37,14,2,23
13,37,9,27,23
13,43,32,38,23
13,37,32,49,23
13,37,1,45,23
13,37,19,2,23
13,37,14,25,23
13,37,9,47,23
13,43,32,45,23
13,37,35,2,23
13,37,32,5,23
13,37,19,5,23
13,37,14,29,23
13,37,32,7,23
13,37,19,7,23
13,37,35,7,23
13,37,32,8,23
13,37,19,30,23
13,37,35,10,23
13,37,32,10,23
13,37,19,38,23
13,37,35,29,23
13,37,32,38,23
13,37,35,45,23
13,37,32,45,23
13,43,19,0,23
13,28,2,10,23
13,43,33,5,23
13,43,19,2,23
13,28,2,29,23
13,43,37,26,23
13,43,33,6,23
13,43,19,5,23
13,43,39,47,23
13,43,37,6,23
13,43,33,7,23
13,43,19,7,23
13,43,42,45,23
13,43,39,5,23
13,43,37,27,23
13,43,33,8,23
13,43,19,30,23
13,43,42,5,23
13,43,39,25,23
13,43,37,30,23
13,43,33,10,23
13,43,19,38,23
13,43,44,5,23
13,43,33,29,23
13,43,19,47,23
13,43,44,8,23
13,32,8,30,23
13,43,44,29,23
13,32,8,45,23
13,43,44,47,23
13,32,8,47,23
13,42,46,5,23
13,32,8,49,23
13,42,46,7,23
13,43,47,26,23
13,42,46,8,23
13,43,47,27,23
13,42,46,10,23
13,43,47,38,23
13,42,46,27,23
13,39,43,29,23
13,42,46,30,23
13,39,43,38,23
13,42,46,38,23
13,42,43,47,23
13,42,46,45,23
13,42,4,6,23
13,42,43,7,23
13,42,46,47,23
13,42,12,49,23
13,42,4,2,23
13,42,43,26,23
13,42,18,6,23
