13,39
13,1,39
13,3,39
13,22,39
13,28,39
13,32,39
13,37,39
13,40,39
13,43,39
13,28,1,39
13,32,5,39
13,40,3,39
13,43,3,39
13,37,1,39
13,43,19,39
13,37,9,39
13,43,32,39
13,37,19,39
13,22,9,39
13,1,9,39
13,40,9,39
13,32,9,39
13,3,33,39
13,40,19,39
13,32,37,39
13,3,40,39
13,32,43,39
13,3,43,39
13,32,46,39
13,40,33,39
13,28,9,39
13,1,28,39
13,22,24,39
13,1,33,39
13,17,3,39
13,37,32,39
13,43,33,39
13,1,37,39
13,23,47,39
13,37,43,39
13,43,37,39
13,23,5,39
13,1,41,39
13,43,47,39
13,23,25,39
13,27,47,39
13,17,9,39
13,27,9,39
13,17,19,39
13,27,22,39
13,17,25,39
13,27,37,39
13,17,33,39
13,27,43,39
13,17,40,39
13,27,46,39
13,34,47,39
13,36,1,39
13,34,9,39
13,42,1,39
13,36,19,39
13,34,24,39
13,42,5,39
13,36,24,39
13,34,32,39
13,42,28,39
13,36,40,39
13,34,46,39
13,42,43,39
13,42,46,39
13,27,37,1,39
13,34,47,9,39
13,34,9,1,39
13,42,1,9,39
13,34,46,5,39
13,42,43,3,39
13,42,46,5,39
13,36,1,9,39
13,27,46,5,39
13,27,43,3,39
13,28,2,41,39
13,17,33,1,39
13,17,25,9,39
13,40,17,3,39
13,27,7,46,39
13,43,19,5,39
13,17,34,46,39
13,32,7,47,39
13,17,19,5,39
13,27,9,1,39
13,17,9,1,39
13,27,47,9,39
13,3,7,47,39
13,1,28,9,39
13,37,1,9,39
13,28,1,9,39
13,32,43,3,39
13,3,40,9,39
13,37,1,28,39
13,28,1,33,39
13,32,43,19,39
13,3,40,19,39
13,37,1,33,39
13,28,1,37,39
13,3,40,33,39
13,37,1,41,39
13,28,1,41,39
13,32,43,33,39
13,32,37,1,39
13,3,7,5,39
13,32,43,37,39
13,32,37,9,39
13,3,7,19,39
13,32,43,47,39
13,32,37,19,39
13,3,7,22,39
13,3,17,40,39
13,32,37,43,39
13,3,7,25,39
13,3,49,46,39
13,40,3,33,39
13,27,47,19,39
13,17,9,5,39
13,37,9,1,39
13,43,3,33,39
13,27,9,5,39
13,17,19,37,39
13,32,5,9,39
13,32,7,3,39
13,32,8,47,39
13,27,22,9,39
13,23,5,9,39
13,23,49,46,39
13,17,40,3,39
13,36,40,3,39
13,17,34,9,39
13,17,27,46,39
13,23,25,9,39
13,43,19,37,39
13,27,7,3,39
13,3,33,1,39
13,43,7,46,39
13,27,16,43,39
13,40,17,9,39
13,1,11,41,39
13,40,38,46,39
13,17,25,24,39
13,40,19,5,39
13,32,9,1,39
13,40,9,1,39
13,17,33,3,39
13,28,2,19,39
13,43,32,5,39
13,28,7,43,39
13,27,43,19,39
13,32,9,5,39
13,40,9,5,39
13,17,33,5,39
13,43,32,9,39
13,32,9,22,39
13,40,9,22,39
13,17,33,40,39
13,43,32,37,39
13,32,9,24,39
13,40,9,24,39
13,17,33,43,39
13,43,32,46,39
13,32,9,25,39
13,40,9,25,39
13,17,33,46,39
13,28,14,37,39
13,32,9,28,39
13,28,14,25,39
13,32,9,37,39
13,28,14,33,39
13,32,9,40,39
13,28,14,47,39
13,32,9,47,39
13,40,9,28,39
13,28,7,3,39
13,40,9,32,39
13,28,7,5,39
13,40,9,37,39
13,28,7,19,39
13,40,9,47,39
13,28,7,22,39
13,28,20,25,39
13,28,7,25,39
13,28,44,3,39
13,28,20,3,39
13,28,7,32,39
13,28,42,1,39
13,28,44,5,39
13,28,20,5,39
13,28,7,33,39
13,28,38,43,39
13,28,42,5,39
13,28,44,19,39
13,28,7,41,39
13,28,8,22,39
13,28,38,1,39
13,28,7,46,39
13,28,26,9,39
13,28,8,32,39
13,28,38,5,39
13,28,7,47,39
13,28,35,19,39
13,28,26,37,39
13,28,8,33,39
13,28,38,19,39
13,28,35,32,39
13,28,26,40,39
13,28,8,41,39
13,28,38,32,39
13,28,35,37,39
13,28,26,41,39
13,28,8,46,39
13,28,38,40,39
13,28,35,40,39
13,28,26,43,39
13,28,8,47,39
13,28,38,46,39
13,28,26,47,39
13,28,42,43,39
13,28,38,47,39
13,28,44,24,39
13,28,42,46,39
13,28,44,41,39
13,27,43,32,39
13,28,44,43,39
13,22,9,1,39
13,37,35,19,39
13,27,46,19,39
13,40,19,37,39
13,36,1,28,39
13,40,38,1,39
13,40,26,28,39
13,37,19,5,39
13,42,46,19,39
13,1,11,9,39
13,1,48,47,39
13,42,43,19,39
13,40,17,19,39
13,27,16,5,39
13,43,37,1,39
13,42,5,9,39
13,34,32,5,39
13,42,28,1,39
13,34,46,19,39
13,27,17,3,39
13,43,7,3,39
13,42,1,28,39
13,43,44,47,39
13,3,33,5,39
13,1,37,9,39
13,34,9,5,39
13,27,7,5,39
13,43,19,40,39
13,34,47,19,39
13,23,25,24,39
13,17,27,9,39
13,36,24,9,39
13,1,9,5,39
13,27,37,9,39
13,17,26,43,39
13,17,34,24,39
13,42,45,46,39
13,36,40,9,39
13,17,40,9,39
13,27,37,19,39
13,17,0,5,39
13,17,26,9,39
13,17,34,32,39
13,42,35,37,39
13,27,37,32,39
13,17,6,22,39
13,17,0,19,39
13,17,26,28,39
13,17,34,47,39
13,42,4,19,39
13,42,35,19,39
13,17,8,22,39
13,17,6,25,39
13,17,0,41,39
13,17,15,47,39
13,17,8,28,39
13,17,6,33,39
13,17,0,47,39
13,17,16,43,39
13,17,15,5,39
13,17,8,32,39
13,17,6,37,39
13,17,18,24,39
13,17,16,5,39
13,17,15,22,39
13,17,8,33,39
13,17,20,3,39
13,17,15,25,39
13,17,8,41,39
13,17,20,5,39
13,17,15,32,39
13,17,8,46,39
13,17,20,25,39
13,17,15,41,39
13,17,8,47,39
13,17,20,28,39
13,17,26,37,39
13,42,31,47,39
13,42,4,1,39
13,17,26,40,39
13,42,12,22,39
13,42,31,33,39
13,42,4,24,39
13,17,26,41,39
13,42,18,24,39
13,42,12,19,39
13,42,31,41,39
13,42,4,33,39
13,17,26,47,39
13,42,12,25,39
13,42,35,28,39
13,27,37,43,39
13,42,45,1,39
13,42,35,32,39
13,36,40,19,39
13,42,45,3,39
13,42,35,40,39
13,36,40,33,39
13,42,45,32,39
13,17,40,19,39
13,32,46,5,39
13,3,43,19,39
13,17,40,33,39
13,32,46,19,39
13,3,43,32,39
13,23,49,3,39
13,32,46,24,39
13,3,43,33,39
13,23,49,9,39
13,32,46,33,39
13,3,43,37,39
13,32,46,41,39
13,3,43,47,39
13,32,46,47,39
13,23,49,25,39
13,1,9,22,39
13,23,49,32,39
13,1,9,24,39
13,23,49,41,39
13,1,9,25,39
13,36,24,22,39
13,1,9,28,39
13,36,24,25,39
13,1,9,32,39
13,36,24,46,39
13,1,9,37,39
13,23,2,28,39
13,1,9,40,39
13,23,6,37,39
13,23,2,19,39
13,1,9,47,39
13,23,7,43,39
13,23,6,22,39
13,23,2,41,39
13,23,45,32,39
13,23,7,3,39
13,23,6,25,39
13,23,38,32,39
13,23,45,1,39
13,23,7,5,39
13,23,6,33,39
13,23,30,46,39
13,23,38,1,39
13,23,45,3,39
13,23,7,19,39
13,23,29,25,39
13,23,30,19,39
13,23,38,5,39
13,23,45,46,39
13,23,7,22,39
13,23,0,5,39
13,23,29,3,39
13,23,30,22,39
13,23,38,19,39
13,23,7,25,39
13,23,27,9,39
13,23,0,19,39
13,23,29,33,39
13,23,30,37,39
13,23,38,28,39
13,23,7,28,39
13,23,26,43,39
13,23,0,41,39
13,23,29,43,39
13,23,27,22,39
13,23,38,40,39
13,23,7,32,39
13,23,27,37,39
13,23,38,43,39
13,23,7,33,39
13,23,27,43,39
13,23,38,46,39
13,23,7,41,39
13,23,27,46,39
13,23,38,47,39
13,23,7,46,39
13,23,27,47,39
13,23,8,22,39
13,23,7,47,39
13,23,26,9,39
13,23,10,46,39
13,23,8,28,39
13,23,26,28,39
13,23,21,24,39
13,23,10,22,39
13,23,8,32,39
13,23,26,37,39
13,23,21,47,39
13,23,10,32,39
13,23,8,33,39
13,23,26,40,39
13,23,10,33,39
13,23,8,41,39
13,23,26,41,39
13,23,10,41,39
13,23,8,46,39
13,23,26,47,39
13,23,0,47,39
13,23,8,47,39
13,17,27,22,39
13,34,44,47,39
13,17,27,37,39
13,34,10,46,39
13,34,44,3,39
13,17,27,43,39
13,34,16,43,39
13,34,10,22,39
13,34,44,5,39
13,17,27,47,39
13,34,4,1,39
13,34,16,5,39
13,34,10,32,39
13,34,44,19,39
13,34,17,3,39
13,34,4,19,39
13,34,10,33,39
13,34,44,24,39
13,34,36,40,39
13,34,17,9,39
13,34,4,24,39
13,34,10,41,39
13,34,44,28,39
13,34,20,25,39
13,34,36,1,39
13,34,17,19,39
13,23,5,19,39
13,34,47,43,39
13,43,19,46,39
13,27,22,24,39
13,27,7,19,39
13,34,9,22,39
13,34,24,9,39
13,36,19,5,39
13,43,47,9,39
13,36,44,46,39
13,32,8,22,39
13,1,37,19,39
13,3,33,40,39
13,32,10,46,39
13,43,44,3,39
13,43,16,5,39
13,1,41,46,39
13,32,7,5,39
13,42,1,33,39
13,43,7,5,39
13,32,5,19,39
13,27,17,9,39
13,27,23,5,39
13,37,43,3,39
13,17,3,33,39
13,17,19,40,39
13,34,46,24,39
13,42,28,9,39
13,27,9,22,39
13,34,32,9,39
13,42,5,19,39
13,1,33,3,39
13,43,3,40,39
13,43,37,9,39
13,17,19,43,39
13,34,46,32,39
13,34,32,37,39
13,42,5,32,39
13,1,33,5,39
13,27,9,24,39
13,43,37,19,39
13,17,19,46,39
13,34,46,33,39
13,42,5,33,39
13,1,33,40,39
13,27,9,25,39
13,43,37,32,39
13,17,19,47,39
13,34,46,41,39
13,42,5,46,39
13,1,33,43,39
13,27,9,28,39
13,34,32,43,39
13,37,9,5,39
13,34,46,47,39
13,40,17,25,39
13,1,33,46,39
13,37,9,22,39
13,27,9,32,39
13,40,17,33,39
13,34,32,46,39
13,37,9,24,39
13,27,9,37,39
13,17,3,40,39
13,37,43,19,39
13,37,9,25,39
13,27,9,40,39
13,17,3,43,39
13,37,43,32,39
13,37,9,28,39
13,27,9,47,39
13,42,43,32,39
13,37,43,33,39
13,37,9,32,39
13,27,23,25,39
13,42,43,33,39
13,37,43,47,39
13,37,9,40,39
13,27,23,47,39
13,42,43,37,39
13,27,30,46,39
13,37,9,47,39
13,43,33,1,39
13,42,43,47,39
13,27,36,19,39
13,27,30,19,39
13,43,33,3,39
13,23,47,9,39
13,27,45,1,39
13,27,36,1,39
13,27,30,22,39
13,43,33,5,39
13,23,47,19,39
13,27,45,3,39
13,27,36,24,39
13,27,30,37,39
13,43,33,40,39
13,23,47,43,39
13,27,45,32,39
13,27,36,40,39
13,43,33,46,39
13,23,47,46,39
13,27,45,46,39
13,37,32,5,39
13,17,9,22,39
13,1,48,19,39
13,27,17,19,39
13,37,32,9,39
13,17,9,24,39
13,32,5,33,39
13,27,17,25,39
13,37,32,43,39
13,17,9,25,39
13,32,5,46,39
13,27,17,33,39
13,37,32,46,39
13,17,9,28,39
13,1,45,46,39
13,27,17,40,39
13,17,9,32,39
13,1,4,19,39
13,1,45,3,39
13,17,9,37,39
13,1,36,19,39
13,1,4,24,39
13,1,45,32,39
13,17,9,40,39
13,1,38,5,39
13,1,36,24,39
13,1,4,33,39
13,17,9,47,39
13,1,42,5,39
13,1,38,19,39
13,1,36,40,39
13,1,42,28,39
13,1,38,28,39
13,43,7,19,39
13,1,42,43,39
13,1,38,32,39
13,43,7,22,39
13,1,42,46,39
13,1,38,40,39
13,43,7,25,39
13,42,1,37,39
13,1,38,43,39
13,43,7,28,39
13,42,1,41,39
13,1,38,46,39
13,43,7,32,39
13,27,47,43,39
13,1,38,47,39
13,43,7,33,39
13,27,47,46,39
13,1,11,19,39
13,43,7,41,39
13,32,7,19,39
13,1,11,22,39
13,43,7,47,39
13,32,7,22,39
13,1,11,47,39
13,42,46,24,39
13,32,7,25,39
13,43,26,28,39
13,42,46,32,39
13,32,7,28,39
13,43,27,47,39
13,43,26,9,39
13,42,46,33,39
13,32,7,33,39
13,43,42,46,39
13,43,27,9,39
13,43,26,37,39
13,42,46,41,39
13,32,7,41,39
13,43,29,3,39
13,43,42,1,39
13,42,46,47,39
13,32,7,43,39
13,43,38,1,39
13,43,29,25,39
13,43,42,5,39
13,32,7,46,39
13,43,38,5,39
13,43,29,33,39
13,43,42,28,39
13,43,27,22,39
13,43,38,19,39
13,43,26,40,39
13,43,27,37,39
13,43,38,28,39
13,43,26,41,39
13,43,27,46,39
13,43,38,32,39
13,43,26,47,39
13,28,9,1,39
13,43,38,40,39
13,40,3,43,39
13,28,9,5,39
13,43,38,46,39
13,37,19,40,39
13,28,9,22,39
13,43,38,47,39
13,37,19,43,39
13,28,9,24,39
13,43,44,5,39
13,37,19,46,39
13,28,9,25,39
13,43,44,19,39
13,37,19,47,39
13,28,9,32,39
13,43,44,24,39
13,32,10,22,39
13,28,9,37,39
13,43,44,28,39
13,32,10,33,39
13,28,9,40,39
13,43,44,41,39
13,32,10,41,39
13,28,9,47,39
13,43,44,46,39
13,40,26,9,39
13,32,15,47,39
13,3,33,43,39
13,40,26,37,39
13,32,34,47,39
13,32,15,5,39
13,3,33,46,39
13,40,26,41,39
13,32,35,19,39
13,32,34,9,39
13,32,15,22,39
13,40,26,43,39
13,32,38,47,39
13,32,35,28,39
13,32,45,1,39
13,32,38,1,39
13,32,35,37,39
13,32,49,3,39
13,32,45,3,39
13,32,38,5,39
13,32,35,40,39
13,32,49,9,39
13,32,45,46,39
13,32,38,19,39
13,32,49,25,39
13,32,38,28,39
13,32,49,41,39
13,32,38,40,39
13,32,49,46,39
13,32,38,43,39
13,32,34,24,39
13,32,38,46,39
13,32,34,46,39
13,32,15,25,39
13,40,26,47,39
13,32,15,41,39
13,3,49,9,39
13,40,35,19,39
13,3,49,25,39
13,40,36,1,39
13,40,35,28,39
13,3,49,32,39
13,40,36,19,39
13,40,35,32,39
13,3,49,41,39
13,40,36,24,39
13,40,35,37,39
13,1,37,32,39
13,32,8,28,39
13,1,37,43,39
13,32,8,33,39
13,40,38,5,39
13,32,8,41,39
13,40,38,19,39
13,32,8,46,39
13,40,38,28,39
13,36,44,3,39
13,40,38,32,39
13,36,44,5,39
13,40,38,43,39
13,36,44,19,39
13,40,38,47,39
13,36,44,24,39
13,36,34,46,39
13,36,44,28,39
13,36,27,46,39
13,36,34,9,39
13,36,44,41,39
13,36,0,5,39
13,36,27,9,39
13,36,34,24,39
13,36,44,43,39
13,36,26,47,39
13,36,0,19,39
13,36,34,32,39
13,36,44,47,39
13,36,12,19,39
13,36,26,9,39
13,36,0,41,39
13,36,34,47,39
13,36,15,47,39
13,36,12,22,39
13,36,26,28,39
13,36,0,47,39
13,36,16,43,39
13,36,15,5,39
13,36,12,25,39
13,36,26,37,39
13,36,20,3,39
13,36,16,5,39
13,36,15,22,39
13,36,26,40,39
13,36,20,5,39
13,36,27,22,39
13,36,15,25,39
13,36,26,41,39
13,36,20,25,39
13,36,27,37,39
13,36,15,32,39
13,36,26,43,39
13,36,20,28,39
13,36,27,43,39
13,36,15,41,39
13,36,27,47,39
13,22,24,9,39
13,40,33,1,39
13,22,24,25,39
13,40,33,3,39
13,22,24,46,39
13,40,33,5,39
13,3,45,46,39
13,40,33,43,39
13,3,20,25,39
13,3,45,1,39
13,40,33,46,39
13,3,29,43,39
13,3,20,5,39
13,3,45,32,39
13,3,44,5,39
13,3,29,25,39
13,3,20,28,39
13,3,44,19,39
13,3,29,33,39
13,3,44,24,39
13,36,1,33,39
13,3,44,28,39
13,36,1,37,39
13,3,44,41,39
13,36,1,41,39
13,3,44,43,39
13,43,47,19,39
13,3,44,46,39
13,43,47,46,39
13,3,44,47,39
13,36,19,37,39
13,40,19,43,39
13,36,19,40,39
13,40,19,46,39
13,36,19,43,39
13,40,19,47,39
13,36,19,46,39
13,34,24,22,39
13,36,19,47,39
13,34,24,25,39
13,34,9,24,39
13,34,24,46,39
13,34,9,25,39
13,3,7,28,39
13,34,9,28,39
13,3,7,32,39
13,34,9,32,39
13,3,7,33,39
13,34,9,37,39
13,3,7,41,39
13,34,9,40,39
13,3,7,43,39
13,34,9,47,39
13,3,7,46,39
13,27,46,24,39
13,27,7,22,39
13,27,46,32,39
13,27,7,25,39
13,27,46,33,39
13,27,7,28,39
13,27,46,41,39
13,27,7,32,39
13,27,46,47,39
13,27,7,33,39
13,37,35,28,39
13,27,7,41,39
13,37,35,32,39
13,27,7,43,39
13,37,35,40,39
13,27,7,47,39
13,43,19,47,39
13,34,47,46,39
13,22,30,46,39
13,22,9,5,39
13,22,27,47,39
13,22,30,19,39
13,22,9,24,39
13,22,15,47,39
13,22,27,9,39
13,22,30,37,39
13,22,9,25,39
13,22,7,47,39
13,22,15,5,39
13,22,27,37,39
13,22,9,28,39
13,22,8,47,39
13,22,7,3,39
13,22,27,43,39
13,22,9,32,39
13,22,10,46,39
13,22,8,28,39
13,22,7,5,39
13,22,27,46,39
13,22,9,37,39
13,22,6,25,39
13,22,10,32,39
13,22,8,32,39
13,22,7,19,39
13,22,9,40,39
13,22,11,47,39
13,22,6,33,39
13,22,10,33,39
13,22,8,33,39
13,22,7,25,39
13,22,9,47,39
13,22,12,19,39
13,22,11,1,39
13,22,6,37,39
13,22,10,41,39
13,22,8,41,39
13,22,7,28,39
13,22,12,25,39
13,22,11,9,39
13,22,8,46,39
13,22,7,32,39
13,22,15,25,39
13,22,11,19,39
13,22,7,33,39
13,22,15,32,39
13,22,11,41,39
13,22,7,41,39
13,22,15,41,39
13,22,7,43,39
13,37,30,46,39
13,22,7,46,39
13,37,27,46,39
13,37,30,19,39
13,37,6,22,39
13,37,27,9,39
13,37,30,22,39
13,37,14,25,39
13,37,6,25,39
13,37,27,22,39
13,37,26,9,39
13,37,14,28,39
13,37,6,33,39
13,37,27,43,39
13,37,26,28,39
13,37,14,33,39
13,37,27,47,39
13,37,26,40,39
13,37,14,47,39
13,23,5,32,39
13,34,17,25,39
13,34,20,3,39
13,34,36,19,39
13,3,17,9,39
13,28,44,46,39
13,34,31,33,39
13,34,44,41,39
13,27,43,33,39
13,34,4,33,39
13,34,17,33,39
13,34,20,5,39
13,34,36,24,39
13,28,44,47,39
13,34,35,19,39
13,34,31,41,39
13,34,44,43,39
13,27,43,37,39
13,34,17,40,39
13,34,20,28,39
13,3,17,19,39
13,34,35,28,39
13,34,31,47,39
13,34,44,46,39
13,27,43,47,39
13,23,5,33,39
13,37,26,41,39
13,3,17,25,39
13,34,35,32,39
13,23,5,46,39
13,37,26,43,39
13,3,17,33,39
13,34,35,37,39
13,37,26,47,39
13,34,35,40,39
13,22,9,5,19,39
13,22,9,28,1,39
13,37,6,22,9,39
13,37,27,22,9,39
13,37,26,9,1,39
13,37,27,43,3,39
13,37,26,28,1,39
13,37,14,33,1,39
13,37,27,47,9,39
13,37,26,47,9,39
13,34,35,40,3,39
13,37,14,28,1,39
13,37,6,8,46,39
13,37,6,33,1,39
13,37,6,25,9,39
13,37,14,25,9,39
13,37,30,22,9,39
13,34,10,33,1,39
13,37,27,9,1,39
13,34,4,19,5,39
13,34,44,24,9,39
13,37,27,46,5,39
13,37,30,19,5,39
13,22,7,46,5,39
13,22,15,32,5,39
13,34,4,1,9,39
13,34,10,32,5,39
13,37,30,45,1,39
13,3,7,22,9,39
13,37,30,46,5,39
13,22,7,43,3,39
13,22,7,41,1,39
13,28,42,43,3,39
13,34,44,19,5,39
13,34,16,5,9,39
13,28,38,7,47,39
13,22,11,41,1,39
13,22,7,32,5,39
13,22,7,33,1,39
13,22,11,19,5,39
13,17,27,43,3,39
13,22,7,49,46,39
13,22,15,25,9,39
13,34,44,3,33,39
13,34,47,9,1,39
13,22,8,46,5,39
13,34,44,5,9,39
13,34,16,0,47,39
13,22,15,36,40,39
13,28,38,40,3,39
13,28,26,17,40,39
13,22,11,0,19,39
13,22,11,9,1,39
13,22,7,28,1,39
13,22,8,41,1,39
13,22,10,41,1,39
13,32,43,7,46,39
13,22,27,37,1,39
13,17,27,37,1,39
13,17,27,7,47,39
13,17,27,47,9,39
13,34,10,46,5,39
13,32,37,9,1,39
13,22,8,2,41,39
13,28,35,40,3,39
13,28,8,2,41,39
13,22,12,49,46,39
13,22,30,46,5,39
13,27,7,43,3,39
13,22,7,19,5,39
13,22,9,47,19,39
13,22,12,19,5,39
13,22,11,1,9,39
13,22,6,37,1,39
13,32,43,33,1,39
13,22,10,2,41,39
13,22,6,8,46,39
13,22,7,25,9,39
13,22,9,40,3,39
13,22,8,32,5,39
13,28,8,41,1,39
13,23,8,46,5,39
13,22,9,11,47,39
13,28,35,2,41,39
13,22,9,37,1,39
13,22,11,47,9,39
13,22,6,33,1,39
13,22,8,33,1,39
13,22,10,33,1,39
13,23,8,41,1,39
13,23,26,40,3,39
13,32,37,1,9,39
13,22,27,46,5,39
13,22,9,32,5,39
13,22,27,43,3,39
13,28,7,41,1,39
13,23,26,41,1,39
13,28,38,32,5,39
13,42,43,3,33,39
13,22,7,3,33,39
13,22,8,47,9,39
13,34,16,43,3,39
13,22,7,5,9,39
13,22,10,32,5,39
13,22,6,25,9,39
13,22,10,46,5,39
13,22,8,28,1,39
13,40,9,37,1,39
13,28,7,19,5,39
13,23,10,32,5,39
13,22,27,7,47,39
13,23,8,2,19,39
13,23,8,33,1,39
13,42,1,9,5,39
13,23,0,7,47,39
13,23,21,47,9,39
13,23,26,47,9,39
13,17,27,22,9,39
13,37,35,32,5,39
13,23,26,17,3,39
13,27,7,41,1,39
13,28,7,22,9,39
13,28,1,37,9,39
13,37,35,28,1,39
13,34,44,47,9,39
13,23,10,33,1,39
13,23,10,2,19,39
13,28,26,41,1,39
13,3,7,5,9,39
13,34,46,5,9,39
13,27,7,33,1,39
13,27,7,32,5,39
13,22,9,24,25,39
