14,0,36
14,12,36
14,20,36
14,0,16,36
14,2,16,36
14,20,26,36
14,2,19,36
14,20,34,36
14,12,16,36
14,11,0,36
14,0,19,36
14,11,1,36
14,12,19,36
14,11,19,36
14,18,20,36
14,25,20,36
14,18,15,36
14,28,44,36
14,25,12,36
14,18,24,36
14,25,15,36
14,29,44,36
14,25,24,36
14,33,1,36
14,29,15,36
14,37,1,36
14,33,40,36
14,28,1,36
14,47,0,36
14,37,13,36
14,28,13,36
14,48,0,36
14,47,15,36
14,28,20,36
14,48,1,36
14,47,19,36
14,28,26,36
14,48,12,36
14,47,26,36
14,37,19,36
14,47,27,36
14,37,26,36
14,47,34,36
14,37,27,36
14,47,44,36
14,48,19,36
14,37,19,0,36
14,47,27,13,36
14,37,26,20,36
14,47,34,13,36
14,47,44,19,36
14,48,19,0,36
14,25,24,34,36
14,25,12,16,36
14,47,44,24,36
14,48,19,12,36
14,25,24,44,36
14,25,12,19,36
14,25,6,12,36
14,47,34,16,36
14,37,26,40,36
14,11,1,13,36
14,47,27,16,36
14,37,19,12,36
14,47,26,20,36
14,29,15,16,36
14,11,0,16,36
14,48,6,12,36
14,47,7,0,36
14,12,49,26,36
14,37,6,12,36
14,0,48,12,36
14,33,1,13,36
14,29,44,19,36
14,25,15,16,36
14,18,6,12,36
14,11,19,0,36
14,0,16,12,36
14,2,16,0,36
14,48,0,16,36
14,48,1,13,36
14,48,0,19,36
14,47,19,0,36
14,48,12,16,36
14,47,19,12,36
14,48,12,19,36
14,47,19,40,36
14,37,27,13,36
14,47,19,44,36
14,37,27,16,36
14,0,16,15,36
14,2,16,12,36
14,0,16,27,36
14,2,16,15,36
14,0,16,34,36
14,2,16,27,36
14,28,2,16,36
14,2,16,34,36
14,28,7,0,36
14,28,2,19,36
14,28,8,44,36
14,28,7,16,36
14,28,9,1,36
14,28,8,20,36
14,28,7,19,36
14,28,35,19,36
14,28,9,24,36
14,28,7,27,36
14,28,38,12,36
14,28,35,20,36
14,11,19,12,36
14,18,6,15,36
14,28,20,26,36
14,47,15,16,36
14,18,10,34,36
14,18,15,16,36
14,29,44,24,36
14,28,13,1,36
14,18,24,34,36
14,28,44,19,36
14,0,48,1,36
14,0,47,34,36
14,12,19,0,36
14,37,6,15,36
14,37,9,1,36
14,25,20,26,36
14,18,20,26,36
14,12,49,20,36
14,12,22,13,36
14,12,16,0,36
14,47,7,16,36
14,47,8,44,36
14,20,26,40,36
14,28,1,13,36
14,37,13,1,36
14,28,26,20,36
14,48,6,15,36
14,37,13,27,36
14,28,26,40,36
14,48,8,44,36
14,37,13,34,36
14,47,9,1,36
14,48,31,44,36
14,48,8,20,36
14,37,13,40,36
14,47,11,0,36
14,47,9,24,36
14,48,47,0,36
14,48,31,12,36
14,47,48,19,36
14,47,11,1,36
14,47,9,26,36
14,48,47,15,36
14,48,31,15,36
14,47,23,26,36
14,47,48,0,36
14,47,9,27,36
14,48,47,19,36
14,48,31,26,36
14,47,21,24,36
14,48,31,34,36
14,47,31,12,36
14,47,23,0,36
14,47,38,12,36
14,47,31,15,36
14,47,23,13,36
14,47,39,13,36
14,47,38,1,36
14,47,31,26,36
14,47,23,27,36
14,47,43,44,36
14,47,39,1,36
14,47,38,16,36
14,47,31,34,36
14,47,46,19,36
14,47,43,13,36
14,47,39,19,36
14,47,38,19,36
14,47,31,44,36
14,47,46,24,36
14,47,43,16,36
14,47,39,24,36
14,47,38,40,36
14,47,46,27,36
14,47,43,19,36
14,47,39,40,36
14,47,46,34,36
14,47,43,26,36
14,47,46,44,36
14,47,43,27,36
14,47,48,1,36
14,47,9,34,36
14,47,48,12,36
14,47,9,40,36
14,48,47,26,36
14,47,11,19,36
14,48,47,27,36
14,47,8,20,36
14,48,47,34,36
14,47,7,19,36
14,48,47,44,36
14,47,7,27,36
14,12,16,15,36
14,47,0,16,36
14,12,16,27,36
14,47,0,19,36
14,12,16,34,36
14,11,0,19,36
14,12,22,15,36
14,12,6,15,36
14,12,22,24,36
14,12,25,15,36
14,12,22,27,36
14,12,30,16,36
14,12,25,20,36
14,12,31,26,36
14,12,30,19,36
14,18,20,34,36
14,33,40,13,36
14,2,19,0,36
14,47,26,40,36
14,25,20,34,36
14,37,9,24,36
14,37,19,40,36
14,37,30,12,36
14,20,34,13,36
14,0,47,15,36
14,12,19,40,36
14,0,48,19,36
14,0,5,15,36
14,0,19,12,36
14,2,4,44,36
14,33,3,44,36
14,18,24,44,36
14,28,44,24,36
14,47,34,20,36
14,28,13,27,36
14,29,44,34,36
14,37,1,13,36
14,25,6,15,36
14,28,44,34,36
14,47,34,24,36
14,28,13,34,36
14,33,4,44,36
14,33,3,13,36
14,47,34,44,36
14,28,13,40,36
14,33,5,0,36
14,33,4,1,36
14,33,3,20,36
14,18,10,15,36
14,33,6,12,36
14,33,5,15,36
14,33,4,15,36
14,33,3,40,36
14,33,7,0,36
14,33,6,15,36
14,33,5,16,36
14,33,4,19,36
14,33,8,44,36
14,33,7,16,36
14,33,5,19,36
14,33,4,24,36
14,33,10,34,36
14,33,8,20,36
14,33,7,19,36
14,33,5,20,36
14,33,4,34,36
14,33,17,40,36
14,33,10,15,36
14,33,7,27,36
14,33,29,44,36
14,33,17,0,36
14,33,5,44,36
14,33,31,15,36
14,33,29,15,36
14,33,17,13,36
14,33,39,13,36
14,33,31,12,36
14,33,17,15,36
14,33,43,19,36
14,33,39,1,36
14,33,31,26,36
14,33,17,16,36
14,33,46,19,36
14,33,43,13,36
14,33,39,19,36
14,33,31,34,36
14,33,17,19,36
14,33,46,24,36
14,33,43,16,36
14,33,39,24,36
14,33,31,44,36
14,33,17,20,36
14,33,46,27,36
14,33,43,26,36
14,33,39,40,36
14,33,17,26,36
14,33,46,34,36
14,33,43,27,36
14,33,17,27,36
14,33,46,44,36
14,33,43,44,36
14,33,17,34,36
14,2,4,1,36
14,2,8,44,36
14,25,7,0,36
14,2,4,15,36
14,2,10,34,36
14,2,8,20,36
14,25,9,1,36
14,25,7,16,36
14,2,4,19,36
14,2,11,0,36
14,2,10,15,36
14,25,17,40,36
14,25,9,24,36
14,25,7,19,36
14,2,4,24,36
14,2,11,1,36
14,2,41,15,36
14,25,49,20,36
14,2,35,34,36
14,2,41,0,36
14,25,39,24,36
14,25,49,12,36
14,2,23,13,36
14,2,35,19,36
14,2,41,1,36
14,25,23,0,36
14,25,39,1,36
14,25,49,26,36
14,2,28,1,36
14,2,23,0,36
14,2,35,20,36
14,25,39,13,36
14,2,41,26,36
14,2,29,15,36
14,2,28,13,36
14,2,23,26,36
14,2,35,40,36
14,25,39,19,36
14,2,41,44,36
14,2,29,44,36
14,2,28,20,36
14,2,23,27,36
14,2,35,44,36
14,25,39,40,36
14,25,29,15,36
14,2,28,26,36
14,25,23,13,36
14,25,29,44,36
