14,2,8,45
14,0,16,45
14,2,4,45
14,11,1,45
14,0,7,45
14,12,49,45
14,11,35,45
14,2,16,45
14,12,6,45
14,2,23,45
14,12,16,45
14,2,35,45
14,12,30,45
14,0,23,45
14,18,30,45
14,12,42,45
14,20,49,45
14,18,6,45
14,25,49,45
14,18,42,45
14,28,1,45
14,25,6,45
14,29,3,45
14,28,7,45
14,25,7,45
14,33,1,45
14,20,3,45
14,29,4,45
14,28,8,45
14,33,3,45
14,20,8,45
14,29,6,45
14,33,4,45
14,20,30,45
14,29,23,45
14,33,6,45
14,20,35,45
14,29,35,45
14,33,7,45
14,28,35,45
14,33,8,45
14,28,42,45
14,33,46,45
14,25,23,45
14,37,1,45
14,47,8,45
14,37,6,45
14,48,1,45
14,47,7,45
14,37,27,45
14,48,6,45
14,47,23,45
14,37,30,45
14,48,8,45
14,47,27,45
14,37,32,45
14,47,46,45
14,37,35,45
14,37,1,4,45
14,48,1,4,45
14,47,7,3,45
14,48,6,4,45
14,47,23,6,45
14,47,46,7,45
14,37,35,7,45
14,37,27,7,45
14,37,6,4,45
14,47,8,6,45
14,25,6,4,45
14,25,23,6,45
14,28,7,3,45
14,33,8,6,45
14,18,6,4,45
14,28,35,7,45
14,12,16,7,45
14,2,23,6,45
14,33,7,3,45
14,29,3,7,45
14,11,1,4,45
14,18,10,23,45
14,25,9,1,45
14,25,49,3,45
14,33,5,16,45
14,28,2,8,45
14,28,1,4,45
14,18,42,1,45
14,12,6,4,45
14,0,7,3,45
14,28,2,4,45
14,28,1,42,45
14,18,42,4,45
14,0,7,8,45
14,28,2,16,45
14,12,6,8,45
14,18,42,35,45
14,0,7,16,45
14,28,2,23,45
14,12,6,23,45
14,0,7,23,45
14,28,2,35,45
14,18,42,46,45
14,0,7,27,45
14,2,16,7,45
14,0,16,7,45
14,0,7,32,45
14,2,16,27,45
14,0,16,27,45
14,0,7,35,45
14,2,16,30,45
14,0,16,30,45
14,0,7,46,45
14,28,9,1,45
14,33,5,7,45
14,0,7,49,45
14,29,2,8,45
14,33,10,23,45
14,25,49,4,45
14,20,5,16,45
14,33,46,7,45
14,48,8,6,45
14,47,27,7,45
14,37,32,7,45
14,25,9,27,45
14,25,12,49,45
14,33,6,4,45
14,18,10,4,45
14,18,15,16,45
14,33,4,1,45
14,29,6,4,45
14,11,1,42,45
14,29,3,49,45
14,12,42,1,45
14,33,7,8,45
14,2,23,7,45
14,33,3,7,45
14,20,49,3,45
14,18,30,8,45
14,12,16,27,45
14,28,35,32,45
14,12,19,4,45
14,18,6,8,45
14,33,8,7,45
14,0,23,6,45
14,11,0,16,45
14,28,7,8,45
14,25,23,7,45
14,18,6,23,45
14,33,8,23,45
14,11,0,7,45
14,28,7,16,45
14,25,23,8,45
14,0,23,7,45
14,33,8,30,45
14,11,0,23,45
14,28,7,23,45
14,0,23,8,45
14,33,8,32,45
14,25,23,27,45
14,28,7,27,45
14,0,23,27,45
14,33,8,46,45
14,25,23,30,45
14,28,7,32,45
14,0,23,30,45
14,33,8,49,45
14,25,23,49,45
14,28,7,35,45
14,0,23,49,45
14,11,2,8,45
14,12,49,3,45
14,11,9,1,45
14,11,2,4,45
14,12,49,4,45
14,11,19,4,45
14,11,9,27,45
14,11,2,16,45
14,12,49,7,45
14,11,22,8,45
14,11,19,7,45
14,11,9,32,45
14,11,2,23,45
14,12,49,8,45
14,11,41,1,45
14,11,9,49,45
14,11,2,35,45
14,12,49,23,45
14,11,47,8,45
14,11,41,7,45
14,11,22,6,45
14,12,49,32,45
14,11,47,7,45
14,11,41,8,45
14,11,22,7,45
14,12,49,46,45
14,11,47,23,45
14,11,41,46,45
14,11,22,27,45
14,11,47,27,45
14,11,41,49,45
14,11,22,30,45
14,11,47,46,45
14,11,19,30,45
14,28,7,46,45
14,11,19,35,45
14,28,7,49,45
14,11,19,46,45
14,25,6,8,45
14,12,19,7,45
14,25,6,23,45
14,12,19,30,45
14,12,22,8,45
14,12,19,35,45
14,12,25,49,45
14,12,22,6,45
14,12,19,46,45
14,12,31,8,45
14,12,25,6,45
14,12,22,7,45
14,12,36,1,45
14,12,31,42,45
14,12,25,7,45
14,12,22,27,45
14,12,38,1,45
14,12,36,16,45
14,12,25,23,45
14,12,22,30,45
14,47,8,7,45
14,28,35,42,45
14,12,16,30,45
14,29,23,6,45
14,28,8,6,45
14,28,42,1,45
14,37,30,8,45
14,37,6,8,45
14,18,30,16,45
14,20,49,4,45
14,37,27,16,45
14,33,3,49,45
14,2,23,8,45
14,29,4,1,45
14,37,35,32,45
14,33,7,16,45
14,12,42,4,45
14,47,46,8,45
14,12,30,8,45
14,2,35,7,45
14,47,23,7,45
14,29,6,8,45
14,33,4,6,45
14,48,6,8,45
14,18,15,4,45
14,18,17,3,45
14,0,5,16,45
14,47,7,8,45
14,18,10,32,45
14,33,6,8,45
14,48,1,42,45
14,25,12,6,45
14,25,15,16,45
14,0,11,1,45
14,0,5,7,45
14,47,7,16,45
14,33,6,23,45
14,18,10,35,45
14,25,15,4,45
14,0,17,3,45
14,0,11,35,45
14,0,5,23,45
14,47,7,23,45
14,18,10,46,45
14,0,19,4,45
14,0,17,6,45
14,0,5,32,45
14,47,7,27,45
14,25,15,6,45
14,0,36,1,45
14,0,19,7,45
14,0,17,8,45
14,0,5,42,45
14,47,7,32,45
14,25,15,32,45
14,0,5,46,45
14,47,7,35,45
14,0,41,1,45
14,0,36,16,45
14,47,7,46,45
14,0,47,8,45
14,0,41,7,45
14,0,36,27,45
14,47,7,49,45
14,0,48,1,45
14,0,47,7,45
14,0,41,8,45
14,0,48,6,45
14,0,47,23,45
14,0,41,46,45
14,0,48,8,45
14,0,47,27,45
14,0,41,49,45
14,0,19,30,45
14,0,47,46,45
14,0,17,16,45
