15,6,8,28
15,4,1,28
15,5,44,28
15,4,2,28
15,5,7,28
15,4,42,28
15,10,2,28
15,5,9,28
15,4,44,28
15,5,20,28
15,16,2,28
15,5,38,28
15,17,13,28
15,10,35,28
15,16,7,28
15,5,39,28
15,18,14,28
15,16,38,28
15,18,20,28
15,5,42,28
15,18,42,28
15,22,13,28
15,17,8,28
15,25,14,28
15,22,7,28
15,17,9,28
15,29,44,28
15,25,7,28
15,22,8,28
15,17,20,28
15,31,44,28
15,29,2,28
15,17,26,28
15,32,13,28
15,31,8,28
15,29,14,28
15,36,1,28
15,29,35,28
15,41,1,28
15,36,13,28
15,47,44,28
15,41,2,28
15,36,20,28
15,47,7,28
15,41,7,28
15,36,26,28
15,47,8,28
15,41,8,28
15,36,44,28
15,47,9,28
15,41,26,28
15,32,7,28
15,31,26,28
15,25,9,28
15,22,9,28
15,47,14,28
15,41,39,28
15,32,8,28
15,25,20,28
15,22,39,28
15,47,26,28
15,32,9,28
15,25,39,28
15,41,44,28
15,47,38,28
15,32,35,28
15,31,42,28
15,47,39,28
15,32,38,28
15,32,39,28
15,36,26,9,28
15,47,8,2,28
15,36,0,14,28
15,36,44,8,28
15,47,39,1,28
15,32,38,1,28
15,32,39,1,28
15,41,8,2,28
15,41,7,8,28
15,47,7,8,28
15,22,13,1,28
15,41,2,8,28
15,29,35,2,28
15,29,14,2,28
15,5,20,8,28
15,25,14,2,28
15,18,14,2,28
15,18,6,8,28
15,17,8,2,28
15,36,1,9,28
15,41,1,9,28
15,47,44,8,28
15,36,13,1,28
15,4,2,8,28
15,5,0,14,28
15,36,1,13,28
15,47,44,35,28
15,5,0,7,28
15,36,1,38,28
15,36,13,39,28
15,4,2,14,28
15,36,1,39,28
15,36,13,42,28
15,4,2,35,28
15,36,1,42,28
15,5,16,2,28
15,41,1,13,28
15,4,6,8,28
15,5,19,44,28
15,5,16,7,28
15,41,1,38,28
15,4,10,2,28
15,17,8,7,28
15,18,20,8,28
15,16,2,8,28
15,29,3,44,28
15,18,10,2,28
15,18,14,20,28
15,16,0,14,28
15,25,14,20,28
15,5,20,14,28
15,5,9,1,28
15,6,4,1,28
15,29,14,20,28
15,29,35,7,28
15,5,44,8,28
15,41,2,14,28
15,22,13,39,28
15,36,20,8,28
15,17,26,9,28
15,47,9,1,28
15,32,35,2,28
15,31,42,1,28
15,47,7,35,28
15,41,7,35,28
15,32,13,1,28
15,41,8,7,28
15,32,39,9,28
15,17,20,8,28
15,5,39,1,28
15,32,38,7,28
15,47,39,9,28
15,17,0,14,28
15,36,44,35,28
15,36,0,7,28
15,31,8,2,28
15,6,8,2,28
15,29,2,8,28
15,36,12,14,28
15,47,8,7,28
15,31,44,8,28
15,31,8,7,28
15,36,12,38,28
15,47,8,20,28
15,31,44,35,28
15,31,8,20,28
15,36,12,42,28
15,47,8,44,28
15,6,8,7,28
15,31,8,44,28
15,29,2,14,28
15,36,16,2,28
15,6,8,20,28
15,36,26,20,28
15,29,2,35,28
15,36,19,44,28
15,36,16,7,28
15,36,24,44,28
15,36,19,2,28
15,36,16,38,28
15,36,27,13,28
15,36,24,9,28
15,36,19,7,28
15,36,34,44,28
15,36,27,7,28
15,36,24,39,28
15,36,19,35,28
15,36,40,13,28
15,36,34,9,28
15,36,27,9,28
15,36,19,38,28
15,36,40,9,28
15,36,34,13,28
15,36,19,39,28
15,36,40,26,28
15,36,34,20,28
15,36,40,35,28
