15,4,34
15,10,34
15,16,34
15,17,34
15,31,34
15,32,34
15,36,34
15,47,34
15,17,9,34
15,31,44,34
15,36,13,34
15,47,9,34
15,32,9,34
15,47,31,34
15,32,10,34
15,47,44,34
15,32,13,34
15,16,17,34
15,4,10,34
15,36,16,34
15,31,47,34
15,10,4,34
15,36,20,34
15,17,13,34
15,10,32,34
15,17,16,34
15,10,35,34
15,17,20,34
15,10,46,34
15,36,24,34
15,4,24,34
15,36,44,34
15,4,44,34
15,16,36,34
15,5,9,34
15,32,35,34
15,47,46,34
15,6,4,34
15,5,16,34
15,32,46,34
15,6,17,34
15,5,20,34
15,18,17,34
15,5,32,34
15,22,9,34
15,18,10,34
15,25,9,34
15,22,10,34
15,18,20,34
15,29,4,34
15,25,17,34
15,22,13,34
15,29,35,34
15,25,20,34
15,22,24,34
15,29,44,34
15,25,24,34
15,18,24,34
15,41,31,34
15,5,44,34
15,18,31,34
15,41,10,34
15,5,46,34
15,41,44,34
15,41,46,34
15,29,35,10,34
15,25,20,17,34
15,25,6,4,34
15,25,24,4,34
15,5,46,10,34
15,41,44,4,34
15,41,46,10,34
15,29,2,4,34
15,22,13,17,34
15,22,6,4,34
15,36,24,4,34
15,29,4,10,34
15,4,24,9,34
15,10,35,20,34
15,10,2,4,34
15,17,16,36,34
15,47,31,44,34
15,17,0,47,34
15,25,9,17,34
15,22,10,4,34
15,22,24,4,34
15,29,44,4,34
15,18,20,17,34
15,18,10,4,34
15,22,9,17,34
15,17,9,24,34
15,32,9,17,34
15,32,10,4,34
15,10,32,9,34
15,36,13,17,34
15,18,10,32,34
15,32,10,35,34
15,10,32,13,34
15,36,13,32,34
15,18,10,35,34
15,32,10,46,34
15,10,32,35,34
15,17,9,32,34
15,18,10,46,34
15,10,32,46,34
15,17,9,47,34
15,32,9,24,34
15,22,9,24,34
15,17,13,32,34
15,32,9,47,34
15,22,9,32,34
15,17,13,36,34
15,47,9,17,34
15,22,9,47,34
15,18,20,35,34
