17,0,48
17,6,48
17,8,48
17,19,48
17,0,14,48
17,8,6,48
17,19,0,48
17,8,31,48
17,19,12,48
17,6,8,48
17,0,19,48
17,9,47,48
17,6,12,48
17,13,1,48
17,9,1,48
17,15,47,48
17,0,47,48
17,19,47,48
17,8,47,48
17,16,0,48
17,15,6,48
17,16,12,48
17,15,31,48
17,18,14,48
17,20,14,48
17,18,6,48
17,25,14,48
17,20,8,48
17,18,31,48
17,26,47,48
17,25,6,48
17,27,47,48
17,26,31,48
17,25,12,48
17,33,1,48
17,34,47,48
17,33,6,48
17,40,19,48
17,33,8,48
17,34,31,48
17,33,14,48
17,33,31,48
17,18,6,8,48
17,33,6,8,48
17,33,8,6,48
17,34,31,8,48
17,33,14,0,48
17,33,31,8,48
17,16,0,14,48
17,15,6,8,48
17,34,31,12,48
17,33,31,12,48
17,16,0,19,48
17,15,6,12,48
17,34,31,47,48
17,33,14,12,48
17,15,31,8,48
17,33,8,31,48
17,33,6,12,48
17,25,12,6,48
17,20,14,0,48
17,15,4,1,48
17,18,6,12,48
17,33,4,1,48
17,9,47,0,48
17,16,2,14,48
17,34,4,1,48
17,18,14,0,48
17,6,4,1,48
17,0,14,12,48
17,40,9,47,48
17,19,0,14,48
17,3,49,8,48
17,8,6,12,48
17,6,12,14,48
17,16,12,6,48
17,26,31,8,48
17,34,47,0,48
17,26,31,12,48
17,34,47,8,48
17,26,31,47,48
17,34,47,14,48
17,40,19,0,48
17,34,47,19,48
17,40,19,12,48
17,34,47,31,48
17,40,19,47,48
17,3,49,12,48
17,6,12,19,48
17,16,12,14,48
17,6,12,31,48
17,16,12,19,48
17,18,31,8,48
17,16,12,31,48
17,18,31,12,48
17,27,47,0,48
17,18,31,47,48
17,27,47,8,48
17,3,7,0,48
17,27,47,14,48
17,3,13,1,48
17,3,7,8,48
17,27,47,19,48
17,3,20,8,48
17,3,7,19,48
17,27,47,31,48
17,3,29,6,48
17,3,20,14,48
17,3,7,47,48
17,19,0,47,48
17,8,47,0,48
17,40,9,1,48
17,40,13,1,48
17,8,2,14,48
17,19,2,14,48
17,25,7,0,48
17,0,14,47,48
17,6,4,19,48
17,26,9,47,48
17,6,15,47,48
17,18,14,12,48
17,6,8,31,48
17,27,7,0,48
17,34,4,6,48
17,34,9,47,48
17,0,41,31,48
17,16,2,8,48
17,16,5,0,48
17,0,19,12,48
17,0,47,8,48
17,16,7,0,48
17,16,5,19,48
17,0,19,47,48
17,0,47,14,48
17,16,15,47,48
17,16,7,8,48
17,0,47,19,48
17,16,27,47,48
17,16,15,6,48
17,16,7,19,48
17,0,47,31,48
17,16,30,8,48
17,16,15,31,48
17,16,7,47,48
17,16,34,47,48
17,16,30,12,48
17,20,8,6,48
17,16,36,12,48
17,16,34,31,48
17,16,30,19,48
17,20,8,31,48
17,16,38,12,48
17,16,36,0,48
17,16,38,1,48
17,16,36,1,48
17,16,38,19,48
17,16,36,19,48
17,16,38,47,48
17,20,8,47,48
17,16,43,47,48
17,25,6,8,48
17,16,45,1,48
17,16,43,19,48
17,25,6,12,48
17,16,45,6,48
17,9,47,8,48
17,16,45,8,48
17,9,47,14,48
17,0,41,1,48
17,9,47,19,48
17,0,41,8,48
17,9,47,31,48
17,16,2,19,48
17,33,4,6,48
17,0,5,19,48
17,33,4,19,48
17,0,7,47,48
17,34,9,1,48
17,0,11,47,48
17,0,7,8,48
17,0,16,12,48
17,0,11,1,48
17,0,7,19,48
17,0,23,8,48
17,0,11,14,48
17,0,36,1,48
17,0,23,6,48
17,0,11,19,48
17,0,36,12,48
17,0,23,47,48
17,0,36,19,48
17,26,47,0,48
17,33,5,0,48
17,26,47,8,48
17,33,7,0,48
17,33,5,19,48
17,26,47,14,48
17,33,29,6,48
17,33,7,8,48
17,26,47,19,48
17,33,39,47,48
17,33,29,14,48
17,33,7,19,48
17,26,47,31,48
17,33,40,19,48
17,33,39,1,48
17,33,7,47,48
17,33,43,19,48
17,34,13,1,48
17,34,4,19,48
17,27,9,47,48
17,27,7,8,48
17,19,47,0,48
17,19,12,6,48
17,15,4,6,48
17,6,8,47,48
17,18,14,47,48
17,15,5,0,48
17,6,15,31,48
17,6,22,12,48
17,18,15,47,48
17,20,14,12,48
17,26,9,1,48
17,26,23,47,48
17,25,12,14,48
17,8,31,12,48
17,25,14,0,48
17,20,5,0,48
17,25,9,47,48
17,25,7,8,48
17,33,8,47,48
17,19,2,8,48
17,25,15,47,48
17,25,9,1,48
17,25,7,19,48
17,8,31,47,48
17,25,20,8,48
17,25,15,6,48
17,25,7,47,48
17,25,14,12,48
17,25,23,47,48
17,25,20,14,48
17,25,15,31,48
17,25,14,47,48
17,25,29,6,48
17,25,23,0,48
17,20,49,12,48
17,20,5,19,48
17,25,39,19,48
17,25,29,14,48
17,25,23,6,48
17,20,36,19,48
17,20,49,8,48
17,25,49,8,48
17,25,39,1,48
17,25,23,8,48
17,25,49,12,48
17,25,39,47,48
17,20,18,6,48
17,20,36,0,48
17,26,23,0,48
17,20,25,6,48
17,20,18,14,48
17,20,36,1,48
17,26,23,6,48
17,20,26,31,48
17,20,25,12,48
17,20,18,31,48
17,20,36,12,48
17,26,23,8,48
17,20,28,8,48
17,20,26,47,48
17,20,25,14,48
17,20,30,19,48
17,20,28,1,48
17,25,12,19,48
17,20,34,31,48
17,20,30,8,48
17,20,28,14,48
17,25,12,31,48
17,20,35,19,48
17,20,30,12,48
17,20,34,47,48
17,19,4,1,48
17,26,28,1,48
17,33,14,47,48
17,19,5,0,48
17,19,4,6,48
17,26,20,8,48
17,26,28,8,48
17,19,7,0,48
17,26,36,0,48
17,26,20,14,48
17,26,28,14,48
17,19,11,0,48
17,19,7,8,48
17,26,37,6,48
17,26,36,1,48
17,19,46,47,48
17,19,11,1,48
17,19,7,47,48
17,19,11,14,48
17,26,40,19,48
17,19,11,47,48
17,26,41,8,48
17,26,37,1,48
17,26,43,19,48
17,26,41,0,48
17,26,37,14,48
17,26,49,8,48
17,26,43,47,48
17,26,41,1,48
17,26,37,19,48
17,26,49,12,48
17,26,41,31,48
17,26,36,12,48
17,19,44,47,48
17,26,36,19,48
17,19,43,47,48
17,19,44,8,48
17,19,30,8,48
17,19,44,31,48
17,19,36,1,48
17,19,30,12,48
17,19,37,6,48
17,19,36,0,48
17,19,38,12,48
17,19,37,1,48
17,19,36,12,48
17,19,39,1,48
17,19,38,1,48
17,19,37,14,48
17,19,39,47,48
17,19,38,47,48
17,19,46,8,48
17,15,31,12,48
17,8,2,19,48
17,15,31,47,48
17,20,14,47,48
17,18,15,6,48
17,8,7,0,48
17,18,15,31,48
17,8,49,12,48
17,8,7,19,48
17,8,46,47,48
17,8,7,47,48
17,8,22,12,48
17,8,46,19,48
17,8,23,47,48
17,8,22,6,48
17,8,41,0,48
17,8,23,0,48
17,8,20,14,48
17,8,41,1,48
17,8,23,6,48
17,8,28,1,48
17,8,41,31,48
17,8,30,19,48
17,8,28,14,48
17,8,33,14,48
17,8,30,12,48
17,8,45,1,48
17,8,33,1,48
17,8,44,19,48
17,8,45,6,48
17,8,33,6,48
17,8,44,31,48
17,8,33,31,48
17,8,44,47,48
17,18,20,8,48
17,6,22,8,48
17,18,21,47,48
17,18,20,14,48
17,18,29,6,48
17,40,38,12,48
17,18,30,19,48
17,18,29,14,48
17,40,26,31,48
17,40,38,1,48
17,18,42,1,48
17,18,30,8,48
17,40,33,6,48
17,40,26,47,48
17,40,38,19,48
17,18,42,12,48
17,18,30,12,48
17,40,33,1,48
17,40,35,19,48
17,40,38,47,48
17,18,42,31,48
17,40,33,8,48
17,40,36,19,48
17,40,33,14,48
17,40,39,1,48
17,40,36,0,48
17,40,33,31,48
17,40,39,19,48
17,6,18,14,48
17,15,16,0,48
17,15,5,19,48
17,15,47,0,48
17,9,5,0,48
17,8,47,14,48
17,19,12,14,48
17,15,4,19,48
17,27,13,1,48
17,27,7,19,48
17,19,47,8,48
17,27,9,1,48
17,13,43,19,48
17,16,0,47,48
17,19,12,31,48
17,27,7,47,48
17,19,47,14,48
17,3,29,14,48
17,13,42,31,48
17,13,43,47,48
17,27,16,0,48
17,34,16,0,48
17,19,47,31,48
17,8,47,19,48
17,13,34,47,48
17,13,42,1,48
17,34,16,12,48
