18,29,43
18,42,43
18,29,3,43
18,6,29,43
18,29,33,43
18,42,13,43
18,29,44,43
18,6,33,43
18,10,32,43
18,6,37,43
18,14,47,43
18,10,33,43
18,15,47,43
18,14,29,43
18,17,3,43
18,15,16,43
18,14,33,43
18,17,13,43
18,15,29,43
18,14,37,43
18,15,32,43
18,17,16,43
18,20,3,43
18,17,19,43
18,21,47,43
18,20,26,43
18,17,26,43
18,24,39,43
18,21,7,43
18,17,27,43
18,30,27,43
18,24,44,43
18,21,29,43
18,30,16,43
18,17,33,43
18,31,47,43
18,30,19,43
18,31,26,43
18,30,37,43
18,31,33,43
18,31,42,43
18,31,44,43
18,17,16,7,43
18,20,26,37,43
18,30,37,13,43
18,31,33,3,43
18,31,42,13,43
18,31,44,3,43
18,17,19,7,43
18,10,33,3,43
18,15,29,3,43
18,14,47,7,43
18,31,44,19,43
18,17,19,37,43
18,15,29,33,43
18,14,47,19,43
18,31,44,29,43
18,17,19,38,43
18,10,33,7,43
18,21,47,7,43
18,42,1,13,43
18,29,33,3,43
18,31,33,7,43
18,30,37,19,43
18,15,4,29,43
18,20,26,47,43
18,17,16,27,43
18,20,3,7,43
18,10,2,29,43
18,31,8,47,43
18,14,0,47,43
18,29,3,7,43
18,6,4,29,43
18,30,8,47,43
18,15,32,7,43
18,30,27,7,43
18,17,33,3,43
18,31,47,7,43
18,31,26,37,43
18,30,19,7,43
18,30,27,13,43
18,30,19,37,43
18,30,27,16,43
18,30,19,38,43
18,30,27,37,43
18,30,19,39,43
18,30,27,47,43
18,30,19,44,43
18,17,33,7,43
18,30,19,47,43
18,17,33,29,43
18,31,47,19,43
18,17,33,39,43
18,31,47,26,43
18,31,26,47,43
18,31,47,27,43
18,30,16,7,43
18,31,47,38,43
18,30,16,27,43
18,31,47,39,43
18,30,16,38,43
18,31,47,44,43
18,14,33,3,43
18,15,32,13,43
18,14,33,7,43
18,15,32,37,43
18,14,33,29,43
18,15,32,38,43
18,14,33,39,43
18,15,32,39,43
18,30,8,7,43
18,17,0,47,43
18,30,8,32,43
18,30,12,38,43
18,6,4,19,43
18,17,13,3,43
18,15,16,7,43
18,10,32,7,43
18,6,8,47,43
18,29,3,13,43
18,21,23,7,43
18,14,0,7,43
18,14,2,29,43
18,6,37,13,43
18,24,4,29,43
18,31,8,7,43
18,31,12,38,43
18,6,33,3,43
18,10,2,16,43
18,10,4,29,43
18,24,39,3,43
18,21,7,3,43
18,24,44,3,43
18,21,29,3,43
18,20,3,13,43
18,17,16,38,43
18,17,27,7,43
18,21,7,16,43
18,24,44,19,43
18,17,27,13,43
18,21,7,19,43
18,24,44,29,43
18,17,27,16,43
18,21,7,27,43
18,24,44,47,43
18,17,27,37,43
18,21,7,32,43
18,21,29,33,43
18,17,27,47,43
18,21,7,33,43
18,21,29,44,43
18,20,3,29,43
18,21,7,38,43
18,10,4,19,43
18,20,3,33,43
18,21,7,47,43
18,10,4,33,43
18,20,3,39,43
18,24,39,13,43
18,10,4,42,43
18,20,3,44,43
18,24,39,19,43
18,10,4,44,43
18,15,4,19,43
18,24,39,32,43
18,10,15,47,43
18,15,4,33,43
18,24,39,33,43
18,15,4,42,43
18,24,39,37,43
18,15,4,44,43
18,24,39,47,43
18,10,22,39,43
18,10,15,16,43
18,10,46,44,43
18,10,22,7,43
18,10,15,29,43
18,10,23,7,43
18,10,46,7,43
18,10,22,13,43
18,10,15,32,43
18,10,34,16,43
18,10,23,13,43
18,10,22,27,43
18,10,46,19,43
18,10,35,29,43
18,10,34,13,43
18,10,23,26,43
18,10,46,27,43
18,10,41,7,43
18,10,35,7,43
18,10,34,32,43
18,10,23,27,43
18,10,46,32,43
18,10,41,26,43
18,10,35,19,43
18,10,46,33,43
18,10,41,39,43
18,10,35,32,43
18,10,46,38,43
18,10,41,44,43
18,10,35,37,43
18,10,46,39,43
18,10,34,44,43
18,10,35,42,43
18,10,46,42,43
18,10,34,47,43
18,10,35,44,43
18,10,46,47,43
18,10,23,29,43
18,10,2,19,43
18,10,23,38,43
18,17,26,37,43
18,10,23,47,43
18,17,26,47,43
18,14,37,13,43
18,15,5,7,43
18,14,37,19,43
18,15,6,29,43
18,15,5,16,43
18,14,37,26,43
18,15,10,32,43
18,15,6,33,43
18,15,5,19,43
18,14,37,27,43
18,15,17,3,43
18,15,10,33,43
18,6,33,7,43
18,31,12,16,43
18,30,37,26,43
18,31,15,47,43
18,31,8,32,43
18,14,29,3,43
18,31,33,29,43
18,24,4,19,43
18,24,9,47,43
18,29,33,7,43
18,6,37,19,43
18,14,2,16,43
18,15,47,7,43
18,17,3,7,43
18,42,13,3,43
18,42,1,33,43
18,14,11,47,43
18,14,0,16,43
18,42,4,29,43
18,21,23,13,43
18,21,24,39,43
18,6,29,3,43
18,14,12,38,43
18,14,11,19,43
18,14,0,19,43
18,6,29,33,43
18,14,20,26,43
18,14,12,16,43
18,42,4,19,43
18,6,29,44,43
18,14,25,29,43
18,14,20,3,43
18,14,12,19,43
18,42,4,33,43
18,14,28,44,43
18,14,25,7,43
18,14,12,42,43
18,42,4,44,43
18,14,48,19,43
18,14,28,7,43
18,14,25,39,43
18,21,23,26,43
18,14,48,47,43
18,14,28,13,43
18,21,49,3,43
18,21,23,27,43
18,21,24,44,43
18,14,28,26,43
18,21,49,7,43
18,21,23,29,43
18,42,5,7,43
18,14,28,38,43
18,21,23,38,43
18,42,12,38,43
18,42,5,16,43
18,14,28,39,43
18,21,23,47,43
18,42,28,44,43
18,42,12,16,43
18,42,5,19,43
18,14,28,42,43
18,42,31,26,43
18,42,28,7,43
18,42,12,19,43
18,42,5,32,43
18,42,35,44,43
18,42,31,33,43
18,42,28,13,43
18,42,5,33,43
18,42,45,7,43
18,42,35,7,43
18,42,31,44,43
18,42,28,26,43
18,42,5,38,43
18,42,46,7,43
18,42,45,3,43
18,42,35,19,43
18,42,31,47,43
18,42,28,38,43
18,42,45,16,43
18,42,35,29,43
18,42,5,39,43
18,42,28,39,43
18,42,45,27,43
18,42,35,32,43
18,42,5,44,43
18,42,46,19,43
18,42,45,32,43
18,42,35,37,43
18,42,46,27,43
18,21,49,26,43
18,21,47,19,43
18,42,46,32,43
18,21,49,32,43
18,21,47,26,43
18,42,46,33,43
18,21,49,38,43
18,21,47,27,43
18,42,46,38,43
18,29,3,33,43
18,21,47,38,43
18,42,46,39,43
18,29,3,39,43
18,21,47,39,43
18,42,46,44,43
18,29,3,44,43
18,21,47,44,43
18,42,46,47,43
18,42,1,37,43
18,42,13,27,43
18,42,1,38,43
18,42,13,32,43
18,42,1,39,43
18,42,13,37,43
18,6,8,7,43
18,42,13,39,43
