1,36,24,21
1,4,49,21
1,9,49,21
1,4,24,21
1,9,24,21
1,4,29,21
1,11,47,21
1,9,47,21
1,13,23,21
1,28,7,21
1,33,7,21
1,38,7,21
1,33,29,21
1,39,47,21
1,38,23,21
1,41,7,21
1,38,47,21
1,42,18,21
1,41,49,21
1,38,49,21
1,45,7,21
1,39,24,21
1,48,47,21
1,45,23,21
1,45,49,21
1,42,18,24,21
1,41,0,7,21
1,38,5,7,21
1,48,47,7,21
1,45,23,7,21
1,45,49,7,21
1,41,49,7,21
1,28,7,23,21
1,42,4,49,21
1,13,23,7,21
1,13,3,7,21
1,9,49,7,21
1,38,47,7,21
1,41,7,23,21
1,13,17,18,21
1,13,3,29,21
1,41,7,47,21
1,13,22,7,21
1,13,3,49,21
1,41,7,49,21
1,13,27,7,21
1,13,22,24,21
1,9,49,23,21
1,38,47,23,21
1,9,47,7,21
1,4,24,18,21
1,13,23,29,21
1,42,4,24,21
1,9,5,7,21
1,42,5,7,21
1,28,7,47,21
1,38,23,7,21
1,39,47,7,21
1,38,49,7,21
1,39,24,18,21
1,41,49,23,21
1,45,49,23,21
1,33,29,18,21
1,45,23,29,21
1,48,47,23,21
1,11,47,7,21
1,33,3,7,21
1,38,5,23,21
1,38,12,49,21
1,11,47,23,21
1,33,4,49,21
1,33,3,29,21
1,33,4,24,21
1,33,3,49,21
1,33,4,29,21
1,38,16,7,21
1,45,23,47,21
1,38,19,7,21
1,45,23,49,21
1,38,28,7,21
1,38,19,47,21
1,38,32,7,21
1,33,5,7,21
1,38,43,7,21
1,38,32,49,21
1,33,6,18,21
1,33,5,23,21
1,38,46,7,21
1,38,43,29,21
1,33,8,7,21
1,33,6,23,21
1,38,46,24,21
1,38,43,47,21
1,33,10,18,21
1,33,8,23,21
1,33,6,29,21
1,38,46,47,21
1,33,29,23,21
1,4,29,18,21
1,41,0,23,21
1,41,2,23,21
1,38,49,23,21
1,39,47,23,21
1,38,7,23,21
1,36,0,7,21
1,45,7,23,21
1,42,18,29,21
1,38,23,29,21
1,28,7,49,21
1,45,3,7,21
1,42,5,23,21
1,42,12,49,21
1,36,24,18,21
1,4,2,23,21
1,9,5,23,21
1,9,11,47,21
1,45,3,29,21
1,42,13,23,21
1,4,6,18,21
1,4,2,29,21
1,9,17,18,21
1,4,10,18,21
