1,9,27
1,13,27
1,36,27
1,37,27
1,45,27
1,36,13,27
1,37,9,27
1,45,7,27
1,36,16,27
1,37,13,27
1,9,17,27
1,4,45,27
1,37,30,27
1,11,47,27
1,37,43,27
1,28,7,27
1,9,22,27
1,13,17,27
1,45,16,27
1,9,37,27
1,13,22,27
1,45,23,27
1,13,23,27
1,45,30,27
1,13,36,27
1,45,46,27
1,13,37,27
1,9,47,27
1,13,43,27
1,33,7,27
1,28,9,27
1,11,9,27
1,38,7,27
1,33,17,27
1,28,13,27
1,11,22,27
1,39,47,27
1,38,16,27
1,33,43,27
1,41,7,27
1,39,9,27
1,38,23,27
1,39,13,27
1,38,43,27
1,39,22,27
1,38,46,27
1,39,37,27
1,38,47,27
1,39,43,27
1,33,46,27
1,39,46,27
1,42,13,27
1,41,46,27
1,48,47,27
1,42,43,27
1,42,45,27
1,42,46,27
1,39,43,7,27
1,42,13,17,27
1,41,46,7,27
1,48,0,7,27
1,42,43,7,27
1,42,45,7,27
1,42,46,7,27
1,48,47,7,27
1,39,37,9,27
1,41,0,7,27
1,13,37,9,27
1,38,46,7,27
1,39,22,7,27
1,45,49,46,27
1,39,41,46,27
1,13,23,7,27
1,33,40,36,27
1,37,30,16,27
1,39,13,17,27
1,38,23,7,27
1,39,9,17,27
1,38,5,46,27
1,4,45,7,27
1,9,5,46,27
1,11,47,7,27
1,4,49,46,27
1,13,36,16,27
1,45,30,16,27
1,45,23,7,27
1,37,9,17,27
1,13,22,7,27
1,45,7,16,27
1,45,30,22,27
1,45,23,13,27
1,13,22,9,27
1,45,7,22,27
1,45,30,23,27
1,45,23,30,27
1,13,22,30,27
1,45,7,23,27
1,45,30,37,27
1,45,23,47,27
1,45,7,43,27
1,45,30,46,27
1,37,9,22,27
1,45,7,46,27
1,4,49,7,27
1,37,9,47,27
1,45,7,47,27
1,4,49,9,27
1,4,44,47,27
1,36,13,17,27
1,4,49,23,27
1,4,42,46,27
1,4,44,36,27
1,36,13,22,27
1,4,49,45,27
1,11,47,9,27
1,9,5,7,27
1,38,43,7,27
1,41,7,16,27
1,38,47,7,27
1,33,46,7,27
1,39,46,7,27
1,9,11,47,27
1,4,45,16,27
1,33,43,7,27
1,38,5,7,27
1,38,12,16,27
1,9,37,13,27
1,13,17,9,27
1,39,9,22,27
1,38,23,13,27
1,45,16,7,27
1,39,13,22,27
1,37,30,22,27
1,9,22,7,27
1,9,17,13,27
1,39,47,7,27
1,33,40,9,27
1,33,39,47,27
1,36,16,7,27
1,13,23,30,27
1,39,41,7,27
1,37,13,17,27
1,11,0,7,27
1,39,5,16,27
1,45,49,7,27
1,28,44,47,27
1,45,42,46,27
1,39,22,9,27
1,11,2,16,27
1,45,49,9,27
1,28,42,46,27
1,28,44,36,27
1,45,42,13,27
1,45,49,23,27
1,28,39,47,27
1,28,42,13,27
1,28,44,43,27
1,45,42,43,27
1,28,8,17,27
1,28,39,9,27
1,28,42,43,27
1,28,44,46,27
1,28,14,37,27
1,28,8,7,27
1,28,20,36,27
1,28,14,47,27
1,28,8,22,27
1,28,2,16,27
1,28,20,17,27
1,28,8,23,27
1,28,26,23,27
1,28,2,23,27
1,28,20,30,27
1,28,8,30,27
1,28,35,7,27
1,28,26,9,27
1,28,8,45,27
1,28,38,7,27
1,28,35,37,27
1,28,26,17,27
1,28,8,46,27
1,28,38,16,27
1,28,35,45,27
1,28,26,36,27
1,28,8,47,27
1,28,38,23,27
1,28,26,37,27
1,28,38,43,27
1,28,26,43,27
1,28,38,46,27
1,28,26,47,27
1,28,38,47,27
1,28,39,13,27
1,28,42,45,27
1,28,39,22,27
1,39,22,13,27
1,28,39,37,27
1,39,22,30,27
1,28,39,43,27
1,11,41,46,27
1,28,39,46,27
1,11,14,37,27
1,11,41,7,27
