1,4,49
1,9,49
1,38,49
1,41,49
1,45,49
1,38,7,49
1,41,7,49
1,45,3,49
1,38,12,49
1,41,8,49
1,4,45,49
1,11,41,49
1,41,26,49
1,13,3,49
1,11,9,49
1,41,46,49
1,28,20,49
1,9,25,49
1,38,23,49
1,28,7,49
1,9,26,49
1,38,32,49
1,9,32,49
1,38,46,49
1,28,8,49
1,45,4,49
1,28,9,49
1,45,7,49
1,28,26,49
1,45,8,49
1,33,3,49
1,13,23,49
1,28,38,49
1,45,23,49
1,36,12,49
1,13,32,49
1,33,4,49
1,36,20,49
1,45,32,49
1,33,7,49
1,36,26,49
1,45,46,49
1,33,8,49
1,37,26,49
1,33,46,49
1,39,3,49
1,37,9,49
1,42,46,49
1,39,9,49
1,37,32,49
1,42,4,49
1,39,25,49
1,48,12,49
1,42,12,49
1,39,32,49
1,48,8,49
1,42,45,49
1,39,41,49
1,39,46,49
1,48,12,25,49
1,42,12,25,49
1,39,32,7,49
1,48,8,7,49
1,42,45,3,49
1,39,41,7,49
1,39,46,7,49
1,39,9,25,49
1,42,4,45,49
1,39,25,7,49
1,33,46,7,49
1,33,8,7,49
1,9,26,20,49
1,37,43,7,49
1,45,7,3,49
1,38,32,7,49
1,41,26,9,49
1,28,9,25,49
1,37,26,9,49
1,39,3,7,49
1,37,32,7,49
1,37,9,25,49
1,11,41,7,49
1,38,5,46,49
1,9,5,46,49
1,28,8,7,49
1,11,9,25,49
1,33,5,46,49
1,41,7,3,49
1,13,3,7,49
1,45,3,7,49
1,38,7,3,49
1,28,8,20,49
1,41,7,8,49
1,13,3,20,49
1,45,3,20,49
1,28,8,23,49
1,41,7,21,49
1,13,3,45,49
1,38,7,8,49
1,28,8,32,49
1,41,7,23,49
1,33,10,46,49
1,28,8,41,49
1,41,7,25,49
1,33,43,26,49
1,33,10,4,49
1,28,8,45,49
1,41,7,32,49
1,33,40,38,49
1,33,10,23,49
1,28,8,46,49
1,41,7,38,49
1,33,6,4,49
1,33,40,3,49
1,33,10,32,49
1,41,7,45,49
1,33,43,3,49
1,38,7,21,49
1,33,5,7,49
1,11,9,26,49
1,42,46,7,49
1,45,32,7,49
1,33,7,3,49
1,45,6,4,49
1,45,46,7,49
1,9,5,7,49
1,9,11,41,49
1,36,0,23,49
1,38,5,7,49
1,38,16,45,49
1,36,20,3,49
1,33,4,45,49
1,11,41,8,49
1,37,9,26,49
1,38,23,7,49
1,37,32,8,49
1,39,3,20,49
1,28,7,3,49
1,9,25,7,49
1,28,20,3,49
1,37,26,20,49
1,28,9,26,49
1,38,12,25,49
1,41,26,20,49
1,38,32,8,49
1,4,2,41,49
1,13,17,26,49
1,45,7,8,49
1,37,43,3,49
1,41,26,23,49
1,38,32,9,49
