20,3,33
20,5,33
20,8,33
20,14,33
20,17,33
20,8,6,33
20,14,29,33
20,17,3,33
20,8,7,33
20,3,7,33
20,18,10,33
20,5,7,33
20,18,6,33
20,5,39,33
20,18,14,33
20,5,46,33
20,3,17,33
20,25,7,33
20,8,17,33
20,17,6,33
20,25,6,33
20,8,31,33
20,17,8,33
20,8,46,33
20,17,40,33
20,25,14,33
20,3,29,33
20,25,17,33
20,3,39,33
20,25,29,33
20,3,40,33
20,26,17,33
20,18,17,33
20,25,39,33
20,3,43,33
20,28,1,33
20,18,29,33
20,26,31,33
20,28,7,33
20,18,31,33
20,26,40,33
20,28,8,33
20,30,46,33
20,26,43,33
20,30,8,33
20,28,14,33
20,34,46,33
20,28,39,33
20,35,7,33
20,34,4,33
20,36,1,33
20,35,10,33
20,34,10,33
20,49,46,33
20,36,40,33
20,35,29,33
20,34,17,33
20,49,3,33
20,35,40,33
20,34,31,33
20,49,4,33
20,49,7,33
20,49,8,33
20,36,0,7,33
20,36,40,3,33
20,35,29,3,33
20,34,31,8,33
20,49,4,1,33
20,49,7,3,33
20,49,8,6,33
20,49,46,5,33
20,34,4,1,33
20,35,7,3,33
20,36,1,4,33
20,28,39,1,33
20,28,14,29,33
20,17,8,6,33
20,30,46,5,33
20,18,6,4,33
20,25,14,29,33
20,3,39,1,33
20,25,17,3,33
20,17,0,7,33
20,34,46,5,33
20,28,2,8,33
20,3,29,4,33
20,14,0,7,33
20,8,49,46,33
20,5,39,1,33
20,5,7,3,33
20,14,29,3,33
20,30,12,14,33
20,8,22,39,33
20,8,49,3,33
20,14,29,4,33
20,30,16,7,33
20,30,12,6,33
20,8,22,6,33
20,30,16,5,33
20,30,12,31,33
20,8,22,7,33
20,30,16,17,33
20,8,49,4,33
20,8,22,10,33
20,30,16,43,33
20,8,49,7,33
20,14,29,6,33
20,30,18,10,33
20,8,48,31,33
20,14,29,43,33
20,30,19,46,33
20,30,18,6,33
20,8,47,31,33
20,8,48,1,33
20,5,39,3,33
20,5,7,8,33
20,18,10,4,33
20,26,9,1,33
20,14,0,5,33
20,14,2,8,33
20,8,6,4,33
20,3,29,6,33
20,28,2,4,33
20,34,10,4,33
20,26,40,3,33
20,26,43,3,33
20,30,8,6,33
20,35,40,3,33
20,28,9,1,33
20,34,46,7,33
20,28,8,6,33
20,17,0,5,33
20,17,9,1,33
20,26,31,8,33
20,17,6,4,33
20,25,17,6,33
20,3,39,5,33
20,18,15,10,33
20,18,6,8,33
20,28,1,4,33
20,25,6,4,33
20,8,17,3,33
20,30,46,7,33
20,17,8,7,33
20,17,3,7,33
20,28,39,3,33
20,25,7,3,33
20,30,46,8,33
20,17,8,31,33
20,17,3,29,33
20,28,39,5,33
20,25,7,5,33
20,30,46,10,33
20,17,8,46,33
20,28,39,40,33
20,25,7,8,33
20,30,46,39,33
20,17,3,39,33
20,28,39,43,33
20,25,7,43,33
20,18,14,29,33
20,17,3,40,33
20,28,39,46,33
20,25,7,46,33
20,36,1,39,33
20,17,3,43,33
20,8,17,6,33
20,25,6,8,33
20,8,17,40,33
20,25,6,17,33
20,35,7,5,33
20,25,6,29,33
20,35,7,8,33
20,28,1,39,33
20,35,7,43,33
20,18,6,17,33
20,35,7,46,33
20,18,6,29,33
20,3,7,5,33
20,34,4,6,33
20,3,7,8,33
20,34,4,10,33
20,3,7,43,33
20,34,4,29,33
20,3,7,46,33
20,18,15,4,33
20,18,21,29,33
20,18,15,5,33
20,18,24,46,33
20,18,21,7,33
20,18,15,6,33
20,18,30,8,33
20,18,24,4,33
20,18,15,17,33
20,18,42,1,33
20,18,30,46,33
20,18,24,39,33
20,18,15,29,33
20,18,42,4,33
20,18,15,31,33
20,18,42,5,33
20,49,46,7,33
20,18,42,31,33
20,49,46,8,33
20,18,42,43,33
20,49,46,10,33
20,18,42,46,33
20,49,46,39,33
20,3,39,40,33
20,25,17,8,33
20,3,39,43,33
20,25,17,40,33
20,3,39,46,33
20,35,10,4,33
20,18,31,8,33
20,35,10,46,33
20,34,17,3,33
20,49,3,7,33
20,34,17,6,33
20,49,3,17,33
20,34,17,8,33
20,49,3,29,33
20,34,17,40,33
20,49,3,39,33
20,49,8,7,33
20,49,3,40,33
20,49,8,17,33
20,49,3,43,33
20,49,8,31,33
20,17,6,8,33
20,49,7,5,33
20,17,9,5,33
20,17,13,1,33
20,3,43,7,33
20,49,4,6,33
20,17,0,14,33
20,28,8,7,33
20,28,9,5,33
20,34,46,8,33
20,8,7,3,33
20,25,9,1,33
20,35,29,4,33
20,28,13,1,33
20,35,40,17,33
20,36,40,17,33
20,30,8,7,33
20,26,43,7,33
20,3,17,6,33
20,36,0,5,33
20,26,40,17,33
20,34,10,46,33
20,36,12,14,33
20,28,2,10,33
20,3,29,14,33
20,28,7,3,33
20,3,13,1,33
20,18,17,3,33
20,49,9,1,33
20,8,6,17,33
20,3,44,29,33
20,3,13,17,33
20,18,17,6,33
20,49,12,14,33
20,49,9,5,33
20,8,6,29,33
20,3,45,46,33
20,3,13,39,33
20,18,17,8,33
20,49,45,46,33
20,49,12,6,33
20,49,9,17,33
20,3,13,40,33
20,18,17,40,33
20,49,41,46,33
20,49,45,1,33
20,49,12,31,33
20,49,9,39,33
20,3,13,43,33
20,49,38,46,33
20,49,41,1,33
20,49,45,3,33
20,49,9,40,33
20,49,41,7,33
20,49,45,4,33
20,3,49,4,33
20,49,41,8,33
20,49,45,6,33
20,3,49,7,33
20,49,41,10,33
20,49,45,7,33
20,3,49,8,33
20,49,41,31,33
20,49,45,8,33
20,3,49,46,33
20,49,41,39,33
20,49,21,29,33
20,49,38,1,33
20,3,45,1,33
20,49,32,46,33
20,49,21,7,33
20,49,38,5,33
20,3,45,4,33
20,49,26,43,33
20,49,32,5,33
20,49,38,7,33
20,3,45,6,33
20,49,23,7,33
20,49,26,17,33
20,49,32,7,33
20,49,38,40,33
20,3,45,7,33
20,49,26,31,33
20,49,32,8,33
20,49,38,43,33
20,3,45,8,33
20,49,26,40,33
20,49,32,10,33
20,49,25,6,33
20,49,23,5,33
20,49,32,39,33
20,49,25,7,33
20,49,23,6,33
20,49,32,43,33
20,49,25,14,33
20,49,23,8,33
20,3,44,4,33
20,49,25,17,33
20,49,23,10,33
20,3,44,5,33
20,49,25,29,33
20,49,23,29,33
20,3,44,8,33
20,49,25,39,33
20,14,2,4,33
20,3,44,31,33
20,36,12,6,33
20,14,2,10,33
20,3,44,43,33
20,36,12,31,33
20,14,2,29,33
20,3,44,46,33
20,3,29,43,33
20,28,7,5,33
20,28,2,14,33
20,28,7,8,33
20,28,2,29,33
20,28,7,43,33
20,25,39,1,33
20,28,7,46,33
20,25,39,3,33
20,14,11,1,33
20,25,39,5,33
20,14,48,8,33
20,25,39,40,33
20,14,12,6,33
20,14,48,1,33
20,25,39,43,33
20,14,18,10,33
20,14,12,31,33
20,14,48,6,33
20,25,39,46,33
20,14,25,17,33
20,14,18,6,33
20,14,48,31,33
20,14,28,8,33
20,14,25,6,33
20,14,18,17,33
20,14,37,43,33
20,14,28,1,33
20,14,25,7,33
20,14,18,29,33
20,14,47,7,33
20,14,37,1,33
20,14,28,7,33
20,14,25,29,33
20,14,18,31,33
20,14,47,8,33
20,14,37,6,33
20,14,28,39,33
20,14,25,39,33
20,14,47,31,33
20,14,37,39,33
20,14,47,39,33
20,36,13,1,33
20,14,47,43,33
20,36,15,10,33
20,36,13,3,33
20,14,47,46,33
20,36,16,7,33
20,36,15,4,33
20,36,13,17,33
20,36,19,46,33
20,36,16,5,33
20,36,15,5,33
20,36,13,39,33
20,36,16,17,33
20,36,15,6,33
20,36,13,40,33
20,36,16,43,33
20,36,15,17,33
20,36,13,43,33
20,36,24,46,33
20,36,15,29,33
20,36,19,4,33
20,36,26,31,33
20,36,24,4,33
20,36,15,31,33
20,36,19,5,33
20,36,27,17,33
20,36,26,17,33
20,36,24,39,33
20,36,19,7,33
20,36,34,4,33
20,36,27,7,33
20,36,26,40,33
20,36,19,17,33
20,36,44,3,33
20,36,34,10,33
20,36,27,43,33
20,36,26,43,33
20,36,19,39,33
20,36,44,4,33
20,36,34,17,33
20,36,27,46,33
20,36,19,40,33
20,36,44,5,33
20,36,34,31,33
20,36,19,43,33
20,36,44,8,33
20,36,34,46,33
20,36,44,29,33
20,14,0,17,33
20,36,44,31,33
20,26,40,39,33
20,36,44,43,33
20,36,0,14,33
20,36,44,46,33
20,36,0,17,33
20,26,17,3,33
20,3,40,17,33
20,26,17,6,33
20,3,40,39,33
20,26,17,8,33
20,26,9,5,33
20,26,17,40,33
20,26,9,17,33
20,3,17,8,33
20,26,9,39,33
20,3,17,40,33
20,26,9,40,33
20,26,43,29,33
20,26,49,4,33
20,26,43,39,33
20,26,23,5,33
20,30,8,17,33
20,36,40,39,33
20,34,9,1,33
20,18,10,46,33
20,35,40,39,33
20,28,13,3,33
20,5,7,43,33
20,28,26,17,33
20,35,29,6,33
20,18,29,3,33
20,8,46,5,33
20,35,2,8,33
20,5,39,40,33
20,25,9,5,33
20,25,12,14,33
20,8,48,6,33
20,8,7,5,33
20,34,46,10,33
20,5,0,7,33
20,8,47,7,33
20,28,9,17,33
20,28,8,17,33
20,25,9,17,33
20,8,7,43,33
20,34,46,39,33
20,5,9,1,33
20,5,0,14,33
20,8,47,14,33
20,8,7,46,33
20,28,9,39,33
20,5,15,10,33
20,5,9,17,33
20,5,0,17,33
20,8,47,39,33
20,28,9,40,33
20,5,16,7,33
20,5,15,4,33
20,5,9,39,33
20,8,47,43,33
20,28,8,31,33
20,5,19,46,33
20,5,16,17,33
20,5,15,6,33
20,5,9,40,33
20,8,47,46,33
20,28,8,46,33
20,5,44,46,33
20,5,19,4,33
20,5,16,43,33
20,5,15,17,33
20,25,9,39,33
20,5,42,46,33
20,5,44,3,33
20,5,19,7,33
20,25,9,40,33
20,5,38,46,33
20,5,42,1,33
20,5,44,4,33
20,5,19,17,33
20,5,23,8,33
20,5,38,1,33
20,5,42,4,33
20,5,44,8,33
20,5,19,39,33
20,5,32,7,33
20,5,23,6,33
20,5,38,7,33
20,5,42,31,33
20,5,44,29,33
20,5,19,40,33
20,5,32,8,33
20,5,23,7,33
20,5,38,40,33
20,5,42,43,33
20,5,44,31,33
