20,34
20,17,34
20,35,34
20,36,34
20,17,9,34
20,3,17,34
20,36,13,34
20,3,13,34
20,36,16,34
20,35,10,34
20,5,9,34
20,17,13,34
20,5,16,34
20,17,16,34
20,5,32,34
20,35,32,34
20,8,47,34
20,36,24,34
20,3,44,34
20,5,44,34
20,36,44,34
20,14,47,34
20,5,46,34
20,18,17,34
20,8,17,34
20,25,9,34
20,18,10,34
20,8,31,34
20,26,47,34
20,25,17,34
20,35,44,34
20,18,24,34
20,8,32,34
20,25,24,34
20,28,9,34
20,18,31,34
20,8,44,34
20,30,46,34
20,28,13,34
20,8,46,34
20,49,4,34
20,30,16,34
20,49,9,34
20,28,35,34
20,49,32,34
20,28,44,34
20,49,46,34
20,26,9,34
20,26,17,34
20,26,31,34
20,26,36,34
20,49,4,10,34
20,49,9,17,34
20,26,9,17,34
20,26,17,9,34
20,26,31,44,34
20,26,36,13,34
20,8,17,9,34
20,26,9,24,34
20,26,17,13,34
20,49,9,24,34
20,49,4,24,34
20,49,46,10,34
20,49,32,9,34
20,26,23,47,34
20,17,40,13,34
20,28,35,10,34
20,14,47,9,34
20,5,16,17,34
20,8,31,44,34
20,18,10,4,34
20,17,9,24,34
20,49,3,44,34
20,28,42,46,34
20,25,9,17,34
20,5,9,17,34
20,5,42,46,34
20,18,17,9,34
20,17,13,32,34
20,14,0,47,34
20,30,45,4,34
20,36,13,17,34
20,3,17,9,34
20,8,2,35,34
20,30,45,16,34
20,36,13,32,34
20,3,17,13,34
20,8,49,46,34
20,8,2,4,34
20,30,45,32,34
20,3,17,16,34
20,8,48,47,34
20,8,49,4,34
20,8,2,10,34
20,30,45,35,34
20,8,7,47,34
20,8,2,16,34
20,30,45,46,34
20,8,45,35,34
20,8,7,16,34
20,8,48,31,34
20,8,41,31,34
20,8,45,4,34
20,8,7,32,34
20,8,6,4,34
20,8,41,10,34
20,8,45,16,34
20,8,7,35,34
20,8,33,46,34
20,8,6,17,34
20,8,49,9,34
20,36,24,4,34
20,8,44,4,34
20,28,13,17,34
20,8,46,10,34
20,28,44,4,34
20,30,37,9,34
20,14,0,16,34
20,30,46,10,34
20,14,48,47,34
20,17,13,36,34
20,18,31,44,34
20,36,1,4,34
20,18,17,13,34
20,5,42,4,34
20,5,44,4,34
20,5,39,46,34
20,5,9,24,34
20,17,16,36,34
20,3,7,47,34
20,18,42,46,34
20,25,9,24,34
20,28,42,4,34
20,28,9,17,34
20,28,39,47,34
20,49,3,13,34
20,3,13,17,34
20,35,10,4,34
20,49,7,47,34
20,17,9,32,34
20,28,2,35,34
20,28,39,9,34
20,35,10,32,34
20,49,12,36,34
20,49,7,16,34
20,17,9,47,34
20,28,1,4,34
20,49,45,4,34
20,49,12,16,34
20,49,7,32,34
20,28,7,47,34
20,28,1,9,34
20,49,41,10,34
20,49,12,31,34
20,49,7,35,34
20,28,8,17,34
20,49,7,46,34
20,28,38,46,34
20,28,8,31,34
20,28,14,47,34
20,28,38,16,34
20,28,8,32,34
20,28,26,9,34
20,28,38,32,34
20,28,8,44,34
20,28,26,17,34
20,28,38,47,34
20,28,8,46,34
20,28,26,31,34
20,28,8,47,34
20,28,26,36,34
20,28,7,16,34
20,28,26,47,34
20,28,7,32,34
20,28,1,13,34
20,28,7,35,34
20,28,1,36,34
20,28,7,46,34
20,49,8,17,34
20,49,41,31,34
20,49,21,47,34
20,49,8,31,34
20,49,41,44,34
20,49,38,32,34
20,49,8,32,34
20,49,41,46,34
20,49,23,10,34
20,49,38,16,34
20,49,8,44,34
20,49,25,17,34
20,49,23,13,34
20,49,38,46,34
20,49,8,46,34
20,49,26,9,34
20,49,25,9,34
20,49,23,47,34
20,49,38,47,34
20,49,8,47,34
20,49,25,24,34
20,49,26,17,34
20,49,21,24,34
20,49,26,31,34
20,49,45,16,34
20,49,26,36,34
20,49,45,32,34
20,49,26,47,34
20,49,45,35,34
20,28,2,4,34
20,49,45,46,34
20,28,2,10,34
20,28,39,13,34
20,28,2,16,34
20,35,10,46,34
20,49,3,17,34
20,3,13,32,34
20,25,7,47,34
20,18,10,32,34
20,28,9,24,34
20,28,42,13,34
20,8,31,47,34
20,25,9,32,34
20,18,42,4,34
20,5,46,10,34
20,25,17,9,34
20,8,32,9,34
20,30,16,17,34
20,5,16,36,34
20,18,30,46,34
20,3,7,16,34
