20,35
20,28,35
20,34,35
20,28,2,35
20,3,45,35
20,28,7,35
20,34,10,35
20,28,42,35
20,34,32,35
20,3,7,35
20,5,7,35
20,28,44,35
20,5,19,35
20,3,29,35
20,5,32,35
20,3,40,35
20,8,2,35
20,34,44,35
20,5,42,35
20,3,44,35
20,14,2,35
20,5,44,35
20,14,11,35
20,8,7,35
20,14,28,35
20,8,28,35
20,14,29,35
20,8,32,35
20,14,37,35
20,8,44,35
20,17,40,35
20,8,45,35
20,18,42,35
20,17,19,35
20,25,7,35
20,18,10,35
20,17,34,35
20,26,28,35
20,25,29,35
20,18,29,35
20,30,45,35
20,26,37,35
20,36,19,35
20,30,19,35
20,26,40,35
20,49,45,35
20,36,34,35
20,30,37,35
20,49,7,35
20,36,40,35
20,49,32,35
20,36,44,35
20,8,28,2,35
20,30,37,19,35
20,49,7,19,35
20,36,40,19,35
20,49,32,7,35
20,36,44,19,35
20,8,28,7,35
20,30,37,32,35
20,14,29,2,35
20,36,1,42,35
20,49,3,45,35
20,36,34,10,35
20,8,32,7,35
20,14,28,2,35
20,14,11,2,35
20,8,7,19,35
20,30,46,42,35
20,5,19,2,35
20,36,19,2,35
20,30,19,2,35
20,26,9,40,35
20,49,45,7,35
20,26,40,19,35
20,26,37,19,35
20,30,45,7,35
20,28,39,32,35
20,34,10,2,35
20,5,7,19,35
20,14,2,10,35
20,5,9,40,35
20,3,29,2,35
20,28,2,10,35
20,28,7,19,35
20,5,46,34,35
20,5,9,11,35
20,3,29,44,35
20,28,2,11,35
20,28,7,32,35
20,5,39,28,35
20,5,46,7,35
20,28,2,19,35
20,28,7,45,35
20,5,0,7,35
20,5,39,19,35
20,5,46,10,35
20,5,15,10,35
20,5,0,11,35
20,5,39,32,35
20,5,46,19,35
20,5,16,7,35
20,5,15,29,35
20,5,0,19,35
20,5,46,32,35
20,5,23,7,35
20,5,16,2,35
20,5,15,32,35
20,5,46,42,35
20,5,33,7,35
20,5,23,2,35
20,5,39,37,35
20,28,2,29,35
20,5,9,28,35
20,17,34,10,35
20,26,28,2,35
20,25,49,32,35
20,18,14,28,35
20,18,29,2,35
20,14,2,11,35
20,5,7,28,35
20,25,29,2,35
20,34,10,32,35
20,28,39,19,35
20,8,44,19,35
20,8,45,7,35
20,28,8,44,35
20,30,45,32,35
20,3,13,42,35
20,26,37,32,35
20,3,7,19,35
20,25,7,19,35
20,17,33,10,35
20,49,45,32,35
20,26,9,11,35
20,18,10,2,35
20,26,17,40,35
20,30,19,7,35
20,14,37,19,35
20,3,45,7,35
20,36,19,7,35
20,5,19,7,35
20,26,23,45,35
20,26,17,19,35
20,3,45,32,35
20,36,19,11,35
20,5,19,11,35
20,26,49,45,35
20,26,23,2,35
20,26,17,34,35
20,5,19,37,35
20,26,36,40,35
20,26,49,7,35
20,26,23,7,35
20,5,19,40,35
20,26,31,34,35
20,26,36,19,35
20,26,49,32,35
20,26,23,10,35
20,5,19,44,35
20,26,41,7,35
20,26,31,42,35
20,26,43,44,35
20,26,41,2,35
20,26,31,44,35
20,26,47,7,35
20,26,43,7,35
20,26,41,10,35
20,26,47,11,35
20,26,43,19,35
20,26,41,11,35
20,26,47,19,35
20,26,43,29,35
20,26,41,44,35
20,26,47,34,35
20,26,43,32,35
20,26,47,44,35
20,26,43,37,35
20,26,36,34,35
20,26,43,42,35
20,26,36,44,35
20,26,23,29,35
20,3,45,42,35
20,36,19,37,35
20,30,19,11,35
20,36,19,40,35
20,30,19,37,35
20,36,19,44,35
20,30,19,40,35
20,14,37,32,35
20,30,19,44,35
20,34,9,40,35
20,30,46,7,35
20,34,13,40,35
20,34,9,11,35
20,30,46,10,35
20,34,47,11,35
20,34,13,28,35
20,34,9,28,35
20,30,46,19,35
20,34,46,32,35
20,34,47,7,35
20,34,13,32,35
20,34,9,32,35
20,30,46,32,35
20,34,47,19,35
20,34,13,37,35
20,34,9,37,35
20,30,46,34,35
20,34,47,44,35
20,34,13,42,35
20,34,4,2,35
20,30,46,44,35
20,34,46,7,35
20,34,16,45,35
20,34,4,10,35
20,30,46,45,35
20,34,46,10,35
20,34,36,44,35
20,34,16,2,35
20,18,10,32,35
20,26,9,28,35
20,30,12,42,35
20,49,45,42,35
20,17,33,7,35
20,5,44,19,35
20,34,44,19,35
20,17,40,19,35
20,17,19,2,35
20,8,7,28,35
20,17,27,37,35
20,25,7,28,35
20,14,11,19,35
20,3,7,28,35
20,18,42,28,35
20,14,28,7,35
20,3,13,28,35
20,3,49,32,35
20,8,32,10,35
20,30,45,42,35
20,28,8,2,35
20,3,44,19,35
20,34,32,7,35
20,36,34,32,35
20,28,1,11,35
20,8,45,32,35
20,49,3,7,35
20,8,44,28,35
20,28,39,37,35
20,8,6,45,35
20,49,4,45,35
20,25,29,44,35
20,36,1,11,35
20,49,3,29,35
20,8,44,29,35
20,8,6,29,35
20,49,46,42,35
20,49,4,2,35
20,36,1,28,35
20,49,3,40,35
20,8,44,34,35
20,49,9,40,35
20,49,46,7,35
20,49,4,10,35
20,36,1,37,35
20,49,3,44,35
20,49,12,42,35
20,49,9,11,35
20,49,46,10,35
20,49,4,19,35
20,36,1,45,35
20,49,21,29,35
20,49,4,29,35
20,49,12,19,35
20,49,8,2,35
20,49,21,7,35
20,49,4,34,35
20,49,23,2,35
20,49,8,7,35
20,49,4,42,35
20,49,26,28,35
20,49,23,7,35
20,49,8,28,35
20,49,4,44,35
20,49,25,29,35
20,49,26,37,35
20,49,23,10,35
20,49,8,32,35
20,49,38,19,35
20,49,25,7,35
20,49,26,40,35
20,49,23,29,35
20,49,8,44,35
20,49,41,2,35
20,49,38,7,35
20,49,23,45,35
20,49,8,45,35
20,49,41,7,35
20,49,38,28,35
20,49,9,28,35
20,49,41,10,35
20,49,38,32,35
20,49,9,32,35
20,49,41,11,35
20,49,38,40,35
20,49,9,34,35
20,49,41,44,35
20,49,46,19,35
20,49,9,37,35
20,8,6,37,35
20,49,46,32,35
20,28,39,40,35
20,8,17,40,35
20,49,46,34,35
20,5,7,32,35
20,8,49,45,35
20,8,17,19,35
20,49,46,44,35
20,5,7,45,35
20,8,48,19,35
20,8,49,7,35
20,8,17,34,35
20,49,46,45,35
20,8,47,34,35
20,8,49,32,35
20,8,47,7,35
20,8,45,42,35
20,8,47,11,35
20,8,23,29,35
20,8,47,19,35
20,8,22,7,35
20,8,23,2,35
20,8,47,44,35
20,8,30,45,35
20,8,22,10,35
20,8,23,7,35
20,8,31,34,35
20,8,30,19,35
20,8,22,11,35
20,8,23,10,35
20,8,33,7,35
20,8,31,42,35
20,8,30,37,35
20,8,23,45,35
20,8,41,10,35
20,8,33,10,35
20,8,31,44,35
20,8,46,7,35
20,8,41,2,35
20,8,33,29,35
20,8,46,10,35
20,8,41,7,35
20,8,33,40,35
20,8,46,19,35
20,8,41,11,35
20,8,46,32,35
20,8,41,44,35
20,8,46,34,35
20,28,1,37,35
20,8,46,42,35
20,28,1,42,35
20,8,46,44,35
20,28,1,45,35
20,8,46,45,35
20,14,2,19,35
20,28,9,11,35
20,14,2,28,35
20,28,14,2,35
20,28,9,32,35
20,14,2,29,35
20,28,13,32,35
20,28,14,11,35
20,28,9,34,35
20,28,26,37,35
20,28,13,34,35
20,28,14,29,35
20,28,9,37,35
20,28,38,7,35
20,28,26,40,35
20,28,13,37,35
20,28,38,19,35
20,28,14,37,35
20,28,13,40,35
20,28,38,32,35
20,28,9,40,35
20,28,13,42,35
20,28,38,40,35
20,36,34,44,35
20,5,42,28,35
20,28,44,19,35
20,5,42,45,35
20,28,44,29,35
20,8,2,10,35
20,28,44,34,35
20,8,2,11,35
20,36,27,45,35
20,8,2,19,35
20,36,0,7,35
20,36,27,7,35
20,8,2,28,35
20,36,12,19,35
20,36,0,11,35
20,36,27,37,35
20,8,2,29,35
20,36,15,10,35
20,36,12,42,35
20,36,0,19,35
20,36,16,2,35
20,36,15,29,35
20,36,13,28,35
20,36,16,7,35
20,36,15,32,35
20,36,24,34,35
20,36,13,32,35
20,36,16,34,35
20,36,26,28,35
20,36,24,44,35
20,36,13,34,35
20,36,16,45,35
20,36,26,37,35
20,36,13,37,35
20,36,26,40,35
20,36,13,40,35
20,18,29,44,35
20,36,13,42,35
20,34,32,10,35
20,3,44,28,35
20,34,32,37,35
20,3,44,29,35
20,34,32,45,35
20,3,44,34,35
20,18,14,2,35
20,28,8,7,35
20,18,14,11,35
20,28,8,32,35
20,18,14,29,35
20,14,29,44,35
20,18,15,10,35
20,8,32,34,35
20,3,49,7,35
20,25,49,7,35
20,3,17,40,35
20,3,13,32,35
20,3,40,19,35
20,26,28,7,35
20,25,39,28,35
20,14,28,42,35
20,18,42,45,35
20,3,7,32,35
20,8,28,42,35
20,17,34,32,35
20,25,7,32,35
20,17,27,7,35
20,5,9,32,35
20,17,3,45,35
20,8,7,32,35
20,28,42,45,35
20,5,32,7,35
20,36,44,28,35
20,17,19,7,35
20,5,39,40,35
20,34,44,28,35
20,5,44,28,35
20,17,3,7,35
20,8,7,45,35
20,5,32,10,35
20,36,44,29,35
20,5,44,29,35
20,17,3,29,35
20,17,19,11,35
20,5,32,34,35
20,36,44,34,35
20,5,44,34,35
20,17,3,40,35
20,17,19,37,35
20,5,32,37,35
20,34,44,29,35
20,49,32,10,35
20,17,3,44,35
20,17,19,40,35
20,5,32,45,35
20,5,23,10,35
20,49,32,34,35
20,17,33,29,35
20,17,19,44,35
20,17,6,45,35
20,5,23,29,35
20,49,32,37,35
20,17,33,40,35
20,5,9,34,35
20,17,8,2,35
20,17,6,29,35
20,5,23,45,35
20,49,32,45,35
20,5,9,37,35
20,17,18,42,35
20,17,8,7,35
20,17,6,37,35
20,25,7,45,35
20,17,0,7,35
20,17,18,10,35
20,17,8,28,35
20,17,27,45,35
20,17,9,11,35
20,17,0,11,35
20,17,18,29,35
20,17,8,32,35
20,17,15,10,35
20,17,9,28,35
20,17,0,19,35
20,17,8,44,35
20,17,13,28,35
20,17,15,29,35
20,17,9,32,35
20,17,8,45,35
20,17,16,45,35
20,17,13,32,35
20,17,15,32,35
20,17,9,34,35
20,17,25,7,35
20,17,16,2,35
20,17,13,34,35
20,17,9,37,35
20,17,26,28,35
20,17,25,29,35
20,17,16,7,35
20,17,13,37,35
20,17,9,40,35
20,17,26,37,35
20,17,16,34,35
20,17,13,40,35
20,5,33,10,35
20,17,26,40,35
20,30,12,19,35
20,17,13,42,35
20,5,33,29,35
20,17,34,44,35
20,8,28,44,35
20,30,8,2,35
20,5,33,40,35
20,3,7,45,35
20,14,0,7,35
20,30,16,45,35
20,30,8,7,35
20,5,46,44,35
20,14,12,19,35
20,14,0,11,35
20,30,18,42,35
20,14,12,42,35
20,14,0,19,35
20,30,22,10,35
20,30,18,10,35
20,30,16,2,35
20,30,23,7,35
20,30,22,7,35
20,30,18,29,35
20,30,16,7,35
20,30,27,7,35
20,30,23,2,35
20,30,22,11,35
20,30,16,34,35
20,30,27,37,35
20,30,23,10,35
20,30,8,28,35
20,30,27,45,35
20,30,23,29,35
20,30,8,32,35
20,5,46,45,35
20,30,23,45,35
20,30,8,44,35
20,14,18,42,35
20,5,38,7,35
20,30,8,45,35
20,14,33,40,35
20,14,18,10,35
20,5,38,19,35
20,14,25,29,35
20,14,33,7,35
20,14,18,29,35
20,5,38,28,35
20,14,47,11,35
20,14,25,7,35
20,14,33,10,35
20,5,38,32,35
20,14,48,19,35
20,14,47,7,35
20,14,33,29,35
20,5,38,40,35
20,14,47,19,35
20,26,9,32,35
20,14,28,44,35
20,14,47,34,35
20,26,9,34,35
20,25,39,19,35
20,14,47,44,35
20,26,9,37,35
20,25,39,32,35
20,18,10,34,35
20,25,9,11,35
20,25,39,37,35
20,26,28,42,35
20,25,12,19,35
20,25,9,28,35
20,25,39,40,35
20,26,28,44,35
20,25,14,2,35
20,25,12,42,35
20,25,9,32,35
20,25,15,32,35
20,25,14,11,35
20,25,9,34,35
20,25,17,19,35
20,25,15,10,35
20,25,14,28,35
20,25,9,37,35
20,25,6,29,35
20,25,17,34,35
20,25,15,29,35
20,25,14,29,35
20,25,9,40,35
20,25,23,7,35
20,25,6,37,35
20,25,17,40,35
20,25,14,37,35
20,25,24,34,35
20,25,23,2,35
20,25,6,45,35
20,25,24,44,35
20,25,23,10,35
20,34,36,19,35
20,34,16,7,35
20,25,23,29,35
20,34,36,40,35
20,3,13,34,35
20,25,23,45,35
20,3,33,7,35
20,3,13,37,35
20,3,17,19,35
20,3,39,19,35
20,3,33,10,35
20,3,13,40,35
20,3,17,34,35
20,3,43,7,35
20,3,39,28,35
20,3,33,29,35
20,3,43,19,35
20,3,39,32,35
20,3,33,40,35
20,3,43,29,35
20,3,39,37,35
20,49,7,28,35
20,3,43,32,35
20,3,39,40,35
20,49,7,32,35
20,3,43,37,35
20,34,46,19,35
20,49,7,45,35
20,3,43,42,35
20,34,46,42,35
20,3,43,44,35
20,34,46,44,35
20,34,17,19,35
20,34,46,45,35
20,34,24,44,35
20,34,17,40,35
20,34,31,42,35
20,25,49,45,35
20,34,31,44,35
20,3,49,45,35
20,18,15,29,35
20,8,32,37,35
20,18,15,32,35
20,8,32,45,35
20,5,16,34,35
20,18,17,19,35
20,5,16,45,35
20,18,21,7,35
20,18,17,34,35
20,18,6,29,35
20,18,21,29,35
20,18,17,40,35
20,18,24,34,35
20,18,6,37,35
20,18,30,37,35
20,18,24,44,35
20,18,6,45,35
20,18,31,34,35
20,18,30,19,35
20,18,31,42,35
20,18,30,45,35
20,18,31,44,35
20,34,4,19,35
20,18,14,37,35
20,34,4,29,35
20,28,8,45,35
20,34,4,42,35
20,34,4,44,35
20,34,4,45,35
20,5,16,45,7,35
20,18,31,34,10,35
20,18,30,19,2,35
20,18,31,42,28,35
20,34,4,19,2,35
20,34,4,29,2,35
20,28,8,45,7,35
20,34,4,42,28,35
20,34,4,44,19,35
20,34,4,45,7,35
20,3,44,29,2,35
20,34,32,45,7,35
20,3,44,5,32,35
20,3,44,28,2,35
20,36,13,40,19,35
20,34,32,5,44,35
20,30,46,44,19,35
20,36,13,37,19,35
20,34,4,2,10,35
