20,36
20,26,36
20,34,36
20,26,40,36
20,3,44,36
20,34,13,36
20,5,0,36
20,34,16,36
20,8,44,36
20,3,13,36
20,5,15,36
20,3,40,36
20,5,16,36
20,14,0,36
20,5,19,36
20,34,24,36
20,17,0,36
20,14,12,36
20,5,44,36
20,18,15,36
20,17,13,36
20,25,12,36
20,18,24,36
20,17,15,36
20,25,15,36
20,28,44,36
20,17,16,36
20,25,24,36
20,34,44,36
20,30,16,36
20,28,1,36
20,17,19,36
20,35,44,36
20,30,12,36
20,17,26,36
20,49,12,36
20,35,19,36
20,30,19,36
20,17,27,36
20,49,26,36
20,17,34,36
20,35,34,36
20,17,40,36
20,35,40,36
20,30,27,36
20,28,13,36
20,28,26,36
20,28,44,19,36
20,17,34,13,36
20,35,34,13,36
20,30,27,13,36
20,28,13,1,36
20,28,26,40,36
20,17,15,16,36
20,30,27,16,36
20,28,13,27,36
20,5,15,16,36
20,18,10,34,36
20,35,34,16,36
20,17,34,16,36
20,3,49,26,36
20,28,44,24,36
20,28,35,44,36
20,17,27,13,36
20,25,15,16,36
20,18,15,16,36
20,18,24,34,36
20,30,46,24,36
20,17,13,1,36
20,35,29,44,36
20,17,3,13,36
20,25,12,16,36
20,5,16,0,36
20,26,9,40,36
20,5,0,16,36
20,3,13,1,36
20,49,3,44,36
20,34,13,1,36
20,17,26,40,36
20,49,12,16,36
20,30,19,0,36
20,49,12,19,36
20,30,19,12,36
20,49,26,40,36
20,30,19,40,36
20,35,40,13,36
20,30,19,44,36
20,35,40,19,36
20,49,3,13,36
20,35,40,26,36
20,49,3,40,36
20,34,13,27,36
20,35,19,0,36
20,34,13,40,36
20,35,19,12,36
20,49,4,44,36
20,35,19,40,36
20,49,46,44,36
20,49,4,1,36
20,35,19,44,36
20,49,45,1,36
20,49,46,19,36
20,49,4,15,36
20,49,41,44,36
20,49,45,16,36
20,49,46,24,36
20,49,4,19,36
20,49,38,40,36
20,49,41,0,36
20,49,45,27,36
20,49,46,27,36
20,3,13,27,36
20,17,19,0,36
20,5,46,44,36
20,5,0,19,36
20,26,9,1,36
20,14,12,16,36
20,26,17,40,36
20,5,16,12,36
20,14,29,15,36
20,17,0,16,36
20,30,12,16,36
20,25,12,19,36
20,17,3,40,36
20,35,44,19,36
20,17,6,12,36
20,35,29,15,36
20,8,44,19,36
20,8,2,19,36
20,35,7,0,36
20,17,13,27,36
20,3,44,19,36
20,30,46,19,36
20,30,45,16,36
20,3,44,24,36
20,30,46,27,36
20,30,37,19,36
20,30,45,1,36
20,3,44,34,36
20,30,46,34,36
20,30,23,26,36
20,30,37,1,36
20,30,45,27,36
20,30,46,44,36
20,30,22,13,36
20,30,23,0,36
20,30,37,13,36
20,30,8,44,36
20,30,22,12,36
20,30,23,13,36
20,30,37,26,36
20,30,18,15,36
20,30,22,15,36
20,30,23,27,36
20,30,37,27,36
20,30,18,24,36
20,30,22,24,36
20,34,24,44,36
20,34,44,19,36
20,30,22,27,36
20,34,44,24,36
20,28,1,13,36
20,17,40,13,36
20,18,24,44,36
20,17,40,19,36
20,17,13,34,36
20,17,40,26,36
20,17,13,40,36
20,35,7,16,36
20,8,2,16,36
20,35,7,19,36
20,35,10,15,36
20,35,7,27,36
20,35,11,0,36
20,35,10,34,36
20,35,28,13,36
20,35,11,1,36
20,35,32,13,36
20,35,28,1,36
20,35,11,19,36
20,35,2,16,36
20,35,32,15,36
20,35,28,26,36
20,35,37,13,36
20,35,2,19,36
20,35,32,34,36
20,35,28,44,36
20,35,42,1,36
20,35,37,1,36
20,35,45,1,36
20,35,42,12,36
20,35,37,19,36
20,35,45,16,36
20,35,42,13,36
20,35,37,26,36
20,35,45,27,36
20,35,37,27,36
20,30,16,0,36
20,8,44,24,36
20,30,16,12,36
20,8,44,34,36
20,30,16,15,36
20,8,49,26,36
20,30,16,27,36
20,8,48,19,36
20,8,49,12,36
20,30,16,34,36
20,8,47,44,36
20,8,48,0,36
20,8,46,19,36
20,8,47,0,36
20,8,48,1,36
20,8,45,27,36
20,8,46,24,36
20,8,47,15,36
20,17,27,16,36
20,17,6,15,36
20,5,44,19,36
20,5,19,0,36
20,28,35,19,36
20,17,33,40,36
20,35,44,24,36
20,28,7,0,36
20,17,3,44,36
20,34,9,40,36
20,28,44,34,36
20,30,12,19,36
20,17,0,19,36
20,3,49,12,36
20,14,29,44,36
20,14,33,40,36
20,14,0,16,36
20,25,7,0,36
20,25,24,34,36
20,3,45,1,36
20,5,16,15,36
20,26,17,0,36
20,17,34,24,36
20,26,28,44,36
20,14,12,19,36
20,26,17,13,36
20,17,34,44,36
20,26,49,12,36
20,26,28,1,36
20,26,17,15,36
20,25,24,44,36
20,26,23,0,36
20,26,28,13,36
20,26,17,16,36
20,3,7,0,36
20,26,31,12,36
20,26,23,13,36
20,26,17,19,36
20,3,17,40,36
20,3,7,16,36
20,26,37,13,36
20,26,31,15,36
20,26,23,27,36
20,26,17,27,36
20,3,29,15,36
20,3,7,19,36
20,26,41,0,36
20,26,37,1,36
20,3,7,27,36
20,26,43,44,36
20,26,41,1,36
20,26,37,19,36
20,26,47,0,36
20,26,43,13,36
20,26,41,15,36
20,26,37,27,36
