21,23,6,37
21,7,43,37
21,23,13,37
21,18,6,37
21,7,19,37
21,24,9,37
21,18,14,37
21,23,26,37
21,24,39,37
21,23,27,37
21,18,30,37
21,23,30,37
21,7,27,37
21,29,43,37
21,7,32,37
21,47,43,37
21,29,6,37
21,7,35,37
21,49,26,37
21,47,9,37
21,49,9,37
21,47,14,37
21,49,32,37
21,47,19,37
21,29,14,37
21,47,26,37
21,29,35,37
21,47,27,37
21,47,39,37
21,49,9,1,37
21,49,32,9,37
21,47,19,30,37
21,29,35,19,37
21,47,27,9,37
21,47,39,1,37
21,47,9,1,37
21,49,3,43,37
21,23,27,9,37
21,18,10,32,37
21,24,39,1,37
21,7,43,13,37
21,24,4,1,37
21,7,19,30,37
21,23,26,9,37
21,7,0,19,37
21,24,39,9,37
21,7,19,35,37
21,23,26,43,37
21,24,39,13,37
21,7,19,39,37
21,7,3,43,37
21,24,39,19,37
21,7,19,43,37
21,7,5,19,37
21,7,3,13,37
21,24,39,32,37
21,7,0,14,37
21,24,18,6,37
21,24,4,6,37
21,7,43,19,37
21,49,26,9,37
21,23,30,19,37
21,49,3,13,37
21,18,15,6,37
21,18,10,35,37
21,23,27,13,37
21,29,43,13,37
21,47,26,9,37
21,49,4,1,37
21,47,9,26,37
21,7,32,9,37
21,47,39,9,37
21,47,27,13,37
21,49,4,6,37
21,47,9,27,37
21,7,32,13,37
21,47,27,30,37
21,49,4,19,37
21,47,9,32,37
21,7,32,35,37
21,47,27,43,37
21,47,39,13,37
21,47,9,39,37
21,47,39,19,37
21,7,32,39,37
21,47,39,32,37
21,7,32,43,37
21,47,39,43,37
21,47,26,43,37
21,49,7,43,37
21,29,43,19,37
21,49,8,6,37
21,49,7,19,37
21,29,43,26,37
21,49,12,6,37
21,49,8,30,37
21,49,7,27,37
21,49,20,26,37
21,49,12,14,37
21,49,8,32,37
21,49,7,32,37
21,49,23,6,37
21,49,20,14,37
21,49,12,19,37
21,49,7,35,37
21,49,25,6,37
21,49,23,13,37
21,49,20,30,37
21,49,12,30,37
21,49,38,1,37
21,49,25,9,37
21,29,43,27,37
21,23,27,30,37
21,7,35,19,37
21,23,13,1,37
21,47,19,35,37
21,29,35,32,37
21,18,15,32,37
21,49,3,39,37
21,18,17,6,37
21,7,27,9,37
21,49,32,13,37
21,23,30,27,37
21,49,26,43,37
21,49,9,26,37
21,7,43,26,37
21,24,4,19,37
21,7,27,13,37
21,49,32,35,37
21,49,9,27,37
21,7,43,27,37
21,7,27,30,37
21,49,32,39,37
21,49,9,32,37
21,7,43,32,37
21,7,27,43,37
21,49,32,43,37
21,49,9,39,37
21,7,43,39,37
21,47,43,13,37
21,24,9,1,37
21,47,0,19,37
21,47,43,19,37
21,24,9,26,37
21,47,7,43,37
21,47,0,14,37
21,47,43,26,37
21,24,9,27,37
21,47,8,6,37
21,47,7,19,37
21,47,43,27,37
21,24,9,32,37
21,47,11,1,37
21,47,7,27,37
21,47,43,32,37
21,24,9,39,37
21,47,15,6,37
21,47,11,9,37
21,47,7,32,37
21,47,43,39,37
21,47,23,6,37
21,47,15,32,37
21,47,11,14,37
21,47,7,35,37
21,47,11,19,37
21,47,31,26,37
21,47,11,35,37
21,47,34,9,37
21,47,23,13,37
21,47,38,1,37
21,47,34,13,37
21,47,23,26,37
21,47,44,43,37
21,47,38,19,37
21,47,34,32,37
21,47,23,27,37
21,47,46,19,37
21,47,44,19,37
21,47,34,35,37
21,47,23,30,37
21,47,48,1,37
21,47,46,27,37
21,47,44,35,37
21,47,38,32,37
21,47,48,6,37
21,47,46,30,37
21,47,38,43,37
21,47,48,14,37
21,47,46,32,37
21,47,48,19,37
21,47,46,39,37
21,47,8,30,37
21,24,18,14,37
21,47,8,32,37
21,24,18,30,37
21,18,17,9,37
21,18,20,26,37
21,18,17,13,37
21,18,24,9,37
21,18,20,14,37
21,18,17,19,37
21,18,29,43,37
21,18,24,39,37
21,18,20,30,37
21,18,17,26,37
21,18,31,26,37
21,18,29,6,37
21,18,20,35,37
21,18,17,27,37
21,18,42,1,37
21,18,29,14,37
21,18,42,13,37
21,18,29,35,37
21,18,42,35,37
21,24,22,6,37
21,18,42,43,37
21,24,25,6,37
21,24,22,9,37
21,23,0,19,37
21,47,19,39,37
21,24,39,43,37
21,23,13,27,37
21,7,35,32,37
21,18,30,19,37
21,29,2,19,37
21,7,3,39,37
21,23,27,43,37
21,29,43,32,37
21,7,5,9,37
21,49,25,14,37
21,49,38,19,37
21,18,30,27,37
21,29,3,43,37
21,29,2,14,37
21,49,25,39,37
21,49,38,32,37
21,29,43,39,37
21,29,4,1,37
21,29,3,13,37
21,29,2,35,37
21,49,38,43,37
21,7,5,32,37
21,29,15,6,37
21,29,4,6,37
21,29,3,39,37
21,7,8,6,37
21,29,15,32,37
21,29,4,19,37
21,7,5,39,37
21,7,16,43,37
21,7,8,30,37
21,29,18,6,37
21,49,41,1,37
21,7,22,6,37
21,7,16,27,37
21,7,8,32,37
21,29,23,6,37
21,29,18,14,37
21,7,22,9,37
21,7,16,30,37
21,49,45,1,37
21,29,25,6,37
21,29,23,13,37
21,29,18,30,37
21,7,22,13,37
21,49,46,19,37
21,49,45,6,37
21,29,33,1,37
