21,18,17,40
21,7,3,40
21,23,26,40
21,7,19,40
21,23,13,40
21,7,33,40
21,24,39,40
21,23,38,40
21,7,35,40
21,29,3,40
21,7,38,40
21,47,39,40
21,29,33,40
21,24,9,40
21,49,3,40
21,47,9,40
21,24,36,40
21,49,9,40
21,47,19,40
21,49,26,40
21,47,26,40
21,49,38,40
21,47,38,40
21,29,35,40
21,47,19,17,40
21,49,26,9,40
21,47,26,9,40
21,47,38,19,40
21,29,2,35,40
21,47,19,35,40
21,29,35,19,40
21,7,35,19,40
21,47,0,36,40
21,49,4,33,40
21,49,9,17,40
21,7,38,19,40
21,29,3,13,40
21,23,26,9,40
21,7,19,17,40
21,18,6,33,40
21,23,0,36,40
21,7,19,35,40
21,18,10,33,40
21,18,6,17,40
21,23,0,17,40
21,7,19,36,40
21,18,14,33,40
21,23,0,19,40
21,7,19,38,40
21,18,15,36,40
21,18,10,35,40
21,7,19,39,40
21,18,20,3,40
21,23,2,35,40
21,24,9,17,40
21,49,3,13,40
21,24,4,33,40
21,49,38,19,40
21,23,26,17,40
21,29,3,17,40
21,47,9,17,40
21,49,9,26,40
21,23,38,19,40
21,24,39,3,40
21,49,4,19,40
21,49,7,3,40
21,18,17,3,40
21,47,0,17,40
21,47,7,3,40
21,24,39,9,40
21,49,7,19,40
21,18,17,9,40
21,47,7,19,40
21,24,39,13,40
21,49,7,33,40
21,18,17,13,40
21,47,7,33,40
21,24,39,19,40
21,47,7,35,40
21,24,39,33,40
21,47,7,38,40
21,49,7,35,40
21,18,17,19,40
21,49,7,38,40
21,18,17,26,40
21,47,0,19,40
21,18,17,33,40
21,47,8,33,40
21,49,8,33,40
21,47,11,9,40
21,47,8,17,40
21,49,12,36,40
21,47,11,19,40
21,49,8,17,40
21,49,20,3,40
21,49,12,19,40
21,47,11,35,40
21,49,23,26,40
21,49,20,17,40
21,49,12,38,40
21,49,25,39,40
21,49,23,13,40
21,49,20,26,40
21,49,32,39,40
21,49,25,9,40
21,47,14,33,40
21,7,33,3,40
21,29,33,3,40
21,24,36,13,40
21,47,9,26,40
21,49,9,39,40
21,23,26,36,40
21,29,3,33,40
21,47,39,3,40
21,47,19,36,40
21,24,4,19,40
21,29,2,19,40
21,24,18,17,40
21,49,3,17,40
21,7,3,13,40
21,23,13,3,40
21,24,22,39,40
21,49,3,33,40
21,7,3,17,40
21,23,13,17,40
21,24,25,39,40
21,24,22,9,40
21,49,3,39,40
21,7,3,33,40
21,23,13,36,40
21,24,34,9,40
21,7,3,39,40
21,23,13,39,40
21,24,44,3,40
21,24,34,13,40
21,24,25,9,40
21,24,46,39,40
21,24,44,19,40
21,24,34,17,40
21,24,25,17,40
21,24,46,19,40
21,24,44,35,40
21,24,34,35,40
21,24,46,33,40
21,24,44,36,40
21,24,34,36,40
21,24,46,38,40
21,24,22,13,40
21,29,4,33,40
21,24,9,26,40
21,47,19,38,40
21,29,6,33,40
21,29,4,19,40
21,24,9,39,40
21,47,19,39,40
21,29,14,33,40
21,29,6,17,40
21,47,39,9,40
21,29,15,36,40
21,47,39,13,40
21,29,18,17,40
21,29,15,17,40
21,47,39,19,40
21,29,23,26,40
21,47,39,33,40
21,29,25,39,40
21,29,23,13,40
21,29,43,3,40
21,29,25,9,40
21,29,23,38,40
21,29,44,3,40
21,29,43,13,40
21,29,25,17,40
21,29,44,19,40
21,29,43,19,40
21,29,44,35,40
21,29,43,26,40
21,29,44,36,40
21,29,43,33,40
21,23,2,19,40
21,29,43,38,40
21,29,3,39,40
21,29,43,39,40
21,18,20,17,40
21,23,5,39,40
21,18,20,26,40
21,23,6,33,40
21,23,5,9,40
21,18,20,35,40
21,23,7,3,40
21,23,6,17,40
21,23,5,19,40
21,18,20,36,40
21,23,8,33,40
21,23,7,19,40
21,23,5,33,40
21,23,10,33,40
21,23,8,17,40
21,23,7,33,40
21,23,5,38,40
21,23,25,39,40
21,23,10,35,40
21,23,7,35,40
21,23,27,9,40
21,23,25,9,40
21,23,7,38,40
21,23,29,3,40
21,23,27,13,40
21,23,25,17,40
21,23,30,19,40
21,47,9,39,40
21,29,33,17,40
21,24,36,19,40
21,7,0,36,40
21,47,26,17,40
21,18,24,39,40
21,7,33,17,40
21,49,25,17,40
21,47,15,36,40
21,7,5,39,40
21,7,0,17,40
21,47,26,36,40
21,18,24,9,40
21,47,15,17,40
21,7,8,33,40
21,7,5,9,40
21,7,0,19,40
21,18,24,36,40
21,7,33,39,40
21,7,16,36,40
21,7,8,17,40
21,7,5,19,40
21,18,29,3,40
21,47,23,26,40
21,7,22,39,40
21,7,5,33,40
21,18,30,19,40
21,18,29,33,40
21,47,27,9,40
21,47,23,13,40
21,7,23,26,40
21,7,22,9,40
21,18,31,26,40
21,18,29,35,40
21,47,31,26,40
