24,25,14,48
24,4,1,48
24,25,6,48
24,9,47,48
24,4,6,48
24,18,14,48
24,9,1,48
24,25,12,48
24,18,6,48
24,4,19,48
24,18,31,48
24,21,47,48
24,22,6,48
24,34,47,48
24,22,8,48
24,36,0,48
24,34,31,48
24,36,1,48
24,22,12,48
24,36,12,48
24,39,47,48
24,36,19,48
24,44,47,48
24,39,1,48
24,46,47,48
24,44,8,48
24,39,19,48
24,46,8,48
24,44,19,48
24,46,19,48
24,44,31,48
24,4,2,14,48
24,39,47,0,48
24,36,13,1,48
24,36,19,0,48
24,46,19,0,48
24,44,31,8,48
24,36,0,14,48
24,22,12,6,48
24,36,12,6,48
24,18,31,8,48
24,18,15,47,48
24,22,7,0,48
24,25,6,8,48
24,36,12,14,48
24,22,9,47,48
24,22,7,8,48
24,25,6,12,48
24,36,12,19,48
24,22,11,0,48
24,22,9,1,48
24,22,7,19,48
24,18,31,12,48
24,18,17,0,48
24,18,15,6,48
24,9,47,0,48
24,34,4,1,48
24,22,12,14,48
24,36,0,19,48
24,25,7,0,48
24,44,31,12,48
24,46,19,12,48
24,9,5,0,48
24,4,19,0,48
24,39,47,8,48
24,36,19,12,48
24,36,15,47,48
24,46,8,6,48
24,44,19,0,48
24,4,2,8,48
24,36,15,6,48
24,46,8,31,48
24,44,19,12,48
24,4,2,19,48
24,36,15,31,48
24,46,8,47,48
24,44,19,47,48
24,4,15,47,48
24,36,19,47,48
24,4,29,14,48
24,4,15,6,48
24,4,33,1,48
24,4,29,6,48
24,4,15,31,48
24,4,34,47,48
24,4,33,6,48
24,4,42,1,48
24,4,34,31,48
24,4,33,8,48
24,4,44,47,48
24,4,42,12,48
24,4,33,14,48
24,4,45,1,48
24,4,44,8,48
24,4,42,31,48
24,4,33,31,48
24,4,49,8,48
24,4,45,6,48
24,4,44,19,48
24,4,49,12,48
24,4,45,8,48
24,36,16,0,48
24,39,47,14,48
24,4,19,12,48
24,22,6,8,48
24,44,4,1,48
24,9,5,19,48
24,9,11,0,48
24,46,5,0,48
24,46,19,47,48
24,44,31,47,48
24,34,31,8,48
24,22,8,6,48
24,44,47,0,48
24,21,47,0,48
24,25,7,8,48
24,25,9,47,48
24,39,19,0,48
24,36,0,47,48
24,22,12,19,48
24,46,47,0,48
24,39,5,0,48
24,39,19,12,48
24,34,4,6,48
24,22,12,31,48
24,46,47,8,48
24,39,9,47,48
24,39,5,19,48
24,46,47,14,48
24,39,13,1,48
24,39,9,1,48
24,46,47,19,48
24,39,22,6,48
24,39,19,47,48
24,46,47,31,48
24,39,25,14,48
24,39,22,8,48
24,34,4,19,48
24,39,28,1,48
24,39,25,6,48
24,39,22,12,48
24,39,32,8,48
24,39,28,8,48
24,39,25,12,48
24,39,33,1,48
24,39,28,14,48
24,25,15,47,48
24,39,37,1,48
24,39,33,6,48
24,39,37,6,48
24,39,33,8,48
24,39,37,14,48
24,39,33,14,48
24,39,37,19,48
24,39,33,31,48
24,25,17,0,48
24,25,15,6,48
24,25,20,14,48
24,25,17,6,48
24,25,15,31,48
24,25,23,0,48
24,25,20,8,48
24,25,17,8,48
24,25,29,14,48
24,25,23,6,48
24,25,17,19,48
24,25,39,47,48
24,25,29,6,48
24,25,23,8,48
24,25,49,8,48
24,25,39,1,48
24,25,23,47,48
24,25,49,12,48
24,25,39,19,48
24,39,40,19,48
24,25,9,1,48
24,39,41,0,48
24,34,9,47,48
24,39,43,47,48
24,39,41,1,48
24,34,13,1,48
24,34,9,1,48
24,39,46,47,48
24,39,43,19,48
24,39,41,8,48
24,34,16,0,48
24,39,46,8,48
24,39,41,31,48
24,34,17,0,48
24,34,16,12,48
24,39,46,19,48
24,34,20,14,48
24,34,17,6,48
24,34,32,8,48
