27,36
27,13,36
27,16,36
27,13,1,36
27,7,0,36
27,13,34,36
27,16,0,36
27,13,40,36
27,16,12,36
27,7,16,36
27,9,1,36
27,16,15,36
27,9,24,36
27,16,34,36
27,9,26,36
27,7,19,36
27,17,0,36
27,9,34,36
27,22,24,36
27,17,13,36
27,9,40,36
27,23,0,36
27,22,12,36
27,30,16,36
27,23,13,36
27,22,13,36
27,37,1,36
27,30,12,36
27,23,26,36
27,22,15,36
27,17,15,36
27,43,44,36
27,37,13,36
27,30,19,36
27,17,16,36
27,37,19,36
27,30,20,36
27,17,19,36
27,37,26,36
27,45,1,36
27,17,20,36
27,45,16,36
27,17,26,36
27,43,13,36
27,17,34,36
27,43,16,36
27,17,40,36
27,43,19,36
27,46,44,36
27,43,26,36
27,47,0,36
27,46,19,36
27,47,15,36
27,46,24,36
27,47,19,36
27,46,34,36
27,47,26,36
27,47,34,36
27,47,44,36
27,46,19,0,36
27,47,15,16,36
27,46,24,34,36
27,46,34,13,36
27,47,26,20,36
27,47,34,13,36
27,47,44,19,36
27,46,44,19,36
27,43,26,20,36
27,47,0,16,36
27,17,26,20,36
27,23,13,1,36
27,43,47,19,36
27,30,16,0,36
27,43,13,1,36
27,9,24,34,36
27,22,12,16,36
27,17,20,26,36
27,45,1,13,36
27,30,12,16,36
27,17,3,13,36
27,17,34,13,36
27,37,1,13,36
27,7,0,16,36
27,23,0,16,36
27,22,13,1,36
27,16,5,0,36
27,13,34,16,36
27,45,3,44,36
27,9,1,13,36
27,16,0,19,36
27,9,49,12,36
27,16,5,15,36
27,45,4,44,36
27,45,3,13,36
27,9,47,26,36
27,9,49,20,36
27,16,5,19,36
27,45,4,1,36
27,9,49,26,36
27,16,5,20,36
27,45,4,15,36
27,45,3,20,36
27,16,5,44,36
27,45,4,19,36
27,45,3,40,36
27,9,39,13,36
27,45,4,24,36
27,9,47,0,36
27,9,37,13,36
27,9,39,1,36
27,45,4,34,36
27,9,47,15,36
27,9,32,34,36
27,9,37,1,36
27,45,49,20,36
27,13,34,20,36
27,22,13,34,36
27,16,7,0,36
27,43,19,0,36
27,37,43,13,36
27,45,16,0,36
27,17,40,13,36
27,47,19,0,36
27,23,0,19,36
27,7,0,19,36
27,17,34,16,36
27,17,16,0,36
27,37,19,0,36
27,17,3,20,36
27,17,6,12,36
27,30,46,19,36
27,30,12,19,36
27,37,13,1,36
27,9,40,13,36
27,17,13,1,36
27,17,20,34,36
27,22,12,19,36
27,7,16,0,36
27,9,24,44,36
27,43,13,34,36
27,22,24,34,36
27,16,34,13,36
27,30,16,12,36
27,43,47,0,36
27,9,34,13,36
27,43,13,40,36
27,22,24,44,36
27,16,34,20,36
27,43,47,15,36
27,9,34,16,36
27,30,16,15,36
27,43,7,0,36
27,16,34,24,36
27,43,47,26,36
27,9,34,20,36
27,43,29,15,36
27,43,7,16,36
27,16,34,44,36
27,43,47,34,36
27,9,34,24,36
27,43,32,34,36
27,43,29,44,36
27,43,7,19,36
27,43,47,44,36
27,9,34,44,36
27,43,3,13,36
27,43,32,13,36
27,43,37,19,36
27,43,3,20,36
27,43,32,15,36
27,43,38,16,36
27,43,37,1,36
27,43,3,40,36
27,43,33,1,36
27,43,38,1,36
27,43,37,13,36
27,43,3,44,36
27,43,39,1,36
27,43,33,40,36
27,43,38,12,36
27,43,37,26,36
27,43,42,1,36
27,43,39,13,36
27,43,38,19,36
27,43,42,12,36
27,43,39,19,36
27,43,38,40,36
27,43,42,13,36
27,43,39,24,36
27,30,16,34,36
27,43,39,40,36
27,7,16,12,36
27,23,13,34,36
27,7,16,15,36
27,23,13,40,36
27,7,16,34,36
27,43,16,0,36
27,43,44,19,36
27,43,16,12,36
27,43,44,24,36
27,43,16,15,36
27,43,44,34,36
27,43,16,34,36
27,30,20,26,36
27,37,26,20,36
27,30,20,34,36
27,37,26,40,36
27,17,26,40,36
27,17,13,34,36
27,9,40,19,36
27,17,13,40,36
27,9,40,26,36
27,47,0,19,36
27,37,13,34,36
27,17,15,16,36
27,37,13,40,36
27,43,26,40,36
27,30,46,24,36
27,30,45,16,36
27,30,46,34,36
27,30,8,20,36
27,30,45,1,36
27,30,46,44,36
27,30,18,15,36
27,30,8,44,36
27,46,44,24,36
27,17,6,15,36
27,17,8,20,36
27,13,17,15,36
27,7,19,0,36
27,47,44,24,36
27,17,3,40,36
27,37,19,12,36
27,47,34,16,36
