28,44,36
28,1,36
28,13,36
28,20,36
28,26,36
28,13,1,36
28,20,26,36
28,26,20,36
28,13,27,36
28,20,34,36
28,44,19,36
28,2,16,36
28,1,13,36
28,7,0,36
28,2,19,36
28,8,44,36
28,44,24,36
28,13,34,36
28,26,40,36
28,44,34,36
28,13,40,36
28,9,1,36
28,8,20,36
28,14,0,36
28,9,24,36
28,35,44,36
28,14,12,36
28,9,26,36
28,38,1,36
28,7,16,36
28,35,19,36
28,14,20,36
28,38,12,36
28,7,19,36
28,35,20,36
28,38,16,36
28,7,27,36
28,35,34,36
28,38,19,36
28,9,27,36
28,35,40,36
28,38,40,36
28,9,34,36
28,39,1,36
28,9,40,36
28,42,1,36
28,39,13,36
28,42,12,36
28,39,19,36
28,42,13,36
28,39,24,36
28,39,40,36
28,9,34,13,36
28,39,13,1,36
28,39,19,0,36
28,42,13,1,36
28,39,24,34,36
28,39,40,13,36
28,39,13,27,36
28,39,19,12,36
28,9,24,34,36
28,9,34,16,36
28,39,3,44,36
28,42,12,16,36
28,42,1,13,36
28,7,0,16,36
28,42,4,44,36
28,9,40,13,36
28,1,4,44,36
28,1,13,27,36
28,14,12,16,36
28,35,44,19,36
28,14,0,16,36
28,8,2,16,36
28,39,1,13,36
28,2,16,0,36
28,9,5,0,36
28,9,1,13,36
28,8,20,26,36
28,26,20,34,36
28,20,26,40,36
28,44,19,0,36
28,13,3,44,36
28,38,5,0,36
28,35,2,16,36
28,13,17,0,36
28,13,3,20,36
28,38,7,0,36
28,38,5,15,36
28,35,7,0,36
28,13,3,40,36
28,38,23,0,36
28,38,7,16,36
28,38,5,16,36
28,38,23,13,36
28,38,7,19,36
28,38,5,19,36
28,38,23,26,36
28,38,7,27,36
28,38,5,20,36
28,38,23,27,36
28,35,10,34,36
28,38,5,44,36
28,35,7,16,36
28,35,11,0,36
28,35,10,15,36
28,35,7,19,36
28,35,29,44,36
28,35,11,1,36
28,38,49,26,36
28,35,2,19,36
28,13,22,24,36
28,13,17,15,36
28,7,19,0,36
28,35,34,13,36
28,38,19,0,36
28,9,27,13,36
28,38,40,13,36
28,44,19,12,36
28,8,20,34,36
28,35,20,26,36
28,38,16,0,36
28,9,5,15,36
28,7,3,44,36
28,9,11,0,36
28,2,16,12,36
28,38,12,16,36
28,44,47,15,36
28,26,9,1,36
28,8,2,19,36
28,20,3,44,36
28,8,6,12,36
28,14,0,19,36
28,13,34,16,36
28,13,27,16,36
28,35,44,24,36
28,14,12,19,36
28,44,24,34,36
28,1,13,34,36
28,13,34,20,36
28,8,6,15,36
28,35,44,34,36
28,8,7,0,36
28,1,13,40,36
28,13,34,24,36
28,1,4,15,36
28,20,3,13,36
28,8,17,0,36
28,13,34,44,36
28,1,4,19,36
28,20,3,40,36
28,8,22,24,36
28,8,17,13,36
28,1,4,24,36
28,8,7,16,36
28,8,23,0,36
28,8,22,12,36
28,8,17,15,36
28,8,22,13,36
28,8,17,16,36
28,8,22,15,36
28,8,17,19,36
28,8,22,27,36
28,8,17,20,36
28,1,4,34,36
28,8,17,26,36
28,8,7,19,36
28,8,17,27,36
28,8,7,27,36
28,8,17,34,36
28,8,31,44,36
28,8,17,40,36
28,8,49,26,36
28,8,31,12,36
28,8,46,44,36
28,8,49,12,36
28,8,31,15,36
28,8,30,12,36
28,8,46,19,36
28,8,49,20,36
28,8,31,26,36
28,8,48,12,36
