2,10
2,4,10
2,23,10
2,35,10
2,41,10
2,4,15,10
2,35,32,10
2,29,4,10
2,35,34,10
2,28,35,10
2,4,33,10
2,41,15,10
2,4,34,10
2,41,46,10
2,8,22,10
2,29,15,10
2,11,22,10
2,8,23,10
2,29,18,10
2,11,35,10
2,8,32,10
2,29,23,10
2,8,33,10
2,29,33,10
2,8,41,10
2,29,35,10
2,8,46,10
2,11,41,10
2,14,18,10
2,16,15,10
2,14,33,10
2,19,4,10
2,16,34,10
2,19,35,10
2,19,46,10
2,29,35,32,10
2,11,47,46,10
2,11,41,15,10
2,16,34,4,10
2,19,35,32,10
2,19,46,32,10
2,8,49,46,10
2,29,33,4,10
2,29,44,34,10
2,8,41,15,10
2,8,32,15,10
2,41,49,46,10
2,41,15,4,10
2,23,49,46,10
2,41,49,4,10
2,41,15,18,10
2,23,47,46,10
2,23,49,4,10
2,41,49,23,10
2,41,15,22,10
2,23,45,4,10
2,23,47,15,10
2,29,44,4,10
2,8,32,34,10
2,41,44,46,10
2,8,41,46,10
2,4,33,46,10
2,29,4,15,10
2,29,6,4,10
2,29,33,46,10
2,35,32,15,10
2,8,49,4,10
2,8,7,46,10
2,8,33,4,10
2,14,18,15,10
2,14,33,4,10
2,19,35,34,10
2,19,46,33,10
2,11,41,46,10
2,16,34,32,10
2,41,46,32,10
2,19,46,34,10
2,28,35,32,10
2,16,34,35,10
2,41,46,33,10
2,19,46,41,10
2,28,35,34,10
2,16,34,46,10
2,41,46,34,10
2,11,47,15,10
2,14,33,46,10
2,11,47,23,10
2,11,0,23,10
2,11,47,34,10
2,11,1,33,10
2,11,0,41,10
2,11,9,22,10
2,11,1,4,10
2,11,14,33,10
2,11,9,32,10
2,11,1,41,10
2,11,19,4,10
2,11,14,18,10
2,11,9,34,10
2,11,19,35,10
2,8,33,46,10
2,11,19,46,10
2,4,15,18,10
2,29,35,34,10
2,4,15,22,10
2,8,7,22,10
2,4,15,32,10
2,8,7,23,10
2,4,15,41,10
2,8,7,32,10
2,8,17,34,10
2,19,0,41,10
2,8,49,23,10
2,35,32,34,10
2,8,46,32,10
2,11,35,32,10
2,8,22,15,10
2,19,4,15,10
2,29,6,15,10
2,16,45,32,10
2,29,3,33,10
2,29,4,33,10
2,29,15,4,10
2,16,15,4,10
2,14,0,41,10
2,41,44,4,10
2,41,39,46,10
2,29,4,34,10
2,29,15,18,10
2,16,15,18,10
2,14,11,41,10
2,41,39,22,10
2,14,0,23,10
2,29,15,22,10
2,16,15,22,10
2,14,20,35,10
2,29,15,32,10
2,16,15,32,10
2,14,47,34,10
2,14,20,18,10
2,29,15,41,10
2,16,15,41,10
2,14,12,22,10
2,14,47,15,10
2,14,20,34,10
2,14,25,15,10
2,14,47,23,10
2,14,11,22,10
2,14,29,33,10
2,14,25,23,10
2,14,47,46,10
2,14,11,35,10
2,14,28,35,10
2,14,29,4,10
2,41,39,32,10
2,14,37,32,10
2,14,29,15,10
2,41,39,33,10
2,14,37,35,10
2,14,29,18,10
2,41,44,34,10
2,14,29,23,10
2,41,44,35,10
2,14,29,35,10
2,41,0,23,10
2,29,18,15,10
2,41,1,4,10
2,4,49,46,10
2,41,7,46,10
2,41,1,33,10
2,4,45,23,10
2,4,49,23,10
2,41,8,22,10
2,41,7,22,10
2,4,44,34,10
2,4,45,32,10
2,4,49,32,10
2,41,11,22,10
2,41,8,23,10
2,41,7,23,10
2,4,45,35,10
2,4,49,41,10
2,41,26,23,10
2,41,11,35,10
2,41,8,32,10
2,41,31,15,10
2,41,7,32,10
2,41,8,33,10
2,41,31,18,10
2,41,7,33,10
2,41,8,46,10
2,41,31,33,10
2,41,7,35,10
2,4,45,46,10
2,41,31,34,10
2,4,42,46,10
2,4,44,35,10
2,4,1,33,10
2,4,42,18,10
2,4,44,41,10
2,4,6,15,10
2,4,1,41,10
2,4,42,35,10
2,4,44,46,10
2,4,29,33,10
2,4,6,18,10
2,4,19,35,10
2,4,29,15,10
2,4,6,22,10
2,4,24,18,10
2,4,19,46,10
2,4,29,18,10
2,11,22,15,10
2,8,32,35,10
2,29,14,18,10
2,16,45,4,10
2,29,44,35,10
2,16,5,46,10
2,29,6,18,10
2,35,7,33,10
2,23,47,34,10
2,19,4,33,10
2,23,45,32,10
2,11,35,34,10
2,8,46,33,10
2,4,34,32,10
2,19,4,34,10
2,23,45,35,10
2,28,44,34,10
2,8,46,34,10
2,4,34,35,10
2,23,38,32,10
2,23,45,46,10
2,28,42,46,10
2,28,44,4,10
2,8,46,41,10
2,4,34,46,10
2,23,30,46,10
2,28,44,35,10
2,23,38,46,10
2,28,39,32,10
2,23,5,46,10
2,23,30,18,10
2,28,44,41,10
2,28,7,35,10
2,28,39,22,10
2,23,29,18,10
2,23,5,15,10
2,23,30,22,10
2,28,44,46,10
2,28,38,23,10
2,23,6,33,10
2,23,29,4,10
2,23,5,32,10
2,28,7,22,10
2,28,8,46,10
2,28,38,32,10
2,23,6,4,10
2,23,29,15,10
2,23,5,33,10
2,28,7,23,10
2,23,29,33,10
2,28,1,4,10
2,28,7,32,10
2,23,29,35,10
2,28,9,22,10
2,28,1,33,10
2,28,7,33,10
2,28,13,22,10
2,28,9,32,10
2,28,1,41,10
2,28,7,41,10
2,28,14,18,10
2,28,13,23,10
2,28,9,34,10
2,28,7,46,10
2,28,20,18,10
2,28,14,33,10
2,28,13,32,10
2,28,26,23,10
2,28,20,34,10
2,28,13,34,10
2,28,26,41,10
2,28,20,35,10
2,28,8,22,10
2,28,38,46,10
2,23,6,15,10
2,28,8,23,10
2,23,27,46,10
2,23,6,18,10
2,28,8,32,10
2,23,7,22,10
2,23,27,22,10
2,23,6,22,10
2,28,8,33,10
2,23,8,22,10
2,23,7,32,10
2,28,8,41,10
2,23,13,22,10
2,23,8,32,10
