2,19
2,4,19
2,11,19
2,35,19
2,4,44,19
2,8,48,19
2,35,7,19
2,8,7,19
2,35,11,19
2,11,0,19
2,10,46,19
2,8,17,19
2,10,4,19
2,8,30,19
2,10,35,19
2,8,44,19
2,11,35,19
2,14,0,19
2,35,37,19
2,8,46,19
2,14,11,19
2,35,40,19
2,8,47,19
2,35,44,19
2,14,12,19
2,11,47,19
2,14,37,19
2,16,0,19
2,14,47,19
2,23,0,19
2,16,5,19
2,14,48,19
2,28,44,19
2,23,5,19
2,16,7,19
2,29,4,19
2,28,7,19
2,16,12,19
2,41,0,19
2,29,35,19
2,28,35,19
2,16,17,19
2,41,7,19
2,16,30,19
2,41,11,19
2,16,36,19
2,41,39,19
2,16,38,19
2,41,44,19
2,16,43,19
2,41,46,19
2,29,43,19
2,28,38,19
2,29,44,19
2,28,39,19
2,23,7,19
2,23,30,19
2,23,38,19
2,23,47,19
2,41,44,4,19
2,29,43,7,19
2,28,38,5,19
2,28,39,5,19
2,23,30,12,19
2,23,38,5,19
2,23,47,0,19
2,23,7,0,19
2,14,37,30,19
2,28,1,48,19
2,29,6,48,19
2,16,38,5,19
2,41,39,5,19
2,35,40,17,19
2,10,4,44,19
2,11,1,48,19
2,41,1,48,19
2,16,15,47,19
2,41,11,0,19
2,16,30,12,19
2,41,7,0,19
2,16,17,0,19
2,4,44,5,19
2,14,47,0,19
2,10,46,5,19
2,35,10,46,19
2,16,0,5,19
2,14,12,30,19
2,8,30,12,19
2,8,6,48,19
2,8,17,0,19
2,35,7,0,19
2,16,0,7,19
2,8,30,37,19
2,8,20,36,19
2,35,7,5,19
2,16,0,11,19
2,8,30,46,19
2,8,22,39,19
2,8,20,5,19
2,35,7,38,19
2,8,23,47,19
2,8,22,7,19
2,8,20,17,19
2,35,7,43,19
2,8,28,44,19
2,8,23,0,19
2,8,22,11,19
2,35,7,46,19
2,8,31,48,19
2,8,28,7,19
2,8,23,5,19
2,8,22,12,19
2,35,7,47,19
2,8,32,46,19
2,8,31,12,19
2,8,20,30,19
2,16,0,17,19
2,8,6,4,19
2,8,17,40,19
2,14,12,36,19
2,8,48,0,19
2,35,10,4,19
2,35,28,44,19
2,16,36,0,19
2,41,0,5,19
2,28,35,7,19
2,16,43,7,19
2,29,44,4,19
2,10,46,7,19
2,14,47,7,19
2,29,35,7,19
2,4,44,35,19
2,16,17,40,19
2,16,7,0,19
2,11,47,0,19
2,41,7,5,19
2,16,30,37,19
2,8,46,5,19
2,41,11,35,19
2,16,15,4,19
2,14,11,0,19
2,8,7,0,19
2,28,7,0,19
2,16,27,17,19
2,41,1,4,19
2,29,4,44,19
2,41,8,48,19
2,11,1,4,19
2,35,37,30,19
2,10,35,7,19
2,11,41,46,19
2,41,10,46,19
2,41,8,7,19
2,11,1,36,19
2,35,37,39,19
2,41,10,4,19
2,41,8,17,19
2,11,1,37,19
2,35,37,43,19
2,41,10,35,19
2,41,8,30,19
2,11,1,38,19
2,10,35,11,19
2,11,22,30,19
2,41,8,44,19
2,11,1,39,19
2,10,35,37,19
2,11,9,5,19
2,10,35,40,19
2,11,14,0,19
2,11,9,17,19
2,10,35,44,19
2,11,14,12,19
2,11,9,37,19
2,11,14,37,19
2,11,9,39,19
2,11,14,47,19
2,11,9,40,19
2,11,14,48,19
2,11,9,47,19
2,11,22,7,19
2,41,8,46,19
2,11,22,12,19
2,41,8,47,19
2,11,22,39,19
2,11,41,0,19
2,41,15,47,19
2,11,41,7,19
2,41,26,47,19
2,41,15,4,19
2,11,41,39,19
2,41,31,48,19
2,41,26,17,19
2,41,15,5,19
2,11,41,44,19
2,41,49,4,19
2,41,31,12,19
2,41,26,36,19
2,41,49,7,19
2,41,31,44,19
2,41,26,37,19
2,41,49,12,19
2,41,31,47,19
2,41,26,40,19
2,41,49,38,19
2,41,15,17,19
2,41,26,43,19
2,41,49,46,19
2,41,15,36,19
2,41,1,11,19
2,16,34,47,19
2,41,1,36,19
2,16,45,4,19
2,16,34,4,19
2,41,1,37,19
2,16,45,7,19
2,16,34,17,19
2,41,1,38,19
2,16,45,30,19
2,16,34,35,19
2,41,1,39,19
2,16,45,35,19
2,16,34,36,19
2,16,45,46,19
2,16,34,44,19
2,16,27,7,19
2,16,34,46,19
2,11,0,5,19
2,35,40,36,19
2,28,7,5,19
2,8,7,5,19
2,41,39,37,19
2,14,11,35,19
2,16,15,5,19
2,16,12,30,19
2,14,48,0,19
2,23,5,0,19
2,41,46,5,19
2,16,38,7,19
2,41,11,47,19
2,8,46,7,19
2,29,6,4,19
2,16,30,46,19
2,41,7,35,19
2,28,44,4,19
2,29,14,48,19
2,11,47,7,19
2,16,7,5,19
2,28,1,4,19
2,4,44,36,19
2,35,44,4,19
2,11,35,7,19
2,28,42,43,19
2,29,35,11,19
2,14,47,11,19
2,14,37,35,19
2,10,46,30,19
2,29,44,5,19
2,14,33,46,19
2,23,7,5,19
2,16,43,37,19
2,28,35,11,19
2,23,47,7,19
2,41,0,7,19
2,16,36,12,19
2,14,33,4,19
2,23,7,35,19
2,16,43,38,19
2,23,47,11,19
2,41,0,11,19
2,16,36,40,19
2,14,33,5,19
2,23,7,38,19
2,16,43,39,19
2,23,47,38,19
2,16,36,44,19
2,14,33,7,19
2,23,7,43,19
2,16,43,44,19
2,23,47,39,19
2,41,0,17,19
2,14,33,17,19
2,23,7,46,19
2,16,43,47,19
2,23,47,43,19
2,41,0,36,19
2,14,33,39,19
2,23,7,47,19
2,28,35,37,19
2,14,33,40,19
2,23,47,44,19
2,28,35,40,19
2,14,33,43,19
2,23,47,46,19
2,28,35,44,19
2,41,0,47,19
2,23,47,48,19
2,29,44,35,19
2,41,0,48,19
2,14,29,44,19
2,29,44,36,19
2,10,46,38,19
2,14,18,17,19
2,14,29,4,19
2,29,44,43,19
2,10,46,39,19
2,14,28,44,19
2,14,18,30,19
2,14,29,35,19
2,29,44,46,19
2,10,46,44,19
2,14,20,30,19
2,14,28,7,19
2,14,29,43,19
2,29,44,47,19
2,10,46,47,19
2,14,25,7,19
2,14,20,5,19
2,14,28,35,19
2,14,25,12,19
2,14,20,17,19
2,14,28,38,19
2,14,25,17,19
2,14,20,35,19
2,14,28,39,19
2,14,25,39,19
2,14,20,36,19
2,14,37,39,19
2,8,47,0,19
2,8,44,4,19
2,14,37,43,19
2,8,47,7,19
2,8,44,5,19
2,16,5,0,19
2,8,47,11,19
2,8,44,35,19
2,16,5,7,19
2,8,47,38,19
2,8,44,36,19
2,16,5,38,19
2,8,47,39,19
2,8,44,43,19
2,16,5,39,19
2,8,47,43,19
2,8,44,46,19
2,16,5,44,19
2,8,47,44,19
2,8,44,47,19
2,8,47,46,19
2,16,5,46,19
2,8,47,48,19
2,23,38,7,19
2,35,28,7,19
2,23,38,12,19
2,35,28,38,19
2,23,38,40,19
2,35,28,39,19
2,23,38,43,19
2,14,47,38,19
2,23,38,46,19
2,14,47,39,19
2,23,38,47,19
2,14,47,43,19
2,29,35,37,19
2,14,47,44,19
2,29,35,40,19
2,14,47,46,19
2,29,35,44,19
2,14,47,48,19
2,35,20,5,19
2,28,42,4,19
2,35,29,44,19
2,35,20,17,19
2,28,42,5,19
2,35,45,30,19
2,35,29,4,19
2,35,20,30,19
2,28,42,12,19
2,35,32,5,19
2,35,29,43,19
2,35,20,36,19
2,28,42,35,19
2,35,34,47,19
2,35,32,7,19
2,35,45,4,19
2,28,42,46,19
2,35,42,4,19
2,35,34,4,19
2,35,32,37,19
2,35,45,7,19
2,35,42,5,19
2,35,34,17,19
2,35,32,38,19
2,35,45,46,19
2,35,42,12,19
2,35,34,36,19
2,35,32,39,19
2,35,42,43,19
2,35,34,44,19
2,35,32,43,19
2,35,42,46,19
2,35,34,46,19
2,35,32,46,19
2,28,26,43,19
2,23,30,37,19
2,28,20,36,19
2,28,26,17,19
2,23,30,46,19
2,28,8,17,19
2,28,20,5,19
2,28,26,36,19
2,28,9,17,19
2,28,8,7,19
2,28,20,17,19
2,28,26,37,19
2,28,13,43,19
2,28,9,5,19
2,28,8,30,19
2,28,20,30,19
2,28,26,40,19
2,28,14,0,19
2,28,9,11,19
2,28,8,44,19
2,28,20,35,19
2,28,26,47,19
2,28,14,11,19
2,28,9,37,19
