2,41
2,8,41
2,10,41
2,11,41
2,8,7,41
2,4,49,41
2,11,0,41
2,4,1,41
2,11,1,41
2,10,15,41
2,14,0,41
2,8,31,41
2,14,11,41
2,8,44,41
2,10,46,41
2,8,46,41
2,16,0,41
2,4,10,41
2,8,49,41
2,19,0,41
2,4,15,41
2,16,7,41
2,4,44,41
2,16,15,41
2,23,0,41
2,19,7,41
2,28,1,41
2,23,7,41
2,19,11,41
2,29,15,41
2,28,7,41
2,23,8,41
2,19,39,41
2,29,44,41
2,28,8,41
2,23,10,41
2,19,44,41
2,28,26,41
2,23,26,41
2,19,46,41
2,28,39,41
2,23,49,41
2,35,10,41
2,28,44,41
2,35,7,41
2,35,11,41
2,35,44,41
2,23,0,7,41
2,35,10,15,41
2,28,44,8,41
2,35,7,0,41
2,35,11,0,41
2,35,44,8,41
2,19,7,0,41
2,8,44,31,41
2,4,15,10,41
2,35,11,1,41
2,19,7,8,41
2,8,44,46,41
2,4,15,31,41
2,35,44,31,41
2,14,12,49,41
2,35,7,8,41
2,28,44,31,41
2,23,7,0,41
2,28,1,11,41
2,16,5,46,41
2,35,10,46,41
2,23,0,11,41
2,8,7,0,41
2,35,45,49,41
2,4,45,49,41
2,16,7,0,41
2,8,31,15,41
2,11,0,7,41
2,28,9,49,41
2,14,0,7,41
2,4,49,7,41
2,23,5,46,41
2,28,8,7,41
2,28,26,31,41
2,23,26,31,41
2,28,39,1,41
2,23,49,7,41
2,19,4,49,41
2,23,49,8,41
2,19,5,46,41
2,19,4,1,41
2,23,49,26,41
2,19,12,49,41
2,19,5,0,41
2,19,4,10,41
2,23,49,46,41
2,19,48,31,41
2,19,12,31,41
2,19,5,7,41
2,19,4,15,41
2,19,47,7,41
2,19,5,15,41
2,19,4,44,41
2,19,30,46,41
2,19,47,0,41
2,19,5,39,41
2,19,43,39,41
2,19,30,8,41
2,19,47,8,41
2,19,5,44,41
2,19,40,39,41
2,19,43,7,41
2,19,47,11,41
2,19,17,8,41
2,19,48,0,41
2,28,8,31,41
2,28,26,49,41
2,23,26,49,41
2,28,39,46,41
2,19,44,8,41
2,23,10,15,41
2,23,5,0,41
2,23,47,46,41
2,4,10,15,41
2,4,49,8,41
2,14,0,11,41
2,16,15,10,41
2,4,44,8,41
2,19,0,7,41
2,28,9,1,41
2,28,42,46,41
2,8,48,31,41
2,8,31,26,41
2,4,1,11,41
2,10,15,31,41
2,16,7,8,41
2,4,45,1,41
2,29,3,49,41
2,4,42,46,41
2,35,45,1,41
2,29,3,7,41
2,4,6,8,41
2,4,42,1,41
2,35,45,7,41
2,29,3,39,41
2,4,19,7,41
2,4,6,15,41
2,4,42,31,41
2,35,45,8,41
2,29,3,44,41
2,4,24,46,41
2,4,19,0,41
2,35,45,46,41
2,4,29,15,41
2,4,24,39,41
2,4,19,11,41
2,4,33,1,41
2,4,29,44,41
2,4,24,44,41
2,4,19,39,41
2,4,34,10,41
2,4,33,7,41
2,4,19,44,41
2,4,34,31,41
2,4,33,8,41
2,4,34,44,41
2,4,33,10,41
2,4,34,46,41
2,4,33,31,41
2,4,19,46,41
2,4,33,39,41
2,29,15,10,41
2,4,33,46,41
2,29,15,31,41
2,28,7,0,41
2,19,39,1,41
2,28,7,8,41
2,19,39,46,41
2,28,7,46,41
2,19,46,7,41
2,28,7,49,41
2,19,46,8,41
2,35,20,49,41
2,19,46,10,41
2,35,28,26,41
2,35,20,8,41
2,19,46,39,41
2,35,42,1,41
2,35,28,1,41
2,35,20,26,41
2,19,46,44,41
2,35,19,0,41
2,35,42,31,41
2,35,28,7,41
2,35,19,7,41
2,35,42,46,41
2,35,28,8,41
2,35,19,11,41
2,19,46,49,41
2,35,28,39,41
2,35,19,39,41
2,35,29,44,41
2,35,28,44,41
2,35,19,44,41
2,35,32,49,41
