31,33
31,8,33
31,12,14,33
31,8,6,33
31,12,6,33
31,15,10,33
31,8,7,33
31,18,10,33
31,15,4,33
31,8,17,33
31,18,6,33
31,8,46,33
31,18,14,33
31,15,5,33
31,18,17,33
31,26,17,33
31,15,6,33
31,18,29,33
31,34,46,33
31,15,17,33
31,26,40,33
31,15,29,33
31,26,43,33
31,41,1,33
31,34,4,33
31,42,1,33
31,41,7,33
31,34,10,33
31,44,46,33
31,42,4,33
31,41,8,33
31,34,17,33
31,44,3,33
31,42,5,33
31,41,10,33
31,44,4,33
31,42,43,33
31,41,39,33
31,44,5,33
31,42,46,33
31,41,46,33
31,44,8,33
31,47,46,33
31,44,29,33
31,48,1,33
31,47,7,33
31,44,43,33
31,48,6,33
31,47,8,33
31,48,8,33
31,47,14,33
31,48,14,33
31,47,39,33
31,47,43,33
31,42,1,4,33
31,47,8,6,33
31,48,8,6,33
31,48,14,29,33
31,47,39,1,33
31,47,21,29,33
31,42,1,39,33
31,47,43,3,33
31,47,14,29,33
31,34,4,1,33
31,48,0,14,33
31,48,6,4,33
31,44,43,3,33
31,44,8,6,33
31,15,17,3,33
31,41,7,3,33
31,18,14,29,33
31,8,49,46,33
31,15,10,4,33
31,44,29,3,33
31,48,1,4,33
31,44,19,46,33
31,47,7,3,33
31,47,46,5,33
31,26,9,40,33
31,15,47,14,33
31,41,1,4,33
31,26,40,3,33
31,18,6,4,33
31,8,7,3,33
31,8,17,3,33
31,12,14,29,33
31,41,49,46,33
31,26,40,17,33
31,18,6,8,33
31,8,7,5,33
31,8,17,6,33
31,41,44,46,33
31,18,6,17,33
31,8,7,43,33
31,8,17,40,33
31,41,0,7,33
31,41,44,3,33
31,18,6,29,33
31,41,2,10,33
31,41,0,5,33
31,41,44,4,33
31,41,11,14,33
31,41,2,4,33
31,41,0,14,33
31,41,44,5,33
31,41,15,4,33
31,41,11,1,33
31,41,2,8,33
31,41,0,17,33
31,41,44,8,33
31,41,26,17,33
31,41,15,5,33
31,8,7,46,33
31,41,49,3,33
31,26,40,39,33
31,42,5,7,33
31,42,43,3,33
31,41,39,1,33
31,42,12,6,33
31,41,46,5,33
31,41,1,39,33
31,15,47,7,33
31,44,5,7,33
31,15,41,39,33
31,26,9,1,33
31,44,4,1,33
31,41,10,4,33
31,26,23,29,33
31,47,46,7,33
31,15,6,4,33
31,47,7,5,33
31,44,19,4,33
31,44,3,7,33
31,26,43,3,33
31,15,29,3,33
31,44,24,46,33
31,48,1,39,33
31,18,42,46,33
31,44,29,4,33
31,15,10,46,33
31,34,46,5,33
31,12,6,4,33
31,8,49,3,33
31,8,30,46,33
31,44,29,6,33
31,18,10,4,33
31,34,46,7,33
31,8,49,4,33
31,8,32,46,33
31,44,29,14,33
31,18,10,46,33
31,34,46,8,33
31,8,32,5,33
31,44,29,43,33
31,8,49,7,33
31,34,46,10,33
31,8,32,7,33
31,8,41,46,33
31,12,6,8,33
31,34,46,39,33
31,8,32,10,33
31,8,44,46,33
31,8,41,1,33
31,12,6,17,33
31,8,41,7,33
31,12,6,29,33
31,8,41,10,33
31,8,32,39,33
31,8,41,39,33
31,8,32,43,33
31,8,2,4,33
31,8,44,3,33
31,8,22,39,33
31,8,2,10,33
31,8,44,4,33
31,8,20,3,33
31,8,22,6,33
31,8,2,14,33
31,8,44,5,33
31,8,20,5,33
31,8,22,7,33
31,8,2,29,33
31,8,44,29,33
31,8,20,14,33
31,8,22,10,33
31,8,23,5,33
31,8,44,43,33
