32,37
32,9,37
32,13,37
32,35,37
32,39,37
32,43,37
32,35,19,37
32,39,1,37
32,43,13,37
32,39,9,37
32,9,1,37
32,5,19,37
32,13,1,37
32,5,9,37
32,13,27,37
32,5,39,37
32,13,39,37
32,9,26,37
32,7,43,37
32,39,13,37
32,43,19,37
32,7,19,37
32,39,19,37
32,43,26,37
32,39,43,37
32,43,27,37
32,7,27,37
32,43,39,37
32,7,35,37
32,9,27,37
32,8,6,37
32,9,39,37
32,13,43,37
32,49,26,37
32,8,30,37
32,15,6,37
32,49,9,37
32,34,9,37
32,38,1,37
32,34,13,37
32,10,35,37
32,38,19,37
32,34,35,37
32,38,43,37
32,45,1,37
32,46,19,37
32,45,6,37
32,46,27,37
32,45,27,37
32,46,30,37
32,45,30,37
32,46,39,37
32,45,35,37
32,38,43,13,37
32,45,27,9,37
32,46,30,19,37
32,45,30,19,37
32,45,35,19,37
32,38,43,19,37
32,45,27,13,37
32,46,5,39,37
32,45,4,1,37
32,46,39,1,37
32,46,27,9,37
32,7,49,9,37
32,46,19,30,37
32,43,47,26,37
32,45,1,9,37
32,43,26,9,37
32,5,9,1,37
32,38,19,30,37
32,49,9,1,37
32,7,27,9,37
32,9,27,13,37
32,35,45,30,37
32,43,27,9,37
32,13,1,9,37
32,39,47,14,37
32,13,27,9,37
32,39,1,9,37
32,38,7,43,37
32,34,47,9,37
32,5,19,30,37
32,35,19,30,37
32,10,2,35,37
32,38,7,19,37
32,34,10,35,37
32,34,47,14,37
32,35,19,39,37
32,10,46,30,37
32,34,16,43,37
32,34,47,19,37
32,35,19,43,37
32,10,41,39,37
32,34,47,26,37
32,10,46,19,37
32,10,34,35,37
32,10,41,1,37
32,34,47,27,37
32,10,46,27,37
32,10,4,1,37
32,10,41,26,37
32,34,47,39,37
32,10,46,39,37
32,10,15,6,37
32,10,4,6,37
32,34,47,43,37
32,10,34,9,37
32,34,46,30,37
32,34,16,27,37
32,10,2,14,37
32,38,7,27,37
32,5,19,35,37
32,39,19,30,37
32,38,1,9,37
32,34,13,1,37
32,10,35,19,37
32,34,35,19,37
32,38,49,26,37
32,39,1,13,37
32,39,47,9,37
32,13,27,30,37
32,8,30,19,37
32,43,19,30,37
32,39,46,30,37
32,13,1,39,37
32,34,9,1,37
32,43,27,13,37
32,35,45,1,37
32,7,19,30,37
32,13,43,19,37
32,5,39,1,37
32,35,44,43,37
32,9,27,30,37
32,43,13,1,37
32,7,27,13,37
32,49,9,26,37
32,9,1,13,37
32,49,46,19,37
32,38,19,35,37
32,5,9,26,37
32,7,27,30,37
32,49,9,27,37
32,49,46,27,37
32,38,19,39,37
32,5,9,27,37
32,7,27,43,37
32,49,9,39,37
32,49,46,30,37
32,38,19,43,37
32,5,9,39,37
32,9,1,39,37
32,49,46,39,37
32,49,45,27,37
32,15,18,30,37
32,9,27,43,37
32,43,13,27,37
32,49,41,26,37
32,49,45,1,37
32,15,47,9,37
32,15,18,6,37
32,15,41,26,37
32,15,47,14,37
32,15,18,14,37
32,15,36,13,37
32,15,41,1,37
32,15,47,19,37
32,15,31,26,37
32,15,36,1,37
32,15,41,39,37
32,15,47,26,37
32,15,29,43,37
32,15,36,19,37
32,15,47,27,37
32,15,25,39,37
32,15,29,6,37
32,15,36,26,37
32,15,47,39,37
32,15,22,39,37
32,15,25,6,37
32,15,29,14,37
32,15,36,27,37
32,15,47,43,37
32,15,4,6,37
32,15,22,6,37
32,15,25,9,37
32,15,4,1,37
32,15,22,9,37
32,15,25,14,37
32,15,4,19,37
32,15,22,13,37
32,15,29,35,37
32,15,5,9,37
32,15,22,27,37
32,15,17,27,37
32,15,5,19,37
32,15,22,30,37
32,15,10,35,37
32,15,17,6,37
32,15,5,39,37
32,15,16,27,37
32,15,17,9,37
32,15,16,30,37
32,15,17,13,37
32,15,16,43,37
32,15,17,19,37
32,43,13,39,37
32,15,17,26,37
32,49,4,6,37
32,49,41,1,37
32,49,23,30,37
32,49,4,1,37
32,49,41,39,37
32,49,3,13,37
32,49,45,6,37
32,45,1,13,37
32,35,44,19,37
32,35,42,43,37
32,39,13,1,37
32,7,43,13,37
32,9,39,1,37
32,49,26,9,37
32,43,47,9,37
32,5,39,9,37
32,13,43,26,37
32,43,7,27,37
32,7,19,35,37
32,35,45,6,37
32,8,2,35,37
32,46,19,35,37
32,43,27,30,37
32,34,9,26,37
32,7,49,26,37
32,39,46,19,37
32,39,43,13,37
32,7,35,19,37
32,7,47,26,37
32,39,41,26,37
32,43,19,35,37
32,46,27,13,37
32,8,30,27,37
32,13,27,43,37
32,9,26,43,37
32,46,39,9,37
32,39,47,19,37
32,45,4,6,37
32,38,49,9,37
32,43,19,39,37
32,46,27,30,37
32,38,47,27,37
32,39,47,26,37
32,45,4,19,37
32,46,39,13,37
32,39,41,1,37
32,46,27,43,37
32,38,5,9,37
32,38,47,9,37
32,46,39,19,37
32,39,47,27,37
32,39,28,14,37
32,38,12,6,37
32,38,5,19,37
32,38,47,14,37
32,46,39,43,37
32,39,47,43,37
32,39,3,13,37
32,39,28,1,37
32,38,12,14,37
32,39,5,9,37
32,39,3,43,37
32,39,28,9,37
32,38,12,19,37
32,39,22,30,37
32,39,5,19,37
32,39,28,13,37
32,38,12,30,37
32,39,40,13,37
32,39,22,6,37
32,39,28,26,37
32,39,33,43,37
32,39,40,9,37
32,39,22,9,37
32,39,28,35,37
32,39,24,9,37
32,39,33,1,37
32,39,40,19,37
32,39,22,13,37
32,39,25,6,37
32,39,33,6,37
32,39,40,26,37
32,39,22,27,37
32,39,25,9,37
32,39,33,14,37
32,39,40,35,37
32,39,25,14,37
32,38,5,39,37
32,38,47,19,37
32,38,46,39,37
32,43,39,1,37
32,38,47,26,37
32,38,40,35,37
32,38,46,19,37
32,43,39,9,37
32,38,47,39,37
32,38,28,35,37
32,38,40,9,37
32,38,46,27,37
32,43,39,13,37
32,38,47,43,37
32,38,16,27,37
32,38,28,1,37
32,38,40,13,37
32,38,46,30,37
32,43,39,19,37
32,38,23,6,37
32,38,16,30,37
32,38,28,9,37
32,38,40,19,37
32,38,23,13,37
32,38,16,43,37
32,38,23,26,37
32,38,28,13,37
32,38,23,27,37
32,38,28,14,37
32,38,23,30,37
32,38,28,26,37
32,38,40,26,37
32,38,28,39,37
32,38,40,39,37
32,9,11,35,37
32,13,17,27,37
32,9,17,27,37
32,9,11,1,37
32,13,22,30,37
32,13,17,6,37
32,9,22,30,37
32,9,17,6,37
32,9,11,14,37
32,13,42,35,37
32,13,22,6,37
32,13,17,9,37
32,9,49,26,37
32,9,22,6,37
32,9,11,19,37
32,13,23,6,37
32,13,42,1,37
32,13,22,9,37
32,13,17,19,37
32,13,3,39,37
32,13,23,26,37
32,13,42,43,37
32,13,22,27,37
32,13,17,26,37
32,13,28,9,37
32,13,3,43,37
32,13,23,27,37
32,13,22,39,37
32,13,34,35,37
32,13,28,1,37
32,13,23,30,37
32,9,47,26,37
32,13,36,19,37
32,13,34,9,37
32,13,28,14,37
32,9,40,35,37
32,9,47,14,37
32,13,40,9,37
32,13,36,1,37
32,13,28,26,37
32,9,5,19,37
32,9,40,13,37
32,13,28,35,37
32,9,24,39,37
32,9,5,39,37
32,9,40,19,37
32,13,28,39,37
32,9,25,14,37
32,9,40,26,37
32,9,47,19,37
32,9,28,1,37
32,9,25,6,37
32,9,40,39,37
32,9,47,27,37
32,9,34,13,37
32,9,28,13,37
32,9,25,39,37
32,9,47,39,37
32,9,34,35,37
32,9,28,14,37
32,9,47,43,37
32,13,40,19,37
32,9,28,26,37
32,13,36,26,37
32,13,40,26,37
32,9,28,35,37
32,13,36,27,37
