34,36
34,13,36
34,16,36
34,20,36
34,24,36
34,44,36
34,20,26,36
34,24,44,36
34,44,19,36
34,13,1,36
34,4,44,36
34,16,0,36
34,44,24,36
34,16,12,36
34,9,1,36
34,16,15,36
34,17,40,36
34,4,1,36
34,13,27,36
34,9,24,36
34,4,15,36
34,13,40,36
34,9,26,36
34,4,19,36
34,9,27,36
34,4,24,36
34,9,40,36
34,10,15,36
34,17,0,36
34,31,44,36
34,16,27,36
34,17,13,36
34,32,13,36
34,31,12,36
34,17,15,36
34,35,44,36
34,32,15,36
34,17,16,36
34,46,44,36
34,35,19,36
34,17,19,36
34,47,0,36
34,17,20,36
34,47,15,36
34,17,26,36
34,47,19,36
34,17,27,36
34,47,26,36
34,46,19,36
34,47,27,36
34,46,24,36
34,47,44,36
34,46,27,36
34,35,20,36
34,31,15,36
34,35,40,36
34,31,26,36
34,47,15,16,36
34,46,19,0,36
34,46,24,44,36
34,35,20,26,36
34,35,29,44,36
34,35,40,13,36
34,31,26,20,36
34,31,15,16,36
34,47,27,13,36
34,9,27,13,36
34,46,5,44,36
34,47,26,20,36
34,47,19,0,36
34,47,48,12,36
34,9,49,12,36
34,17,26,20,36
34,16,12,19,36
34,4,49,26,36
34,17,20,26,36
34,47,0,16,36
34,17,19,0,36
34,24,9,40,36
34,17,3,13,36
34,10,15,16,36
34,16,0,19,36
34,44,47,15,36
34,10,4,15,36
34,4,19,0,36
34,9,26,20,36
34,20,26,40,36
34,9,1,13,36
34,10,4,1,36
34,4,19,12,36
34,9,26,40,36
34,20,49,26,36
34,10,4,19,36
34,4,19,40,36
34,44,47,0,36
34,20,35,19,36
34,20,49,12,36
34,44,47,19,36
34,20,30,27,36
34,20,35,40,36
34,44,47,26,36
34,20,5,0,36
34,20,30,12,36
34,20,35,44,36
34,44,47,27,36
34,20,3,13,36
34,20,5,15,36
34,20,30,16,36
34,20,28,13,36
34,20,3,40,36
34,10,4,24,36
34,4,19,44,36
34,10,46,44,36
34,13,17,0,36
34,44,4,15,36
34,4,15,16,36
34,46,44,19,36
34,35,19,0,36
34,17,27,13,36
34,46,27,13,36
34,17,3,20,36
34,24,9,1,36
34,17,6,12,36
34,17,15,16,36
34,32,15,16,36
34,24,4,1,36
34,17,19,12,36
34,17,16,0,36
34,47,0,19,36
34,9,24,44,36
34,24,44,19,36
34,32,5,44,36
34,4,49,12,36
34,4,6,12,36
34,35,44,19,36
34,17,26,40,36
34,13,27,16,36
34,4,44,19,36
34,9,49,20,36
34,9,47,26,36
34,35,44,24,36
34,4,1,13,36
34,47,48,0,36
34,9,49,26,36
34,9,39,13,36
34,9,47,0,36
34,4,44,24,36
34,47,48,1,36
34,9,39,1,36
34,9,47,15,36
34,4,6,15,36
34,47,48,19,36
34,9,39,19,36
34,9,47,19,36
34,9,37,13,36
34,4,2,16,36
34,9,39,24,36
34,9,47,27,36
34,9,5,0,36
34,9,37,1,36
34,9,11,0,36
34,9,5,15,36
34,9,37,19,36
34,9,17,40,36
34,9,11,1,36
34,9,5,16,36
34,9,37,26,36
34,9,22,12,36
34,9,17,0,36
34,9,11,19,36
34,9,5,19,36
34,9,37,27,36
34,9,25,15,36
34,9,22,13,36
34,9,5,20,36
34,9,17,13,36
34,9,28,1,36
34,9,25,12,36
34,9,22,15,36
34,9,5,44,36
34,9,17,15,36
34,9,28,13,36
34,9,25,20,36
34,9,22,24,36
34,9,32,13,36
34,9,17,16,36
34,9,28,20,36
34,9,32,15,36
34,9,17,19,36
34,9,28,26,36
34,9,25,24,36
34,9,17,20,36
34,9,28,44,36
34,9,22,27,36
34,9,17,26,36
34,4,10,15,36
34,9,17,27,36
34,4,29,15,36
34,4,2,19,36
34,4,33,1,36
34,4,29,44,36
34,4,42,1,36
34,4,33,40,36
34,4,45,1,36
34,4,42,12,36
34,4,45,16,36
34,4,42,13,36
34,4,45,27,36
34,9,39,40,36
34,9,47,44,36
34,47,46,44,36
34,4,49,20,36
34,47,43,44,36
34,47,46,19,36
34,32,5,0,36
34,9,40,13,36
34,32,13,1,36
34,31,12,16,36
34,47,44,19,36
34,47,19,12,36
34,32,49,26,36
34,47,26,40,36
34,46,49,26,36
34,46,5,0,36
34,17,16,12,36
34,17,19,40,36
34,24,18,15,36
34,24,4,15,36
34,17,0,16,36
34,16,27,13,36
34,9,27,16,36
34,47,27,16,36
34,17,6,15,36
34,17,8,20,36
34,17,13,1,36
34,17,3,40,36
34,24,9,26,36
34,31,26,40,36
34,46,27,16,36
34,17,27,16,36
34,13,40,19,36
34,31,44,19,36
34,16,5,0,36
34,35,40,19,36
34,13,40,26,36
34,31,44,24,36
34,16,7,0,36
34,16,5,15,36
34,35,40,26,36
34,35,19,12,36
34,16,17,40,36
34,16,7,19,36
34,16,5,19,36
34,35,19,40,36
34,16,30,12,36
34,16,17,0,36
34,16,7,27,36
34,16,5,20,36
34,35,19,44,36
34,16,2,19,36
34,16,30,19,36
34,16,17,13,36
34,16,5,44,36
34,16,38,12,36
34,16,30,20,36
34,16,17,15,36
34,24,9,27,36
34,16,30,27,36
34,16,17,19,36
34,16,43,26,36
34,16,38,1,36
34,16,17,20,36
34,16,45,1,36
34,16,43,13,36
34,16,38,19,36
34,16,17,26,36
34,16,45,27,36
34,16,43,19,36
34,16,38,40,36
34,16,17,27,36
34,16,43,27,36
34,46,44,24,36
34,17,3,44,36
34,16,43,44,36
34,17,13,27,36
34,35,29,15,36
34,17,9,24,36
34,17,13,40,36
34,17,8,44,36
34,17,18,15,36
34,17,9,1,36
34,44,4,1,36
34,17,25,15,36
34,17,18,20,36
34,17,9,26,36
34,44,4,19,36
34,17,25,12,36
34,17,18,24,36
34,17,9,27,36
34,44,4,24,36
34,17,25,20,36
34,17,33,1,36
34,17,9,40,36
34,17,25,24,36
34,17,33,40,36
34,35,7,0,36
34,13,17,15,36
34,44,5,0,36
34,35,10,15,36
34,35,7,16,36
34,13,17,16,36
34,44,41,0,36
34,44,5,15,36
34,35,11,0,36
34,35,7,19,36
34,13,17,19,36
34,44,3,13,36
34,44,41,1,36
34,44,5,16,36
34,35,28,13,36
34,44,5,19,36
34,35,32,13,36
34,35,28,1,36
34,44,5,20,36
34,35,2,16,36
34,35,32,15,36
34,35,28,20,36
34,35,37,13,36
34,35,2,19,36
34,35,28,26,36
34,35,42,1,36
34,35,37,1,36
34,35,28,44,36
34,35,45,1,36
34,35,42,12,36
34,35,37,19,36
34,35,45,16,36
34,35,42,13,36
34,35,37,26,36
34,35,45,27,36
34,35,37,27,36
34,35,11,1,36
34,35,7,27,36
34,35,11,19,36
34,13,17,20,36
34,44,28,26,36
34,13,17,26,36
34,44,46,19,36
34,44,28,1,36
