34,47,48
34,31,48
34,47,0,48
34,4,1,48
34,47,8,48
34,31,8,48
34,47,14,48
34,31,12,48
34,4,6,48
34,9,47,48
34,47,19,48
34,9,1,48
34,47,31,48
34,4,19,48
34,13,1,48
34,31,47,48
34,16,0,48
34,17,0,48
34,16,12,48
34,20,14,48
34,17,6,48
34,32,8,48
34,20,8,48
34,17,8,48
34,35,19,48
34,17,19,48
34,36,0,48
34,44,47,48
34,36,1,48
34,46,47,48
34,44,8,48
34,36,12,48
34,46,8,48
34,44,19,48
34,36,19,48
34,46,19,48
34,44,31,48
34,20,5,0,48
34,20,8,6,48
34,17,8,6,48
34,17,19,0,48
34,46,19,0,48
34,44,31,8,48
34,47,7,0,48
34,32,5,0,48
34,9,5,0,48
34,47,46,8,48
34,47,7,8,48
34,32,7,0,48
34,9,11,0,48
34,9,5,19,48
34,47,11,14,48
34,47,46,19,48
34,32,5,19,48
34,47,19,0,48
34,47,0,14,48
34,17,6,8,48
34,44,31,12,48
34,46,19,12,48
34,20,14,0,48
34,17,19,12,48
34,17,8,31,48
34,31,8,6,48
34,47,8,6,48
34,20,8,31,48
34,20,5,19,48
34,16,2,14,48
34,20,17,0,48
34,44,4,1,48
34,46,47,0,48
34,44,19,0,48
34,36,13,1,48
34,36,19,0,48
34,46,5,0,48
34,36,19,12,48
34,46,7,0,48
34,46,5,19,48
34,36,19,47,48
34,46,27,47,48
34,46,7,8,48
34,46,30,19,48
34,46,7,19,48
34,46,32,8,48
34,46,30,8,48
34,46,7,47,48
34,46,33,1,48
34,46,30,12,48
34,46,38,47,48
34,46,33,6,48
34,46,39,47,48
34,46,38,1,48
34,46,33,8,48
34,46,41,0,48
34,46,39,1,48
34,46,38,12,48
34,46,33,14,48
34,46,42,1,48
34,46,41,1,48
34,46,39,19,48
34,46,38,19,48
34,46,47,8,48
34,44,19,12,48
34,36,15,47,48
34,44,8,6,48
34,36,12,6,48
34,44,4,6,48
34,44,5,0,48
34,46,8,6,48
34,20,17,6,48
34,20,18,14,48
34,36,0,14,48
34,35,19,0,48
34,16,12,6,48
34,16,2,8,48
34,16,5,0,48
34,4,19,0,48
34,20,8,47,48
34,4,6,8,48
34,31,47,0,48
34,47,8,31,48
34,31,8,47,48
34,10,32,8,48
34,17,8,47,48
34,17,19,47,48
34,10,2,14,48
34,17,0,14,48
34,32,8,6,48
34,10,4,1,48
34,10,2,8,48
34,17,0,19,48
34,32,8,31,48
34,10,15,47,48
34,10,4,6,48
34,10,2,19,48
34,17,0,47,48
34,32,8,47,48
34,10,18,14,48
34,10,15,6,48
34,10,4,19,48
34,10,22,6,48
34,10,18,6,48
34,10,15,31,48
34,10,23,0,48
34,10,22,8,48
34,10,18,31,48
34,10,33,1,48
34,10,23,6,48
34,10,33,6,48
34,10,23,8,48
34,10,33,8,48
34,10,23,47,48
34,10,33,14,48
34,10,22,12,48
34,10,33,31,48
34,10,35,19,48
34,31,15,47,48
34,10,41,0,48
34,31,18,14,48
34,31,15,6,48
34,10,46,8,48
34,10,41,1,48
34,31,18,6,48
34,31,26,47,48
34,10,46,19,48
34,10,41,8,48
34,31,33,1,48
34,10,46,47,48
34,10,41,31,48
34,31,41,8,48
34,31,33,6,48
34,31,42,1,48
34,31,41,0,48
34,31,33,8,48
34,31,44,8,48
34,31,42,12,48
34,31,41,1,48
34,31,33,14,48
34,31,44,19,48
34,46,19,47,48
34,31,44,47,48
34,20,14,12,48
34,24,25,14,48
34,20,14,47,48
34,24,4,1,48
34,24,25,6,48
34,24,9,47,48
34,24,4,6,48
34,24,25,12,48
34,24,18,14,48
34,24,9,1,48
34,24,4,19,48
34,24,21,47,48
34,24,18,6,48
34,24,22,6,48
34,24,18,31,48
34,24,36,12,48
34,24,22,8,48
34,31,47,8,48
34,44,47,0,48
34,44,31,47,48
34,4,6,12,48
34,17,6,12,48
34,4,19,12,48
34,16,5,19,48
34,16,0,14,48
34,13,17,0,48
34,47,0,19,48
34,16,7,0,48
34,16,2,19,48
34,47,19,12,48
34,16,12,14,48
34,35,19,12,48
34,20,17,8,48
34,20,18,6,48
34,36,0,19,48
34,20,25,14,48
34,9,47,0,48
34,31,12,6,48
34,47,31,8,48
34,47,11,0,48
34,46,8,31,48
34,44,5,19,48
34,47,44,8,48
34,44,28,1,48
34,44,4,19,48
34,31,12,14,48
34,47,44,19,48
34,44,29,14,48
34,44,28,8,48
34,31,12,19,48
34,47,44,31,48
34,44,46,47,48
34,44,29,6,48
34,44,28,14,48
34,47,11,1,48
34,44,35,19,48
34,44,46,8,48
34,46,8,47,48
34,47,11,19,48
34,44,36,1,48
34,44,46,19,48
34,47,31,12,48
34,47,43,19,48
34,44,41,8,48
34,44,36,0,48
34,9,47,8,48
34,47,15,6,48
34,44,43,19,48
34,44,41,0,48
34,47,15,31,48
34,44,43,47,48
34,44,41,1,48
34,44,36,12,48
34,9,47,14,48
34,44,41,31,48
34,44,36,19,48
34,9,47,19,48
34,47,9,1,48
34,20,25,6,48
34,9,47,31,48
34,47,23,0,48
34,20,25,12,48
34,17,9,47,48
34,47,26,31,48
34,47,23,6,48
34,17,13,1,48
34,17,9,1,48
34,47,39,1,48
34,47,23,8,48
34,17,15,47,48
34,47,38,1,48
34,47,39,19,48
34,17,16,0,48
34,17,15,6,48
34,47,38,12,48
34,17,18,14,48
34,17,16,12,48
34,17,15,31,48
34,47,38,19,48
34,17,20,14,48
34,17,18,6,48
34,44,8,31,48
34,17,25,14,48
34,17,20,8,48
34,17,18,31,48
34,44,8,47,48
34,17,26,47,48
34,17,25,6,48
