37,1,42
37,13,42
37,35,42
37,43,42
37,1,4,42
37,35,28,42
37,43,13,42
37,35,45,42
37,13,1,42
37,1,13,42
37,6,4,42
37,13,28,42
37,6,12,42
37,13,43,42
37,6,18,42
37,1,28,42
37,9,1,42
37,6,45,42
37,1,45,42
37,14,18,42
37,9,5,42
37,19,46,42
37,9,28,42
37,26,28,42
37,19,4,42
37,27,46,42
37,26,31,42
37,19,5,42
37,30,46,42
37,14,12,42
37,27,13,42
37,26,43,42
37,30,12,42
37,14,28,42
37,27,43,42
37,30,18,42
37,19,12,42
37,27,45,42
37,30,45,42
37,19,35,42
37,32,46,42
37,19,43,42
37,39,1,42
37,32,5,42
37,39,5,42
37,32,13,42
37,39,13,42
37,32,35,42
37,39,28,42
37,32,43,42
37,39,43,42
37,32,45,42
37,39,46,42
37,32,5,46,42
37,39,28,1,42
37,32,43,13,42
37,39,43,13,42
37,32,45,1,42
37,39,46,5,42
37,39,28,13,42
37,19,4,1,42
37,39,3,43,42
37,32,7,46,42
37,32,35,28,42
37,39,13,1,42
37,32,13,1,42
37,9,5,46,42
37,39,5,46,42
37,13,3,43,42
37,6,12,31,42
37,39,1,4,42
37,19,43,13,42
37,26,31,12,42
37,27,46,5,42
37,32,46,5,42
37,26,28,1,42
37,9,11,1,42
37,19,46,5,42
37,1,4,45,42
37,9,28,1,42
37,43,47,31,42
37,19,0,5,42
37,13,28,1,42
37,6,4,1,42
37,35,28,1,42
37,13,28,35,42
37,6,4,45,42
37,35,28,13,42
37,30,12,31,42
37,27,43,13,42
37,27,45,1,42
37,30,8,46,42
37,27,45,4,42
37,30,16,5,42
37,30,8,28,42
37,27,45,35,42
37,30,19,46,42
37,30,16,12,42
37,27,45,46,42
37,30,20,18,42
37,30,19,4,42
37,30,16,43,42
37,30,22,12,42
37,30,20,5,42
37,30,19,5,42
37,30,16,45,42
37,30,23,5,42
37,30,22,13,42
37,30,20,28,42
37,30,19,12,42
37,30,27,46,42
37,30,23,13,42
37,30,8,31,42
37,19,35,28,42
37,19,2,4,42
37,43,47,46,42
37,30,45,1,42
37,43,44,31,42
37,9,28,13,42
37,30,18,31,42
37,27,7,46,42
37,19,46,45,42
37,19,12,31,42
37,9,11,35,42
37,9,17,18,42
37,14,18,31,42
37,1,45,4,42
37,43,13,1,42
37,26,28,13,42
37,32,46,45,42
37,1,48,31,42
37,27,46,45,42
37,26,31,18,42
37,1,13,28,42
37,14,0,5,42
37,39,1,13,42
37,6,8,46,42
37,13,3,45,42
37,14,2,4,42
37,39,1,28,42
37,6,15,4,42
37,6,8,28,42
37,14,11,1,42
37,14,2,28,42
37,39,1,45,42
37,6,17,18,42
37,6,15,5,42
37,6,8,31,42
37,14,20,18,42
37,6,22,12,42
37,6,17,13,42
37,6,15,18,42
37,6,8,45,42
37,14,25,12,42
37,14,20,5,42
37,6,23,5,42
37,6,15,31,42
37,6,22,13,42
37,14,29,4,42
37,14,20,28,42
37,14,33,1,42
37,14,29,18,42
37,14,20,35,42
37,14,47,31,42
37,14,33,4,42
37,14,29,35,42
37,14,48,1,42
37,14,47,43,42
37,14,33,5,42
37,14,29,43,42
37,14,48,12,42
37,14,47,46,42
37,14,33,31,42
37,14,48,31,42
37,14,33,43,42
37,6,25,12,42
37,14,33,46,42
37,6,29,4,42
37,6,23,13,42
37,6,33,1,42
37,6,29,18,42
37,6,23,45,42
37,6,48,1,42
37,6,33,4,42
37,6,29,35,42
37,6,48,12,42
37,6,33,5,42
37,6,29,43,42
37,6,48,31,42
37,6,33,31,42
37,14,11,35,42
37,6,33,43,42
37,14,2,35,42
37,6,33,46,42
37,30,46,5,42
37,14,12,31,42
37,30,46,45,42
37,26,9,1,42
37,13,17,18,42
37,26,17,18,42
37,26,9,5,42
37,13,22,12,42
37,26,20,18,42
37,26,17,13,42
37,26,9,28,42
37,13,23,5,42
37,26,23,5,42
37,26,20,5,42
37,13,27,46,42
37,13,23,45,42
37,26,36,1,42
37,26,23,13,42
37,1,13,43,42
37,1,48,12,42
37,27,13,1,42
37,1,41,46,42
37,32,13,28,42
37,26,28,35,42
37,43,13,28,42
37,6,45,1,42
37,9,1,4,42
37,39,13,28,42
37,1,45,35,42
37,32,35,45,42
37,9,17,13,42
37,9,22,12,42
37,1,28,13,42
37,32,7,5,42
37,32,8,46,42
37,27,7,5,42
37,35,2,4,42
37,26,43,13,42
37,14,28,1,42
37,39,3,13,42
37,27,9,1,42
37,39,9,1,42
37,9,28,35,42
37,39,3,45,42
37,27,16,5,42
37,27,9,5,42
37,39,19,46,42
37,39,9,5,42
37,27,17,18,42
37,27,16,12,42
37,27,9,28,42
37,39,22,12,42
