3,20,35,11
3,7,0,11
3,20,14,11
3,13,1,11
3,7,19,11
3,17,0,11
3,13,22,11
3,7,22,11
3,17,9,11
3,7,35,11
3,17,19,11
3,7,41,11
3,29,35,11
3,7,47,11
3,33,1,11
3,29,2,11
3,39,47,11
3,33,14,11
3,39,1,11
3,29,14,11
3,39,9,11
3,40,19,11
3,39,19,11
3,43,47,11
3,40,9,11
3,39,22,11
3,44,47,11
3,43,19,11
3,40,35,11
3,39,41,11
3,45,1,11
3,44,19,11
3,49,41,11
3,45,35,11
3,44,35,11
3,49,9,11
3,44,41,11
3,17,6,22,11
3,39,9,1,11
3,39,19,0,11
3,43,47,0,11
3,49,9,1,11
3,44,41,0,11
3,40,19,0,11
3,39,1,9,11
3,39,47,0,11
3,7,35,2,11
3,40,19,2,11
3,39,1,41,11
3,39,47,9,11
3,7,35,19,11
3,40,19,35,11
3,39,47,14,11
3,17,9,1,11
3,7,22,9,11
3,29,4,1,11
3,44,41,1,11
3,49,9,22,11
3,13,1,9,11
3,43,47,9,11
3,39,19,2,11
3,7,19,0,11
3,33,4,1,11
3,39,9,22,11
3,7,0,14,11
3,17,8,47,11
3,44,4,1,11
3,39,41,0,11
3,44,19,0,11
3,49,41,0,11
3,45,35,2,11
3,49,4,1,11
3,44,35,2,11
3,45,1,9,11
3,45,4,1,11
3,29,2,14,11
3,49,7,0,11
3,49,4,2,11
3,49,7,19,11
3,49,4,19,11
3,49,7,22,11
3,44,35,19,11
3,49,7,35,11
3,45,6,22,11
3,49,7,41,11
3,45,7,0,11
3,49,7,47,11
3,45,8,47,11
3,45,7,19,11
3,45,16,0,11
3,45,8,2,11
3,45,7,22,11
3,45,23,0,11
3,45,16,2,11
3,45,8,22,11
3,45,7,35,11
3,45,27,47,11
3,45,23,2,11
3,45,8,41,11
3,45,7,41,11
3,45,30,19,11
3,45,27,9,11
3,45,23,47,11
3,45,7,47,11
3,45,32,35,11
3,45,30,22,11
3,45,4,2,11
3,29,2,19,11
3,49,8,47,11
3,45,1,41,11
3,29,14,0,11
3,33,1,9,11
3,33,14,0,11
3,45,35,19,11
3,49,41,1,11
3,7,41,0,11
3,44,19,2,11
3,39,41,1,11
