3,7,5
3,20,5
3,33,5
3,39,5
3,44,5
3,7,0,5
3,44,19,5
3,7,16,5
3,44,46,5
3,33,7,5
3,13,23,5
3,39,9,5
3,13,32,5
3,39,19,5
3,13,39,5
3,39,32,5
3,33,39,5
3,17,0,5
3,7,19,5
3,13,42,5
3,17,9,5
3,7,23,5
3,33,46,5
3,7,32,5
3,17,15,5
3,7,33,5
3,17,16,5
3,7,38,5
3,17,19,5
3,7,46,5
3,17,20,5
3,29,23,5
3,39,33,5
3,17,33,5
3,40,19,5
3,29,15,5
3,39,46,5
3,43,7,5
3,29,33,5
3,40,9,5
3,45,46,5
3,43,16,5
3,29,44,5
3,43,19,5
3,40,33,5
3,43,32,5
3,40,38,5
3,43,33,5
3,40,39,5
3,43,38,5
3,49,46,5
3,43,39,5
3,49,7,5
3,43,42,5
3,49,9,5
3,43,44,5
3,49,20,5
3,45,7,5
3,49,23,5
3,45,16,5
3,49,32,5
3,45,23,5
3,49,38,5
3,45,32,5
3,45,42,5
3,49,46,7,5
3,43,42,46,5
3,49,9,32,5
3,43,13,42,5
3,49,38,7,5
3,45,32,7,5
3,45,42,46,5
3,49,7,0,5
3,43,39,9,5
3,7,38,16,5
3,43,38,7,5
3,43,33,7,5
3,40,38,7,5
3,7,32,9,5
3,43,32,7,5
3,17,15,16,5
3,13,32,7,5
3,43,19,0,5
3,43,16,0,5
3,17,19,0,5
3,40,13,23,5
3,13,23,0,5
3,17,16,0,5
3,39,9,32,5
3,20,49,38,5
3,7,33,39,5
3,7,23,0,5
3,39,19,0,5
3,33,1,9,5
3,44,19,0,5
3,7,33,46,5
3,7,23,38,5
3,33,1,38,5
3,44,19,7,5
3,39,19,7,5
3,33,43,32,5
3,33,1,39,5
3,44,19,38,5
3,33,43,7,5
3,33,1,42,5
3,44,19,39,5
3,33,43,16,5
3,39,19,38,5
3,44,19,46,5
3,33,43,19,5
3,39,19,44,5
3,33,40,39,5
3,33,43,38,5
3,39,19,46,5
3,33,6,23,5
3,33,40,9,5
3,33,43,39,5
3,33,8,46,5
3,29,2,19,5
3,20,49,7,5
3,20,8,46,5
3,7,0,16,5
3,17,16,7,5
3,40,33,7,5
3,49,23,0,5
3,45,16,0,5
3,49,32,7,5
3,45,23,0,5
3,13,23,7,5
3,40,13,32,5
3,40,9,32,5
3,40,17,9,5
3,17,19,7,5
3,29,15,16,5
3,17,9,32,5
3,43,16,7,5
3,43,19,7,5
3,13,1,9,5
3,13,32,9,5
3,17,15,32,5
3,7,19,0,5
3,17,0,7,5
3,43,7,0,5
3,43,32,9,5
3,7,32,15,5
3,7,16,0,5
3,40,38,16,5
3,43,33,39,5
3,13,39,9,5
3,39,1,9,5
3,43,38,16,5
3,7,38,19,5
3,7,16,15,5
3,40,38,19,5
3,39,13,42,5
3,39,1,33,5
3,43,38,19,5
3,7,38,23,5
3,7,16,38,5
3,39,1,38,5
3,43,38,23,5
3,7,38,32,5
3,40,38,23,5
3,39,1,42,5
3,43,38,32,5
3,7,38,46,5
3,40,38,32,5
3,39,47,23,5
3,43,38,46,5
3,39,13,23,5
3,40,38,46,5
3,39,43,32,5
3,39,47,0,5
3,39,41,44,5
3,39,43,7,5
3,39,47,7,5
3,39,22,7,5
3,39,41,0,5
3,39,43,16,5
3,39,47,9,5
3,39,24,46,5
3,39,22,9,5
3,39,41,7,5
3,39,43,19,5
3,39,47,15,5
3,39,40,38,5
3,39,41,15,5
3,39,43,33,5
3,39,47,19,5
3,39,25,15,5
3,39,40,9,5
3,39,41,46,5
3,39,43,38,5
3,39,47,38,5
3,39,28,44,5
3,39,25,7,5
3,39,40,19,5
3,39,43,42,5
3,39,25,9,5
3,39,40,33,5
3,39,43,44,5
3,39,25,20,5
3,39,47,44,5
3,39,37,9,5
3,39,25,23,5
3,39,47,46,5
3,39,37,19,5
3,39,28,7,5
3,39,24,9,5
3,39,37,32,5
3,39,28,9,5
3,39,24,44,5
3,39,22,15,5
3,39,28,20,5
3,39,13,32,5
3,39,28,38,5
3,43,33,46,5
3,39,28,42,5
3,13,39,19,5
3,33,7,0,5
3,13,39,32,5
3,33,7,16,5
3,13,39,33,5
3,33,7,19,5
3,13,39,46,5
3,33,7,23,5
3,43,39,19,5
3,33,7,32,5
3,43,39,32,5
3,7,32,38,5
3,43,32,15,5
3,49,7,16,5
3,43,7,16,5
3,17,0,16,5
3,45,7,0,5
3,17,33,7,5
3,40,19,0,5
3,39,46,7,5
3,7,19,38,5
3,45,32,9,5
3,13,32,15,5
3,13,1,33,5
3,43,13,23,5
3,49,38,16,5
3,13,17,33,5
3,43,19,38,5
3,17,9,39,5
3,43,16,15,5
3,33,39,9,5
3,17,40,39,5
3,43,26,20,5
3,29,15,32,5
