46,47,48
46,8,48
46,19,48
46,47,0,48
46,5,0,48
46,19,0,48
46,5,19,48
46,19,12,48
46,8,6,48
46,7,0,48
46,47,8,48
46,7,8,48
46,47,14,48
46,7,19,48
46,47,19,48
46,8,31,48
46,27,47,48
46,19,47,48
46,7,47,48
46,8,47,48
46,30,19,48
46,47,31,48
46,32,8,48
46,30,8,48
46,33,1,48
46,30,12,48
46,34,47,48
46,33,6,48
46,38,47,48
46,34,31,48
46,33,8,48
46,39,47,48
46,38,1,48
46,33,14,48
46,41,0,48
46,39,1,48
46,38,12,48
46,33,31,48
46,42,1,48
46,41,1,48
46,44,47,48
46,42,12,48
46,41,8,48
46,45,1,48
46,44,8,48
46,42,31,48
46,49,8,48
46,45,6,48
46,44,19,48
46,49,12,48
46,45,8,48
46,44,31,48
46,41,31,48
46,39,19,48
46,38,19,48
46,30,8,6,48
46,49,8,6,48
46,45,6,8,48
46,44,19,0,48
46,45,8,6,48
46,39,19,0,48
46,38,19,0,48
46,30,12,6,48
46,42,31,8,48
46,10,32,8,48
46,7,8,6,48
46,44,8,6,48
46,42,4,1,48
46,32,8,6,48
46,47,31,8,48
46,32,5,0,48
46,44,47,0,48
46,42,12,6,48
46,41,8,6,48
46,49,12,6,48
46,30,19,0,48
46,47,7,0,48
46,47,0,14,48
46,47,14,0,48
46,47,8,6,48
46,19,0,14,48
46,7,0,14,48
46,5,0,14,48
46,33,4,1,48
46,47,14,12,48
46,19,0,47,48
46,7,0,19,48
46,33,4,6,48
46,5,0,19,48
46,33,5,0,48
46,7,0,47,48
46,33,4,19,48
46,5,0,47,48
46,33,7,0,48
46,33,5,19,48
46,47,8,31,48
46,33,17,0,48
46,33,7,8,48
46,47,0,19,48
46,33,29,14,48
46,33,17,6,48
46,33,7,19,48
46,33,39,47,48
46,33,29,6,48
46,33,17,8,48
46,33,7,47,48
46,33,40,19,48
46,47,7,8,48
46,8,47,0,48
46,38,12,6,48
46,33,31,8,48
46,44,31,8,48
46,41,31,8,48
46,47,11,14,48
46,30,19,12,48
46,41,8,31,48
46,49,12,14,48
46,8,2,14,48
46,41,0,14,48
46,42,12,14,48
46,44,47,8,48
46,7,5,0,48
46,32,5,19,48
46,32,7,0,48
46,19,2,14,48
46,39,47,0,48
46,33,14,0,48
46,47,31,12,48
46,32,8,31,48
46,42,5,0,48
46,42,4,6,48
46,7,19,0,48
46,8,6,12,48
46,44,8,31,48
46,7,8,31,48
46,27,7,0,48
46,42,5,19,48
46,7,19,12,48
46,42,4,19,48
46,44,8,47,48
46,27,9,47,48
46,27,7,8,48
46,7,19,47,48
46,7,8,47,48
46,10,2,14,48
46,27,7,19,48
46,27,13,1,48
46,27,9,1,48
46,10,4,1,48
