4,6
4,15,6
4,29,6
4,33,6
4,45,6
4,15,17,6
4,33,8,6
4,45,8,6
4,33,17,6
4,45,23,6
4,29,15,6
4,15,18,6
4,1,48,6
4,29,18,6
4,10,33,6
4,1,33,6
4,29,23,6
4,49,25,6
4,15,22,6
4,33,29,6
4,49,8,6
4,15,25,6
4,29,25,6
4,15,29,6
4,29,33,6
4,49,12,6
4,2,8,6
4,49,23,6
4,19,48,6
4,2,23,6
4,49,45,6
4,10,15,6
4,1,37,6
4,24,22,6
4,2,29,6
4,10,18,6
4,1,45,6
4,34,17,6
4,10,22,6
4,24,18,6
4,42,18,6
4,10,23,6
4,42,12,6
4,24,25,6
4,42,45,6
4,44,8,6
4,19,12,6
4,44,29,6
4,19,17,6
4,19,37,6
4,42,18,15,6
4,42,12,22,6
4,19,12,22,6
4,44,29,15,6
4,19,17,8,6
4,2,8,17,6
4,19,12,25,6
4,44,29,18,6
4,19,17,15,6
4,2,8,22,6
4,44,8,17,6
4,15,25,12,6
4,42,12,25,6
4,42,18,17,6
4,29,25,12,6
4,19,0,48,6
4,29,18,15,6
4,19,48,8,6
4,49,23,8,6
4,49,12,22,6
4,44,47,48,6
4,29,2,8,6
4,1,48,8,6
4,15,47,48,6
4,42,1,48,6
4,1,33,8,6
4,10,33,8,6
4,24,21,29,6
4,15,17,8,6
4,45,8,17,6
4,10,2,29,6
4,33,8,17,6
4,49,8,17,6
4,33,8,22,6
4,49,8,22,6
4,33,8,23,6
4,49,8,23,6
4,33,8,45,6
4,49,8,33,6
4,33,8,48,6
4,49,8,45,6
4,34,17,8,6
4,49,8,48,6
4,34,17,15,6
4,10,22,8,6
4,34,17,18,6
4,10,22,12,6
4,34,17,25,6
4,10,22,15,6
4,34,17,33,6
4,10,23,8,6
4,42,45,8,6
4,10,23,25,6
4,42,45,23,6
4,10,23,29,6
4,10,2,8,6
4,10,23,45,6
4,10,2,23,6
4,10,32,8,6
4,24,18,15,6
4,10,34,17,6
4,10,32,15,6
4,24,18,17,6
4,10,35,29,6
4,45,8,22,6
