6,15,41
6,8,41
6,15,10,41
6,4,49,41
6,15,31,41
6,8,2,41
6,4,1,41
6,8,7,41
6,12,49,41
6,4,2,41
6,8,31,41
6,4,10,41
6,8,44,41
6,4,15,41
6,8,46,41
6,17,0,41
6,12,31,41
6,4,44,41
6,8,49,41
6,18,10,41
6,17,8,41
6,18,15,41
6,17,15,41
6,18,31,41
6,17,26,41
6,22,10,41
6,23,0,41
6,22,7,41
6,25,49,41
6,23,2,41
6,22,8,41
6,29,15,41
6,25,7,41
6,23,7,41
6,29,2,41
6,25,15,41
6,23,8,41
6,29,44,41
6,25,39,41
6,23,10,41
6,22,11,41
6,23,26,41
6,22,15,41
6,23,49,41
6,22,39,41
6,33,1,41
6,37,1,41
6,33,7,41
6,45,49,41
6,37,26,41
6,33,8,41
6,48,0,41
6,45,1,41
6,37,39,41
6,33,10,41
6,48,1,41
6,45,7,41
6,33,31,41
6,48,8,41
6,45,8,41
6,33,39,41
6,48,31,41
6,45,46,41
6,33,46,41
6,45,49,7,41
6,37,26,31,41
6,48,0,7,41
6,45,1,11,41
6,37,39,1,41
6,45,46,7,41
6,33,46,7,41
6,33,8,2,41
6,33,7,0,41
6,37,1,11,41
6,17,26,31,41
6,33,1,11,41
6,22,39,1,41
6,23,26,31,41
6,17,3,49,41
6,22,15,10,41
6,4,10,2,41
6,18,42,46,41
6,23,10,2,41
6,22,11,0,41
6,22,10,2,41
6,8,44,31,41
6,8,31,15,41
6,15,10,2,41
6,22,9,49,41
6,23,5,0,41
6,17,15,10,41
6,18,15,10,41
6,17,8,2,41
6,23,21,49,41
6,23,5,7,41
6,17,15,31,41
6,18,15,31,41
6,17,8,7,41
6,23,47,8,41
6,23,21,7,41
6,17,8,31,41
6,23,45,49,41
6,23,47,0,41
6,17,8,44,41
6,23,38,49,41
6,23,45,1,41
6,23,47,7,41
6,17,8,46,41
6,23,30,46,41
6,23,38,1,41
6,23,45,7,41
6,23,47,11,41
6,17,8,49,41
6,23,5,15,41
6,8,2,10,41
6,22,12,49,41
6,22,9,1,41
6,15,10,46,41
6,8,31,26,41
6,18,10,2,41
6,4,2,8,41
6,8,44,46,41
6,22,10,15,41
6,15,4,49,41
6,22,11,1,41
6,23,10,15,41
6,25,15,10,41
6,23,8,2,41
6,25,9,49,41
6,23,49,7,41
6,48,31,8,41
6,18,42,1,41
6,18,30,46,41
6,29,3,49,41
6,4,10,15,41
6,22,15,31,41
6,29,2,8,41
6,23,7,0,41
6,17,3,7,41
6,17,9,49,41
6,8,49,7,41
6,23,26,49,41
6,22,39,46,41
6,29,15,10,41
6,18,31,8,41
6,8,48,31,41
6,33,1,39,41
6,17,26,49,41
6,4,45,49,41
6,37,1,39,41
