6,48
6,8,48
6,12,48
6,8,31,48
6,4,1,48
6,8,47,48
6,12,14,48
6,4,19,48
6,12,19,48
6,15,47,48
6,12,31,48
6,17,0,48
6,15,31,48
6,18,14,48
6,17,8,48
6,22,8,48
6,18,31,48
6,17,19,48
6,22,12,48
6,23,0,48
6,25,14,48
6,23,8,48
6,29,14,48
6,25,12,48
6,23,47,48
6,33,1,48
6,37,1,48
6,33,8,48
6,45,1,48
6,37,14,48
6,33,14,48
6,45,8,48
6,37,19,48
6,33,31,48
6,29,44,47,48
6,25,7,47,48
6,25,12,14,48
6,23,47,0,48
6,37,19,0,48
6,33,31,8,48
6,29,14,0,48
6,23,0,14,48
6,22,12,14,48
6,17,0,14,48
6,15,31,8,48
6,12,14,0,48
6,25,14,0,48
6,15,31,12,48
6,12,14,47,48
6,25,14,12,48
6,15,31,47,48
6,22,12,19,48
6,25,14,47,48
6,17,0,19,48
6,22,12,31,48
6,8,7,47,48
6,23,0,19,48
6,29,14,12,48
6,15,41,8,48
6,8,31,12,48
6,33,31,12,48
6,37,19,12,48
6,12,16,0,48
6,23,47,8,48
6,25,12,19,48
6,22,7,47,48
6,17,19,0,48
6,33,14,0,48
6,25,9,47,48
6,25,7,0,48
6,45,8,31,48
6,29,44,8,48
6,29,43,47,48
6,17,9,47,48
6,18,15,47,48
6,29,44,19,48
6,29,21,47,48
6,29,43,19,48
6,29,23,0,48
6,17,9,1,48
6,29,2,8,48
6,29,23,8,48
6,29,4,1,48
6,29,2,14,48
6,29,23,47,48
6,29,15,47,48
6,29,4,19,48
6,29,2,19,48
6,29,18,14,48
6,29,15,31,48
6,29,25,12,48
6,29,18,31,48
6,29,33,8,48
6,29,25,14,48
6,29,35,19,48
6,29,33,1,48
6,18,42,12,48
6,29,33,14,48
6,18,17,0,48
6,18,42,1,48
6,29,33,31,48
6,18,15,31,48
6,29,44,31,48
6,17,40,19,48
6,33,46,47,48
6,25,7,8,48
6,45,8,47,48
6,37,43,19,48
6,25,9,1,48
6,25,49,12,48
6,15,47,0,48
6,45,27,47,48
6,33,14,12,48
6,17,19,12,48
6,37,14,0,48
6,22,7,0,48
6,22,9,1,48
6,22,8,31,48
6,33,8,31,48
6,12,22,8,48
6,23,47,14,48
6,25,12,31,48
6,22,11,47,48
6,22,9,47,48
6,22,8,47,48
6,22,13,1,48
6,22,11,0,48
6,12,25,14,48
6,22,15,47,48
6,22,11,1,48
6,12,30,19,48
6,22,27,47,48
6,22,15,31,48
6,22,11,14,48
6,12,36,19,48
6,12,30,8,48
6,22,30,19,48
6,22,11,19,48
6,12,38,19,48
6,12,36,0,48
6,22,39,1,48
6,22,30,8,48
6,12,42,1,48
6,12,38,1,48
6,12,36,1,48
6,12,38,47,48
6,22,39,19,48
6,22,30,12,48
6,22,39,47,48
6,12,49,8,48
6,12,42,31,48
6,23,47,19,48
6,33,8,47,48
6,23,47,31,48
6,18,31,8,48
6,18,14,0,48
6,18,31,12,48
6,18,14,12,48
6,18,31,47,48
6,18,14,47,48
6,37,19,47,48
6,22,7,8,48
6,37,14,12,48
6,22,7,19,48
6,37,14,47,48
6,33,31,47,48
6,17,19,47,48
6,33,14,47,48
6,17,8,31,48
6,8,31,47,48
6,17,8,47,48
6,45,49,12,48
6,15,41,0,48
6,45,46,47,48
6,45,49,8,48
6,15,41,1,48
6,45,46,8,48
6,45,42,31,48
6,15,41,31,48
