7,47
7,0,47
7,8,47
7,19,47
7,21,47
7,23,47
7,27,47
7,38,47
7,43,47
7,46,47
7,23,0,47
7,38,19,47
7,43,19,47
7,46,8,47
7,27,9,47
7,43,26,47
7,46,19,47
7,27,23,47
7,43,27,47
7,21,23,47
7,0,11,47
7,38,23,47
7,23,8,47
7,0,14,47
7,38,43,47
7,23,21,47
7,38,46,47
7,23,26,47
7,0,19,47
7,23,27,47
7,0,23,47
7,23,38,47
7,0,48,47
7,19,0,47
7,3,44,47
7,43,38,47
7,8,23,47
7,27,43,47
7,46,27,47
7,43,39,47
7,8,31,47
7,27,46,47
7,43,44,47
7,8,44,47
7,46,34,47
7,5,0,47
7,8,46,47
7,46,38,47
7,8,48,47
7,46,39,47
7,16,0,47
7,46,44,47
7,22,39,47
7,16,15,47
7,25,39,47
7,22,8,47
7,16,27,47
7,28,44,47
7,25,9,47
7,22,9,47
7,16,34,47
7,32,46,47
7,28,8,47
7,5,9,47
7,3,39,47
7,19,11,47
7,32,8,47
7,28,9,47
7,5,15,47
7,19,38,47
7,32,9,47
7,28,14,47
7,5,19,47
7,19,39,47
7,32,15,47
7,28,26,47
7,19,43,47
7,32,34,47
7,28,38,47
7,19,44,47
7,32,38,47
7,28,39,47
7,19,46,47
7,32,39,47
7,5,23,47
7,19,48,47
7,32,43,47
7,5,38,47
7,3,43,47
7,25,14,47
7,5,39,47
7,25,15,47
7,5,44,47
7,25,23,47
7,5,46,47
7,16,38,47
7,33,46,47
7,16,43,47
7,49,46,47
7,33,8,47
7,35,19,47
7,49,8,47
7,33,14,47
7,41,0,47
7,35,11,47
7,33,31,47
7,45,8,47
7,41,8,47
7,35,34,47
7,33,39,47
7,45,23,47
7,41,11,47
7,35,44,47
7,33,43,47
7,45,27,47
7,41,15,47
7,49,9,47
7,45,46,47
7,41,26,47
7,49,21,47
7,22,11,47
7,41,31,47
7,49,23,47
7,22,15,47
7,41,39,47
7,49,26,47
7,22,27,47
7,41,44,47
7,49,38,47
7,41,46,47
7,33,39,9,47
7,45,23,0,47
7,35,44,8,47
7,45,27,9,47
7,49,9,11,47
7,45,46,8,47
7,49,38,19,47
7,41,46,8,47
7,41,15,31,47
7,41,11,0,47
7,16,27,9,47
7,33,1,48,47
7,33,14,0,47
7,16,43,19,47
7,35,10,34,47
7,22,39,9,47
7,16,38,19,47
7,16,15,31,47
7,25,39,9,47
7,23,26,9,47
7,45,8,23,47
7,41,8,23,47
7,35,34,9,47
7,41,0,11,47
7,35,11,0,47
7,33,31,8,47
7,46,39,9,47
7,5,44,8,47
7,25,15,31,47
7,27,9,11,47
7,46,44,8,47
7,46,38,19,47
7,0,19,11,47
7,5,39,9,47
7,16,0,11,47
7,33,8,23,47
7,49,8,23,47
7,33,43,19,47
7,35,19,0,47
7,49,46,8,47
7,33,46,8,47
7,46,5,44,47
7,25,14,0,47
7,46,8,23,47
7,23,49,46,47
7,43,26,9,47
7,0,23,8,47
7,16,5,44,47
7,38,1,48,47
7,16,34,9,47
7,22,9,11,47
7,25,9,11,47
7,38,43,19,47
7,38,19,0,47
7,8,49,46,47
7,5,16,15,47
7,25,6,48,47
7,28,44,8,47
7,38,19,11,47
7,8,6,48,47
7,8,49,9,47
7,5,16,0,47
7,38,19,39,47
7,8,45,46,47
7,8,6,15,47
7,8,49,21,47
7,5,16,27,47
7,38,19,43,47
7,8,41,39,47
7,8,6,23,47
7,8,49,23,47
7,5,16,34,47
7,38,19,44,47
7,8,33,46,47
7,5,16,38,47
7,38,19,46,47
7,8,32,38,47
7,8,33,14,47
7,5,16,43,47
7,38,19,48,47
7,8,30,46,47
7,8,32,9,47
7,8,33,31,47
7,8,28,44,47
7,8,30,19,47
7,8,32,15,47
7,8,33,39,47
7,8,28,9,47
7,8,30,23,47
7,8,32,34,47
7,8,33,43,47
7,8,28,14,47
7,8,30,27,47
7,8,32,39,47
7,8,2,11,47
7,8,28,26,47
