8,6,18
8,17,18
8,20,18
8,30,18
8,31,18
8,20,14,18
8,30,20,18
8,31,15,18
8,20,17,18
8,6,15,18
8,2,10,18
8,17,6,18
8,2,14,18
8,17,15,18
8,2,29,18
8,17,20,18
8,6,17,18
8,7,21,18
8,20,30,18
8,31,42,18
8,6,29,18
8,22,6,18
8,23,6,18
8,22,10,18
8,28,42,18
8,23,10,18
8,22,15,18
8,32,10,18
8,28,14,18
8,23,21,18
8,22,24,18
8,33,6,18
8,32,15,18
8,23,29,18
8,22,30,18
8,41,10,18
8,23,30,18
8,33,10,18
8,44,24,18
8,41,15,18
8,44,29,18
8,41,31,18
8,44,31,18
8,33,14,18
8,45,6,18
8,33,17,18
8,46,42,18
8,45,30,18
8,33,29,18
8,47,21,18
8,46,10,18
8,45,42,18
8,33,31,18
8,48,6,18
8,47,14,18
8,46,24,18
8,28,20,18
8,49,20,18
8,48,14,18
8,47,15,18
8,46,30,18
8,49,21,18
8,48,31,18
8,47,31,18
8,33,29,6,18
8,46,10,15,18
8,45,42,31,18
8,33,31,15,18
8,48,6,15,18
8,48,31,15,18
8,47,31,15,18
8,47,21,24,18
8,33,17,6,18
8,33,14,20,18
8,28,42,31,18
8,44,29,6,18
8,6,29,14,18
8,45,30,20,18
8,46,42,31,18
8,41,15,6,18
8,22,6,15,18
8,2,14,20,18
8,44,24,21,18
8,32,10,15,18
8,22,15,6,18
8,45,6,15,18
8,23,6,15,18
8,2,10,15,18
8,30,16,15,18
8,44,3,20,18
8,23,10,15,18
8,22,10,15,18
8,41,0,14,18
8,44,4,6,18
8,44,3,17,18
8,30,20,14,18
8,41,1,42,18
8,44,3,29,18
8,30,20,17,18
8,41,2,10,18
8,41,0,17,18
8,44,5,42,18
8,41,7,21,18
8,41,2,14,18
8,44,47,31,18
8,44,5,15,18
8,41,26,17,18
8,41,2,29,18
8,44,46,10,18
8,44,47,14,18
8,44,4,10,18
8,30,12,6,18
8,30,16,17,18
8,23,6,17,18
8,17,15,6,18
8,17,6,15,18
8,45,6,17,18
8,22,15,10,18
8,20,14,29,18
8,23,29,6,18
8,41,10,15,18
8,23,30,20,18
8,41,31,15,18
8,22,6,17,18
8,2,14,29,18
8,33,10,15,18
8,41,15,10,18
8,6,12,30,18
8,23,0,14,18
8,6,29,15,18
