8,30
8,20,30
8,22,30
8,23,30
8,45,30
8,46,30
8,23,27,30
8,45,16,30
8,46,19,30
8,23,45,30
8,45,23,30
8,20,18,30
8,49,46,30
8,45,27,30
8,6,45,30
8,49,12,30
8,45,46,30
8,48,12,30
8,22,12,30
8,46,27,30
8,48,19,30
8,22,27,30
8,46,45,30
8,6,12,30
8,47,27,30
8,6,18,30
8,44,46,30
8,47,19,30
8,6,22,30
8,41,46,30
8,44,19,30
8,49,20,30
8,47,23,30
8,6,23,30
8,33,46,30
8,49,23,30
8,47,46,30
8,32,45,30
8,49,45,30
8,6,37,30
8,2,16,30
8,32,37,30
8,7,16,30
8,2,19,30
8,32,46,30
8,17,16,30
8,7,19,30
8,2,23,30
8,17,18,30
8,7,22,30
8,28,20,30
8,17,19,30
8,7,23,30
8,31,12,30
8,17,20,30
8,7,27,30
8,31,18,30
8,17,27,30
8,7,45,30
8,7,46,30
8,28,2,23,30
8,28,20,18,30
8,17,19,12,30
8,7,23,27,30
8,17,27,16,30
8,7,45,16,30
8,7,46,19,30
8,7,19,12,30
8,17,18,20,30
8,7,22,12,30
8,6,22,12,30
8,47,19,12,30
8,49,12,16,30
8,2,41,46,30
8,6,18,20,30
8,6,12,16,30
8,45,27,16,30
8,7,16,12,30
8,2,19,12,30
8,32,5,46,30
8,2,23,27,30
8,32,46,19,30
8,32,37,19,30
8,2,16,12,30
8,49,46,19,30
8,45,16,12,30
8,46,19,12,30
8,47,27,16,30
8,46,5,23,30
8,6,45,16,30
8,45,16,27,30
8,46,19,37,30
8,46,5,16,30
8,6,45,23,30
8,47,27,22,30
8,46,7,45,30
8,46,5,19,30
8,6,45,27,30
8,46,7,16,30
8,46,5,20,30
8,6,45,46,30
8,46,7,19,30
8,47,27,23,30
8,46,49,45,30
8,46,7,22,30
8,47,27,37,30
8,46,47,19,30
8,46,49,12,30
8,46,7,23,30
8,47,27,45,30
8,46,38,12,30
8,46,47,23,30
8,46,49,20,30
8,46,7,27,30
8,23,27,16,30
8,49,46,27,30
8,2,16,27,30
8,22,39,19,30
8,32,37,27,30
8,32,46,27,30
8,17,16,12,30
8,49,3,45,30
8,6,15,18,30
8,6,37,19,30
8,31,18,20,30
8,2,23,45,30
8,32,5,16,30
8,49,45,16,30
8,32,7,45,30
8,2,19,37,30
8,48,0,16,30
8,33,46,19,30
8,7,16,27,30
8,45,27,22,30
8,46,27,16,30
8,6,12,19,30
8,22,12,16,30
8,48,12,16,30
8,47,48,12,30
8,2,10,46,30
8,23,45,16,30
8,49,12,19,30
8,47,19,37,30
8,20,3,45,30
8,33,1,45,30
8,6,22,27,30
8,49,12,22,30
8,47,19,46,30
8,20,5,46,30
8,33,43,37,30
8,33,1,37,30
8,2,10,18,30
8,20,49,46,30
8,20,5,16,30
8,33,10,18,30
8,33,43,16,30
8,2,10,22,30
8,20,49,12,30
8,20,5,19,30
8,33,17,27,30
8,33,10,22,30
8,33,29,23,30
8,33,17,16,30
8,33,10,23,30
8,33,14,12,30
8,33,29,18,30
8,33,17,18,30
8,33,10,46,30
8,33,31,12,30
8,33,14,18,30
8,33,17,19,30
8,33,3,20,30
8,33,31,18,30
8,33,14,20,30
8,33,17,20,30
8,33,5,46,30
8,33,3,45,30
8,33,14,37,30
8,33,4,19,30
8,33,5,16,30
8,33,6,18,30
8,33,4,45,30
8,33,5,19,30
8,33,7,16,30
8,33,6,12,30
8,33,5,20,30
8,33,39,19,30
8,33,7,19,30
8,33,6,22,30
8,33,5,23,30
8,33,40,19,30
8,33,39,22,30
8,33,7,22,30
8,33,6,23,30
8,33,39,37,30
8,33,7,23,30
8,33,6,37,30
8,33,39,46,30
8,33,7,27,30
8,33,6,45,30
8,33,7,45,30
8,33,43,19,30
8,33,7,46,30
8,33,43,27,30
8,2,10,23,30
8,20,49,23,30
8,20,5,23,30
8,20,49,45,30
8,20,36,27,30
8,23,45,27,30
8,20,17,27,30
8,20,36,12,30
8,23,45,46,30
8,20,14,12,30
8,20,17,16,30
8,7,22,27,30
8,2,11,22,30
8,47,48,19,30
8,45,23,27,30
8,48,12,19,30
8,47,44,46,30
8,7,19,37,30
8,22,12,19,30
8,6,12,22,30
8,32,45,16,30
8,31,12,16,30
8,17,20,18,30
8,7,27,16,30
8,7,46,27,30
8,46,27,22,30
8,45,27,23,30
8,7,45,23,30
8,7,16,45,30
8,33,46,27,30
8,47,23,27,30
8,17,27,22,30
8,48,0,19,30
8,48,1,45,30
8,7,23,45,30
8,2,19,46,30
8,32,7,16,30
8,48,19,12,30
8,45,49,46,30
8,17,19,37,30
8,32,49,46,30
8,49,45,23,30
8,32,5,19,30
8,44,47,19,30
8,28,2,16,30
8,6,37,27,30
8,45,49,12,30
8,49,45,27,30
8,32,5,20,30
8,44,43,27,30
8,44,47,23,30
8,28,2,19,30
8,45,49,20,30
8,32,5,23,30
8,44,41,46,30
8,44,43,16,30
8,44,47,27,30
8,45,49,23,30
8,49,45,46,30
8,44,36,27,30
8,44,43,19,30
8,44,47,46,30
8,17,19,46,30
8,32,43,16,30
8,44,35,37,30
8,44,36,12,30
8,32,39,46,30
8,32,43,19,30
8,44,34,46,30
8,44,35,19,30
8,44,36,16,30
8,32,38,12,30
8,32,39,19,30
8,32,43,27,30
8,44,4,19,30
8,44,34,16,30
8,44,35,20,30
8,32,39,22,30
8,32,43,37,30
8,44,3,20,30
8,44,4,45,30
8,44,34,20,30
8,44,35,45,30
8,32,39,37,30
8,44,5,16,30
8,44,3,45,30
8,44,36,19,30
8,32,35,19,30
8,32,38,16,30
8,44,24,46,30
8,44,36,20,30
8,32,9,22,30
8,32,35,20,30
8,32,38,19,30
8,44,28,20,30
8,44,24,18,30
8,32,10,46,30
8,32,9,27,30
8,32,35,37,30
8,32,38,23,30
8,44,29,18,30
8,32,10,18,30
8,32,9,37,30
8,32,35,45,30
8,32,38,46,30
8,44,31,12,30
8,44,29,23,30
8,32,10,22,30
8,44,24,22,30
8,32,13,22,30
8,44,31,18,30
8,32,10,23,30
8,44,5,19,30
8,32,15,16,30
8,44,5,20,30
8,32,34,16,30
8,32,15,18,30
8,44,5,23,30
8,32,34,20,30
8,32,15,22,30
8,44,5,46,30
8,32,34,46,30
8,32,13,23,30
8,44,43,37,30
8,32,13,27,30
8,32,49,12,30
8,32,13,37,30
8,32,49,20,30
8,28,44,46,30
8,32,49,23,30
8,28,42,46,30
8,28,44,19,30
8,32,49,45,30
8,28,39,46,30
8,28,42,12,30
8,28,7,27,30
8,28,39,19,30
