9,47,15
9,5,15
9,17,15
9,22,15
9,25,15
9,32,15
9,22,6,15
9,25,6,15
9,1,4,15
9,22,10,15
9,32,5,15
9,17,6,15
9,32,10,15
9,17,16,15
9,47,31,15
9,17,18,15
9,1,36,15
9,5,16,15
9,11,47,15
9,25,17,15
9,1,41,15
9,24,4,15
9,11,22,15
9,26,47,15
9,24,18,15
9,11,41,15
9,26,17,15
9,24,22,15
9,27,47,15
9,26,31,15
9,25,29,15
9,5,32,15
9,17,25,15
9,27,16,15
9,26,36,15
9,24,25,15
9,34,4,15
9,26,41,15
9,24,36,15
9,37,6,15
9,34,10,15
9,27,17,15
9,34,16,15
9,27,22,15
9,34,17,15
9,27,36,15
9,34,31,15
9,39,47,15
9,34,32,15
9,40,17,15
9,39,5,15
9,34,36,15
9,49,4,15
9,40,36,15
9,39,22,15
9,34,47,15
9,49,25,15
9,37,32,15
9,39,25,15
9,49,32,15
9,39,32,15
9,49,41,15
9,39,41,15
9,39,5,16,15
9,34,36,16,15
9,49,4,6,15
9,40,36,16,15
9,39,22,6,15
9,49,41,10,15
9,39,41,10,15
9,28,38,47,15
9,34,32,5,15
9,39,47,31,15
9,11,0,47,15
9,34,31,18,15
9,34,17,6,15
9,40,17,6,15
9,17,6,4,15
9,27,22,6,15
9,17,16,5,15
9,32,7,47,15
9,34,16,5,15
9,27,17,6,15
9,34,10,4,15
9,24,22,6,15
9,11,41,10,15
9,24,4,6,15
9,27,7,47,15
9,11,22,6,15
9,26,17,6,15
9,24,18,6,15
9,26,47,31,15
9,1,4,6,15
9,26,17,16,15
9,24,18,10,15
9,27,7,5,15
9,1,4,10,15
9,26,17,18,15
9,24,18,17,15
9,27,7,16,15
9,26,17,25,15
9,24,18,29,15
9,27,7,22,15
9,1,4,29,15
9,24,18,31,15
9,27,7,25,15
9,11,22,10,15
9,24,4,10,15
9,27,7,32,15
9,27,23,29,15
9,24,4,29,15
9,27,7,41,15
9,27,13,17,15
9,27,23,5,15
9,22,6,4,15
9,32,5,16,15
9,11,41,31,15
9,24,22,10,15
9,25,6,4,15
9,34,10,18,15
9,27,17,16,15
9,27,36,16,15
9,37,32,5,15
9,39,25,6,15
9,49,32,5,15
9,39,32,5,15
9,34,16,17,15
9,32,7,5,15
9,26,41,10,15
9,32,8,47,15
9,17,16,36,15
9,25,17,6,15
9,24,21,18,15
9,27,22,10,15
9,17,6,18,15
9,26,20,36,15
9,40,17,16,15
9,34,17,16,15
9,1,41,10,15
9,1,11,47,15
9,34,4,6,15
9,34,31,41,15
9,11,0,5,15
9,11,47,31,15
9,11,1,4,15
9,32,10,4,15
9,22,7,47,15
9,34,32,10,15
9,28,38,5,15
9,22,10,4,15
9,11,2,4,15
9,22,8,47,15
9,22,7,5,15
9,28,38,16,15
9,22,10,18,15
9,22,8,6,15
9,22,7,16,15
9,28,38,32,15
9,22,10,32,15
9,22,8,17,15
9,22,7,25,15
9,11,14,18,15
9,22,10,41,15
9,22,8,31,15
9,22,7,32,15
9,11,19,17,15
9,11,14,25,15
9,11,19,4,15
9,11,14,29,15
9,11,19,5,15
9,11,14,47,15
9,11,19,36,15
9,22,8,32,15
9,11,19,47,15
9,22,8,41,15
9,22,7,41,15
9,11,35,10,15
9,11,2,10,15
9,11,35,29,15
9,11,2,16,15
9,11,35,32,15
9,11,2,29,15
9,22,11,47,15
9,11,2,41,15
9,22,12,6,15
9,22,11,41,15
9,22,13,17,15
9,22,12,16,15
9,22,24,25,15
9,22,13,32,15
9,22,12,25,15
9,22,27,17,15
9,22,24,4,15
9,22,13,36,15
9,22,12,31,15
9,22,24,18,15
9,22,30,16,15
9,22,12,36,15
9,22,24,36,15
9,22,39,5,15
9,22,30,18,15
9,22,27,16,15
9,22,39,25,15
9,22,27,36,15
9,22,39,32,15
9,22,27,47,15
9,22,39,41,15
9,11,1,36,15
9,22,39,47,15
9,11,1,41,15
9,32,10,18,15
9,28,1,4,15
9,32,10,22,15
9,28,2,4,15
9,28,1,36,15
9,32,10,41,15
9,28,7,47,15
9,28,2,10,15
9,28,1,41,15
9,28,8,47,15
9,28,7,5,15
9,28,2,16,15
9,28,44,47,15
9,11,0,16,15
9,34,31,47,15
9,39,41,31,15
9,34,4,10,15
9,1,11,22,15
9,37,6,4,15
9,24,36,16,15
9,34,47,31,15
9,49,25,6,15
9,49,41,31,15
9,1,48,47,15
9,1,41,31,15
9,39,22,10,15
9,34,17,18,15
9,40,17,18,15
9,17,0,47,15
9,26,23,47,15
9,26,20,5,15
9,49,4,10,15
9,17,6,22,15
9,1,36,16,15
9,5,0,47,15
9,24,34,47,15
9,24,21,29,15
9,39,5,32,15
9,25,17,16,15
9,25,7,47,15
9,39,1,4,15
9,32,8,6,15
9,32,49,41,15
9,49,3,17,15
9,26,41,31,15
9,32,7,16,15
9,25,14,47,15
9,32,8,17,15
9,32,34,31,15
9,32,49,4,15
9,49,3,29,15
9,25,14,18,15
9,32,8,22,15
9,32,46,41,15
9,32,34,4,15
9,32,49,25,15
9,25,14,29,15
9,32,8,31,15
9,32,13,17,15
9,32,46,5,15
9,32,34,10,15
9,49,7,47,15
9,32,46,10,15
9,32,34,16,15
9,49,8,47,15
9,49,7,5,15
9,32,46,47,15
9,32,34,17,15
9,49,46,47,15
9,49,8,6,15
9,49,7,16,15
9,32,34,36,15
9,49,45,32,15
9,49,46,5,15
9,49,8,17,15
9,49,7,22,15
9,32,34,47,15
9,49,12,6,15
9,49,45,4,15
9,49,46,10,15
9,49,8,22,15
9,49,7,25,15
9,49,20,36,15
9,49,12,16,15
9,49,45,6,15
9,49,46,32,15
9,49,8,31,15
9,49,7,32,15
9,49,21,47,15
9,49,46,41,15
9,49,8,32,15
9,49,7,41,15
9,49,23,47,15
9,49,21,18,15
9,49,8,41,15
9,49,20,5,15
9,49,26,47,15
9,49,23,5,15
9,49,21,29,15
9,49,20,17,15
9,49,38,5,15
9,49,26,17,15
9,49,23,6,15
9,49,20,18,15
9,49,38,16,15
9,49,26,31,15
9,49,23,10,15
9,49,20,25,15
9,49,38,32,15
9,49,26,36,15
9,49,23,25,15
9,49,12,22,15
9,49,38,47,15
9,49,26,41,15
9,49,23,29,15
9,49,12,25,15
9,49,45,16,15
9,49,12,31,15
9,32,8,41,15
9,49,12,36,15
9,32,35,10,15
9,32,13,22,15
9,32,37,6,15
9,32,35,29,15
9,32,13,36,15
9,32,38,16,15
9,32,7,22,15
9,32,39,47,15
9,32,38,5,15
9,32,7,25,15
9,32,43,29,15
9,32,39,5,15
9,32,38,47,15
9,32,7,41,15
9,32,45,4,15
9,32,43,16,15
9,32,39,22,15
9,32,45,6,15
9,32,43,47,15
9,32,39,25,15
9,32,45,16,15
9,32,39,41,15
