9,17
9,25,17
9,26,17
9,27,17
9,34,17
9,40,17
9,27,13,17
9,34,13,17
9,40,3,17
9,27,16,17
9,34,16,17
9,25,6,17
9,1,13,17
9,34,20,17
9,5,0,17
9,1,33,17
9,11,0,17
9,25,15,17
9,26,20,17
9,40,13,17
9,25,20,17
9,26,40,17
9,40,19,17
9,22,13,17
9,40,26,17
9,24,18,17
9,22,6,17
9,40,33,17
9,28,13,17
9,24,25,17
9,22,8,17
9,11,19,17
9,5,15,17
9,32,13,17
9,22,15,17
9,28,8,17
9,32,8,17
9,22,27,17
9,28,20,17
9,32,15,17
9,5,16,17
9,28,26,17
9,32,34,17
9,5,19,17
9,37,13,17
9,5,20,17
9,39,40,17
9,37,6,17
9,5,33,17
9,47,0,17
9,37,19,17
9,39,3,17
9,49,3,17
9,47,8,17
9,37,26,17
9,39,13,17
9,49,8,17
9,47,15,17
9,24,34,17
9,37,27,17
9,39,19,17
9,49,20,17
9,47,19,17
9,39,25,17
9,49,25,17
9,47,26,17
9,39,33,17
9,49,26,17
9,47,27,17
9,47,34,17
9,39,3,13,17
9,47,8,6,17
9,37,26,20,17
9,39,13,3,17
9,49,26,20,17
9,47,27,13,17
9,47,34,13,17
9,49,3,13,17
9,37,6,8,17
9,5,19,0,17
9,24,18,6,17
9,28,13,3,17
9,40,33,3,17
9,47,0,16,17
9,5,0,16,17
9,40,19,0,17
9,5,46,34,17
9,34,20,3,17
9,22,6,8,17
9,37,13,3,17
9,39,40,3,17
9,5,33,3,17
9,5,20,3,17
9,22,13,3,17
9,40,3,13,17
9,1,13,3,17
9,40,26,20,17
9,22,13,27,17
9,40,3,20,17
9,1,13,27,17
9,34,35,40,17
9,22,13,34,17
9,40,3,33,17
9,34,35,19,17
9,22,13,40,17
9,1,13,34,17
9,34,35,20,17
9,34,47,26,17
9,1,13,40,17
9,34,13,3,17
9,34,10,18,17
9,34,47,0,17
9,34,13,27,17
9,34,4,6,17
9,34,10,15,17
9,34,47,8,17
9,34,13,40,17
9,34,24,18,17
9,5,20,8,17
9,5,33,6,17
9,27,13,3,17
9,39,40,13,17
9,37,13,27,17
9,26,49,3,17
9,32,49,25,17
9,22,6,15,17
9,34,20,8,17
9,28,44,34,17
9,5,46,8,17
9,5,7,0,17
9,37,19,0,17
9,32,8,6,17
9,28,20,3,17
9,5,16,0,17
9,39,33,3,17
9,5,0,19,17
9,32,15,6,17
9,47,0,19,17
9,40,33,6,17
9,28,8,6,17
9,40,13,3,17
9,28,13,27,17
9,24,18,15,17
9,22,39,40,17
9,5,19,40,17
9,37,6,15,17
9,32,13,3,17
9,25,49,26,17
9,26,20,3,17
9,49,3,20,17
9,47,34,16,17
9,27,16,0,17
9,47,27,16,17
9,49,26,40,17
9,25,39,40,17
9,26,20,8,17
9,47,34,20,17
9,27,16,15,17
9,25,7,0,17
9,25,39,3,17
9,26,20,18,17
9,27,16,34,17
9,25,12,16,17
9,25,7,3,17
9,25,39,13,17
9,26,20,25,17
9,25,14,18,17
9,25,12,6,17
9,25,14,0,17
9,25,12,19,17
9,25,14,20,17
9,25,7,8,17
9,25,14,33,17
9,25,7,16,17
9,25,39,19,17
9,25,7,19,17
9,25,39,33,17
9,25,7,27,17
9,26,20,34,17
9,25,7,33,17
9,25,23,6,17
9,49,3,33,17
9,25,24,34,17
9,25,23,0,17
9,49,3,40,17
9,25,29,3,17
9,25,24,18,17
9,25,23,8,17
9,25,29,6,17
9,25,23,13,17
9,25,29,15,17
9,25,23,26,17
9,25,29,18,17
9,25,23,27,17
9,25,29,33,17
9,25,49,3,17
9,25,15,6,17
9,25,49,8,17
9,25,15,16,17
9,25,49,20,17
9,25,15,18,17
9,25,6,8,17
9,39,13,27,17
9,25,6,15,17
9,39,13,34,17
9,25,6,18,17
9,39,13,40,17
9,25,6,33,17
9,32,13,27,17
9,37,6,18,17
9,32,13,34,17
9,37,6,25,17
9,32,13,40,17
9,37,6,33,17
9,37,26,40,17
9,22,39,3,17
9,34,16,0,17
9,22,39,13,17
9,34,16,15,17
9,22,39,19,17
9,34,16,27,17
9,22,39,25,17
9,47,8,20,17
9,22,39,33,17
9,47,8,33,17
9,22,7,0,17
9,24,18,20,17
9,22,10,15,17
9,22,7,3,17
9,39,3,20,17
9,28,13,34,17
9,40,13,27,17
9,22,15,6,17
9,32,34,13,17
9,39,25,6,17
9,49,25,6,17
9,47,7,33,17
9,28,8,20,17
9,40,33,8,17
9,47,26,20,17
9,32,15,16,17
9,5,15,6,17
9,49,46,8,17
9,39,33,6,17
9,39,5,20,17
9,5,16,15,17
9,28,20,8,17
9,47,19,0,17
9,49,20,3,17
9,39,19,0,17
9,32,8,20,17
9,37,19,40,17
9,11,47,26,17
9,5,7,3,17
9,5,23,0,17
9,37,27,13,17
9,11,0,16,17
9,5,46,19,17
9,28,44,3,17
9,27,47,15,17
9,28,2,16,17
9,34,20,18,17
9,5,32,8,17
9,37,27,16,17
9,5,46,27,17
9,28,44,8,17
9,28,1,13,17
9,28,2,8,17
9,34,20,25,17
9,5,32,13,17
9,5,38,16,17
9,28,7,0,17
9,28,1,33,17
9,28,2,19,17
9,34,20,26,17
9,5,32,15,17
9,5,39,19,17
9,28,7,3,17
9,5,38,19,17
9,28,14,18,17
9,5,32,34,17
9,5,38,40,17
9,28,35,19,17
9,28,14,0,17
9,5,42,18,17
9,28,38,16,17
9,28,35,20,17
9,28,14,20,17
9,5,44,3,17
9,5,42,13,17
9,28,39,19,17
9,28,38,19,17
9,28,35,34,17
9,28,14,25,17
9,5,44,8,17
9,28,42,13,17
9,28,39,3,17
9,28,38,40,17
9,28,35,40,17
9,28,14,33,17
9,5,44,19,17
9,28,42,18,17
9,28,39,13,17
9,5,44,34,17
9,5,39,3,17
9,28,39,25,17
9,28,7,8,17
9,5,39,13,17
9,28,39,33,17
9,28,7,16,17
9,5,39,25,17
9,28,39,40,17
9,28,7,19,17
9,5,39,33,17
9,5,46,33,17
9,28,7,25,17
9,5,39,40,17
9,28,44,19,17
9,28,7,27,17
9,27,22,15,17
9,27,47,0,17
9,28,7,33,17
9,27,23,26,17
9,27,22,6,17
9,27,47,8,17
9,27,30,20,17
9,27,23,0,17
9,27,22,8,17
9,27,47,19,17
9,27,7,0,17
9,27,30,8,17
9,27,23,6,17
9,27,22,13,17
9,27,47,26,17
9,27,36,13,17
9,27,47,34,17
9,27,37,13,17
9,27,36,0,17
9,27,43,16,17
9,27,37,6,17
9,27,36,15,17
9,27,45,8,17
9,27,43,3,17
9,27,37,19,17
9,27,36,16,17
9,27,46,8,17
9,27,45,3,17
9,27,43,13,17
9,27,37,26,17
9,27,36,19,17
9,27,46,19,17
9,27,45,6,17
9,27,43,19,17
9,27,36,20,17
9,27,46,33,17
