vertex1,vertex2,edge_weight
47,40,19.10951583145162
47,9,58.81013561931735
47,50,24.514919500683664
47,94,44.311292659713104
47,95,9.242804373400359
40,9,41.49841672431611
40,50,25.88942547764435
40,12,25.86828466602492
9,26,50.896609737903965
9,68,60.21458819297862
9,12,52.969046754330975
9,17,61.62764011839573
9,88,60.772539273255546
25,45,41.097440651760785
25,16,56.39635716571152
25,98,18.489236368211422
25,99,41.14545904781113
45,28,44.97488608240158
45,53,17.528490067957925
45,22,9.20780146465485
45,43,39.05756546832509
45,3,58.19835872095107
45,39,10.357496454863004
45,85,17.97599421230767
45,86,52.89898093770283
10,11,25.612623413563075
10,65,20.546708373849075
10,55,24.50866460305416
10,66,4.6264848967655725
10,12,40.51296034912778
10,69,15.655498734470266
11,65,23.535274921381305
11,50,46.6818752970572
11,44,42.45208631872526
11,28,20.788481824378152
11,12,45.95659477294851
11,96,11.978887237350284
65,28,30.58425833353657
65,41,10.166188521884708
65,15,7.735331481261824
50,44,59.86052446364382
50,12,19.837759843918853
50,77,4.75819896913181
50,78,38.86840236397433
44,28,34.38446533319951
44,18,3.682507637466612
44,79,59.12820442302318
21,52,37.60758469461314
21,51,41.84588586781861
21,29,26.142258085569036
21,64,13.504934804081792
21,4,28.183339188472683
52,51,23.77432977499051
52,34,33.48086566421185
52,7,30.71895104206848
52,29,23.005410369084924
51,42,18.898016967727052
51,4,33.543492336442846
51,30,24.90166893252338
51,62,24.977866358288097
51,23,29.769548304433506
34,7,46.67917261745328
34,42,13.576211329472585
34,14,22.987961421415783
34,17,37.34026506751795
34,20,15.762312647578074
34,36,14.461837387586677
34,90,15.54547588438317
7,29,40.06318887863273
7,17,44.14889878652128
7,72,45.633751683001215
7,73,18.444013652255617
55,32,13.813206825806247
55,66,23.182589709197725
55,15,17.537665180975477
55,67,13.566052530120905
55,8,10.661803977868866
55,6,24.06500811603853
33,32,9.855220063499347
33,8,6.331008262907273
33,57,9.33838089887642
32,6,18.393799269386957
32,19,11.350308434685813
32,57,14.864346237305563
32,58,14.26323475320378
32,37,9.351197951332221
28,41,32.295217960636236
28,53,31.731297468942245
28,18,32.91343997898122
28,97,11.822624853152
41,53,19.737995283526136
41,38,17.116783293379033
41,15,4.311576893956551
53,38,28.102903597760154
53,22,10.771855109497139
53,39,7.759100503602215
43,22,31.513463838889574
43,3,31.61060937406934
43,0,22.121601575157243
43,48,14.447706835775005
22,38,30.71136032683998
22,39,3.3611442434087535
22,54,30.850601695915117
22,84,18.722086631516557
38,15,16.475573776047966
38,54,14.411355440242259
38,67,12.09768831223552
2,16,28.54902472064501
2,3,17.953034997598582
2,31,17.097629267313636
2,92,28.42545753820644
16,3,42.203402595347676
16,93,41.44998504044744
3,48,21.50368765613238
3,31,12.606510284868694
3,63,13.505601442086913
3,70,7.184755128047175
68,26,50.28114788678258
68,27,6.104883419239057
68,12,27.23428919234906
68,69,10.032801904876829
26,27,46.56792555638483
26,14,24.4229913452468
26,17,10.922500286106647
26,89,31.090099719076033
27,14,29.827232785241733
27,56,16.856545093820372
27,69,10.51677603284391
27,24,11.361845828253443
27,5,13.89022908603382
42,30,27.58231206883317
42,1,22.547135246245816
42,58,21.82618585695862
42,36,4.048966110317551
66,69,12.674973496027512
66,6,12.38264561796066
12,69,33.10568177254474
12,76,13.112635712853859
29,64,31.818723752689994
64,4,38.757138576331975
64,31,62.06604909288169
64,80,38.975847217559384
64,81,18.612162278840106
54,67,18.175394854720494
54,0,21.677592477602293
67,0,13.869602779099337
67,8,4.53986319314798
67,57,6.996675103218657
0,48,19.087406884186755
0,13,11.619914075628946
0,59,6.664702262667102
0,57,11.555399441386697
0,71,5.5361489604688385
48,13,12.474111503930862
48,63,9.097914596213798
4,31,30.31186179740532
4,23,17.198780934269728
4,82,19.81369084008917
4,91,16.042615371937906
14,56,16.424840657522374
14,60,16.030562460890128
14,17,24.70268267314302
14,49,10.994882900695215
14,75,15.12775958233297
56,5,7.605531395800035
60,49,10.447810551139415
60,46,7.498646648729366
60,5,8.026643328627486
30,35,6.727400245451425
30,59,7.303350793471447
30,1,15.835173763650321
30,71,10.546299410219673
69,6,12.046286383155588
69,24,9.506861995422037
8,57,4.955575300860627
31,23,29.46294388719498
31,70,7.024663804232917
13,59,8.296252354225961
13,35,7.68941845980566
13,63,16.52395065692525
13,23,13.35722048416137
17,74,10.260441255193443
62,35,6.9334790148957595
62,23,11.124640232946858
35,23,13.796896446755705
59,71,6.933194722672951
49,20,8.888217358531454
49,46,10.244837876950523
20,46,7.262544857864909
20,61,10.632773406430715
20,36,11.571102610598526
46,61,10.05424739227158
46,19,10.82587294401703
46,5,9.541317797479554
61,19,3.7325565133029084
61,36,13.37610865732258
61,37,3.721066085478731
19,6,14.511677409934386
19,37,3.5176370353548414
19,5,13.550018738455682
6,24,5.850560069343784
6,5,11.513467996763605
63,23,23.556449355749695
63,70,11.512351858438821
23,70,28.415382635335032
1,57,9.066653617101524
1,71,7.347053193287751
58,57,9.102288603010786
58,36,20.926883502447286
58,37,17.980826593902748
57,71,11.448668385995818
36,37,15.313764743687294
24,5,8.100368915209962
72,73,17.857142857142858
73,74,17.857142857142858
74,75,17.857142857142854
74,89,17.857142857142858
74,90,17.857142857142854
75,76,17.85714285714286
76,77,17.85714285714286
77,78,17.857142857142847
77,95,17.857142857142858
77,96,17.857142857142854
78,79,17.85714285714286
80,81,17.857142857142858
81,82,17.857142857142858
82,83,17.857142857142854
82,91,17.85714285714286
82,92,17.857142857142847
84,83,17.85714285714286
84,85,17.85714285714286
85,86,17.857142857142847
85,97,17.85714285714286
85,98,17.857142857142847
86,87,17.85714285714286
88,89,17.857142857142858
90,91,17.85714285714286
92,93,17.85714285714286
94,95,17.857142857142858
96,97,17.85714285714286
98,99,17.85714285714286
