vertex1,vertex2,edge_weight
27,26,3.2255000000000003
27,515,3.21105
27,512,3.8231
26,25,3.7651499999999998
26,139,0.816425
25,23,1.9263000000000001
25,512,0.9059285714285714
25,218,2.203933333333333
24,23,3.23395
24,228,0.68932
24,219,6.3024000000000004
24,218,1.8044499999999999
23,21,1.7885000000000002
23,513,0.8988285714285714
22,21,3.1224
22,445,3.1827
22,444,3.6005333333333334
21,445,4.973933333333334
21,228,1.30942
20,19,3.2691000000000003
20,140,1.689
20,123,6.57415
20,120,6.592350000000001
19,17,7.497749999999999
19,469,2.5003333333333333
18,17,3.6774500000000003
18,16,3.9082999999999997
18,472,0.5100666666666667
17,15,3.9132000000000007
17,140,0.8085375000000001
16,15,3.6842999999999995
16,219,1.229933333333333
16,138,3.5655500000000004
15,13,1.7061
15,220,2.0110333333333332
14,13,2.93425
14,221,3.9034500000000003
14,220,1.7747
13,219,2.5589
12,10,2.6064499999999997
12,448,1.4819666666666669
12,63,3.653
11,9,2.9799999999999995
11,449,3.7229
11,62,2.733533333333333
10,9,3.3266999999999998
10,62,2.0560666666666667
9,448,1.9336
8,7,4.01305
8,471,5.3913
8,468,2.2463
8,447,6.93395
7,6,6.5112499999999995
7,50,4.176933333333333
6,4,6.07115
6,447,4.582466666666666
5,3,3.6549500000000004
5,462,3.62215
5,63,3.8937666666666666
5,62,3.5195499999999997
4,3,6.10895
4,63,2.387066666666667
3,1,3.6441000000000003
3,124,3.221766666666667
2,0,3.9044499999999998
2,462,3.1063000000000005
2,59,5.061349999999999
2,58,3.7436999999999996
1,0,8.2348
1,462,1.45476
0,47,2.9239666666666664
602,431,6.08385
602,429,0.9246666666666666
602,428,1.3979999999999997
601,600,0.11796666666666668
601,599,0.20313333333333333
601,592,6.0296666666666665
600,599,0.10483333333333333
599,267,1.3478999999999999
598,583,3.6910000000000003
598,579,4.912733333333334
598,578,0.14816666666666667
597,566,1.1202666666666665
597,367,2.653566666666667
597,300,1.1463666666666665
596,595,0.22916666666666666
596,527,3.1853666666666665
595,157,6.170366666666666
594,522,2.2880666666666665
594,401,0.23642500000000002
594,400,0.483
593,522,2.356325
593,477,0.4532333333333333
593,476,0.6872333333333334
592,591,0.2495
592,271,3.0243333333333333
592,266,7.850866666666666
591,270,3.096133333333334
590,223,0.2404
590,201,0.9472333333333334
590,196,5.9911
589,449,2.4769666666666668
589,75,1.9207333333333334
588,587,5.1822
588,410,3.7256500000000004
587,335,3.1649000000000003
586,583,0.1127
586,578,2.76875
586,404,0.23842
585,583,0.45466666666666666
585,404,0.09864
585,403,1.9164249999999998
584,577,1.9371333333333334
584,398,0.21156
584,259,0.7202333333333334
583,581,9.788600000000002
582,581,0.15089999999999998
582,371,0.17056666666666667
582,369,5.755933333333333
581,259,0.891
580,579,0.5108666666666666
580,491,0.21830000000000002
580,370,0.49823999999999996
580,363,2.5267
579,578,4.906166666666667
578,363,7.8721000000000005
577,260,5.6632333333333325
577,92,5.6189
576,570,1.216475
576,549,5.8412
576,207,0.7179333333333333
576,204,1.0269666666666668
575,558,3.0348333333333333
575,546,1.4476
575,360,0.5187
574,546,1.4785
574,360,1.18214
574,229,1.5287000000000002
573,390,0.33974999999999994
573,362,0.8340000000000001
573,261,3.2656
573,226,4.9919
572,388,0.8001833333333334
572,261,0.9992
572,96,7.7484
571,570,0.267725
571,219,4.9941875
571,207,3.2953
570,357,0.1522375
569,542,1.2878250000000002
569,208,1.315475
569,205,0.9400333333333334
568,542,3.3927666666666663
568,358,1.4756875
568,208,4.373466666666667
567,526,2.884125
567,524,0.2169125
567,368,3.9587333333333334
566,565,0.57104
566,296,0.25158
565,302,1.7643
565,300,0.4796
564,467,4.497433333333333
564,366,1.8337999999999999
564,217,1.64454
563,472,0.9908
563,469,3.8616333333333333
562,492,3.2296666666666667
562,485,0.12042
562,136,0.4553333333333333
561,431,0.21583333333333332
561,430,1.060875
561,428,6.148650000000001
560,466,0.5460666666666667
560,366,0.3038666666666667
560,54,0.4283166666666666
559,158,2.8749499999999997
559,29,0.5469666666666666
558,557,3.7395
558,359,2.4010666666666665
557,543,4.0700666666666665
557,523,4.600933333333334
556,224,1.3115666666666668
556,195,5.075833333333334
556,141,3.459233333333334
555,554,0.56682
555,553,0.13076000000000002
555,255,0.18378
555,254,2.49736
554,553,0.57318
554,347,1.86318
554,315,1.3131333333333333
554,264,0.14228
553,315,1.3337
552,551,0.19664
552,547,4.009219999999998
552,149,4.48752
551,550,0.56418
551,355,3.9081799999999998
550,349,0.76192
549,548,0.41838000000000003
549,351,0.17321999999999999
548,203,3.2653333333333334
547,545,1.5636666666666665
547,144,6.770033333333333
546,545,4.4575
545,353,2.01538
544,390,4.620666666666667
544,79,0.5233
543,541,0.4912
542,541,2.378533333333333
542,359,3.9516
541,504,2.747833333333333
540,539,2.2043666666666666
540,532,0.5200666666666667
540,345,1.5056200000000002
539,538,0.181
539,537,1.1753
538,536,0.5553
537,535,1.8394666666666666
537,533,1.9934333333333332
537,530,1.7962333333333333
536,535,1.5852
534,532,0.4531666666666666
534,344,3.8213999999999997
533,532,0.6077999999999999
533,531,2.2922000000000002
531,496,0.41980000000000006
530,496,0.25703333333333334
529,423,17.60326666666667
529,422,3.7461
529,342,2.77488
528,416,5.1629
528,339,2.0567666666666664
527,525,9.4193
526,525,1.5706
525,524,1.8693800000000005
524,282,4.37548
523,386,3.3470833333333334
523,349,0.8220500000000001
522,521,0.35633333333333334
521,477,3.1131666666666664
521,401,1.3747
520,519,0.7160285714285715
520,518,0.824
520,384,17.129266666666663
519,518,0.7057285714285714
518,517,0.9119714285714284
517,505,0.9219333333333334
517,40,0.3426142857142857
516,224,1.6424999999999998
516,196,0.9651428571428572
516,195,1.8658666666666666
515,514,1.1227285714285715
515,74,0.5329714285714285
514,512,0.9274000000000001
514,73,0.5464428571428571
513,512,0.5590142857142857
511,84,1.8584142857142858
511,82,1.5108857142857144
511,81,1.5941333333333332
510,509,0.2755
510,133,6.806933333333333
509,130,4.048266666666667
508,507,4.1693999999999996
508,130,0.3581
507,125,0.6873
506,465,1.3226333333333333
506,464,1.9216666666666666
506,121,5.430533333333334
505,451,0.6139333333333333
505,143,2.195075
504,350,2.7677199999999997
504,204,0.8823000000000001
503,326,1.1658666666666666
503,325,1.9130666666666667
503,156,8.981633333333331
502,501,0.4487333333333333
502,499,0.06266666666666666
502,252,0.8330000000000001
501,500,0.1399
501,252,0.7522666666666666
500,310,0.6601666666666667
500,307,0.49970000000000003
499,498,0.4159333333333334
499,287,0.9519333333333333
498,497,0.21139999999999998
498,287,0.8837333333333334
497,310,0.5348333333333333
497,308,1.1229666666666667
496,495,4.1860333333333335
496,309,7.586633333333334
495,310,5.811299999999999
495,249,0.7027333333333333
495,247,3.9745333333333335
494,479,1.1287
494,97,2.1551666666666667
494,70,9.095533333333332
494,68,14.870433333333333
493,482,0.8811142857142856
493,457,6.76394
493,385,10.467
492,436,0.40440000000000004
492,105,4.0609
491,489,3.1157
491,370,0.8275666666666667
490,487,9.961366666666663
490,364,0.40244
490,161,0.9302666666666667
489,486,0.8288333333333334
489,364,1.0714000000000001
488,486,0.7515000000000001
488,162,5.058833333333334
488,161,0.18051666666666666
487,474,1.5603
487,159,0.4644666666666667
486,485,4.913133333333334
485,162,0.4957333333333333
484,395,4.22312
484,129,4.321233333333334
484,127,0.37129999999999996
484,126,1.4109666666666667
483,481,3.2725666666666666
483,478,1.6208333333333333
483,152,3.7228
483,151,1.9819666666666669
482,481,0.6954142857142858
482,387,1.0918999999999999
481,479,0.8556857142857144
480,479,1.4504857142857142
480,457,1.337
480,452,0.2625
479,478,1.5564428571428572
478,89,1.6555
477,475,0.7037333333333333
476,475,0.34983333333333333
475,473,6.1526000000000005
474,473,1.8007
474,397,7.367466666666668
472,137,1.8642333333333334
471,467,1.7169666666666668
471,52,3.8544
470,53,0.9597333333333334
470,52,0.5367
469,468,3.5467
468,123,4.368166666666666
467,123,3.0267
466,463,5.567966666666667
465,463,2.5405666666666664
465,118,1.0934666666666668
464,463,4.5127
464,217,1.0380333333333334
463,119,4.2455333333333325
462,60,2.0306333333333333
461,458,1.0688
461,454,2.16126
461,41,3.71116
