vertex1,vertex2,edge_weight
0,2,550.4800356379336
0,416,31.25781938826478
1,416,19.184218175471486
1,414,119.03113906688444
2,3,50.37090671638964
2,436,48.84858346103499
3,437,5.734964848544153
3,436,7.51114919339806
4,5,91.90265300046798
4,6,192.71257686289528
4,255,10.061723277107106
5,439,9.09385410066773
5,438,6.322503328734532
6,7,10.386834923853971
6,405,341.8975257649171
7,441,90.73461896649147
7,440,111.33080125496265
7,260,37.05542820948264
8,306,84.20396173861677
8,265,15.190285013471323
9,10,15.764159815696338
9,11,15.447136919936556
9,12,91.03774054270774
9,248,109.54048547296223
10,261,91.06856776811914
10,260,14.611202085767312
10,259,109.70631743639578
11,289,14.628992121986775
11,249,109.38193548545618
11,247,91.00772472063935
12,261,14.648017682464628
12,247,15.315877534379286
12,244,58.91545345470641
13,14,15.089975232880539
13,15,15.125190036807284
13,320,90.84663622282653
14,306,108.77123266498027
14,304,15.336549451777337
15,307,108.44993834348439
15,268,14.84967426761218
16,17,15.404960256267946
16,18,15.055893713334878
16,19,90.28683044015798
16,293,107.97368805791761
17,298,14.67267947543412
17,294,90.69748399331611
17,293,108.94610825849887
18,25,90.77388725439214
18,269,108.12675399402357
18,268,15.032420394376976
19,25,15.18557837814837
19,294,14.969087822641026
19,291,92.803305868608
20,21,14.928073817678898
20,22,59.18818787462259
20,290,91.14798661281407
20,285,16.15480055148852
21,320,30.258509518075645
21,304,90.9124680345874
21,241,59.27445579167298
22,284,30.007878294111016
22,241,15.371473320089207
23,24,92.26233983877292
23,25,14.636799457992716
23,320,30.034217479903017
23,268,90.7825424846621
24,292,14.735623879632364
24,231,91.94592809326731
25,292,92.15220511167803
26,27,57.5765916187008
26,28,14.63616392617545
26,214,99.72004540834521
26,213,15.445009755368758
27,262,15.17269688139975
27,246,14.725368000500849
28,246,57.347292414976046
28,218,15.762253256730515
28,215,99.66574410346439
29,30,74.77865233923708
29,31,69.13884911755295
29,34,74.54075648050976
30,351,43.55338940027609
30,349,96.78312553787583
30,347,83.86019927435785
31,380,20.68123043714736
31,350,19.62961773774527
32,33,160.74060766372247
32,34,18.799758904643873
32,199,68.61871660826061
32,182,53.32384199981284
33,37,19.04377548150059
33,359,43.30553478476186
33,181,56.1322901203819
34,37,164.268287703183
34,342,69.07044201917746
35,36,32.0222948049924
35,37,682.4187591894325
35,38,72.56926956703032
36,344,54.395419544690235
36,328,51.184398401316294
36,177,144.34827516794
37,345,80.83230695169749
38,39,16.4670287725075
38,46,164.31271881127628
39,40,160.4223645698358
39,41,19.711118333680506
40,433,9.327159147363245
40,397,7.537158384042876
41,344,10.667466491766335
41,332,176.36735261255288
48,335,39.99264950950432
48,329,898.7292341627588
47,45,53.26145434127507
47,401,244.85125318294385
47,400,51.79542181174183
46,45,48.26789284175135
46,397,61.00047672458196
45,44,25.915289717520125
44,42,41.04569241037353
44,403,15.463117914615175
43,42,23.246385193703986
43,341,20.45906480233393
43,340,13.914138014679983
