vertex1,vertex2,edge_weight
34,33,131.24447319200155
34,146,135.35991882776108
34,145,135.61807327669985
33,32,130.12100877625983
33,145,190.37869005969628
33,708,72.79735184236111
32,355,123.24596573489673
31,29,148.80399374879735
31,210,112.1124301454889
31,209,133.44702828511402
31,733,115.81155175899825
30,29,134.76519121391817
30,27,133.2953935678512
30,384,19.179529025402797
30,377,151.3102815160117
29,346,19.107265606797068
29,474,132.56308236015454
28,27,148.31830520595943
28,378,113.61926830468639
28,377,112.00920452905156
28,374,134.28257696110313
27,25,134.62652025432791
27,350,20.303566982591924
26,25,19.65510784780418
26,372,134.12903925425036
26,351,126.7919138259992
26,350,134.28239204744537
25,23,133.5402295563231
25,374,149.56427165308966
24,23,133.7608406774122
24,373,18.662717301183015
24,214,133.95867917368824
24,211,149.89908808075938
23,212,151.15675011414157
22,19,134.5816717921262
22,85,148.64572096984455
22,636,21.238152286178547
22,497,267.4720010372637
21,19,17.76269730671741
21,108,131.41732324260158
21,96,128.22723773535463
21,636,135.58548180459755
20,18,150.48871873906506
20,106,133.3445025824355
20,105,116.16057279863357
20,95,67.84001766122964
19,18,132.6170671232
19,86,150.00434480419446
18,108,17.111118861588775
18,214,133.07757787978866
17,16,32.00012482714648
17,13,9.552034249331866
17,463,42.50559292295144
16,463,31.578812790464813
15,13,152.27895561324235
15,148,94.34281130606664
15,271,144.35975036049575
14,13,48.232002918297965
14,6,131.66940938092193
14,148,130.63090422263306
14,147,131.29121093426474
13,6,125.98408479075535
12,10,11.97022921543952
12,218,129.42999604520082
12,216,31.185226061057605
11,10,15.616033857556973
11,638,22.265657395999682
11,459,155.9233388686914
10,638,21.989134046740197
10,565,31.351963688661485
9,4,107.67518285818855
9,2,200.135345138622
9,500,32.50190863971951
8,4,151.6426301023345
8,666,82.12092196908021
8,637,38.60489050229741
7,6,196.00756576215045
7,587,79.35222096907181
7,586,13.123944657183591
7,536,13.824941374996719
6,178,139.4538699773698
5,3,162.11033916421798
5,639,134.85787591509344
5,581,25.596120620467005
5,564,28.832931351940186
5,499,195.04514814494527
5,498,36.01421911479667
4,3,211.33704755093873
4,499,87.74539273438614
3,2,109.30483336081718
3,675,129.94964230499704
2,0,115.66989332650039
1,0,171.96518939895145
1,536,140.95253941000482
0,502,39.99264950950432
165,164,144.22225272896904
165,161,134.8467694688371
165,631,131.69038634660237
165,591,98.16656539640809
165,537,131.57924180364657
164,166,134.9036716798383
164,592,133.83075393962963
163,161,28.492526387700405
163,159,121.91488973202756
163,158,102.77559706069908
162,161,133.3939626630701
162,208,40.00386280275785
162,631,127.51228474872893
161,169,19.872976830819645
160,158,137.41365865187413
160,171,137.16139719097208
160,170,130.28943440056645
160,167,132.19357270807282
159,158,62.841775033665606
159,627,125.43331170918178
158,156,136.11914273699313
157,156,128.61509093898735
157,257,25.210721087931194
157,240,131.5838792479585
157,627,31.092189204177
156,153,131.57856812126786
156,171,137.04343850419966
155,153,129.4500301922135
155,241,133.58753929145865
155,512,9.957827055014887
155,511,133.1273188713465
154,153,136.09031668294026
154,172,134.20444280485268
154,171,131.8846831554873
154,511,127.64672113344342
153,240,132.06321937551465
152,151,134.30773653805002
152,272,48.865086981307414
152,271,130.34314028242432
152,516,130.14965003607773
151,149,131.85403875212825
151,173,133.7910256016785
151,512,128.63385040616674
150,149,133.79937914103616
150,176,133.0989887756914
150,175,133.00799069180806
150,173,133.1059130551592
149,148,138.43200669240966
149,271,138.45330845906534
148,176,133.83048763022032
147,178,133.69986879925602
147,177,132.0306021205844
147,176,135.51254641311877
146,145,188.7079106759919
146,367,38.589241245145686
145,143,131.0793253312571
144,143,133.18992646142377
144,365,189.60248719696165
144,364,136.07290459573005
144,363,135.85687581191272
143,140,133.41562699365477
143,360,131.466093235492
142,140,130.7861503913511
142,360,134.2618110117293
142,359,134.6769833993978
142,358,135.674166311166
141,140,134.08661622724438
141,358,130.29526315904323
141,659,20.29720759562912
140,363,133.5877442279323
139,138,136.21761946330702
139,281,136.1353718781646
139,280,134.18932223724315
139,743,112.79102192009351
138,136,129.8621460804505
138,467,26.60170464923554
137,136,90.70873504444802
137,467,145.4104732467691
137,466,14.40001516295064
137,400,89.24477632480502
136,133,135.12559841407435
136,280,137.4118662959737
135,133,134.59477537017023
135,331,74.38829621743972
135,330,132.93688516499827
135,280,133.73009054483
134,133,144.286260326486
134,328,17.04712284509641
134,609,134.1995041578896
134,608,135.36410983626342
133,399,133.2903060832806
132,130,135.9570315876073
132,327,16.84797956341756
132,325,85.69973129571044
132,304,133.665565409689
131,130,166.89684522717337
131,326,133.78506742673602
131,574,133.1785536760507
131,573,17.624652488064925
130,328,17.724949421362236
130,576,133.8738527857718
129,128,131.27111069414144
129,127,88.92470793040226
129,572,84.72334487835866
128,126,87.44847337300533
128,573,83.26359327585901
127,126,132.76932295199788
127,125,129.48302994386194
127,300,136.77419131177396
126,124,127.1104749817005
126,391,133.0398723591896
125,124,132.06662817973927
125,82,136.62101054393517
125,79,136.92581066850067
124,77,142.8687401719405
124,76,134.65105020912176
123,102,69.21241064906212
123,700,65.67317721457682
122,119,133.9018953682587
122,294,139.0554477714585
122,730,19.296173324339502
121,119,133.67816478620665
121,117,132.44291440527894
121,376,129.77427652881866
121,322,132.81169925879655
120,119,136.13406221050136
120,323,95.1566361212559
120,322,130.95600797677798
120,294,137.30248742648013
119,41,129.82801866346546
118,117,131.16606718196323
118,322,133.03119565500452
118,630,58.20873734369735
118,629,25.353538322708022
117,115,136.66912567553211
117,37,128.30331402760413
116,115,126.97402077126202
116,112,267.41325594505975
116,37,135.6629917522996
116,36,133.39572471037627
115,113,134.16896475705
115,664,123.69145492201245
114,113,84.61224850713015
114,687,95.52569554251724
114,664,138.2531170784434
114,663,15.889273983279514
113,110,129.60002324726918
112,110,137.1444008263741
112,381,200.58518166865568
112,714,127.7405162602149
111,110,125.80062856403514
111,714,49.7169511511006
111,531,16.74675240023621
110,583,58.07767325603648
109,97,133.34451153827803
109,355,136.24450519847647
108,97,129.85082842002487
108,390,133.63118139954724
107,97,134.00034524055485
107,356,132.872592816468
107,355,133.63427269477398
107,390,128.98164239677732
106,214,149.87870075089054
106,211,133.86732775009315
106,736,116.41587665883358
105,737,36.52807319465143
105,709,68.92177662131864
104,93,128.2562825176945
104,92,137.59166352232805
104,91,134.66801234467394
104,297,135.20891134861148
103,102,130.61261548842126
103,92,129.4212516360154
103,324,133.1229162010331
103,297,134.8288084155878
102,90,138.43707031725424
102,49,270.3559802243576
101,90,137.3850950185106
101,89,111.30968230408911
101,88,136.1854484762553
100,99,28.799144940215307
100,620,148.81661063019584
100,595,149.9496186052189
99,69,88.01097011508973
99,386,133.3615762464909
98,96,69.32142978274739
98,503,85.82156073274054
97,96,131.78945255520378
95,86,66.41207000928868
95,709,133.60181183210145
94,84,112.05200621628859
94,741,133.1898873461765
94,710,42.014411868737035
93,84,134.68599968718803
93,298,139.53235726948418
93,737,115.19614821829393
93,561,68.09056893193821
92,90,133.88419033048172
92,80,138.2426508124443
91,84,130.78847675063787
91,81,133.25289207468552
91,80,135.40344162395817
90,78,128.02422015529416
89,78,136.0762761129002
89,75,131.5738345912284
89,53,132.37616670259962
88,53,133.61350584525235
88,49,136.16771828116458
88,48,130.59236653151808
87,85,113.29739194160943
87,751,142.94573749332153
87,741,38.39022786595898
86,85,133.14873894325487
86,710,112.21064147208874
85,582,268.46730653636683
84,83,133.6911393748695
83,81,132.94125637236127
83,741,115.39659588145484
83,634,83.04864049621936
82,81,136.38616444888862
82,300,130.20460337077222
82,299,68.36833635867362
81,79,135.7075857628749
80,79,132.7480373165948
80,78,135.88046730294937
79,77,131.75620271872452
78,77,129.43826031181302
77,75,136.54962673418143
76,75,140.92569286432672
76,56,133.68179441718527
76,391,127.8530342357309
75,74,132.55045498677526
74,56,135.87819586151403
74,53,133.4418113699545
74,52,129.48081021223513
73,71,14.91176497246221
73,625,147.72591719150438
73,590,300.7816183933912
72,71,300.996719962964
72,57,32.2528436645049
72,590,15.397365789564637
72,392,81.54373979314654
71,54,28.680744502694154
71,595,147.1975226325313
70,54,132.7415342237334
70,51,138.27257114176473
70,50,133.95266406508912
70,621,43.68220509517405
69,50,43.403719291527935
69,621,134.50419684634122
68,67,136.50090424081236
68,65,99.37568051896142
68,370,136.40841427513715
68,492,114.60799096009717
67,50,135.40427383869968
67,47,136.426866890222
67,386,133.35410693184187
66,65,55.65560014518868
66,371,111.48282424064472
66,369,94.30610082709597
65,64,33.839463061033186
65,480,149.84666113139818
64,61,133.3653405650864
64,45,133.9467674663724
63,61,74.48964620338221
63,59,56.52623507109973
63,375,134.8925841857744
62,61,135.78634905467175
62,45,136.82433341295393
62,40,131.05789866954845
62,375,73.47230793360004
61,680,138.2044762572273
60,59,71.21459479777802
60,679,105.56746119793804
60,678,80.01123337516789
59,39,133.12305381730033
58,57,131.52700163602168
58,56,131.55385412314178
58,578,164.22029259617372
58,391,135.60257306642566
57,55,133.76901725585546
56,55,131.14790629888688
55,52,135.11181795223075
54,52,139.11611268564508
53,51,129.47547296598782
52,51,133.5903928493929
51,48,132.16891972603025
50,48,136.88506711903074
49,47,130.19788073518478
49,387,132.64133874034496
48,47,137.52484683466722
47,479,116.67644238344218
46,45,121.89169469827952
46,701,23.668023439922646
46,480,13.896695309431445
46,479,29.16445454781154
44,42,36.80778911308061
44,678,104.3956084510551
43,42,107.7987204742308
43,39,137.7165119377135
43,35,133.63460728094043
43,678,88.9177911238414
42,380,35.15637902021022
41,40,136.11198334340574
41,376,132.2003821588326
41,398,153.5691860352071
40,38,131.12147336242518
39,38,132.17200173865072
39,375,55.22485380906642
38,35,133.8778190595062
38,376,136.8693403767018
37,35,137.1864598080902
37,376,132.95881502198844
36,35,134.0210662254035
36,381,120.20935739620506
36,380,113.63586415516174
387,701,112.84500374057276
387,660,134.56807698857529
386,370,137.95593888193076
386,620,93.78573446949369
385,724,20.110453361912203
385,706,172.09996570305987
384,350,133.39903017892664
384,347,127.84939421751055
384,346,133.96501398511373
383,292,119.52925138557698
383,745,131.90185371072695
383,690,35.28211003963829
382,292,112.6983721764687
382,661,138.35983104570434
382,652,139.08360625634015
382,651,10.72482052646843
381,380,157.5231340600665
379,358,131.4341680419429
379,357,128.10671837316536
379,724,25.339156181720078
378,735,135.732987109476
378,734,36.12454525993074
377,733,41.16524220327836
374,739,114.73600918237132
374,735,113.9222443627112
373,372,133.65903761346345
373,356,127.67751807990132
373,390,133.82833505358582
372,353,126.94483871353768
371,369,61.23622964016761
371,667,41.30448633202076
370,369,131.74374433239254
369,681,83.85170454134298
368,366,134.94374453732013
368,718,133.4611088468353
367,366,94.63742709049598
366,365,132.0926577290768
365,364,133.46949708014387
365,718,133.51263096527143
364,662,20.339933219306
363,725,19.951092898626484
362,356,134.55383861728274
362,355,131.00585568085967
362,354,131.63668109989814
362,708,60.054117234429874
361,360,152.92409780279084
361,354,60.20807737246818
361,708,133.38086117277405
360,352,132.66232579491395
359,352,135.90585565035312
359,349,135.55391867560866
359,348,131.8242253928707
358,348,133.0955223511015
357,348,133.79484942500576
357,345,132.86129843740756
357,477,115.12522483595255
356,353,132.93896987958604
354,353,134.94676347908296
354,352,136.0172392841169
353,351,134.97183237843802
352,351,135.55073006765483
351,349,134.73865446720035
350,349,127.45163149903017
349,347,133.85265848077083
348,347,136.98971680993756
347,345,134.9726925141758
346,345,127.92244906295001
346,475,133.18709485791476
345,342,131.65548515926577
344,342,113.24145505214541
344,477,29.41209268107986
344,476,7.227945079302609
343,342,113.78569675256392
343,657,41.95409188566604
342,475,127.99687930171005
341,320,136.22347097404926
341,319,132.95400574093415
341,490,78.3338310660813
340,319,80.47868842029129
340,490,133.9512737313183
340,426,56.54168561135374
339,338,67.00135334982816
339,315,128.99475640386427
339,314,129.28956053104096
339,407,137.30575783354675
338,319,64.6413619058079
338,316,139.02726060100682
338,427,142.87275924409872
337,334,66.97423010564846
337,315,61.66324333880984
