vertex1,vertex2,edge_weight
1,408,24.259036001714406
1,410,18.77789601498193
3,4,88.06938967712841
3,5,72.18460316190226
3,415,32.29441080065152
4,6,80.34316430694776
4,49,47.383012396454326
5,49,69.57966749013593
5,77,76.40316169130695
6,7,48.996149606683595
6,8,150.56907002263992
6,27,42.47337712189043
7,8,142.4066909325512
7,9,48.82767880862368
7,49,78.95517658500384
8,13,45.48774314036504
8,76,68.86756638276927
9,10,90.43858450527682
9,11,30.662365118733756
10,12,31.05365305746963
11,12,94.58302875877688
11,70,84.38279831786059
13,14,68.50915251701262
13,15,77.72243754912446
14,76,46.8420278298122
14,186,57.86786436399857
15,70,165.5097508028981
15,186,71.27160529342025
16,17,56.88019500279112
16,18,152.98113331846866
16,73,51.18050868677732
17,187,243.38079513004385
17,262,144.0396202455836
18,19,76.61676489909912
18,258,122.98724843612068
18,262,62.15668873194429
19,73,167.20636852659848
19,74,36.223697490484184
19,75,56.25420794196949
20,21,52.05671875300089
20,301,61.88466617022701
20,511,143.18482039812875
21,22,49.30912521258113
21,23,80.07238474538515
21,104,138.5769997736301
22,24,48.34431038449385
22,183,133.39069870826344
22,456,79.84390238459486
23,432,73.01097316608652
23,433,113.1409525456009
23,456,49.67889093420659
24,25,128.40233450624618
24,455,78.2559937352877
25,183,51.769414542402515
25,184,83.58938193363912
25,452,160.41077088506555
26,27,30.483955554971473
26,28,61.73777196912166
26,414,152.24397743676462
27,29,62.00033250709676
27,50,206.60370426393138
28,29,42.131104288674386
28,30,49.61894131317474
28,46,150.7170818188271
29,51,203.57218341225095
29,52,48.98326351954811
30,31,53.46727725715344
30,32,150.35430972819177
30,52,51.03842352177021
31,32,143.9364141590993
31,33,54.7645767041912
31,48,64.15358887136632
32,41,57.28858410255547
32,46,59.360263961848545
32,47,125.78872353872467
33,34,54.42569384800505
33,35,60.85279466941272
33,41,135.0269969226162
34,36,72.56729297966153
34,37,128.61106348319686
34,42,58.52736633691786
35,42,55.38344124592574
35,48,55.70815488949838
36,38,50.872241215709906
36,207,89.85703235018676
37,39,162.769912373057
37,41,55.43508299525164
38,53,12.163685708746648
38,791,14.63025846519002
39,40,54.07786625708002
39,420,42.46225832181927
40,41,145.84248336307007
40,47,61.06030750896426
42,53,49.776956788313214
43,44,63.04058438497493
43,45,57.83698395520166
43,55,75.9907769272235
44,416,28.128434494740873
44,417,131.88014359829944
44,568,14.544271728675541
45,46,99.44221710058275
45,47,61.511061560668786
46,55,59.87448236486361
47,417,80.07357545900327
48,52,67.05072311296513
48,463,231.4090990705337
50,103,45.72916365410281
50,105,41.20332171228341
51,56,25.131899224255136
51,105,19.10420122500729
52,458,210.65631258804146
