vertex1,vertex2,edge_weight
5,3,124.41264720336638
5,563,20.113496554907872
5,562,19.167185781047927
5,343,132.29955896663142
4,0,150.63783362163227
4,739,150.0860986540382
3,342,111.3628089793891
3,341,152.67526233998285
2,1,13.602248932835163
2,740,224.15670798144436
2,739,218.76225591742593
1,0,132.43477340673124
766,765,8.071482132024954
766,763,13.100233480458186
765,764,13.61447276336561
764,161,18.95366842723127
763,760,10.601589109007527
763,655,330.6001076290798
762,744,62.45020894182136
762,638,6.588482274290387
762,381,186.25347207151432
761,104,69.09172143976156
761,98,3.0203845336676443
760,659,438.26916302917397
760,161,12.724276743269455
759,659,14.088964167422898
759,655,96.97782851071534
759,476,144.97527261117668
758,757,62.36720122095833
758,737,42.147892698170956
757,756,27.733353240991605
757,755,84.0556478354703
757,736,37.35882969173759
756,754,78.03335523131899
755,754,22.720880803608097
755,653,106.529585380529
753,734,14.93572635587652
753,704,8.22101429130971
753,689,138.4968014949161
752,751,214.51431778801768
752,480,42.446974753330174
752,223,9.11645293979374
752,144,96.22916821517595
751,494,64.18572943509604
751,480,206.41437134476567
750,112,19.089575327041253
750,111,42.29547861770016
749,748,34.02351967456471
749,728,450.40861781125216
749,578,351.23657809943654
748,747,6.7949498231000955
748,658,7.174832573852688
747,731,2.564912104712667
747,729,24.560263993025355
746,543,53.89583646967927
746,542,36.45532788565987
746,328,60.800364116807664
745,570,90.43356650510468
745,569,301.891507127314
744,740,142.80770439199463
744,381,248.7022375789279
743,742,135.89345813129663
743,568,164.75932070137767
742,568,59.49402240640943
741,612,42.45310500937822
741,611,45.341821331607534
741,238,65.18689640313127
740,739,7.649703384249729
740,338,9.503380152781297
739,341,11.153534254390621
738,715,53.45298220717562
738,637,24.66725265048326
738,588,59.50549808539798
737,736,9.19585281148746
737,157,35.80431689559733
736,735,126.90008729250249
735,653,18.874469737141673
735,155,12.278393992036492
734,704,14.515107914429388
734,131,82.31599933256616
733,617,37.95681577499939
733,318,68.92957405610227
732,668,31.937090169074157
732,598,31.029764714440518
731,730,6.987922552185251
731,658,3.5518725399620474
730,729,20.654414066380802
730,464,22.938925908098483
729,473,102.2534859234063
728,579,109.06058005693025
728,307,994.9383084106778
727,631,42.39795812142576
727,535,23.82033251455082
727,288,31.251716036878545
726,641,26.161209317710178
726,184,87.21522554836034
725,590,19.158310739581157
725,585,24.037746417070938
724,345,14.952485086628378
724,344,19.679251661102033
723,652,267.39161138093715
723,651,141.11698188619755
723,572,188.9125282088964
723,448,134.05164226665667
723,180,19.85352050145049
722,667,255.68863604490107
722,180,28.566769393805256
722,171,112.90735378487322
721,618,6.373361996589513
721,572,180.69510247516868
720,642,51.72876847008421
720,188,74.55900195520121
719,616,180.46564683936379
719,365,582.5220696598467
719,322,71.03739817639129
718,622,54.769869461321356
718,402,54.20061567988101
718,168,42.07869334834976
717,716,233.32001127078735
717,365,275.5050499836689
716,621,171.98827386206938
716,325,39.51854896981821
715,597,3.5619690042566945
715,370,42.95370086745533
714,599,84.35959097647492
714,592,44.52470908820113
714,370,126.8214718255545
713,356,81.56157168132707
713,230,86.16646168275683
712,472,80.49220598506191
712,468,26.242332288615266
712,418,66.03239949798747
711,710,32.58135431966428
711,435,113.78560894218273
711,178,86.40713528032687
710,176,64.93574738074211
710,175,70.6258302995195
709,436,10.059615820404957
709,434,46.69881289196624
709,380,27.697388004523578
708,698,77.89834888277618
708,686,47.84346122887776
708,675,58.51863063285034
707,706,63.42087907830721
707,703,15.611716136780283
707,697,38.638396448222224
706,701,133.38014063173458
706,700,83.4373627305049
705,704,96.31786984809627
705,690,133.21514152948927
705,689,62.56968693738388
703,697,35.774255604245596
703,695,25.902360505046566
702,701,37.32459094924902
702,700,142.71616503945324
702,688,44.885844330619946
701,690,21.397727772531404
700,699,101.40377464349221
699,695,76.6953054596662
699,693,266.698034785858
698,697,11.932626330631665
698,685,37.42599028843632
696,694,99.05831705471483
696,276,114.08910748844389
695,694,191.60092076577226
694,691,128.09376729700875
693,692,122.10468178410997
693,691,74.21371255787056
692,691,74.4705965302454
692,683,35.250342695383964
690,688,32.11154288409001
689,688,145.1903600523044
687,684,58.39221857867056
687,682,140.74021236217
687,560,106.13769882545954
686,685,64.83787916144445
686,681,157.82144204393313
