vertex1,vertex2,edge_weight
6,4,54.92684409244951
6,445,3.2742728416246183
6,293,175.82646043047575
5,4,115.31895910080574
5,538,18.3209736517468
5,537,83.05410191723496
4,1035,50.75315894689381
4,973,52.35367067928863
3,1,70.49522209228347
3,0,44.95299978869157
3,819,137.16741155128707
2,1,76.26759071618321
2,0,51.822539498405504
2,705,505.52365857340953
1,0,55.6029218364852
1,809,861.7683528776209
131,130,61.21456390815694
131,526,99.94234179706129
131,525,58.92317716741897
131,524,9.030935598843243
130,129,71.33504105901238
130,563,143.83862556967551
129,126,83.31260897705553
129,1227,109.44175880137877
129,525,65.2493582194766
128,126,71.85852112057017
128,1120,71.75630951454144
128,525,84.92379815341025
127,126,109.06282120842019
127,123,71.91814665203509
127,1227,80.7221768657652
127,1150,96.31830924517041
126,125,72.87249854730919
125,123,109.18590865524878
125,75,107.079213741551
125,1120,94.78581553278984
124,123,75.35396662906973
124,39,188.0168545885632
124,1150,74.77874283202841
122,119,154.49447571179763
122,920,8.823470663313207
122,914,31.981483055458163
121,119,161.8892736016955
121,921,28.415641761651358
120,119,64.73280200544956
120,918,55.3533120711106
120,916,56.74824203858407
120,915,49.51838960493039
118,116,29.517369437018314
118,1196,36.07547854279944
118,869,62.497841569527075
117,116,26.062620214755416
117,115,46.381219358164145
117,1195,46.89403117547015
116,115,37.6287275442128
116,1196,27.34924808942153
115,113,267.3185716497992
115,1196,11.554654388699566
114,113,34.3881589586659
114,919,65.97714010943079
114,913,36.25997905338352
114,912,130.81994588921128
113,919,46.812299391464194
112,111,53.869665337198725
112,110,60.816448434061535
112,712,79.50310195049057
112,706,39.651906552530946
111,110,79.02167930831212
111,705,31.02063172767745
110,712,105.55259786077885
109,108,48.583732196012875
109,107,58.16595867211918
109,708,39.2663190606396
109,707,56.51184069209004
108,107,75.00135932934371
108,711,326.1492674134487
107,103,90.29493954211422
107,708,20.283776360600402
106,105,209.9308343005199
106,103,115.6932280518468
105,102,113.67584424903737
104,102,167.08385542352087
104,1052,26.509830542757907
104,1051,31.135145472121554
103,102,211.00424386061283
101,852,28.803127431611077
101,850,11.13771853006396
100,37,115.73397510808454
100,225,34.17590430456185
100,213,173.16286059743524
99,37,133.9284276519755
99,851,134.7397978723682
99,564,221.23488874213737
98,96,111.60825682362201
98,736,104.47438515590927
98,366,73.39089556278162
97,96,111.74865849210772
97,280,67.13068732614425
97,220,41.33535955243934
97,216,64.78622299635909
96,95,65.32293209074922
95,93,103.84152596286138
95,281,46.24493992212427
94,93,58.44523964849462
94,365,71.93384418961979
94,281,104.21609328008955
93,91,56.14590150863326
92,89,131.63134237130046
92,364,143.59747311965447
92,265,65.85295218464553
92,264,83.86276468608884
91,89,103.32203731842377
90,88,55.74486541590616
90,746,44.24197472413966
90,364,110.390885712433
89,88,78.0031897018331
87,86,69.79685745563091
87,1010,23.793851250259465
87,746,20.531382232641565
86,85,57.22562806905692
85,84,58.625833301384795
85,888,78.06242966559586
84,83,76.55261543006753
83,81,51.31912690010029
83,184,53.029403752848395
82,80,100.51311495889937
82,336,114.36486536188723
82,335,70.05614035155715
82,183,70.26563268912338
81,80,52.077276491580335
80,79,57.18627617084696
79,78,105.89836390069338
79,335,86.81803560303139
78,943,65.14414323328974
77,75,88.59325509005727
77,74,71.49595634780259
77,1120,110.69041355809826
77,1119,80.75669300666304
76,73,94.01631364411095
76,71,28.59866354800239
76,38,111.68597626526089
76,1032,132.25144210721976
75,72,71.25169650399705
74,72,93.03479331163116
74,69,136.19802163384603
74,68,82.78450344337274
73,68,56.22966933066773
73,62,73.43669772496645
73,60,100.39856397039378
72,71,82.13342382081827
72,39,129.58317359344994
71,68,87.8638959465109
70,69,13.144093802480175
70,1119,95.11763139227696
70,1118,206.12050792684295
70,466,167.75133879276865
69,67,80.82987436970143
68,67,128.72677888025794
67,66,93.94538907458617
66,62,52.591942531772276
66,1118,72.66666470737331
65,64,81.47647127592128
65,63,88.52665594215578
65,289,43.09606229680906
64,63,33.27057779597412
64,27,132.46843957128144
64,25,58.24181794123723
63,984,110.28273117357038
63,288,103.32368939912456
62,61,76.76173942416762
61,60,66.1745307851807
61,23,199.2731896895985
60,1032,88.43887358432669
59,22,72.48183057141681
59,21,60.60672091736805
59,1031,287.3099691834281
58,21,299.6444502656134
58,1224,56.45746654857521
58,1042,78.20702538220362
57,56,101.449629673142
57,53,75.64444912336583
57,52,54.880141646634
57,287,72.61934083586601
56,54,94.28734658342545
56,531,52.91969264241294
55,54,9.88887453897664
55,51,93.15121150082476
55,530,65.70012010882027
54,52,121.06445221861499
53,50,56.63872017458903
53,288,82.93167453065232
52,51,85.92714517623057
52,50,75.24033050915858
51,49,73.9751187267776
