vertex1,vertex2,travel_time,maxspeed
0,1,81.3,30
0,3429,17.4,30
1,0,81.3,30
1,1293,17.2,30
1,1294,18.9,30
1,3874,17.3,30
1,3900,23.0,30
2,3,46.2,30
2,3,44.3,30
2,3,49.9,30
2,3,56.9,30
2,3,44.6,30
2,3,41.0,30
2,3,55.6,30
2,1292,33.2,30
2,1292,29.2,30
2,1292,36.8,30
2,1292,22.2,30
2,1292,15.6,30
2,1167,76.9,30
2,3875,31.4,30
3,2,39.5,30
3,2,47.2,30
3,2,50.4,30
3,2,48.3,30
3,2,61.6,30
3,2,42.6,30
3,2,52.8,30
3,2,58.5,30
3,2,56.9,30
3,1291,36.1,30
3,1296,25.5,50
3,5,25.2,50
3,4,48.5,30
4,5,18.3,30
4,6,17.7,50
4,1105,12.2,50
5,1711,8.5,50
5,3,32.9,30
5,3,22.5,50
6,1709,7.4,50
6,4,17.0,50
6,1712,29.2,50
7,6,53.0,50
7,8,19.8,50
7,1637,43.1,"['10', '30']"
8,7,19.1,50
8,2464,44.4,30
8,2889,39.3,"['50', '30']"
8,1713,31.5,50
8,567,18.8,50
8,507,27.7,50
9,3082,108.3,30
9,556,46.8,50
9,2847,16.8,50
10,11,26.3,50
10,11,82.7,20
10,744,55.1,30
10,3597,32.1,50
10,1518,23.4,30
10,3038,20.6,"['50', '30']"
11,741,17.2,30
11,741,34.4,30
11,742,30.3,30
11,10,35.8,"['50', '30']"
11,1111,34.5,30
11,1134,27.5,50
11,1697,31.4,30
11,1517,50.4,30
11,1517,31.3,30
11,1698,40.2,30
11,3038,54.3,40
11,3862,41.8,"['30', '20']"
12,13,8.3,50
12,14,11.5,50
13,15,8.1,50
14,19,11.1,50
14,1633,10.2,50
15,16,15.1,50
15,17,20.5,30
16,20,15.4,"['50', '30']"
16,21,9.2,50
17,15,20.5,30
17,22,12.4,50
17,22,12.1,50
17,1971,20.3,30
18,19,20.3,50
18,682,64.3,30
18,227,15.0,50
18,24,17.9,50
19,2245,6.0,50
19,15,10.5,50
20,29,9.9,50
20,1732,8.3,50
20,1631,21.4,30
21,13,27.1,30
21,12,20.9,"['50', '30']"
22,313,13.3,50
22,313,25.6,30
22,258,10.7,50
22,2245,11.3,50
23,24,15.6,30
23,18,15.0,50
24,25,13.6,50
25,1501,11.7,50
25,23,12.7,50
25,229,20.4,30
26,27,10.9,50
26,27,18.0,30
26,28,16.3,50
27,29,14.3,50
27,29,21.5,30
27,43,12.2,50
28,188,14.4,50
28,189,24.1,30
28,27,16.3,50
29,1631,23.8,50
29,154,14.6,50
29,43,13.0,50
29,1733,20.7,30
29,20,21.0,30
29,20,9.9,50
30,31,20.6,50
30,463,16.9,30
30,441,16.4,30
31,308,11.5,50
31,311,11.0,50
31,311,18.3,30
32,30,11.1,50
32,30,18.5,30
32,33,19.0,30
33,466,16.1,30
33,467,16.0,30
34,35,11.1,50
34,35,18.4,30
34,36,11.4,50
35,32,11.0,50
35,32,18.4,30
35,438,16.5,30
36,306,16.2,30
36,307,9.6,50
37,38,10.5,30
37,39,13.0,30
38,37,10.5,30
38,507,92.9,10
39,37,13.0,30
39,1730,17.4,30
40,41,85.8,10
40,457,27.8,
41,44,74.5,10
41,1572,57.5,10
42,43,18.3,30
43,29,13.0,50
43,181,11.9,50
44,45,35.1,10
45,46,58.0,"['10', '30']"
46,42,35.8,"['10', '30']"
47,684,16.0,30
48,50,30.8,
48,50,22.8,
48,50,46.7,30
49,48,38.4,
49,48,46.0,
49,50,33.8,
49,50,41.5,30
49,1107,17.9,30
49,454,32.7,
49,3838,28.2,30
50,48,18.8,
50,48,34.5,
50,49,41.5,30
50,3840,35.3,
50,3896,28.0,30
51,52,13.5,30
52,54,8.9,30
53,54,11.7,30
54,65,16.5,30
55,56,19.7,30
56,58,13.4,
56,59,34.2,30
57,73,19.0,30
57,51,19.9,30
57,51,24.3,
58,57,19.6,
58,53,23.6,30
59,64,17.1,30
59,72,27.2,30
59,74,31.8,
59,77,36.3,30
60,56,9.5,
61,60,16.3,
61,77,31.6,30
61,66,32.1,30
62,63,32.5,20
63,59,36.9,30
64,58,17.4,30
65,66,23.7,30
65,55,18.7,30
66,61,32.1,30
66,3286,14.1,30
66,759,13.1,30
67,59,26.8,30
68,69,17.5,30
69,1252,19.6,30
69,82,27.0,30
69,1614,17.2,30
70,71,55.3,30
70,75,35.3,30
70,83,55.5,30
70,84,36.4,30
70,2842,27.5,30
71,68,26.7,30
71,1613,35.1,30
71,1809,53.2,30
71,1612,35.7,30
71,2604,29.3,30
71,1614,40.5,30
72,70,36.7,30
73,59,31.6,30
74,75,17.5,
75,63,25.5,30
75,76,21.8,
76,78,16.9,30
77,763,21.4,30
77,61,31.6,30
77,81,21.1,30
77,764,13.8,30
78,79,21.8,30
78,83,61.2,30
78,527,22.3,30
78,3480,26.8,"['50', '30']"
79,85,13.0,30
80,59,23.4,
81,82,39.5,30
81,80,19.6,30
81,77,21.1,30
82,81,39.5,30
82,514,23.0,50
82,1248,42.9,30
82,1250,35.2,30
82,1250,24.7,30
82,3328,23.0,50
82,1614,37.6,30
82,69,22.8,
82,1249,34.6,30
83,78,61.2,30
83,88,23.9,
83,70,66.5,30
83,1342,18.9,
83,89,64.3,
83,530,51.3,30
83,2768,41.2,30
84,86,20.8,30
84,70,36.4,30
84,2604,23.4,30
84,2842,17.9,30
85,70,30.2,30
86,111,23.3,
86,83,36.2,30
87,527,49.2,30
87,89,89.9,20
87,89,72.6,30
87,89,45.2,
87,530,37.4,
87,3508,36.0,
87,3508,37.0,
87,3511,36.8,30
87,3512,30.3,
87,3512,30.2,
87,768,78.8,
87,768,47.6,
88,89,19.6,
89,87,39.3,
89,87,48.7,
89,83,52.5,30
89,83,50.3,
89,527,31.7,
90,91,30.3,
90,91,39.4,
90,772,23.4,
90,772,54.2,
90,768,70.0,
90,770,49.5,
90,774,39.2,
91,92,19.3,
91,1343,41.9,
91,90,28.6,
92,90,23.3,
93,90,30.2,
94,3530,22.7,
95,96,19.7,30
96,97,8.8,30
96,524,11.7,30
97,98,14.6,30
97,99,8.7,30
98,100,14.6,30
98,101,11.8,30
99,854,12.4,30
99,105,16.2,30
100,102,15.6,30
100,103,8.4,50
101,103,10.4,50
102,104,12.3,30
103,525,9.6,50
103,526,9.7,50
104,2967,19.5,30
104,3116,15.5,30
105,2968,17.9,30
105,855,16.9,30
106,107,25.2,30
106,108,19.1,50
106,1905,18.1,50
107,1916,16.2,30
107,109,35.1,30
107,2455,51.2,30
107,106,25.6,30
108,106,27.3,30
108,109,36.2,30
108,110,25.8,30
108,110,24.1,30
109,107,35.1,30
109,881,21.5,50
109,2967,24.0,50
109,2968,31.6,30
110,1340,19.7,30
110,1339,29.7,20
111,86,23.3,
111,2605,22.2,30
111,3306,16.4,30
112,113,16.0,30
112,114,16.5,30
113,119,10.7,50
113,469,16.6,30
114,198,15.4,30
114,465,16.0,30
115,112,16.1,30
115,116,19.2,30
116,135,22.7,30
116,138,7.3,50
117,115,15.7,30
117,118,16.3,30
118,465,15.9,30
118,200,15.6,30
119,120,9.8,50
119,469,13.3,50
119,3115,23.1,30
119,3709,11.4,50
119,3715,8.6,50
120,112,16.2,30
120,116,11.9,50
121,122,9.8,50
122,123,9.8,50
122,139,23.4,30
123,124,9.9,50
123,125,9.4,50
124,126,11.4,50
124,127,9.5,50
125,185,24.3,50
126,140,18.9,30
126,183,10.6,50
127,128,9.6,50
