vertex1,x,y
0,432075.3564288917,4580143.474232461
1,432219.03407596156,4580768.36210687
2,432254.77426595846,4581082.029759738
3,432111.1790111059,4581359.466502608
4,431768.24380786635,4581556.134982697
5,431863.38651074015,4581450.19948307
6,431609.7926996175,4581398.8307920955
7,431242.60708502686,4580804.311876604
8,431119.71504247276,4580579.7765165735
9,426314.98986307037,4575165.686260343
10,428821.15002763335,4580743.063820786
11,428677.2046505362,4580420.331211721
12,430615.4537142246,4581913.155534024
13,430553.42086160014,4582010.344768103
14,430707.6353291672,4582042.6653467305
15,430484.28517559107,4582096.499863335
16,430296.2545050281,4582004.031940521
17,430357.1506909935,4582208.730822484
18,430872.11618012446,4582272.940814923
19,430615.86554322223,4582157.9600769505
20,430144.1526782215,4581950.898467048
21,430391.6030459779,4581918.926758311
22,430466.4183897723,4582326.252737061
23,431053.68506859156,4582372.449570194
24,431114.1829217396,4582278.798854417
25,431205.44543025637,4582411.99303176
26,429843.64230411395,4581700.423076987
27,429937.8130690649,4581793.081446414
28,429779.5600569332,4581861.709096407
29,430072.3337259137,4581865.338439715
30,429461.2726395726,4581326.670260447
31,429652.82657964615,4581513.374102149
32,429364.8045904964,4581232.935535914
33,429254.32549938536,4581346.413367556
34,429173.6156634135,4581044.880938828
35,429269.7787677137,4581139.4211378535
36,429062.4174104192,4581157.941230602
37,430695.2921411026,4580983.69345961
38,430766.2857439845,4580933.45432828
39,430615.5106957594,4581054.061982393
40,430082.74544920365,4581321.975309331
41,430320.5649802782,4581336.66060978
42,430159.48732139607,4581670.59734085
43,430065.826324784,4581696.6839088695
44,430496.0575166941,4581435.644446138
45,430464.63593993994,4581509.280255946
46,430289.0198168236,4581775.2713485565
47,431344.852399577,4581694.60503763
48,430101.1305320869,4580476.6923615355
49,429818.7700508148,4580444.51699415
50,430066.1829044373,4580349.812018526
51,426772.01212843484,4580084.725911174
52,426880.578350865,4580055.361956858
53,426882.7093940078,4580159.674959554
54,426947.06701527315,4580086.323988467
55,426932.2255824395,4580205.4639457
56,426833.39842544677,4580333.167723547
57,426622.71440153243,4580148.4513323475
58,426748.8284648678,4580256.645272737
59,426585.21745791927,4580434.220095212
60,426893.56274352106,4580387.442663767
61,426999.0602523296,4580403.835888766
62,426226.71087443037,4580112.527000728
63,426373.51725748053,4580217.895449037
64,426701.15047710435,4580362.949541471
65,427061.25632893125,4580161.479312995
66,427204.85067808215,4580293.687720823
67,426507.901743685,4580640.515388773
68,426331.51037523,4580843.114637679
69,426444.56479667994,4580870.292530457
70,426195.97261584183,4580577.340400382
71,426163.1598365644,4580954.8540957635
72,426408.0838052994,4580482.311365772
73,426529.18018611503,4580209.126703253
74,426344.6029583031,4580324.172374606
75,426246.9301382426,4580325.217324381
76,426190.735623066,4580192.890174944
77,426798.264954092,4580573.2817909485
78,426067.3642871439,4580150.78867478
79,426158.5830382333,4580265.820028475
80,426654.92540327855,4580598.250552647
81,426782.4816371538,4580699.492922163
82,426614.8260054318,4580909.269223347
83,425759.19675305625,4580538.14838871
84,426009.11147383245,4580728.218915559
85,426145.57298280153,4580371.303270995
86,425837.19744655845,4580710.595068807
87,425476.03292695223,4580165.703071231
88,425764.44983841956,4580427.7523313165
89,425733.7057942376,4580336.776779921
90,424687.5416501936,4580129.418142219
91,424713.0065136993,4580317.571459136
92,424778.881892071,4580167.453607595
93,424884.2994798535,4579975.865892249
94,425025.7243160715,4579755.644738814
95,427521.3913213344,4581518.87969735
96,427671.0553926694,4581587.843653001
97,427737.2593347411,4581618.837656073
98,427846.36057168304,4581672.476904035
99,427705.4842586033,4581684.362269284
100,427940.66015172197,4581748.914965123
101,427889.6563405745,4581584.721207538
102,428042.60193451156,4581829.697291069
103,428014.1672113799,4581657.595373315
104,427977.9797471963,4581908.703993916
105,427709.3751821933,4581801.029929803
106,427904.6896886142,4582318.926326133
107,427741.3214779643,4582218.97876423
108,427881.7350063732,4582203.234664044
109,427646.90838503605,4582013.818718784
110,427964.5544104142,4582086.562452207
111,425782.51053725067,4580864.670534099
112,428505.99284478073,4581920.66196196
113,428412.2552697969,4581825.780284702
114,428602.5318489083,4581823.192246475
115,428599.6189118573,4582016.356423659
116,428527.24762845,4582129.920255307
117,428693.5191480365,4582107.874653659
118,428789.4143985916,4582011.279762849
119,428306.2699300304,4581929.809291828
120,428409.3873552011,4582014.525238922
121,428698.0418334807,4582295.536309658
122,428786.29552995414,4582394.881992533
123,428888.77875603124,4582483.366206677
124,428986.8725698857,4582579.754417473
125,428980.7601027293,4582391.220018433
126,428874.8364335282,4582691.993971177
127,429082.3894480694,4582671.106206308
128,429178.3541730526,4582764.042553454
129,429173.93329004804,4582579.544079337
130,429037.5666098066,4582906.742249198
131,429274.3043615636,4582859.167548461
132,429366.23035171884,4582765.649979465
133,429347.33096592996,4582976.124272427
134,429460.9439280918,4582859.401585336
135,428433.66521489946,4582225.67428209
136,428345.8836225044,4582152.7351255575
137,428506.9715233753,4582298.618482753
138,428600.1985176588,4582199.893308017
139,428598.24772355356,4582412.251833363
140,428793.9061935445,4582581.404397688
141,428696.94159974984,4582485.329612187
142,428942.37285522046,4582815.476827052
143,429269.79658217833,4582672.371587348
144,429363.2965057967,4582577.961562364
145,429460.16697231604,4582670.581861389
146,429457.47722417075,4582479.371488281
147,429361.2275776231,4582387.222567659
148,429549.3784037139,4582385.135011981
149,429456.03337243863,4582289.881093128
150,429643.94499588775,4582287.876099348
151,429764.9195402196,4582356.606144645
152,429737.0318196772,4582192.964451575
153,429641.75296198955,4582099.181403934
154,429923.00237322925,4582001.270524621
155,429829.8871887546,4582096.77948832
156,427560.552484709,4584212.588765048
157,427671.99537292117,4584059.95601328
158,427872.80197022733,4583990.190401704
159,427845.03617929196,4583848.572964927
160,427900.6154800704,4583785.743304135
161,428018.38514069084,4583751.2949799625
162,428130.9858069067,4583889.70770239
163,428018.12519484846,4583635.148942729
164,428265.56463698513,4583504.615624426
165,428332.13588876557,4583614.036885622
166,428396.2698119755,4583505.417083902
167,428377.6104882298,4583391.7940860875
168,428667.5928353215,4583257.095968476
169,428452.4912688273,4583180.081070033
170,428650.34839989897,4583113.180695399
171,428571.01510118286,4583051.656757954
172,428756.8342279729,4583111.101632222
173,428754.1366178496,4582953.507311321
174,429078.1645071034,4582486.372682666
175,429266.29198708816,4582484.710959638
176,429271.0499479248,4582296.347950475
177,429550.5021772622,4582192.87729465
178,429356.8560044777,4582193.57491374
179,429544.8517842577,4582005.637402169
180,429734.6462491257,4582003.455636002
181,429940.251267519,4581601.58869125
182,428532.4776645383,4582742.120606097
183,428793.39990348375,4582806.49491328
184,429187.88595237833,4582405.702484803
185,429122.0409551397,4582153.726773037
186,429262.0374112346,4582105.488054616
187,429454.4246612207,4582098.04964651
188,429638.954742609,4581909.193621897
189,429637.06398219697,4581720.518306858
190,429844.41689123283,4581507.930456981
191,428445.09365483193,4581424.0181843825
192,428309.22880163684,4581549.569713188
193,428277.88349365554,4581407.45590706
194,428499.9354792261,4581541.523352993
195,428559.81689921045,4581481.18790803
196,428596.7270769361,4581637.197699308
197,428506.44646982366,4581731.041615407
198,428692.5773226497,4581731.794472709
199,428783.83219230245,4581616.877431736
200,428881.22860201134,4581919.48942305
201,428975.1110737673,4581820.929464848
202,428786.0013898836,4581825.672421331
203,428976.4067856603,4582013.674511788
204,429553.87758303265,4582574.373628589
205,429645.6694705483,4582479.217882
206,429647.32397316187,4582665.9304886665
207,429739.7497379152,4582570.614324628
208,429710.6830294218,4582726.203745468
209,429912.33779337956,4582928.041874024
210,429775.20484848396,4582791.823420338
211,430027.15527143003,4583041.6374718975
212,430121.84338934696,4582945.982289694
213,430121.89828611177,4583137.984181835
