vertex1,vertex2,edge_weight
0,7,4.8666066031701725
0,1,4.866605612801362
0,45,24.46867377896344
0,50,25.129225011072528
0,25,26.192624292742824
1,2,4.866605869584467
1,39,22.413140462292674
1,25,26.209649845956562
1,13,27.797466643264332
2,3,4.86660535601826
2,13,22.088349821744977
2,12,30.224550832700334
2,49,31.700602232251338
3,4,4.866606126367572
3,27,10.447931181673466
3,15,13.38900535510604
3,46,18.93758908968028
4,5,4.866604604050759
4,29,5.453834316026012
4,56,12.812747484060859
4,11,27.00884701684768
5,6,4.866606178038625
5,20,6.74370006727704
5,16,16.89726187904193
5,34,34.69720420587936
6,7,4.866604552379722
6,26,1.4173160893535277
6,21,11.059246590801457
6,33,13.29768824982946
7,18,16.59304411896124
7,57,18.662693242331446
7,55,25.20655088403238
8,24,39.44110185402256
8,55,35.64233084067115
8,18,21.262878008855292
8,44,13.661971649917097
8,54,14.50278339114977
9,13,60.481303239794485
9,25,44.18127814969728
9,50,41.54951814502196
9,57,29.836550675227144
9,19,12.54786302326429
9,28,25.426596108692074
10,52,21.711567537407287
10,35,17.332006201938388
10,12,20.159703562325518
10,15,15.883504999459698
10,43,27.763799214487396
11,56,21.7413830513189
11,27,12.786156580146388
11,32,19.23923768121045
11,29,32.46211102045774
11,46,14.874347622494348
12,32,47.83962406630891
12,13,51.78546529143491
12,28,65.11160049048709
12,52,24.546985985071668
12,35,21.39754232605728
12,15,20.765145607083554
12,27,28.530206806592137
13,28,61.06572070646304
13,52,54.06154985622068
13,39,37.10654258200146
13,25,53.71415503631834
13,49,27.29610706817113
13,40,21.166504135409504
14,47,13.27526434143185
14,53,98.29501142950585
14,22,5.139247854191107
14,42,39.16534960562931
15,27,23.46251577681234
15,38,25.82214901853326
15,43,18.483185094744513
15,46,25.81205473800759
16,32,44.27777979491229
16,28,50.09565647258519
16,56,38.03493405363409
16,20,11.236057631454491
16,29,43.70740840310386
16,17,25.468664550304382
17,21,14.985831702664024
17,34,12.33273680058567
17,20,29.53160498990719
17,28,44.99846127752065
17,19,42.57214114480007
18,50,8.852575477800718
18,55,37.70689989236134
18,57,19.28703837727886
18,44,16.43960146648766
19,57,26.382323128467004
19,21,47.41019044500716
19,28,20.260691365674752
20,42,48.96246590802351
20,51,45.28256494243773
20,29,47.29226014947018
20,34,29.32785009540344
20,22,42.38914168844551
21,57,44.05119898633157
21,26,11.993286447683067
21,34,11.587916378764914
21,30,22.727070822250255
22,34,34.906443963530876
22,47,14.042296113563438
22,42,38.35737614767736
23,47,67.36011199715
23,36,43.62112812316242
23,24,14.90713348973059
23,53,18.316503679809788
23,30,39.0491983725301
23,55,13.52875579058543
24,55,21.633716254972803
24,53,5.561929361340845
24,54,43.45138997791373
25,31,40.81382992369704
25,39,36.57491719136582
25,50,51.20980985628464
25,48,23.056987462819468
25,45,45.53920041922424
26,47,27.604874568515214
26,34,16.785883831232642
26,30,15.861963526428879
26,33,11.88417397810816
26,36,16.40144341950837
27,32,25.529894183793967
27,46,15.489443424575617
28,32,36.47377372906238
29,51,48.82255902188561
29,43,62.152034100719696
29,56,16.752961013241965
29,38,38.27105608063175
29,46,38.1171097571298
30,55,33.643487750219855
30,57,45.460208588536354
30,36,12.303427721348323
30,33,6.36069068600409
31,48,42.20039739726207
31,39,27.383260644113037
31,37,62.843026657401616
32,56,20.55098544887925
33,36,7.34976419777648
34,47,34.36764934538247
35,52,4.463442127250211
36,47,25.314754801436703
37,39,39.38157975285642
37,49,11.09568158132327
37,40,17.352006220772047
38,43,25.848677265857557
38,46,0.8318709733897894
39,40,24.344435812813607
40,49,21.62921245764448
41,51,28.797166329321495
42,51,36.63327726711453
43,52,49.47523227104593
44,45,18.604318666997695
44,54,21.845114849966855
44,50,12.421596205089783
45,48,32.64495071198077
45,50,24.648306397949728
45,54,29.81156173822863
47,53,85.08781666949828
48,54,62.026067939182376
49,52,47.73673244223367
50,57,23.805462948098096
53,54,46.394737965910664
55,57,43.56353492352596
