index,value
0,383.685
1,269.138
2,292.533
3,195.328
4,182.153
5,317.735
6,242.9
7,411.869
8,8.64558
9,101.276
10,123.495
11,76.4096
12,34.1181
13,12.2195
14,71.7279
15,184.308
16,24.0571
17,0
18,165.7
19,117.753
20,0
21,135.339
22,99.3909
23,201.437
24,0.125
25,40.042
26,60.3748
27,0
28,6.94065
29,51.882
30,76.7502
31,56.9411
32,67.4042
33,127.314
34,36.3552
35,61.5442
36,73.5144
37,51.7696
38,59.0657
39,80.3198
40,0
41,61.6649
42,50.2864
43,62.8877
44,66.2875
45,87.7859
46,1.75354
47,0
48,117.455
49,59.2751
50,0.0542507
51,65.3029
52,45.6129
53,72.5541
54,55.55
55,89.9346
56,78.7506
57,27.426
