vertex1,vertex2,edge_weight
0,1,1.0
0,2,1.0
0,3,1.0
0,4,1.0
0,5,1.0
0,6,1.0
0,7,1.0
0,17,1.0
0,23,1.0
0,24,1.0
0,34,1.0
0,50,1.0
0,56,1.0
0,94,1.0
0,99,1.0
0,143,1.0
0,148,1.0
0,160,1.0
0,175,1.0
0,239,1.0
0,260,1.0
0,316,1.0
0,380,1.0
0,412,1.0
0,438,1.0
0,457,1.0
1,3,1.0
1,5,1.0
1,7,1.0
1,8,1.0
1,9,1.0
1,15,1.0
1,21,1.0
1,22,1.0
1,35,1.0
1,44,1.0
1,57,1.0
1,69,1.0
1,78,1.0
1,93,1.0
1,97,1.0
1,100,1.0
1,108,1.0
1,111,1.0
1,116,1.0
1,127,1.0
1,134,1.0
1,152,1.0
1,157,1.0
1,161,1.0
1,164,1.0
1,169,1.0
1,188,1.0
1,191,1.0
1,220,1.0
1,226,1.0
1,227,1.0
1,236,1.0
1,287,1.0
1,293,1.0
1,296,1.0
1,317,1.0
1,326,1.0
1,382,1.0
1,392,1.0
1,431,1.0
1,441,1.0
1,469,1.0
1,471,1.0
1,472,1.0
1,475,1.0
1,487,1.0
2,10,1.0
2,12,1.0
2,14,1.0
2,29,1.0
2,62,1.0
2,233,1.0
2,322,1.0
2,379,1.0
3,4,1.0
3,6,1.0
3,8,1.0
3,9,1.0
3,11,1.0
3,13,1.0
3,14,1.0
3,25,1.0
3,47,1.0
3,59,1.0
3,75,1.0
3,98,1.0
3,133,1.0
3,250,1.0
3,281,1.0
3,287,1.0
3,290,1.0
3,327,1.0
3,346,1.0
3,372,1.0
3,392,1.0
3,416,1.0
3,452,1.0
3,498,1.0
4,42,1.0
4,113,1.0
4,147,1.0
4,159,1.0
4,257,1.0
4,301,1.0
5,11,1.0
5,12,1.0
5,13,1.0
5,15,1.0
5,18,1.0
5,19,1.0
5,48,1.0
5,51,1.0
5,60,1.0
5,66,1.0
5,81,1.0
5,83,1.0
5,86,1.0
5,126,1.0
5,127,1.0
5,157,1.0
5,161,1.0
5,188,1.0
5,268,1.0
5,270,1.0
5,286,1.0
5,291,1.0
5,309,1.0
5,362,1.0
5,363,1.0
5,371,1.0
5,433,1.0
5,436,1.0
5,442,1.0
5,473,1.0
5,491,1.0
6,17,1.0
6,18,1.0
6,37,1.0
6,42,1.0
6,173,1.0
6,199,1.0
6,205,1.0
6,211,1.0
6,222,1.0
6,225,1.0
6,229,1.0
6,394,1.0
7,20,1.0
7,22,1.0
7,33,1.0
7,37,1.0
7,48,1.0
7,62,1.0
7,107,1.0
7,114,1.0
7,200,1.0
7,235,1.0
7,238,1.0
7,256,1.0
7,265,1.0
7,272,1.0
7,347,1.0
7,427,1.0
7,459,1.0
7,478,1.0
8,10,1.0
8,26,1.0
8,83,1.0
8,87,1.0
8,93,1.0
8,100,1.0
8,133,1.0
8,148,1.0
8,191,1.0
8,213,1.0
8,228,1.0
8,243,1.0
8,267,1.0
8,317,1.0
8,352,1.0
8,391,1.0
8,484,1.0
9,32,1.0
9,38,1.0
9,77,1.0
9,88,1.0
9,176,1.0
9,270,1.0
9,282,1.0
9,292,1.0
9,316,1.0
9,482,1.0
9,493,1.0
10,16,1.0
10,89,1.0
10,91,1.0
10,120,1.0
10,334,1.0
10,356,1.0
11,19,1.0
11,28,1.0
11,32,1.0
11,40,1.0
11,45,1.0
11,49,1.0
11,118,1.0
11,139,1.0
11,241,1.0
11,255,1.0
11,257,1.0
11,259,1.0
11,311,1.0
11,324,1.0
11,330,1.0
11,332,1.0
11,361,1.0
11,440,1.0
11,475,1.0
11,499,1.0
12,39,1.0
12,58,1.0
12,73,1.0
12,90,1.0
12,107,1.0
12,115,1.0
12,139,1.0
12,154,1.0
12,185,1.0
12,189,1.0
12,208,1.0
12,241,1.0
12,245,1.0
12,315,1.0
12,334,1.0
12,425,1.0
12,458,1.0
12,492,1.0
13,23,1.0
13,31,1.0
13,67,1.0
13,119,1.0
13,123,1.0
13,168,1.0
13,177,1.0
13,224,1.0
13,253,1.0
13,278,1.0
13,305,1.0
13,306,1.0
13,320,1.0
14,96,1.0
14,371,1.0
15,16,1.0
15,28,1.0
15,61,1.0
15,113,1.0
15,158,1.0
15,349,1.0
15,390,1.0
16,30,1.0
16,31,1.0
16,47,1.0
16,104,1.0
16,183,1.0
16,246,1.0
16,354,1.0
16,397,1.0
16,494,1.0
17,27,1.0
17,34,1.0
17,63,1.0
17,64,1.0
17,76,1.0
17,101,1.0
17,103,1.0
17,167,1.0
17,179,1.0
17,186,1.0
17,313,1.0
17,319,1.0
17,364,1.0
17,406,1.0
18,453,1.0
19,20,1.0
19,24,1.0
19,25,1.0
19,45,1.0
19,54,1.0
19,69,1.0
19,76,1.0
19,284,1.0
19,294,1.0
19,308,1.0
19,313,1.0
19,390,1.0
20,21,1.0
20,30,1.0
20,72,1.0
20,74,1.0
20,78,1.0
20,95,1.0
20,115,1.0
20,201,1.0
20,202,1.0
20,204,1.0
20,234,1.0
20,249,1.0
20,269,1.0
20,284,1.0
20,310,1.0
20,375,1.0
20,464,1.0
20,470,1.0
20,497,1.0
21,26,1.0
21,52,1.0
21,84,1.0
21,89,1.0
21,118,1.0
21,122,1.0
21,140,1.0
21,219,1.0
21,408,1.0
21,438,1.0
22,91,1.0
22,112,1.0
22,137,1.0
22,138,1.0
22,217,1.0
22,327,1.0
22,428,1.0
23,27,1.0
23,33,1.0
23,36,1.0
23,40,1.0
23,41,1.0
23,44,1.0
23,64,1.0
23,104,1.0
23,144,1.0
23,150,1.0
23,175,1.0
23,178,1.0
23,206,1.0
23,232,1.0
23,265,1.0
23,337,1.0
23,357,1.0
23,383,1.0
23,401,1.0
23,419,1.0
23,424,1.0
24,58,1.0
24,73,1.0
24,212,1.0
24,245,1.0
24,251,1.0
24,261,1.0
24,272,1.0
24,285,1.0
24,298,1.0
25,221,1.0
25,254,1.0
25,338,1.0
25,388,1.0
25,396,1.0
26,29,1.0
26,55,1.0
26,70,1.0
26,125,1.0
26,182,1.0
26,225,1.0
26,320,1.0
26,344,1.0
26,389,1.0
27,262,1.0
27,323,1.0
28,39,1.0
28,41,1.0
28,46,1.0
28,59,1.0
28,67,1.0
28,90,1.0
28,98,1.0
28,101,1.0
28,136,1.0
28,144,1.0
28,145,1.0
28,181,1.0
28,183,1.0
28,215,1.0
28,231,1.0
28,244,1.0
28,248,1.0
28,356,1.0
28,358,1.0
28,387,1.0
28,404,1.0
28,407,1.0
28,440,1.0
28,453,1.0
28,481,1.0
28,498,1.0
29,280,1.0
30,36,1.0
30,54,1.0
30,124,1.0
30,128,1.0
30,132,1.0
30,142,1.0
30,146,1.0
30,156,1.0
30,194,1.0
30,229,1.0
30,286,1.0
30,410,1.0
30,430,1.0
30,488,1.0
31,57,1.0
31,72,1.0
31,74,1.0
31,75,1.0
31,80,1.0
31,128,1.0
31,494,1.0
32,145,1.0
32,178,1.0
32,197,1.0
32,247,1.0
32,285,1.0
32,367,1.0
32,376,1.0
32,382,1.0
33,35,1.0
33,46,1.0
33,60,1.0
33,121,1.0
33,131,1.0
33,140,1.0
33,153,1.0
33,170,1.0
33,176,1.0
33,190,1.0
33,307,1.0
33,385,1.0
33,439,1.0
33,473,1.0
34,38,1.0
34,152,1.0
35,77,1.0
35,110,1.0
35,120,1.0
35,156,1.0
35,166,1.0
35,237,1.0
35,288,1.0
35,331,1.0
35,340,1.0
35,342,1.0
35,369,1.0
35,415,1.0
37,43,1.0
37,68,1.0
37,70,1.0
37,79,1.0
37,102,1.0
37,112,1.0
37,159,1.0
37,200,1.0
37,240,1.0
37,259,1.0
37,277,1.0
37,299,1.0
37,328,1.0
37,345,1.0
37,360,1.0
37,487,1.0
37,497,1.0
38,43,1.0
38,53,1.0
38,68,1.0
38,88,1.0
38,121,1.0
38,135,1.0
38,141,1.0
38,165,1.0
38,197,1.0
38,210,1.0
38,216,1.0
38,281,1.0
38,297,1.0
38,401,1.0
38,430,1.0
40,153,1.0
