0,175
0,23,175
0,7,265,23,175
0,3,13,23,175
0,7,33,23,175
0,5,13,23,175
0,17,27,23,175
0,380,383,23,175
0,17,64,23,175
0,1,44,23,175
0,50,44,23,175
0,1,97,420,175
0,56,44,23,175
0,5,48,337,23,175
0,7,1,97,420,175
0,1,7,33,23,175
0,7,1,44,23,175
0,1,236,357,23,175
0,1,7,265,23,175
0,1,35,33,23,175
0,99,80,97,420,175
0,1,69,232,23,175
0,143,274,44,23,175
0,1,3,13,23,175
0,3,1,44,23,175
0,24,298,44,23,175
0,1,5,13,23,175
0,3,11,40,23,175
0,5,436,383,23,175
0,3,1,97,420,175
0,5,473,33,23,175
0,316,403,232,23,175
0,5,1,44,23,175
0,34,38,401,23,175
0,5,11,40,23,175
0,5,1,97,420,175
0,6,17,27,23,175
0,34,17,27,23,175
0,5,60,33,23,175
0,4,3,13,23,175
0,6,3,13,23,175
0,6,17,64,23,175
0,34,17,64,23,175
0,7,48,337,23,175
0,1,108,97,420,175
0,7,459,424,23,175
0,3,1,236,357,23,175
0,3,8,1,97,420,175
0,316,9,1,97,420,175
0,17,76,162,44,23,175
0,1,236,60,33,23,175
0,3,11,28,215,258,175
0,34,38,121,33,23,175
0,50,235,7,265,23,175
0,5,11,28,215,258,175
0,7,1,236,357,23,175
0,50,71,304,206,23,175
0,50,235,7,33,23,175
0,5,11,3,13,23,175
0,5,11,28,41,23,175
0,7,1,35,33,23,175
0,5,11,32,178,23,175
0,5,11,28,144,23,175
0,7,1,69,232,23,175
0,5,11,332,104,23,175
0,1,7,48,337,23,175
0,7,1,3,13,23,175
0,5,1,236,357,23,175
0,1,7,459,424,23,175
0,99,80,46,33,23,175
0,7,1,5,13,23,175
0,5,1,69,232,23,175
0,7,33,153,40,23,175
0,99,80,31,13,23,175
0,7,1,108,97,420,175
0,5,1,3,13,23,175
0,34,152,1,44,23,175
0,7,33,131,104,23,175
0,23,44,1,97,420,175
0,5,15,390,424,23,175
0,5,60,236,357,23,175
0,5,1,7,33,23,175
0,34,152,1,97,420,175
0,143,124,30,36,23,175
0,4,257,11,40,23,175
0,4,3,1,44,23,175
0,23,41,28,215,258,175
0,5,371,466,424,23,175
0,5,15,1,44,23,175
0,6,37,299,144,23,175
0,6,3,1,44,23,175
0,5,1,108,97,420,175
0,5,1,7,265,23,175
0,2,62,7,33,23,175
0,56,44,1,97,420,175
0,1,3,11,40,23,175
0,7,48,5,13,23,175
0,4,3,11,40,23,175
0,4,3,1,97,420,175
0,23,144,28,215,258,175
0,50,44,1,97,420,175
0,1,57,465,150,23,175
0,5,51,177,13,23,175
0,1,15,390,424,23,175
0,1,57,31,13,23,175
0,5,362,299,144,23,175
0,5,51,48,337,23,175
0,1,100,414,337,23,175
0,1,15,5,13,23,175
0,5,127,1,97,420,175
0,5,51,366,44,23,175
0,1,22,7,33,23,175
0,1,15,16,104,23,175
0,5,157,1,97,420,175
0,5,127,1,44,23,175
0,5,51,172,215,258,175
0,1,431,490,104,23,175
0,1,22,7,265,23,175
0,1,15,28,41,23,175
0,5,286,30,36,23,175
0,5,157,253,13,23,175
0,5,157,1,44,23,175
0,5,51,262,27,23,175
0,1,475,11,40,23,175
0,1,431,190,33,23,175
0,1,15,28,144,23,175
0,5,86,46,33,23,175
0,5,157,307,33,23,175
0,1,111,385,33,23,175
0,1,15,28,215,258,175
0,5,433,46,33,23,175
0,1,287,323,27,23,175
0,5,19,11,40,23,175
0,1,157,307,33,23,175
0,1,287,3,13,23,175
0,5,161,1,44,23,175
