103,17,364,51,136
103,17,101,28,136
103,17,101,28,136
103,62,7,48,51,136
103,17,0,160,51,136
103,278,13,177,51,136
103,17,27,262,51,136
103,17,0,5,291,136
103,278,13,5,291,136
103,17,0,5,51,136
103,278,13,67,28,136
103,278,13,5,51,136
103,17,63,46,28,136
103,17,186,387,28,136
103,62,7,48,5,291,136
103,17,101,126,5,51,136
103,17,0,5,11,28,136
103,278,13,3,498,28,136
103,17,0,1,15,28,136
103,278,13,5,11,28,136
103,278,13,23,41,28,136
103,278,13,3,11,28,136
103,17,0,3,498,28,136
103,17,0,1,5,291,136
103,17,0,1,15,158,136
103,278,13,5,15,28,136
103,17,364,51,5,291,136
103,278,13,23,144,28,136
103,278,13,3,59,28,136
103,17,0,1,5,51,136
103,434,385,33,190,158,136
103,17,0,7,48,51,136
103,17,0,3,11,28,136
103,17,63,106,41,28,136
103,17,0,1,161,264,136
103,17,63,163,46,28,136
103,17,101,28,15,158,136
103,62,2,10,356,28,136
103,17,63,46,130,51,136
103,62,353,442,5,51,136
103,62,2,0,160,51,136
103,62,353,442,5,291,136
103,62,2,12,39,28,136
103,62,2,0,5,291,136
103,62,2,12,5,291,136
103,62,2,0,5,51,136
103,62,2,12,90,28,136
103,62,2,12,5,51,136
103,278,13,5,48,51,136
103,278,13,5,15,158,136
103,278,13,5,161,264,136
103,17,6,3,498,28,136
103,17,186,221,314,264,136
103,278,13,3,98,28,136
103,17,34,0,160,51,136
103,17,6,0,160,51,136
103,17,6,3,11,28,136
103,17,76,19,11,28,136
103,17,34,0,5,291,136
103,17,6,18,5,291,136
103,17,6,0,5,291,136
103,17,6,3,59,28,136
103,17,179,268,5,291,136
103,17,34,0,5,51,136
103,17,6,18,5,51,136
103,62,7,0,160,51,136
103,62,7,48,5,51,136
103,340,35,110,248,28,136
103,17,76,19,5,291,136
103,340,35,1,15,28,136
103,340,35,110,46,28,136
103,17,76,19,294,51,136
103,17,76,19,5,51,136
103,340,35,33,190,158,136
103,340,35,1,5,291,136
103,340,35,1,15,158,136
103,340,35,331,244,28,136
103,340,35,33,46,28,136
103,340,35,1,161,264,136
103,340,35,1,5,51,136
103,434,385,111,90,28,136
103,17,101,126,5,291,136
103,434,385,33,46,28,136
103,17,6,18,453,28,136
103,17,6,0,5,51,136
103,17,6,3,98,28,136
103,17,27,23,41,28,136
103,17,0,5,15,28,136
103,17,27,23,144,28,136
103,17,0,5,48,51,136
103,17,0,5,15,158,136
103,17,0,5,161,264,136
103,17,0,23,41,28,136
103,17,64,23,41,28,136
103,17,0,23,144,28,136
103,17,313,19,5,51,136
103,17,64,23,144,28,136
103,17,319,45,11,28,136
103,17,313,19,11,28,136
103,17,313,19,5,291,136
103,17,313,19,294,51,136
103,17,179,45,11,28,136
103,17,179,268,5,51,136
103,17,0,3,59,28,136
103,62,7,1,15,28,136
103,62,7,0,5,291,136
103,17,0,3,98,28,136
103,62,7,20,269,51,136
103,62,7,1,5,291,136
103,62,7,1,15,158,136
103,62,7,0,5,51,136
103,62,7,22,428,51,136
103,62,7,1,161,264,136
103,62,7,1,5,51,136
103,62,7,33,190,158,136
103,213,8,1,15,28,136
103,62,7,478,130,51,136
103,62,7,33,46,28,136
103,213,8,3,498,28,136
103,213,8,1,5,291,136
103,213,8,1,15,158,136
103,213,8,10,356,28,136
103,213,8,3,11,28,136
103,213,8,1,161,264,136
103,213,8,1,5,51,136
103,213,8,83,5,291,136
103,213,8,3,59,28,136
103,213,8,83,5,51,136
103,213,8,3,98,28,136
103,17,76,19,20,269,51,136
103,17,27,262,51,5,291,136
103,17,101,28,15,5,51,136
103,340,35,120,10,356,28,136
103,340,35,33,7,48,51,136
103,17,63,46,28,15,158,136
103,340,35,33,46,130,51,136
103,340,35,1,0,160,51,136
103,17,101,28,11,5,291,136
103,340,35,1,161,5,291,136
103,340,35,1,5,11,28,136
103,278,13,177,51,5,291,136
103,17,101,28,11,5,51,136
103,340,35,1,161,5,51,136
103,340,35,1,5,15,28,136
103,278,13,5,11,440,28,136
103,62,2,10,16,15,28,136
103,434,385,111,1,15,28,136
103,340,35,1,5,48,51,136
103,340,35,1,5,15,158,136
103,62,2,10,16,183,28,136
103,62,2,10,16,15,158,136
103,434,385,111,1,5,291,136
103,434,385,111,1,15,158,136
103,340,35,1,5,161,264,136
103,17,63,46,33,190,158,136
103,434,385,111,1,161,264,136
103,434,385,111,1,5,51,136
103,434,385,33,7,48,51,136
103,17,63,46,381,48,51,136
103,434,385,33,46,130,51,136
103,17,186,387,28,15,158,136
103,434,385,33,23,41,28,136
103,17,6,0,5,11,28,136
103,17,63,46,86,5,51,136
103,17,6,3,0,160,51,136
103,278,13,31,72,404,28,136
103,434,385,33,60,5,291,136
103,434,385,33,23,144,28,136
103,17,6,0,5,15,28,136
103,17,63,46,433,5,51,136
103,17,63,46,86,231,28,136
103,17,63,46,86,5,291,136
103,62,149,120,10,356,28,136
103,17,6,3,1,15,28,136
103,17,6,3,0,5,291,136
103,278,13,168,311,11,28,136
103,278,13,31,16,15,28,136
103,434,385,33,170,46,28,136
103,434,385,33,60,5,51,136
103,17,6,0,5,48,51,136
103,17,6,0,5,15,158,136
103,17,63,46,49,11,28,136
103,17,63,46,433,5,291,136
103,340,35,1,15,5,291,136
103,17,0,160,51,5,291,136
103,17,27,23,0,160,51,136
103,17,6,3,13,177,51,136
103,17,6,3,1,5,291,136
103,17,6,3,1,15,158,136
103,17,6,3,0,5,51,136
103,278,13,253,157,5,51,136
103,278,13,168,45,11,28,136
103,340,35,1,15,5,51,136
103,62,353,240,105,46,28,136
103,278,13,3,11,5,291,136
103,278,13,31,80,46,28,136
103,278,13,31,16,183,28,136
103,17,6,3,1,5,51,136
103,278,13,31,16,15,158,136
103,434,385,33,473,5,291,136
103,17,6,0,5,161,264,136
103,17,63,163,46,130,51,136
103,62,7,48,51,5,291,136
103,17,0,5,433,46,28,136
103,17,63,46,52,481,28,136
103,62,353,442,5,11,28,136
103,17,0,4,3,498,28,136
103,17,27,23,13,177,51,136
103,62,2,14,3,498,28,136
103,17,27,23,0,5,291,136
103,17,6,3,346,248,28,136
103,17,76,19,5,11,28,136
103,17,0,1,22,428,51,136
103,17,6,3,13,5,291,136
103,17,6,3,1,161,264,136
103,340,35,110,46,130,51,136
103,17,0,3,11,5,291,136
103,17,63,163,489,144,28,136
103,17,0,1,161,5,291,136
103,17,0,23,13,177,51,136
103,278,13,253,157,5,291,136
103,17,364,51,5,11,28,136
103,62,2,12,139,11,28,136
103,62,2,0,5,11,28,136
103,278,13,3,11,440,28,136
103,62,2,0,1,15,28,136
103,62,2,12,5,11,28,136
103,278,13,3,11,5,51,136
103,17,64,23,0,160,51,136
103,17,406,486,309,5,51,136
103,434,385,33,473,5,51,136
103,340,391,8,1,15,28,136
103,17,63,203,266,215,28,136
103,17,319,45,19,5,291,136
103,17,319,45,11,5,291,136
103,17,0,1,15,5,291,136
103,17,0,5,1,15,28,136
103,17,313,19,11,5,291,136
103,17,63,46,110,248,28,136
103,278,13,5,0,160,51,136
103,17,313,19,5,11,28,136
103,17,313,19,20,269,51,136
103,62,353,442,5,15,28,136
103,17,319,45,11,5,51,136
103,17,0,1,15,5,51,136
103,17,0,56,44,366,51,136
103,17,0,4,113,15,28,136
103,17,313,19,11,5,51,136
103,17,179,45,19,5,291,136
103,17,0,4,3,11,28,136
103,17,27,23,33,190,158,136
103,17,179,45,11,5,291,136
103,17,27,23,13,5,291,136
103,17,179,45,19,5,51,136
103,17,179,45,11,5,51,136
103,62,7,1,15,5,291,136
103,17,364,51,130,46,28,136
103,278,13,23,0,160,51,136
103,62,2,322,477,67,28,136
103,62,2,14,96,48,51,136
103,62,2,14,3,11,28,136
103,17,27,23,0,5,51,136
103,17,76,19,5,15,28,136
103,17,0,1,44,366,51,136
103,17,6,3,13,67,28,136
103,17,6,3,13,5,51,136
103,17,0,3,11,440,28,136
103,62,7,0,5,11,28,136
103,17,0,3,11,5,51,136
103,17,0,1,161,5,51,136
103,17,0,23,33,46,28,136
103,17,0,23,13,5,291,136
103,17,364,51,5,15,28,136
103,278,13,3,0,160,51,136
103,62,2,12,241,11,28,136
103,62,2,0,5,15,28,136
103,62,7,22,1,15,28,136
103,62,7,1,0,160,51,136
103,62,7,22,137,181,28,136
103,62,7,22,1,5,291,136
103,62,7,22,1,15,158,136
103,62,7,1,3,498,28,136
103,62,7,1,0,5,291,136
103,62,7,22,1,161,264,136
103,62,7,22,1,5,51,136
103,62,7,1,22,428,51,136
103,62,7,1,3,11,28,136
103,62,7,1,0,5,51,136
103,62,7,1,44,366,51,136
103,62,7,1,3,59,28,136
103,62,7,1,227,161,264,136
103,62,7,1,3,98,28,136
103,62,7,1,111,90,28,136
103,62,2,0,3,498,28,136
103,62,7,1,127,5,51,136
103,62,2,0,7,48,51,136
103,62,2,0,3,11,28,136
103,62,7,1,157,5,51,136
103,62,7,1,127,5,291,136
103,62,2,0,17,364,51,136
103,62,2,0,3,59,28,136
103,62,7,1,188,5,51,136
103,62,7,1,157,5,291,136
103,62,2,0,23,41,28,136
103,62,2,0,17,101,28,136
103,62,2,0,3,98,28,136
