104,332,11,3,346
104,23,13,3,346
104,23,0,3,346
104,16,47,3,346
104,16,47,3,346
104,23,0,3,346
104,23,13,3,346
104,332,11,28,248,346
104,16,10,8,3,346
104,23,0,1,3,346
104,23,40,11,3,346
104,23,0,4,3,346
104,23,41,28,248,346
104,23,0,6,3,346
104,131,441,1,3,346
104,23,44,1,3,346
104,16,15,28,248,346
104,23,144,28,248,346
104,16,31,13,3,346
104,16,15,1,3,346
104,23,175,0,3,346
104,16,183,28,248,346
104,16,31,75,3,346
104,150,23,0,3,346
104,490,431,1,3,346
104,150,23,13,3,346
104,23,44,1,0,3,346
104,23,0,1,8,3,346
104,16,15,28,11,3,346
104,16,10,8,1,3,346
104,23,0,1,9,3,346
104,16,15,28,59,3,346
104,16,10,8,133,3,346
104,23,0,1,287,3,346
104,16,15,28,98,3,346
104,23,40,11,28,248,346
104,23,0,1,392,3,346
104,16,15,28,498,3,346
104,23,144,28,11,3,346
104,332,449,60,290,3,346
104,23,13,5,0,3,346
104,16,15,5,0,3,346
104,23,144,28,59,3,346
104,16,15,1,0,3,346
104,23,13,253,372,3,346
104,23,13,5,1,3,346
104,23,27,17,0,3,346
104,16,15,113,4,3,346
104,16,15,5,1,3,346
104,23,144,28,98,3,346
104,16,15,1,8,3,346
104,23,44,50,0,3,346
104,16,30,229,6,3,346
104,16,183,28,11,3,346
104,23,13,31,75,3,346
104,23,13,5,11,3,346
104,16,31,57,1,3,346
104,23,33,60,290,3,346
104,23,27,323,287,3,346
104,23,265,7,1,3,346
104,23,33,7,0,3,346
104,23,357,236,1,3,346
104,23,265,7,0,3,346
104,23,33,46,28,248,346
104,23,33,7,1,3,346
104,23,401,38,9,3,346
104,23,33,35,1,3,346
104,23,33,46,110,248,346
104,23,232,69,1,3,346
104,23,401,38,281,3,346
104,23,33,176,9,3,346
104,23,33,35,110,248,346
104,23,64,17,0,3,346
104,23,27,17,6,3,346
104,23,383,380,0,3,346
104,23,64,17,6,3,346
104,23,178,32,9,3,346
104,332,11,5,0,3,346
104,23,206,448,452,3,346
104,23,178,32,11,3,346
104,332,11,139,348,248,346
104,332,11,5,1,3,346
104,332,11,32,9,3,346
104,332,11,5,13,3,346
104,332,11,28,59,3,346
104,23,41,28,11,3,346
104,332,11,257,4,3,346
104,16,15,5,11,3,346
104,332,11,28,98,3,346
104,23,41,28,59,3,346
104,332,11,324,287,3,346
104,16,15,5,13,3,346
104,332,11,28,498,3,346
104,23,41,28,98,3,346
104,23,175,0,1,3,346
104,332,11,440,28,248,346
104,150,351,215,28,248,346
104,23,144,28,498,3,346
104,23,41,28,498,3,346
104,23,175,0,4,3,346
104,23,0,2,14,3,346
104,332,11,475,1,3,346
104,150,465,57,1,3,346
104,16,15,1,9,3,346
104,16,47,123,13,3,346
104,150,23,0,1,3,346
104,300,105,46,28,248,346
104,23,44,56,0,3,346
104,23,175,0,6,3,346
104,23,0,5,13,3,346
104,16,494,31,75,3,346
104,332,11,19,25,3,346
104,490,431,1,0,3,346
104,16,30,410,47,3,346
104,16,15,1,287,3,346
104,16,47,303,75,3,346
104,16,15,1,392,3,346
104,16,47,147,4,3,346
104,16,183,28,59,3,346
104,150,23,0,4,3,346
104,16,183,28,98,3,346
104,150,23,0,6,3,346
104,16,183,28,498,3,346
104,16,10,2,0,3,346
104,131,33,60,290,3,346
104,16,10,356,28,248,346
104,16,10,2,14,3,346
104,131,186,387,28,248,346
104,131,33,7,0,3,346
104,131,195,60,290,3,346
104,131,186,17,0,3,346
104,131,33,23,0,3,346
104,131,33,7,1,3,346
104,131,186,221,25,3,346
104,131,186,17,6,3,346
104,131,33,35,110,248,346
104,131,33,23,13,3,346
104,131,33,46,110,248,346
104,131,33,35,1,3,346
104,131,33,176,9,3,346
104,131,33,46,28,248,346
104,150,23,40,11,3,346
104,23,13,67,28,248,346
104,150,23,41,28,248,346
104,23,13,123,47,3,346
104,150,23,44,1,3,346
104,300,105,46,110,248,346
104,150,23,144,28,248,346
104,23,0,17,6,3,346
104,150,23,175,0,3,346
104,23,0,148,8,3,346
104,23,0,5,1,3,346
104,23,0,316,9,3,346
104,23,0,5,11,3,346
104,23,0,7,1,3,346
104,131,441,1,0,3,346
104,23,44,1,8,3,346
104,131,441,1,8,3,346
104,23,44,1,9,3,346
104,131,441,1,9,3,346
104,23,44,1,287,3,346
104,131,441,1,287,3,346
104,23,44,1,392,3,346
104,131,441,1,392,3,346
104,16,397,391,8,3,346
104,16,494,31,13,3,346
104,490,431,1,8,3,346
104,490,431,1,9,3,346
104,490,431,1,287,3,346
104,490,431,1,392,3,346
104,131,33,7,22,1,3,346
104,16,10,8,148,0,3,346
104,131,33,7,1,0,3,346
104,131,186,321,55,47,3,346
104,23,401,38,9,1,3,346
104,23,265,7,22,1,3,346
104,16,30,142,388,25,3,346
104,23,33,46,28,11,3,346
104,131,186,17,34,0,3,346
104,131,186,17,6,0,3,346
104,23,0,1,8,133,3,346
104,23,144,299,37,6,3,346
104,131,33,7,0,1,3,346
104,131,33,23,40,11,3,346
104,23,33,35,1,0,3,346
104,23,33,46,49,11,3,346
104,16,47,147,4,0,3,346
104,23,265,7,1,0,3,346
104,23,13,3,498,28,248,346
104,131,33,35,77,9,3,346
104,131,33,35,1,0,3,346
104,23,40,11,5,0,3,346
104,23,232,403,316,0,3,346
104,131,33,121,211,250,3,346
104,23,232,69,19,11,3,346
104,131,33,176,9,1,3,346
104,131,33,46,49,11,3,346
104,131,33,23,0,1,3,346
104,131,33,60,5,0,3,346
104,23,265,7,0,1,3,346
104,23,357,236,60,290,3,346
104,131,33,46,28,11,3,346
104,150,23,40,11,28,248,346
104,23,33,121,211,250,3,346
104,23,232,69,1,0,3,346
104,23,13,67,28,11,3,346
104,16,10,2,0,1,3,346
104,150,23,41,28,11,3,346
104,23,13,168,311,11,3,346
104,23,33,35,77,9,3,346
104,23,33,176,9,1,3,346
104,150,23,44,50,0,3,346
104,150,23,44,1,0,3,346
104,300,105,46,49,11,3,346
104,23,357,236,1,0,3,346
104,150,23,0,2,14,3,346
104,332,449,60,5,0,3,346
104,23,64,17,0,1,3,346
104,150,23,144,28,11,3,346
104,16,15,28,46,110,248,346
104,23,27,17,34,0,3,346
104,23,0,17,101,28,248,346
104,23,27,17,6,0,3,346
104,150,23,27,17,0,3,346
104,23,0,17,406,250,3,346
104,16,10,356,28,11,3,346
104,150,23,33,60,290,3,346
104,150,23,27,323,287,3,346
104,150,23,27,17,6,3,346
104,16,10,356,28,59,3,346
104,150,23,265,7,1,3,346
104,150,23,33,7,0,3,346
104,16,10,356,28,98,3,346
104,150,23,357,236,1,3,346
104,150,23,265,7,0,3,346
104,150,23,33,46,28,248,346
104,150,23,33,7,1,3,346
104,16,10,356,28,498,3,346
104,150,23,401,38,9,3,346
104,150,23,33,35,1,3,346
104,150,23,33,46,110,248,346
104,150,23,64,17,0,3,346
104,150,23,401,38,281,3,346
104,150,23,33,176,9,3,346
104,150,23,33,35,110,248,346
104,150,23,383,380,0,3,346
104,150,23,64,17,6,3,346
104,23,0,1,191,8,3,346
104,150,23,178,32,9,3,346
104,16,31,13,5,0,3,346
104,23,0,1,317,8,3,346
104,150,23,206,448,452,3,346
104,150,23,178,32,11,3,346
104,16,31,13,23,0,3,346
104,16,31,13,5,1,3,346
104,23,0,1,15,28,248,346
104,150,23,232,69,1,3,346
104,16,31,13,253,372,3,346
104,16,31,13,5,11,3,346
104,23,0,1,5,11,3,346
104,16,31,13,67,28,248,346
