10,8,1,116
10,2,233,71,116
10,8,3,1,116
10,2,0,1,116
10,16,15,1,116
10,8,93,1,116
10,89,21,1,116
10,16,47,71,116
10,8,100,1,116
10,91,22,1,116
10,8,191,1,116
10,120,35,1,116
10,8,213,435,116
10,8,317,1,116
10,16,47,3,1,116
10,2,12,5,1,116
10,2,0,3,1,116
10,91,22,7,1,116
10,2,14,3,1,116
10,2,0,5,1,116
10,91,22,137,71,116
10,2,62,7,1,116
10,2,0,7,1,116
10,16,31,57,1,116
10,8,3,0,1,116
10,334,12,5,1,116
10,2,0,50,71,116
10,16,15,5,1,116
10,8,3,9,1,116
10,8,83,220,1,116
10,8,3,47,71,116
10,8,26,21,1,116
10,8,83,5,1,116
10,8,3,287,1,116
10,8,133,3,1,116
10,8,3,392,1,116
10,8,148,0,1,116
10,356,28,15,1,116
10,2,12,5,0,1,116
10,2,12,154,47,71,116
10,8,26,55,47,71,116
10,2,0,3,8,1,116
10,8,83,5,0,1,116
10,8,100,260,0,1,116
10,8,1,22,137,71,116
10,91,22,7,0,1,116
10,8,133,217,22,1,116
10,8,133,3,0,1,116
10,91,155,482,9,1,116
10,2,14,3,0,1,116
10,8,3,11,5,1,116
10,8,267,140,21,1,116
10,8,148,0,3,1,116
10,2,14,371,5,1,116
10,356,28,11,3,1,116
10,356,28,15,5,1,116
10,2,0,5,15,1,116
10,2,12,5,15,1,116
10,91,22,327,3,1,116
10,2,0,5,127,1,116
10,2,12,5,127,1,116
10,2,12,241,469,1,116
10,2,0,5,157,1,116
10,2,12,5,157,1,116
10,2,12,90,111,1,116
10,2,0,5,161,1,116
10,2,12,5,161,1,116
10,2,12,73,134,1,116
10,2,0,5,188,1,116
10,2,12,5,188,1,116
10,2,12,107,7,1,116
10,8,26,125,47,71,116
10,2,379,45,53,198,116
10,2,0,3,9,1,116
10,2,12,425,220,1,116
10,8,26,344,157,1,116
10,2,29,26,8,1,116
10,2,379,45,164,1,116
10,2,0,3,47,71,116
10,2,62,103,213,435,116
10,2,322,325,44,1,116
10,8,83,5,15,1,116
10,2,29,26,21,1,116
10,2,0,3,287,1,116
10,8,83,5,127,1,116
10,2,0,3,392,1,116
10,2,62,7,0,1,116
10,120,149,62,7,1,116
10,2,0,7,22,1,116
10,8,83,5,157,1,116
10,16,494,31,57,1,116
10,2,62,7,22,1,116
10,120,338,25,3,1,116
10,8,1,0,50,71,116
10,8,83,5,161,1,116
10,16,397,391,8,1,116
10,16,31,13,3,1,116
10,8,133,3,9,1,116
10,8,1,44,50,71,116
10,8,83,5,188,1,116
10,120,35,33,7,1,116
10,91,306,13,3,1,116
10,16,30,124,100,1,116
10,8,3,0,5,1,116
10,16,31,75,3,1,116
10,16,31,13,5,1,116
10,8,133,3,47,71,116
10,89,21,20,7,1,116
10,334,335,237,35,1,116
10,2,14,3,8,1,116
10,8,1,3,47,71,116
10,8,3,13,5,1,116
10,8,3,11,475,1,116
10,8,3,327,22,1,116
10,120,35,77,9,1,116
10,8,3,416,157,1,116
10,334,12,2,233,71,116
10,8,3,4,0,1,116
10,334,12,73,134,1,116
10,334,12,2,0,1,116
10,8,3,452,448,198,116
10,8,3,4,42,463,116
10,334,12,90,111,1,116
10,8,3,6,0,1,116
10,334,12,107,7,1,116
10,8,3,6,42,463,116
10,334,12,154,47,71,116
10,8,352,239,0,1,116
10,334,12,241,469,1,116
10,8,243,408,21,1,116
10,334,12,425,220,1,116
10,8,228,77,35,1,116
10,91,306,13,5,1,116
10,8,484,200,7,1,116
10,8,228,77,9,1,116
10,8,391,340,35,1,116
10,16,104,490,431,1,116
10,334,12,5,0,1,116
10,16,183,28,15,1,116
10,16,104,23,44,1,116
10,334,12,5,15,1,116
10,16,246,206,304,71,116
10,16,104,131,441,1,116
10,16,104,23,0,1,116
10,334,12,5,127,1,116
10,16,246,206,448,198,116
10,334,12,5,157,1,116
10,16,30,156,35,1,116
10,334,12,5,161,1,116
10,16,30,286,5,1,116
10,334,12,5,188,1,116
10,16,30,20,7,1,116
10,8,3,0,7,1,116
10,16,30,410,47,71,116
10,16,30,20,21,1,116
10,8,3,0,50,71,116
10,16,30,20,78,1,116
10,16,47,312,78,1,116
10,2,0,34,152,1,116
10,8,148,0,5,1,116
10,2,0,56,44,1,116
10,8,148,0,7,1,116
10,2,0,148,8,1,116
10,8,148,0,50,71,116
10,2,0,260,100,1,116
10,16,31,80,97,1,116
10,2,0,316,9,1,116
10,2,0,50,44,1,116
10,8,133,3,287,1,116
10,2,0,23,44,1,116
10,16,47,3,0,1,116
10,8,133,3,392,1,116
10,2,0,438,21,1,116
10,16,47,3,8,1,116
10,356,28,59,3,1,116
10,2,0,4,3,1,116
10,16,47,3,9,1,116
10,356,28,90,111,1,116
10,2,0,6,3,1,116
10,2,0,4,42,463,116
10,16,47,3,287,1,116
10,356,28,98,3,1,116
10,2,0,6,42,463,116
10,16,47,3,392,1,116
10,356,28,181,137,71,116
10,89,21,26,8,1,116
10,89,21,20,78,1,116
10,356,28,498,3,1,116
10,89,21,438,0,1,116
10,334,496,362,5,1,116
10,16,15,5,0,1,116
10,356,28,11,5,1,116
10,2,14,3,9,1,116
10,16,15,5,127,1,116
10,356,28,11,475,1,116
10,2,14,3,47,71,116
10,16,15,5,157,1,116
10,2,14,3,287,1,116
10,16,15,5,161,1,116
10,2,14,3,392,1,116
10,16,15,5,188,1,116
10,8,1,3,452,448,198,116
10,8,93,1,22,137,71,116
10,8,3,281,38,53,198,116
10,8,3,6,0,5,1,116
10,91,22,327,3,0,1,116
10,8,26,21,20,7,1,116
10,334,12,107,7,0,1,116
10,91,22,428,51,5,1,116
10,8,3,6,18,5,1,116
10,120,35,77,9,3,1,116
